date,symbol,open,high,low,close,Volume USD
2022-08-04,AMP/USD,1.2195,1.2351,1.2109,1.2351,166.50281440154103
2022-08-03,AMP/USD,1.2757,1.2815,1.2016,1.2195,2386.907701525755
2022-08-02,AMP/USD,1.2395,1.3454,1.1198,1.269,17428.53777392772
2022-08-01,AMP/USD,1.3583,1.3941,1.1644,1.24,3366.3158512472
2022-07-31,AMP/USD,1.7732,1.7759,1.3119,1.3583,3836.307001290933
2022-07-30,AMP/USD,1.2409,1.9,1.2052,1.7219,14503.140615015982
2022-07-29,AMP/USD,1.0747,1.2765,1.0705,1.2707,2726.475989488983
2022-07-28,AMP/USD,1.0599,1.1098,1.0439,1.0756,1984.480410564368
2022-07-27,AMP/USD,1.0792,1.1082,1.0022,1.0889,2604.3832768854973
2022-07-26,AMP/USD,1.0827,1.0908,1.0194,1.0758,2378.8282536984243
2022-07-25,AMP/USD,1.157,1.1855,1.0491,1.0839,7384.877863845016
2022-07-24,AMP/USD,1.1598,1.3455,1.1108,1.1581,4913.437693330249
2022-07-23,AMP/USD,1.1327,1.1831,1.1066,1.1598,1541.817362641872
2022-07-22,AMP/USD,1.1741,1.2081,1.1175,1.1381,2558.936208487548
2022-07-21,AMP/USD,1.1426,1.1884,1.0839,1.1491,3698.732452565204
2022-07-20,AMP/USD,1.1654,1.2001,1.125,1.1426,3130.4598530464405
2022-07-19,AMP/USD,1.1963,1.214,1.128,1.1659,3120.943232284849
2022-07-18,AMP/USD,1.1037,1.214,1.1013,1.2134,2512.958463589688
2022-07-17,AMP/USD,1.129,1.1499,1.0948,1.1023,1544.448681086991
2022-07-16,AMP/USD,1.0663,1.1619,1.0268,1.1278,3475.143733484564
2022-07-15,AMP/USD,1.1156,1.1286,1.0673,1.068,1181.2515897044402
2022-07-14,AMP/USD,1.0457,1.1316,1.0337,1.1119,2510.66170252663
2022-07-13,AMP/USD,0.98047,1.0542,0.95,1.0451,6626.115456281775
2022-07-12,AMP/USD,0.99891,1.0185,0.96016,0.98105,4695.201118906067
2022-07-11,AMP/USD,1.0788,1.0904,0.99803,0.99957,15144.58074770089
2022-07-10,AMP/USD,1.1187,1.1587,1.0629,1.0904,27574.723242879776
2022-07-09,AMP/USD,1.1468,1.1759,1.1021,1.1176,2763.378324879744
2022-07-08,AMP/USD,1.2336,1.2588,1.0877,1.1513,5305.113490063002
