https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ALG
1659571200000,2022-08-04 00:00:00,ALG/USD,0.32613,0.32953,0.32566,0.3286,5975.198635846916,18183.80595206
1659484800000,2022-08-03 00:00:00,ALG/USD,0.32729,0.33885,0.31749,0.32657,166496.95948920294,509835.43953579
1659398400000,2022-08-02 00:00:00,ALG/USD,0.34254,0.34762,0.32034,0.32625,177494.75416612136,544045.22349769
1659312000000,2022-08-01 00:00:00,ALG/USD,0.3359,0.34426,0.33059,0.34335,179159.14534192832,521797.42345108
1659225600000,2022-07-31 00:00:00,ALG/USD,0.33742,0.35559,0.3317,0.33633,549174.5432519697,1632844.35896878
1659139200000,2022-07-30 00:00:00,ALG/USD,0.33641,0.35495,0.33006,0.33777,428996.7367353193,1270085.37387962
1659052800000,2022-07-29 00:00:00,ALG/USD,0.33653,0.34509,0.32565,0.33585,555381.0968057752,1653658.17122458
1658966400000,2022-07-28 00:00:00,ALG/USD,0.32798,0.34219,0.31912,0.33651,306171.0912950866,909842.47509758
1658880000000,2022-07-27 00:00:00,ALG/USD,0.31098,0.32892,0.3054,0.32851,191707.63330416023,583567.11608219
1658793600000,2022-07-26 00:00:00,ALG/USD,0.31141,0.31223,0.30125,0.31131,123410.46880736313,396423.07926942
1658707200000,2022-07-25 00:00:00,ALG/USD,0.34059,0.34322,0.31138,0.31138,202238.76198200617,649491.8170146
1658620800000,2022-07-24 00:00:00,ALG/USD,0.33499,0.34802,0.33439,0.3408,54428.489033048056,159708.00772608
1658534400000,2022-07-23 00:00:00,ALG/USD,0.3355,0.34419,0.32569,0.33472,86650.8110460471,258875.51101233
1658448000000,2022-07-22 00:00:00,ALG/USD,0.34947,0.35752,0.33345,0.33736,120695.84568862978,357765.72708273
1658361600000,2022-07-21 00:00:00,ALG/USD,0.34428,0.3514,0.33331,0.34931,244577.20857566598,700172.36430582
1658275200000,2022-07-20 00:00:00,ALG/USD,0.37213,0.37706,0.34152,0.34475,212522.96491243274,616455.30068871
1658188800000,2022-07-19 00:00:00,ALG/USD,0.35963,0.37805,0.34672,0.3718,367539.2695627665,988540.26240658
1658102400000,2022-07-18 00:00:00,ALG/USD,0.33619,0.36778,0.33619,0.35965,365617.42422725575,1016592.3098213699
1658016000000,2022-07-17 00:00:00,ALG/USD,0.34039,0.34381,0.33318,0.33619,352622.93754993135,1048879.91180562
1657929600000,2022-07-16 00:00:00,ALG/USD,0.32821,0.3451,0.32519,0.34101,354616.1806963641,1039899.65307869
1657843200000,2022-07-15 00:00:00,ALG/USD,0.32983,0.33236,0.32067,0.32715,176686.45433912234,540077.80632469
1657756800000,2022-07-14 00:00:00,ALG/USD,0.31044,0.33205,0.3013,0.32969,211524.46799649173,641585.93829504
1657670400000,2022-07-13 00:00:00,ALG/USD,0.29088,0.31051,0.28975,0.31022,176172.9337911159,567896.76291379
1657584000000,2022-07-12 00:00:00,ALG/USD,0.2961,0.30408,0.29159,0.29206,116220.98793065592,397935.31442394
1657497600000,2022-07-11 00:00:00,ALG/USD,0.30984,0.31006,0.29657,0.29702,128614.0512559714,433014.78437806
1657411200000,2022-07-10 00:00:00,ALG/USD,0.32163,0.3226,0.30591,0.31052,90008.48843911453,289863.73965965
1657324800000,2022-07-09 00:00:00,ALG/USD,0.3149,0.32392,0.31444,0.32123,77168.63458517693,240228.60438059
1657238400000,2022-07-08 00:00:00,ALG/USD,0.32232,0.32794,0.30973,0.31413,990765.9880062052,3153999.8981511
1657152000000,2022-07-07 00:00:00,ALG/USD,0.31081,0.32491,0.30989,0.32274,188656.60172145098,584546.69926706
1657065600000,2022-07-06 00:00:00,ALG/USD,0.30735,0.31267,0.30193,0.31054,125868.2783559161,405320.66193056
1656979200000,2022-07-05 00:00:00,ALG/USD,0.31942,0.32255,0.30106,0.30796,487884.86324467807,1584247.51021132
1656892800000,2022-07-04 00:00:00,ALG/USD,0.30974,0.32059,0.29992,0.31963,236077.9590433403,738597.62551494
1656806400000,2022-07-03 00:00:00,ALG/USD,0.30761,0.3358,0.30132,0.30933,418292.1518963389,1352252.13169217
1656720000000,2022-07-02 00:00:00,ALG/USD,0.30778,0.31152,0.29929,0.30722,448847.25868962274,1460996.21993888
1656633600000,2022-07-01 00:00:00,ALG/USD,0.31378,0.32313,0.29993,0.30613,399364.96994921897,1304560.0560194
1656547200000,2022-06-30 00:00:00,ALG/USD,0.30189,0.31694,0.28383,0.31458,577288.7262115778,1835109.43547453
1656460800000,2022-06-29 00:00:00,ALG/USD,0.31247,0.31672,0.2949,0.30127,302066.62819199235,1002644.23338531
1656374400000,2022-06-28 00:00:00,ALG/USD,0.3312,0.33712,0.31068,0.3126,240535.21934257812,769466.47262501
1656288000000,2022-06-27 00:00:00,ALG/USD,0.33207,0.34671,0.32482,0.33085,220913.13457870026,667713.87208312
1656201600000,2022-06-26 00:00:00,ALG/USD,0.35227,0.36012,0.33186,0.33235,243226.96092539726,731839.81021633
1656115200000,2022-06-25 00:00:00,ALG/USD,0.34985,0.35662,0.33478,0.35194,216970.3424037646,616498.10309645
1656028800000,2022-06-24 00:00:00,ALG/USD,0.33574,0.35777,0.33455,0.34959,529578.2547786693,1514855.27268706
1655942400000,2022-06-23 00:00:00,ALG/USD,0.31305,0.33699,0.31173,0.33555,230392.13317469266,686610.44009743
1655856000000,2022-06-22 00:00:00,ALG/USD,0.32579,0.3316,0.31181,0.31289,272798.6114876691,871867.46616277
1655769600000,2022-06-21 00:00:00,ALG/USD,0.31829,0.34346,0.31447,0.3248,610225.4666697207,1878772.98851515
1655683200000,2022-06-20 00:00:00,ALG/USD,0.31434,0.32624,0.30141,0.31864,392976.3739522119,1233292.66241593
1655596800000,2022-06-19 00:00:00,ALG/USD,0.29594,0.31944,0.28471,0.31445,549210.4127749294,1746574.69478432
1655510400000,2022-06-18 00:00:00,ALG/USD,0.30916,0.31364,0.27544,0.29561,521979.6448482396,1765771.26906478
1655424000000,2022-06-17 00:00:00,ALG/USD,0.30222,0.31759,0.29907,0.30976,367210.9616924804,1185469.27199277
1655337600000,2022-06-16 00:00:00,ALG/USD,0.34031,0.3446,0.29597,0.30202,708667.0699497749,2346424.30948207
1655251200000,2022-06-15 00:00:00,ALG/USD,0.30866,0.34147,0.27908,0.33961,1153391.3617382278,3396223.20231509
1655164800000,2022-06-14 00:00:00,ALG/USD,0.3039,0.31087,0.28252,0.30902,963560.8029985352,3118117.93087352
1655078400000,2022-06-13 00:00:00,ALG/USD,0.32626,0.32953,0.28926,0.30448,942057.2239516019,3093987.20425513
1654992000000,2022-06-12 00:00:00,ALG/USD,0.35042,0.35185,0.32416,0.32502,463788.9202818414,1426955.01901988
1654905600000,2022-06-11 00:00:00,ALG/USD,0.36874,0.37979,0.33894,0.35024,501749.7323136243,1432588.31747837
1654819200000,2022-06-10 00:00:00,ALG/USD,0.404,0.40474,0.36313,0.36901,465313.5541173538,1260978.16893134
1654732800000,2022-06-09 00:00:00,ALG/USD,0.41669,0.41875,0.39995,0.40424,392765.1213999188,971613.69829784
1654646400000,2022-06-08 00:00:00,ALG/USD,0.39892,0.4325,0.39892,0.41635,952486.7879842722,2287706.94844307
1654560000000,2022-06-07 00:00:00,ALG/USD,0.41293,0.41321,0.37694,0.3986,495560.0305182618,1243251.45639303
1654473600000,2022-06-06 00:00:00,ALG/USD,0.39249,0.42412,0.39164,0.41303,552449.5219481756,1337553.01539398
1654387200000,2022-06-05 00:00:00,ALG/USD,0.38917,0.40266,0.37933,0.39174,318111.56899124617,812047.7076409
1654300800000,2022-06-04 00:00:00,ALG/USD,0.38112,0.39075,0.36788,0.38831,230678.99287499595,594058.85214132
1654214400000,2022-06-03 00:00:00,ALG/USD,0.39482,0.39736,0.37183,0.38165,194851.07421498554,510549.12672602
1654128000000,2022-06-02 00:00:00,ALG/USD,0.38491,0.39724,0.37749,0.39533,520582.7235738874,1316830.80862542
1654041600000,2022-06-01 00:00:00,ALG/USD,0.41142,0.42848,0.37506,0.38525,1028312.618262541,2669208.61327071
1653955200000,2022-05-31 00:00:00,ALG/USD,0.41898,0.42479,0.39534,0.41068,962475.92111716,2343615.27495169
1653868800000,2022-05-30 00:00:00,ALG/USD,0.37952,0.42316,0.37671,0.41997,705623.3059531272,1680175.50290051
1653782400000,2022-05-29 00:00:00,ALG/USD,0.36743,0.37988,0.353,0.37898,536810.6545573672,1416461.69865789
1653696000000,2022-05-28 00:00:00,ALG/USD,0.36058,0.3737,0.35566,0.36736,464221.3696029361,1263668.7979174
1653609600000,2022-05-27 00:00:00,ALG/USD,0.37924,0.38394,0.35556,0.35999,743652.4115057734,2065758.52525285
1653523200000,2022-05-26 00:00:00,ALG/USD,0.40572,0.41213,0.36592,0.37928,887831.1018833113,2340832.89886973
1653436800000,2022-05-25 00:00:00,ALG/USD,0.41864,0.42183,0.39885,0.40437,515543.70851231046,1274930.65388706
1653350400000,2022-05-24 00:00:00,ALG/USD,0.41601,0.42168,0.39136,0.41849,852889.0433657937,2038015.34891107
1653264000000,2022-05-23 00:00:00,ALG/USD,0.44051,0.45249,0.41047,0.41682,599699.7583572444,1438749.96007208
1653177600000,2022-05-22 00:00:00,ALG/USD,0.43442,0.44861,0.42427,0.4428,586476.7763748486,1324473.29804618
1653091200000,2022-05-21 00:00:00,ALG/USD,0.43368,0.44303,0.42187,0.43489,711806.0137137509,1636749.55440169
1653004800000,2022-05-20 00:00:00,ALG/USD,0.44952,0.45913,0.4202,0.43366,1297629.2976028547,2992273.43449443
1652918400000,2022-05-19 00:00:00,ALG/USD,0.43361,0.46396,0.42114,0.45159,1734256.3910490673,3840333.91139987
1652832000000,2022-05-18 00:00:00,ALG/USD,0.49461,0.50414,0.43103,0.43304,1427300.022846502,3296000.42223929
1652745600000,2022-05-17 00:00:00,ALG/USD,0.45958,0.50768,0.45958,0.49493,1290598.0318014976,2607637.50793344
1652659200000,2022-05-16 00:00:00,ALG/USD,0.49064,0.49064,0.43782,0.46046,1701112.2516306133,3694375.73650396
1652572800000,2022-05-15 00:00:00,ALG/USD,0.46439,0.4933,0.44469,0.49135,479462.0318795671,975805.49888993
1652486400000,2022-05-14 00:00:00,ALG/USD,0.44454,0.47322,0.41845,0.46346,1866744.8143861142,4027844.50521321
1652400000000,2022-05-13 00:00:00,ALG/USD,0.42287,0.50924,0.41626,0.44184,928536.610464057,2101522.29418807
1652313600000,2022-05-12 00:00:00,ALG/USD,0.45438,0.48313,0.35751,0.4237,3314118.3506979705,7821851.19352837
1652227200000,2022-05-11 00:00:00,ALG/USD,0.58467,0.60716,0.40844,0.45452,2325206.6169576664,5115741.03880504
1652140800000,2022-05-10 00:00:00,ALG/USD,0.57514,0.66118,0.55333,0.58539,3622006.614053127,6187339.40459032
1652054400000,2022-05-09 00:00:00,ALG/USD,0.73173,0.75557,0.56778,0.57477,3325128.655789554,5785146.50345278
1651968000000,2022-05-08 00:00:00,ALG/USD,0.7509,0.78489,0.70878,0.72978,1654832.3748039706,2267577.043498
1651881600000,2022-05-07 00:00:00,ALG/USD,0.69833,0.77468,0.6732,0.74959,3291002.387339786,4390403.27024078
1651795200000,2022-05-06 00:00:00,ALG/USD,0.63441,0.72391,0.62668,0.69775,3686253.2176661077,5283057.28078267
1651708800000,2022-05-05 00:00:00,ALG/USD,0.71766,0.73017,0.61522,0.63456,2320833.1911193705,3657389.67334747
1651622400000,2022-05-04 00:00:00,ALG/USD,0.67071,0.71861,0.6539,0.71551,3353061.0176818157,4686253.18679238
1651536000000,2022-05-03 00:00:00,ALG/USD,0.616,0.74147,0.61161,0.66995,3560276.5417762725,5314242.16997727
1651449600000,2022-05-02 00:00:00,ALG/USD,0.60164,0.64688,0.58057,0.61615,1710292.0747839722,2775772.25478207
1651363200000,2022-05-01 00:00:00,ALG/USD,0.56771,0.60551,0.56482,0.60197,1246911.468323217,2071384.73399541
1651276800000,2022-04-30 00:00:00,ALG/USD,0.63791,0.64008,0.53791,0.56887,851839.6373529871,1497424.08169351
1651190400000,2022-04-29 00:00:00,ALG/USD,0.69898,0.70984,0.61956,0.63727,1474947.0735250646,2314477.49544944
1651104000000,2022-04-28 00:00:00,ALG/USD,0.67101,0.71564,0.66192,0.69907,1820473.5502709793,2604136.28144675
1651017600000,2022-04-27 00:00:00,ALG/USD,0.65524,0.6789,0.64925,0.6708,1230576.3202530013,1834490.63842129
1650931200000,2022-04-26 00:00:00,ALG/USD,0.7039,0.7283,0.64358,0.65601,1863326.8925621875,2840394.03753325
1650844800000,2022-04-25 00:00:00,ALG/USD,0.70206,0.706,0.65639,0.70354,1397629.1641916733,1986566.73990345
1650758400000,2022-04-24 00:00:00,ALG/USD,0.7091,0.71462,0.69774,0.7014,698018.8591463721,995179.43990073
1650672000000,2022-04-23 00:00:00,ALG/USD,0.71972,0.72366,0.7046,0.70766,663805.3481212041,938028.64104401
1650585600000,2022-04-22 00:00:00,ALG/USD,0.71762,0.73204,0.71194,0.72015,1064103.255307419,1477613.35181201
1650499200000,2022-04-21 00:00:00,ALG/USD,0.7416,0.77492,0.70982,0.71839,1087738.030629024,1514133.0344646
1650412800000,2022-04-20 00:00:00,ALG/USD,0.75928,0.77114,0.73159,0.74168,933027.5230428738,1257992.0222237
1650326400000,2022-04-19 00:00:00,ALG/USD,0.7373,0.76337,0.72919,0.75996,652147.0363876573,858133.37068748
1650240000000,2022-04-18 00:00:00,ALG/USD,0.7107,0.74032,0.68865,0.73686,829940.7538359622,1126320.81241479
1650153600000,2022-04-17 00:00:00,ALG/USD,0.74424,0.7458,0.70756,0.7112,358200.1298915612,503655.97566305
1650067200000,2022-04-16 00:00:00,ALG/USD,0.73971,0.7504,0.72835,0.74372,388355.2156108234,522179.33578608
1649980800000,2022-04-15 00:00:00,ALG/USD,0.72732,0.74302,0.72194,0.73968,669834.1883913467,905572.93477091
1649894400000,2022-04-14 00:00:00,ALG/USD,0.74597,0.76103,0.71538,0.72632,554890.3890210327,763975.0922748001
1649808000000,2022-04-13 00:00:00,ALG/USD,0.72583,0.74797,0.7153,0.746,685601.3379652882,919036.64606607
