https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ANT
1659571200000,2022-08-04 00:00:00,ANT/USD,1.9314,1.9314,1.9314,1.9314,3.8628,2.0
1659484800000,2022-08-03 00:00:00,ANT/USD,1.9126,2.0118,1.9073,1.9716,1533.217592274288,777.65144668
1659398400000,2022-08-02 00:00:00,ANT/USD,2.001,2.0367,1.8643,1.9453,8133.830003031635,4181.27281295
1659312000000,2022-08-01 00:00:00,ANT/USD,2.018,2.2151,1.9653,2.0208,22847.787795766322,11306.30829165
1659225600000,2022-07-31 00:00:00,ANT/USD,1.9748,2.1118,1.9435,1.9435,5841.216867115565,3005.51420999
1659139200000,2022-07-30 00:00:00,ANT/USD,2.0274,2.0947,1.9542,1.9588,4967.3104556007,2535.89465775
1659052800000,2022-07-29 00:00:00,ANT/USD,1.8988,2.2776,1.8864,2.0235,13697.765491316535,6769.34296581
1658966400000,2022-07-28 00:00:00,ANT/USD,1.7184,1.9327,1.6719,1.9031,24958.022732095385,13114.40425206
1658880000000,2022-07-27 00:00:00,ANT/USD,1.6129,1.7196,1.5946,1.7196,7601.421184419648,4420.45893488
1658793600000,2022-07-26 00:00:00,ANT/USD,1.5794,1.6074,1.5488,1.6074,1816.176949891362,1129.88487613
1658707200000,2022-07-25 00:00:00,ANT/USD,1.6621,1.6642,1.5842,1.5897,8672.753566503789,5455.59134837
1658620800000,2022-07-24 00:00:00,ANT/USD,1.732,1.7605,1.7185,1.7185,2043.0529607102999,1188.8582838
1658534400000,2022-07-23 00:00:00,ANT/USD,1.6839,1.7912,1.6763,1.7318,5314.122669834412,3068.55449234
1658448000000,2022-07-22 00:00:00,ANT/USD,1.8188,1.819,1.68,1.7015,2311.65808947904,1358.60011136
1658361600000,2022-07-21 00:00:00,ANT/USD,1.7734,1.7997,1.7059,1.7735,3751.467743817421,2115.2905237200002
1658275200000,2022-07-20 00:00:00,ANT/USD,1.8857,1.9427,1.7469,1.772,4229.65549354692,2386.93876611
1658188800000,2022-07-19 00:00:00,ANT/USD,1.8949,1.9645,1.8205,1.8917,6488.1546118371425,3429.80103179
1658102400000,2022-07-18 00:00:00,ANT/USD,1.7252,1.9248,1.7252,1.9135,7911.455900725499,4134.547113
1658016000000,2022-07-17 00:00:00,ANT/USD,1.7862,1.7862,1.686,1.7369,2430.1297668702455,1399.11898605
1657929600000,2022-07-16 00:00:00,ANT/USD,1.7319,1.8289,1.6994,1.7795,16849.38963549368,9468.60895504
1657843200000,2022-07-15 00:00:00,ANT/USD,1.6366,1.7817,1.6251,1.7505,8301.73163539059,4742.49165118
1657756800000,2022-07-14 00:00:00,ANT/USD,1.5793,1.6549,1.5342,1.6442,5499.055781688361,3344.5175658000003
1657670400000,2022-07-13 00:00:00,ANT/USD,1.5064,1.6028,1.4637,1.5963,25475.305071135183,15958.97078941
1657584000000,2022-07-12 00:00:00,ANT/USD,1.5808,1.5808,1.5152,1.5152,3794.04953047272,2503.99256235
1657497600000,2022-07-11 00:00:00,ANT/USD,1.6513,1.6803,1.5507,1.5507,1682.3186978246729,1084.87695739
1657411200000,2022-07-10 00:00:00,ANT/USD,1.74,1.7407,1.6636,1.6842,5309.997594758136,3152.83077708
1657324800000,2022-07-09 00:00:00,ANT/USD,1.8015,1.8058,1.7435,1.758,1671.36390365748,950.71894406
1657238400000,2022-07-08 00:00:00,ANT/USD,1.6994,1.814,1.6559,1.7502,5600.56496927604,3199.9571302
1657152000000,2022-07-07 00:00:00,ANT/USD,1.7035,1.7424,1.6888,1.6973,1612.285078730029,949.91167073
1657065600000,2022-07-06 00:00:00,ANT/USD,1.7155,1.8063,1.6657,1.7098,8946.865508778259,5232.69710421
1656979200000,2022-07-05 00:00:00,ANT/USD,1.6488,1.6936,1.5668,1.6766,6665.93977291018,3975.8676923
1656892800000,2022-07-04 00:00:00,ANT/USD,1.5735,1.6406,1.5463,1.633,2012.8140931025503,1232.58670735
1656806400000,2022-07-03 00:00:00,ANT/USD,1.5449,1.568,1.4989,1.5548,6165.7380527392,3965.614904
1656720000000,2022-07-02 00:00:00,ANT/USD,1.5192,1.5651,1.4727,1.5507,4397.6536830085415,2835.91518863
1656633600000,2022-07-01 00:00:00,ANT/USD,1.5313,1.5751,1.4726,1.5158,919.9699326946701,606.92039365
1656547200000,2022-06-30 00:00:00,ANT/USD,1.5578,1.565,1.42,1.5408,1431.245004815952,928.89732919
1656460800000,2022-06-29 00:00:00,ANT/USD,1.5928,1.6356,1.5405,1.6104,4459.893289369848,2769.43199787
1656374400000,2022-06-28 00:00:00,ANT/USD,1.634,1.7077,1.5851,1.6032,2318.835291050592,1446.37929831
1656288000000,2022-06-27 00:00:00,ANT/USD,1.7253,1.7604,1.643,1.6812,3452.878418633172,2053.81776031
1656201600000,2022-06-26 00:00:00,ANT/USD,1.9023,1.9126,1.6807,1.6807,9741.678162735037,5796.20286948
1656115200000,2022-06-25 00:00:00,ANT/USD,1.9048,1.937,1.7933,1.8737,3498.338162764927,1867.07485871
1656028800000,2022-06-24 00:00:00,ANT/USD,1.7503,1.9934,1.7503,1.9299,15777.821948162715,8175.46087785
1655942400000,2022-06-23 00:00:00,ANT/USD,1.6968,1.7842,1.6474,1.7119,6454.166056064933,3770.17702907
1655856000000,2022-06-22 00:00:00,ANT/USD,1.6446,1.7109,1.5894,1.6689,12397.743381166421,7428.69158198
1655769600000,2022-06-21 00:00:00,ANT/USD,1.6081,1.7845,1.5888,1.6639,17638.024956298606,10600.41165713
1655683200000,2022-06-20 00:00:00,ANT/USD,1.6566,1.7073,1.5545,1.5946,2669.0809124647503,1673.82472875
1655596800000,2022-06-19 00:00:00,ANT/USD,1.5686,1.7323,1.484,1.6445,15573.16071619451,9469.84537318
