https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume APE
1659571200000,2022-08-04 00:00:00,APE/USD,7.1662,7.2464,7.1248,7.22,4654.3413950998,644.64562259
1659484800000,2022-08-03 00:00:00,APE/USD,6.6409,7.4771,6.5769,7.158,204044.80275235415,28505.84000452
1659398400000,2022-08-02 00:00:00,APE/USD,6.6417,6.9915,6.217,6.6384,237378.90660430738,35758.45182639
1659312000000,2022-08-01 00:00:00,APE/USD,6.6937,7.2545,6.4713,6.6454,111372.81396994962,16759.38453215
1659225600000,2022-07-31 00:00:00,APE/USD,6.6867,7.2949,6.6221,6.7173,57970.6757902846,8630.05609252
1659139200000,2022-07-30 00:00:00,APE/USD,6.6739,7.1227,6.5995,6.6903,27087.910683361435,4048.83348779
1659052800000,2022-07-29 00:00:00,APE/USD,6.9286,7.153,6.5273,6.6886,89904.1970860992,13441.40733279
1658966400000,2022-07-28 00:00:00,APE/USD,6.8233,7.202,6.3455,6.9316,248951.81357376074,35915.49044575
1658880000000,2022-07-27 00:00:00,APE/USD,5.7564,6.8914,5.64,6.8233,673800.4121584345,98749.93216749
1658793600000,2022-07-26 00:00:00,APE/USD,6.0075,6.0475,5.4283,5.764,64995.3460744456,11276.0836354
1658707200000,2022-07-25 00:00:00,APE/USD,6.4426,6.635,6.0,6.0084,55680.87111627009,9267.17114644
1658620800000,2022-07-24 00:00:00,APE/USD,6.6441,6.9,6.4337,6.4426,30851.555193055756,4788.68084206
1658534400000,2022-07-23 00:00:00,APE/USD,6.2209,6.879,6.1359,6.6412,77755.14679810393,11707.9965666
1658448000000,2022-07-22 00:00:00,APE/USD,6.4307,6.9107,6.1821,6.2148,309960.36023587995,49874.55110959
1658361600000,2022-07-21 00:00:00,APE/USD,5.8856,6.5479,5.6404,6.426,101184.87636720162,15746.16812437
1658275200000,2022-07-20 00:00:00,APE/USD,6.0788,6.5017,5.8138,5.8754,118187.97396787307,20115.7323702
1658188800000,2022-07-19 00:00:00,APE/USD,5.9851,6.3579,5.6401,6.0796,193844.16800311615,31884.3621296
1658102400000,2022-07-18 00:00:00,APE/USD,4.971,6.2459,4.971,6.0136,380764.3973736138,63317.213877480004
1658016000000,2022-07-17 00:00:00,APE/USD,4.764,5.1634,4.6387,4.9683,132260.45899260743,26620.868102290002
1657929600000,2022-07-16 00:00:00,APE/USD,4.602,4.8858,4.4524,4.7715,50282.22745967605,10538.03362877
1657843200000,2022-07-15 00:00:00,APE/USD,4.6812,4.7844,4.5328,4.5985,28741.062344940998,6250.095106
1657756800000,2022-07-14 00:00:00,APE/USD,4.5917,4.75,4.347,4.6858,78465.35545492888,16745.34881022
1657670400000,2022-07-13 00:00:00,APE/USD,4.239,4.5967,4.1826,4.5838,181877.34470598612,39678.28978271
1657584000000,2022-07-12 00:00:00,APE/USD,4.3226,4.3919,4.1764,4.2312,98321.15669201883,23237.18015977
1657497600000,2022-07-11 00:00:00,APE/USD,4.7734,4.7841,4.2843,4.3375,120730.60802034539,27834.14594129
1657411200000,2022-07-10 00:00:00,APE/USD,5.0145,5.0408,4.7086,4.795,82746.0786748456,17256.74216368
1657324800000,2022-07-09 00:00:00,APE/USD,4.9486,5.0942,4.9486,5.0068,11907.814383831428,2378.32835021
1657238400000,2022-07-08 00:00:00,APE/USD,5.1149,5.2837,4.9066,4.9457,203926.5325352221,41233.09795079
1657152000000,2022-07-07 00:00:00,APE/USD,5.0211,5.2392,4.8956,5.1043,43842.51187535261,8589.3289727
1657065600000,2022-07-06 00:00:00,APE/USD,4.923,5.1452,4.7609,5.0164,140062.1919799517,27920.85798181
1656979200000,2022-07-05 00:00:00,APE/USD,4.9165,5.0855,4.6303,4.9147,55690.94818033551,11331.5051133
1656892800000,2022-07-04 00:00:00,APE/USD,4.5715,4.9359,4.4087,4.9245,21415.54917644835,4348.7763583
1656806400000,2022-07-03 00:00:00,APE/USD,4.5166,4.6804,4.4736,4.5657,27530.963899847997,6029.95464
1656720000000,2022-07-02 00:00:00,APE/USD,4.5334,4.6328,4.3683,4.5136,104727.83257004578,23202.72788241
1656633600000,2022-07-01 00:00:00,APE/USD,4.6178,4.7943,4.3605,4.5319,74686.00600945973,16480.06487554
1656547200000,2022-06-30 00:00:00,APE/USD,4.6904,4.7527,4.2183,4.632,132238.71171968494,28548.94467178
1656460800000,2022-06-29 00:00:00,APE/USD,4.9016,5.1292,4.6194,4.6938,188727.914776261,40207.91571355
1656374400000,2022-06-28 00:00:00,APE/USD,5.1185,5.5428,4.8036,4.899,461149.37233448104,94131.32727791
1656288000000,2022-06-27 00:00:00,APE/USD,4.6954,5.2468,4.6613,5.1185,429303.88740573486,83872.98767329
1656201600000,2022-06-26 00:00:00,APE/USD,4.5586,5.2871,4.5158,4.7037,766079.2614022009,162867.3727921
1656115200000,2022-06-25 00:00:00,APE/USD,4.4894,4.6682,4.2843,4.564,154337.81761516607,33816.34917072
1656028800000,2022-06-24 00:00:00,APE/USD,4.3916,4.6141,4.3479,4.4841,203440.4503843622,45369.29381244
1655942400000,2022-06-23 00:00:00,APE/USD,3.9742,4.4679,3.9646,4.3854,291489.32886462193,66468.12807603
1655856000000,2022-06-22 00:00:00,APE/USD,4.3917,4.3917,3.9533,3.9698,382605.9677328679,96379.15455007
1655769600000,2022-06-21 00:00:00,APE/USD,4.4796,4.8443,4.319,4.3881,339971.3185375312,77475.74543368
1655683200000,2022-06-20 00:00:00,APE/USD,4.129,4.8313,3.859,4.4867,764760.810647246,170450.62309654
1655596800000,2022-06-19 00:00:00,APE/USD,3.6353,4.4895,3.4033,4.129,448054.91283607454,108514.14696926001
1655510400000,2022-06-18 00:00:00,APE/USD,3.7284,3.8556,3.1171,3.6226,314341.0223906828,86772.21398738
1655424000000,2022-06-17 00:00:00,APE/USD,3.3691,3.8246,3.3539,3.7364,273092.93421691854,73089.85499864
1655337600000,2022-06-16 00:00:00,APE/USD,4.1591,4.299,3.3021,3.3722,454397.1619658902,134747.98706064
1655251200000,2022-06-15 00:00:00,APE/USD,3.6097,4.2749,3.0683,4.1655,388907.7215211107,93363.99508369
1655164800000,2022-06-14 00:00:00,APE/USD,3.4855,3.9257,3.2527,3.6143,371328.82482986175,102738.79446362
1655078400000,2022-06-13 00:00:00,APE/USD,3.9063,3.9929,3.2135,3.4843,494383.15591562004,141888.80289172
1654992000000,2022-06-12 00:00:00,APE/USD,4.7433,4.7871,3.8836,3.8881,193654.77140026473,49807.04493204
1654905600000,2022-06-11 00:00:00,APE/USD,5.174,5.5858,4.6783,4.7411,203184.2725125669,42855.93480681
1654819200000,2022-06-10 00:00:00,APE/USD,5.7123,5.7427,5.1282,5.17,153429.171252225,29676.8222925
