https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ATO
1659571200000,2022-08-04 00:00:00,ATO/USD,10.162,10.319,10.128,10.318,2927.7145683477997,283.7482621
1659484800000,2022-08-03 00:00:00,ATO/USD,9.9429,10.526,9.6424,10.15,81982.05168719651,8077.04942731
1659398400000,2022-08-02 00:00:00,ATO/USD,10.399,10.453,9.7734,9.9159,111132.30281417031,11207.48523222
1659312000000,2022-08-01 00:00:00,ATO/USD,10.317,10.733,10.063,10.41,167659.6796299446,16105.63685206
1659225600000,2022-07-31 00:00:00,ATO/USD,10.692,11.059,10.289,10.361,201021.0256431247,19401.7011527
1659139200000,2022-07-30 00:00:00,ATO/USD,11.195,11.343,10.517,10.702,187807.1737648128,17548.7921664
1659052800000,2022-07-29 00:00:00,ATO/USD,10.87,11.499,10.37,11.156,372687.78261751536,33406.93641247
1658966400000,2022-07-28 00:00:00,ATO/USD,10.331,11.16,10.091,10.863,519923.5329378742,47861.87360194
1658880000000,2022-07-27 00:00:00,ATO/USD,9.2151,10.32,9.0248,10.312,384880.8474962664,37323.5887797
1658793600000,2022-07-26 00:00:00,ATO/USD,8.9487,9.6976,8.5947,9.242,249605.83075945967,27007.77220942
1658707200000,2022-07-25 00:00:00,ATO/USD,9.9825,10.004,8.9648,8.9648,176371.42220656294,19673.77099395
1658620800000,2022-07-24 00:00:00,ATO/USD,10.114,10.291,9.9133,9.9655,95244.01926818087,9557.37487012
1658534400000,2022-07-23 00:00:00,ATO/USD,10.642,11.164,9.7609,10.152,120941.12955243526,11913.03482589
1658448000000,2022-07-22 00:00:00,ATO/USD,11.042,11.34,10.317,10.656,181735.11280728292,17054.72154723
1658361600000,2022-07-21 00:00:00,ATO/USD,9.6729,11.23,9.6347,11.048,488763.9138457328,44240.0356486
1658275200000,2022-07-20 00:00:00,ATO/USD,10.515,10.605,9.6068,9.68,217045.6471170856,22422.07098317
1658188800000,2022-07-19 00:00:00,ATO/USD,9.5914,10.764,9.2493,10.534,350554.98507462535,33278.43032795
1658102400000,2022-07-18 00:00:00,ATO/USD,8.9108,9.8698,8.8867,9.5991,189430.98708212416,19734.24457315
1658016000000,2022-07-17 00:00:00,ATO/USD,9.236,9.3582,8.8756,8.9108,114659.71996361391,12867.50010814
1657929600000,2022-07-16 00:00:00,ATO/USD,9.0675,9.4237,8.8029,9.236,97646.25827039217,10572.35364556
1657843200000,2022-07-15 00:00:00,ATO/USD,8.9958,9.48,8.8957,9.0526,88220.13189470349,9745.28112307
1657756800000,2022-07-14 00:00:00,ATO/USD,8.2275,9.05,8.0939,8.9786,83927.72033330193,9347.52860505
1657670400000,2022-07-13 00:00:00,ATO/USD,7.7997,8.2437,7.4243,8.2071,135414.79834166955,16499.7134605
1657584000000,2022-07-12 00:00:00,ATO/USD,8.1517,8.3913,7.7153,7.8026,198243.13522096453,25407.31746097
1657497600000,2022-07-11 00:00:00,ATO/USD,8.7704,9.0899,8.1637,8.1758,122594.36041423463,14994.7846589
1657411200000,2022-07-10 00:00:00,ATO/USD,8.974,8.9887,8.51,8.7783,73957.8575978269,8425.07747489
1657324800000,2022-07-09 00:00:00,ATO/USD,8.9849,9.3515,8.9643,8.9891,21960.865421927792,2443.05496901
1657238400000,2022-07-08 00:00:00,ATO/USD,9.365,9.6765,8.8844,8.9526,123123.75898382644,13752.84933805
1657152000000,2022-07-07 00:00:00,ATO/USD,8.8974,9.561,8.6976,9.3661,114111.6629774486,12183.47689833
1657065600000,2022-07-06 00:00:00,ATO/USD,8.9224,9.403,8.7704,8.9067,246142.4888009693,27635.65504631
1656979200000,2022-07-05 00:00:00,ATO/USD,8.761,9.3003,8.4151,8.9305,195663.34015573698,21909.56163213
1656892800000,2022-07-04 00:00:00,ATO/USD,8.0897,8.9373,7.8605,8.7369,163555.28233483768,18720.05886926
1656806400000,2022-07-03 00:00:00,ATO/USD,8.0611,8.3161,7.783,8.0913,123644.75231006155,15281.19737373
1656720000000,2022-07-02 00:00:00,ATO/USD,8.0988,8.3135,7.9352,8.0447,150194.823075367,18670.03406906
1656633600000,2022-07-01 00:00:00,ATO/USD,7.5244,8.3632,7.1952,8.0655,225488.9070661365,27957.21369613
1656547200000,2022-06-30 00:00:00,ATO/USD,7.3991,7.6297,6.9178,7.5592,358757.3491834342,47459.69800818
1656460800000,2022-06-29 00:00:00,ATO/USD,7.3199,7.5027,7.0399,7.3954,150352.56665986776,20330.5523244
1656374400000,2022-06-28 00:00:00,ATO/USD,7.7751,8.0127,7.2688,7.3431,92184.56128855159,12553.90247832
1656288000000,2022-06-27 00:00:00,ATO/USD,8.0598,8.5856,7.7674,7.7674,121986.72232923364,15704.96206314
1656201600000,2022-06-26 00:00:00,ATO/USD,8.6575,8.7282,8.0239,8.0578,88065.09021108382,10929.17300145
1656115200000,2022-06-25 00:00:00,ATO/USD,8.232,8.7,8.0,8.6848,155720.46311650678,17930.23018567
1656028800000,2022-06-24 00:00:00,ATO/USD,8.1385,8.5304,7.9486,8.2486,294137.7002914328,35659.10582298
1655942400000,2022-06-23 00:00:00,ATO/USD,7.0868,8.1659,7.0868,8.1047,311980.03575362987,38493.71793572
1655856000000,2022-06-22 00:00:00,ATO/USD,6.8343,7.5771,6.5786,7.0404,258035.0553605126,36650.62430551
1655769600000,2022-06-21 00:00:00,ATO/USD,6.7961,7.1596,6.6732,6.8298,190604.0934521291,27907.71229789
1655683200000,2022-06-20 00:00:00,ATO/USD,6.767,6.953,6.49,6.7981,294168.0474705631,43272.09771415
1655596800000,2022-06-19 00:00:00,ATO/USD,6.0839,6.8448,5.8491,6.765,538873.4085180848,79656.08403815
1655510400000,2022-06-18 00:00:00,ATO/USD,6.3649,6.4864,5.5609,6.0799,443777.54372327053,72990.92809475
1655424000000,2022-06-17 00:00:00,ATO/USD,6.311,6.5801,6.2571,6.375,163021.16476444126,25571.94741403
1655337600000,2022-06-16 00:00:00,ATO/USD,7.336,7.4656,6.1899,6.3201,385240.42846265784,60954.79952258
1655251200000,2022-06-15 00:00:00,ATO/USD,6.3493,7.328,5.9251,7.326,656044.1220463575,89550.11220944
1655164800000,2022-06-14 00:00:00,ATO/USD,6.4941,6.7977,5.9582,6.3603,295030.4815132604,46386.25245873
1655078400000,2022-06-13 00:00:00,ATO/USD,7.133,7.2026,5.8928,6.527,372278.24078899686,57036.65402007
1654992000000,2022-06-12 00:00:00,ATO/USD,7.5588,7.7526,6.9369,7.0767,312243.2957416254,44122.7260929
1654905600000,2022-06-11 00:00:00,ATO/USD,8.104,8.3483,7.3714,7.5375,148699.2972004346,19727.93329359
1654819200000,2022-06-10 00:00:00,ATO/USD,8.7798,8.9989,8.0417,8.0966,214276.73086097938,26465.02616666
1654732800000,2022-06-09 00:00:00,ATO/USD,8.767,9.1788,8.667,8.7845,161695.47928969792,18406.90754052
1654646400000,2022-06-08 00:00:00,ATO/USD,9.1959,9.421,8.6895,8.7627,175737.75127664674,20055.20573301
1654560000000,2022-06-07 00:00:00,ATO/USD,9.46,9.4611,8.5804,9.1998,307418.39531866816,33415.76939919
1654473600000,2022-06-06 00:00:00,ATO/USD,9.1584,9.7555,9.1584,9.472,166537.58916152577,17582.09345033
1654387200000,2022-06-05 00:00:00,ATO/USD,9.2533,9.3836,9.0437,9.1817,33589.30454144743,3658.2881755500002
1654300800000,2022-06-04 00:00:00,ATO/USD,9.187,9.2861,8.92,9.2599,32592.138256665407,3519.70736797
