https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume AXS
1659571200000,2022-08-04 00:00:00,AXS/USD,17.16,17.578,17.16,17.561,126.48755579399001,7.20275359
1659484800000,2022-08-03 00:00:00,AXS/USD,17.202,18.057,16.649,17.184,44945.99364143328,2615.57225567
1659398400000,2022-08-02 00:00:00,AXS/USD,17.775,17.908,16.651,17.222,112286.85594084191,6519.96608645
1659312000000,2022-08-01 00:00:00,AXS/USD,17.947,18.41,17.339,17.829,101101.7419458398,5670.63446889
1659225600000,2022-07-31 00:00:00,AXS/USD,19.125,19.125,18.001,18.043,197349.94381621285,10937.75668216
1659139200000,2022-07-30 00:00:00,AXS/USD,18.248,20.413,18.248,19.068,265728.3148695529,13935.82519769
1659052800000,2022-07-29 00:00:00,AXS/USD,17.148,19.459,17.148,18.218,256246.85706811864,14065.58662137
1658966400000,2022-07-28 00:00:00,AXS/USD,16.815,17.472,16.085,17.206,96893.42207842472,5631.37406012
1658880000000,2022-07-27 00:00:00,AXS/USD,15.104,16.873,14.7,16.865,166234.85675933224,9856.79553865
1658793600000,2022-07-26 00:00:00,AXS/USD,15.297,15.402,14.433,15.115,100442.1259616077,6645.19523398
1658707200000,2022-07-25 00:00:00,AXS/USD,17.278,17.871,15.245,15.261,124220.81740059926,8139.75607107
1658620800000,2022-07-24 00:00:00,AXS/USD,18.221,18.851,17.032,17.191,249727.60950979305,14526.64821766
1658534400000,2022-07-23 00:00:00,AXS/USD,15.327,18.264,15.21,18.109,380743.3818099758,21025.09149097
1658448000000,2022-07-22 00:00:00,AXS/USD,15.754,16.43,15.043,15.347,78802.21190107615,5134.69811045
1658361600000,2022-07-21 00:00:00,AXS/USD,15.551,15.907,14.828,15.737,154369.28249751282,9809.32086786
1658275200000,2022-07-20 00:00:00,AXS/USD,16.843,17.571,15.382,15.543,77315.80457690099,4974.316707
1658188800000,2022-07-19 00:00:00,AXS/USD,16.438,17.555,15.816,16.842,171294.85431533243,10170.69554182
1658102400000,2022-07-18 00:00:00,AXS/USD,14.523,16.496,14.39,16.496,255687.4968310899,15499.96949752
1658016000000,2022-07-17 00:00:00,AXS/USD,14.398,15.064,14.138,14.523,87267.46682947334,6008.91460645
1657929600000,2022-07-16 00:00:00,AXS/USD,13.927,14.442,13.572,14.373,55537.62360626781,3864.02446297
1657843200000,2022-07-15 00:00:00,AXS/USD,13.946,14.211,13.805,13.959,46570.761874908814,3336.25344759
1657756800000,2022-07-14 00:00:00,AXS/USD,13.394,13.945,13.023,13.945,64710.791702828756,4640.42966675
1657670400000,2022-07-13 00:00:00,AXS/USD,12.816,13.38,12.32,13.38,28700.4823523658,2145.02857641
1657584000000,2022-07-12 00:00:00,AXS/USD,13.42,13.49,12.807,12.812,44778.7365085874,3495.06216895
1657497600000,2022-07-11 00:00:00,AXS/USD,14.399,14.417,13.194,13.396,248634.3457562288,18560.3423228
1657411200000,2022-07-10 00:00:00,AXS/USD,15.12,15.131,14.266,14.396,37046.90037905177,2573.41625306
