https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAL
1659571200000,2022-08-04 00:00:00,BAL/USD,5.9642,6.0714,5.9642,6.0714,152.891918583804,25.18231686
1659484800000,2022-08-03 00:00:00,BAL/USD,5.9403,6.3262,5.7152,5.9554,8471.928274837654,1422.56242651
1659398400000,2022-08-02 00:00:00,BAL/USD,6.2873,6.3375,5.8336,5.9472,6775.745484451104,1139.31690282
1659312000000,2022-08-01 00:00:00,BAL/USD,6.1566,6.3821,6.0629,6.2918,2294.665633569742,364.70733869000003
1659225600000,2022-07-31 00:00:00,BAL/USD,6.3483,6.655,6.124,6.1651,7240.403133713118,1174.41779269
1659139200000,2022-07-30 00:00:00,BAL/USD,6.1652,6.8892,6.0482,6.3551,12061.848922180887,1897.97940586
1659052800000,2022-07-29 00:00:00,BAL/USD,6.1375,6.5094,5.9787,6.1449,21081.32877158537,3430.70331032
1658966400000,2022-07-28 00:00:00,BAL/USD,6.0489,6.3801,5.8216,6.125,15505.911906056252,2531.57745405
1658880000000,2022-07-27 00:00:00,BAL/USD,5.0288,6.0848,4.9465,6.0628,16078.861604655322,2652.0521219
1658793600000,2022-07-26 00:00:00,BAL/USD,5.0255,5.0303,4.7858,5.0303,6364.482395211546,1265.22919015
1658707200000,2022-07-25 00:00:00,BAL/USD,5.6987,5.7349,5.0106,5.0106,4995.797492722218,997.0457615299999
1658620800000,2022-07-24 00:00:00,BAL/USD,5.4651,5.8683,5.4395,5.6831,5733.338707716574,1008.84001825
1658534400000,2022-07-23 00:00:00,BAL/USD,5.4581,5.7023,5.2967,5.4552,4695.890794264416,860.8100150800001
1658448000000,2022-07-22 00:00:00,BAL/USD,5.6744,5.9391,5.4367,5.4568,10092.426087502721,1849.5136504
1658361600000,2022-07-21 00:00:00,BAL/USD,5.3443,5.7727,5.1917,5.6699,2880.126674522501,507.96780799
1658275200000,2022-07-20 00:00:00,BAL/USD,5.6765,5.8613,5.273,5.3321,7233.931518081174,1356.67589094
1658188800000,2022-07-19 00:00:00,BAL/USD,5.7036,5.8651,5.5671,5.6663,8329.985353622373,1470.09253898
1658102400000,2022-07-18 00:00:00,BAL/USD,5.0716,5.7678,5.0676,5.7468,13639.944070214558,2373.48508217
1658016000000,2022-07-17 00:00:00,BAL/USD,5.2261,5.2849,4.9996,5.0649,13039.628906209364,2574.50865885
1657929600000,2022-07-16 00:00:00,BAL/USD,4.8196,5.337,4.7043,5.2195,84955.55120010601,16276.56886677
1657843200000,2022-07-15 00:00:00,BAL/USD,4.666,5.0025,4.5713,4.8029,26594.880186685266,5537.25461423
1657756800000,2022-07-14 00:00:00,BAL/USD,4.3525,4.7218,4.1721,4.6462,35708.38647306942,7685.50352397
1657670400000,2022-07-13 00:00:00,BAL/USD,4.1524,4.371,3.987,4.371,4083.247517048371,934.16781447
1657584000000,2022-07-12 00:00:00,BAL/USD,4.3469,4.4383,4.1446,4.1446,4061.385318934211,979.92214422
1657497600000,2022-07-11 00:00:00,BAL/USD,4.6467,4.6733,4.3129,4.3525,2994.157096079825,687.91662173
1657411200000,2022-07-10 00:00:00,BAL/USD,5.0388,5.047,4.6103,4.6523,2411.301549394923,518.30310801
1657324800000,2022-07-09 00:00:00,BAL/USD,4.9569,5.1588,4.9569,5.0448,1411.4096381272802,279.77514235
1657238400000,2022-07-08 00:00:00,BAL/USD,5.134,5.2893,4.8929,4.9654,5572.212844599654,1122.20825001
1657152000000,2022-07-07 00:00:00,BAL/USD,4.9223,5.1711,4.862,5.1308,2703.4669390004437,526.90943693
1657065600000,2022-07-06 00:00:00,BAL/USD,4.9044,4.9745,4.7983,4.9117,7154.0245466660435,1456.52717932
1656979200000,2022-07-05 00:00:00,BAL/USD,4.9535,5.3005,4.7274,4.8885,3550.5776660843244,726.31229745
1656892800000,2022-07-04 00:00:00,BAL/USD,4.6497,4.956,4.4764,4.9436,5672.046278213121,1147.3513792
1656806400000,2022-07-03 00:00:00,BAL/USD,4.617,4.6854,4.4482,4.6516,1708.683473196484,367.33241749
1656720000000,2022-07-02 00:00:00,BAL/USD,4.5655,4.6822,4.4547,4.607,1710.06586582616,371.18859688
1656633600000,2022-07-01 00:00:00,BAL/USD,4.5181,4.6865,4.3825,4.5382,5273.128165906636,1161.94265698
1656547200000,2022-06-30 00:00:00,BAL/USD,4.7733,4.8075,4.2753,4.5542,4594.274953738273,1008.79955947
1656460800000,2022-06-29 00:00:00,BAL/USD,4.8796,5.0271,4.6337,4.7576,3327.365440433784,699.37898109
1656374400000,2022-06-28 00:00:00,BAL/USD,5.1363,5.2346,4.8483,4.9088,5784.3276979587845,1178.35880418
1656288000000,2022-06-27 00:00:00,BAL/USD,5.195,5.4559,5.0165,5.1284,2719.828790028276,530.34646089
1656201600000,2022-06-26 00:00:00,BAL/USD,5.5455,5.6754,5.1831,5.1831,4066.718109304734,784.61116114
1656115200000,2022-06-25 00:00:00,BAL/USD,5.5789,5.6628,5.3164,5.5598,8531.67826998242,1534.5297079
1656028800000,2022-06-24 00:00:00,BAL/USD,4.7812,6.0524,4.7596,5.5603,28521.474747960365,5129.48487455
1655942400000,2022-06-23 00:00:00,BAL/USD,4.4156,4.8533,4.4156,4.7962,17696.5404541588,3689.7002740000003
1655856000000,2022-06-22 00:00:00,BAL/USD,4.4854,4.676,4.3706,4.4288,3458.535028958208,780.91921716
1655769600000,2022-06-21 00:00:00,BAL/USD,4.5044,4.8571,4.4362,4.6376,4593.145116895808,990.41424808
1655683200000,2022-06-20 00:00:00,BAL/USD,4.3735,4.6564,4.1605,4.5085,2863.602926284725,635.15646585
1655596800000,2022-06-19 00:00:00,BAL/USD,3.951,4.4515,3.7284,4.3833,2045.6852645929291,466.69980713
1655510400000,2022-06-18 00:00:00,BAL/USD,4.301,4.3734,3.6307,3.951,15438.801982182571,3907.56820607
1655424000000,2022-06-17 00:00:00,BAL/USD,4.1972,4.455,4.149,4.2852,5676.326463489755,1324.63513103
1655337600000,2022-06-16 00:00:00,BAL/USD,4.8901,4.9712,4.093,4.1941,4741.745309172929,1130.5751673
1655251200000,2022-06-15 00:00:00,BAL/USD,4.6645,5.066,4.1088,4.904,7866.7998519272,1604.1598393
1655164800000,2022-06-14 00:00:00,BAL/USD,4.93,5.016,4.355,4.7004,11469.98302201571,2440.21424177
1655078400000,2022-06-13 00:00:00,BAL/USD,5.943,5.967,4.7183,4.9316,10565.310411040522,2142.3696997
1654992000000,2022-06-12 00:00:00,BAL/USD,6.2174,6.3435,5.6971,5.9408,2742.379931736736,461.61795242
1654905600000,2022-06-11 00:00:00,BAL/USD,7.0802,7.3376,6.159,6.2394,6464.481962275218,1036.07429597
1654819200000,2022-06-10 00:00:00,BAL/USD,7.4706,7.992,7.0678,7.0982,12381.972660566711,1744.38204905
1654732800000,2022-06-09 00:00:00,BAL/USD,7.67,8.28,7.386,7.49,10911.6799686587,1456.83310663
1654646400000,2022-06-08 00:00:00,BAL/USD,7.259,8.1007,7.166,7.665,11964.7457498373,1560.95834962
1654560000000,2022-06-07 00:00:00,BAL/USD,7.568,7.8906,6.842,7.235,29047.504678698755,4014.8589742500003
1654473600000,2022-06-06 00:00:00,BAL/USD,7.4566,7.9149,7.4255,7.607,17474.906008665628,2297.21388309
1654387200000,2022-06-05 00:00:00,BAL/USD,6.7367,7.7818,6.589,7.4446,35163.23671495727,4723.32116097
1654300800000,2022-06-04 00:00:00,BAL/USD,6.7393,6.8487,6.496,6.722,7350.36313965476,1093.47859858
1654214400000,2022-06-03 00:00:00,BAL/USD,7.0172,7.0608,6.5637,6.707,5467.24451759465,815.15498995
1654128000000,2022-06-02 00:00:00,BAL/USD,6.748,7.0797,6.634,7.008,3289.52070143808,469.39507726
1654041600000,2022-06-01 00:00:00,BAL/USD,7.4752,7.625,6.6067,6.7513,2481.443691662695,367.55050015
1653955200000,2022-05-31 00:00:00,BAL/USD,7.6165,7.9762,7.22,7.4823,6932.332271710042,926.49750367
1653868800000,2022-05-30 00:00:00,BAL/USD,6.9038,7.8755,6.8519,7.6165,3173.1475280500554,416.61491867
1653782400000,2022-05-29 00:00:00,BAL/USD,6.741,6.915,6.5068,6.8783,683.287839965445,99.33963915
1653696000000,2022-05-28 00:00:00,BAL/USD,6.446,6.843,6.3349,6.739,652.7073265691499,96.85521985
1653609600000,2022-05-27 00:00:00,BAL/USD,6.7621,6.93,6.351,6.433,2114.65145278485,328.71933045
1653523200000,2022-05-26 00:00:00,BAL/USD,7.512,7.6362,6.4824,6.7586,2915.244783573266,431.33855881
1653436800000,2022-05-25 00:00:00,BAL/USD,7.585,7.8356,7.3782,7.508,1238.79540799648,164.99672456
1653350400000,2022-05-24 00:00:00,BAL/USD,7.4324,7.7697,7.131,7.5861,1759.611563710245,231.95206545
1653264000000,2022-05-23 00:00:00,BAL/USD,7.9991,8.28,7.4297,7.4309,15847.186300936848,2132.60658883
1653177600000,2022-05-22 00:00:00,BAL/USD,7.639,8.109,7.4763,8.0323,5837.530640264934,726.75704845
1653091200000,2022-05-21 00:00:00,BAL/USD,7.7239,7.8535,7.4839,7.6299,8159.725697568381,1069.44071319
1653004800000,2022-05-20 00:00:00,BAL/USD,8.026,8.1904,7.3993,7.7013,4704.06941525465,610.81498127
