https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BFT
1659571200000,2022-08-04 00:00:00,BFT/USD,0.00537,0.0057762,0.00525,0.0053953,52.381290893957654,9708.68920986
1659484800000,2022-08-03 00:00:00,BFT/USD,0.0054005,0.0058717,0.0053296,0.0054176,1177.285965484099,217307.65753915
1659398400000,2022-08-02 00:00:00,BFT/USD,0.0053711,0.0058717,0.005308,0.0054402,1435.8800304938768,263938.83138375
1659312000000,2022-08-01 00:00:00,BFT/USD,0.0054236,0.0059065,0.005171,0.0053735,1323.5483641309715,246310.29387382
1659225600000,2022-07-31 00:00:00,BFT/USD,0.0057,0.006159,0.0054122,0.0054273,1728.0070308665681,318391.65531048
1659139200000,2022-07-30 00:00:00,BFT/USD,0.0056412,0.006372,0.005517,0.0057,2785.271198845302,488644.06997286
1659052800000,2022-07-29 00:00:00,BFT/USD,0.005207,0.0057333,0.0051919,0.00573,2203.56248455139,384565.87863026
1658966400000,2022-07-28 00:00:00,BFT/USD,0.0050182,0.0055,0.0049304,0.0052337,1809.9341861730893,345823.06707933
1658880000000,2022-07-27 00:00:00,BFT/USD,0.0046662,0.0051493,0.0044826,0.0050153,2113.673296095792,421445.0374047
1658793600000,2022-07-26 00:00:00,BFT/USD,0.004869,0.0052686,0.0045056,0.0046661,1550.7560028010366,332345.21394763
1658707200000,2022-07-25 00:00:00,BFT/USD,0.004891,0.0052305,0.0047391,0.0048897,1271.8770699360857,260113.51819868002
1658620800000,2022-07-24 00:00:00,BFT/USD,0.0047499,0.0052533,0.0046719,0.0052306,1701.6391939777393,325323.90050429
1658534400000,2022-07-23 00:00:00,BFT/USD,0.0051515,0.0051515,0.0046411,0.0047498,873.2725878530706,183854.60184704
1658448000000,2022-07-22 00:00:00,BFT/USD,0.0049655,0.0053589,0.0048703,0.0048767,1385.8119025232115,284170.01302586
1658361600000,2022-07-21 00:00:00,BFT/USD,0.0048377,0.0054294,0.0047891,0.0049655,1389.2345013992233,279777.36409208
1658275200000,2022-07-20 00:00:00,BFT/USD,0.0050757,0.0054469,0.0048129,0.0048377,2749.932840265065,568438.06773158
1658188800000,2022-07-19 00:00:00,BFT/USD,0.0051235,0.0052371,0.0050349,0.005115,3153.0125623333556,616424.74336918
1658102400000,2022-07-18 00:00:00,BFT/USD,0.0047046,0.0051783,0.0046997,0.0051783,4484.654371637496,866047.6163292
1658016000000,2022-07-17 00:00:00,BFT/USD,0.0051546,0.0052294,0.0045678,0.0047022,3396.5409893234028,722330.18359989
1657929600000,2022-07-16 00:00:00,BFT/USD,0.0046965,0.0052478,0.0045127,0.0051549,3522.8633897718914,683400.91752932
1657843200000,2022-07-15 00:00:00,BFT/USD,0.0046486,0.0047987,0.0045249,0.0046949,2954.6248467608784,629326.47058742
1657756800000,2022-07-14 00:00:00,BFT/USD,0.0044948,0.0048997,0.0044199,0.0046571,2339.4569225782284,502341.99879286
1657670400000,2022-07-13 00:00:00,BFT/USD,0.0049856,0.0049882,0.0044948,0.0044948,4269.759592738341,949933.16559988
1657584000000,2022-07-12 00:00:00,BFT/USD,0.0053309,0.0053582,0.0046258,0.0049796,2887.314000925124,579828.50046693
1657497600000,2022-07-11 00:00:00,BFT/USD,0.0057486,0.0057486,0.0052275,0.0053317,1427.8245898826617,267799.12408475
1657411200000,2022-07-10 00:00:00,BFT/USD,0.0053503,0.0057514,0.0052748,0.0052826,3136.0309782904383,593652.9319445799
1657324800000,2022-07-09 00:00:00,BFT/USD,0.0056868,0.0057852,0.0053222,0.0053454,1761.334999797895,329504.80783438
1657238400000,2022-07-08 00:00:00,BFT/USD,0.005443,0.0059137,0.0052519,0.0056978,2881.551423968905,505730.53177874
1657152000000,2022-07-07 00:00:00,BFT/USD,0.0053983,0.0056316,0.0052188,0.00544,1420.6629632682177,261151.28001254
1657065600000,2022-07-06 00:00:00,BFT/USD,0.0051457,0.0054445,0.0050552,0.0053992,2041.3772332310784,378088.83412933
1656979200000,2022-07-05 00:00:00,BFT/USD,0.0052969,0.0053727,0.0049478,0.0051438,1292.1446511208107,251204.29470835
1656892800000,2022-07-04 00:00:00,BFT/USD,0.004549,0.0053118,0.0045468,0.0053074,6225.985257490469,1173076.31938246
1656806400000,2022-07-03 00:00:00,BFT/USD,0.0043842,0.00491,0.0043765,0.0045614,2502.4372236547947,548611.65950252
1656720000000,2022-07-02 00:00:00,BFT/USD,0.0048131,0.0048819,0.0043206,0.0043818,3549.734572153509,810108.76173114
1656633600000,2022-07-01 00:00:00,BFT/USD,0.0047091,0.0049907,0.0046371,0.004812,1392.9646009849332,289477.26537509
1656547200000,2022-06-30 00:00:00,BFT/USD,0.0045237,0.00529,0.0042757,0.0047016,5786.750840746556,1230804.58583175
1656460800000,2022-06-29 00:00:00,BFT/USD,0.0051687,0.005333,0.0043646,0.0045444,3165.727096398636,696621.57741366
1656374400000,2022-06-28 00:00:00,BFT/USD,0.0045064,0.005174,0.0044152,0.005171,2633.2606697719248,509236.25406535
1656288000000,2022-06-27 00:00:00,BFT/USD,0.0047993,0.0051781,0.0042185,0.0045242,2404.3094654066826,531433.0633939
1656201600000,2022-06-26 00:00:00,BFT/USD,0.0048238,0.0051781,0.0045937,0.004813,2385.0631704568546,495546.05660853
1656115200000,2022-06-25 00:00:00,BFT/USD,0.0047558,0.0048939,0.0045267,0.0048216,1697.8504075680476,352134.23087109
1656028800000,2022-06-24 00:00:00,BFT/USD,0.0046896,0.0048461,0.0042876,0.0047776,3736.9450618874607,782180.3964098
1655942400000,2022-06-23 00:00:00,BFT/USD,0.0048886,0.0049,0.0042749,0.0046889,1021.4270438789097,217839.3746676
1655856000000,2022-06-22 00:00:00,BFT/USD,0.0044342,0.0048925,0.0040202,0.0048925,1279.3911509303323,261500.49073691
1655769600000,2022-06-21 00:00:00,BFT/USD,0.0046767,0.0047439,0.0043842,0.0045408,3138.089161269156,691087.28886301
1655683200000,2022-06-20 00:00:00,BFT/USD,0.0046114,0.0048999,0.0043072,0.0046898,3854.56616111741,821904.16672724
1655596800000,2022-06-19 00:00:00,BFT/USD,0.0045022,0.0046813,0.004085,0.0046419,1276.3366125413556,274959.95444567
1655510400000,2022-06-18 00:00:00,BFT/USD,0.004482,0.004794,0.004017,0.0045031,4712.902336624292,1046590.64569392
1655424000000,2022-06-17 00:00:00,BFT/USD,0.0046062,0.0048562,0.0041,0.0045019,2702.550899004661,600313.40078737
1655337600000,2022-06-16 00:00:00,BFT/USD,0.004868,0.0049,0.0043556,0.004609,1240.2261704209,269087.90853133
1655251200000,2022-06-15 00:00:00,BFT/USD,0.0045797,0.0049,0.0042406,0.0048762,2070.087545808638,424528.84332239
1655164800000,2022-06-14 00:00:00,BFT/USD,0.0045906,0.0051304,0.0042978,0.0046156,1699.23423371373,368150.23696025
1655078400000,2022-06-13 00:00:00,BFT/USD,0.0053991,0.005443,0.004553,0.0045879,1819.8671828765537,396666.70652729
1654992000000,2022-06-12 00:00:00,BFT/USD,0.0055883,0.0059025,0.0053335,0.0054024,1438.2878205466934,266231.27138803
1654905600000,2022-06-11 00:00:00,BFT/USD,0.0058322,0.0061809,0.0055555,0.0055896,1803.445194198358,322642.97878173
1654819200000,2022-06-10 00:00:00,BFT/USD,0.0066885,0.0067329,0.005834,0.0058341,885.4142539798403,151765.35437854
1654732800000,2022-06-09 00:00:00,BFT/USD,0.006704,0.0068179,0.0061613,0.0067026,1192.738726095675,177951.64952342
1654646400000,2022-06-08 00:00:00,BFT/USD,0.0066024,0.0067611,0.0061613,0.0066985,1478.9804731416975,220792.78542087
1654560000000,2022-06-07 00:00:00,BFT/USD,0.0066193,0.0066413,0.0061814,0.0066046,1239.2619482256537,187636.18511729
1654473600000,2022-06-06 00:00:00,BFT/USD,0.0065082,0.0066676,0.0065011,0.0066202,1654.4614412026237,249911.09652316
1654387200000,2022-06-05 00:00:00,BFT/USD,0.0064946,0.0065334,0.0063745,0.0064957,2830.11317886702,435690.25337793
1654300800000,2022-06-04 00:00:00,BFT/USD,0.0065617,0.0066092,0.0064532,0.006494,946.8703164190418,145806.94740053
1654214400000,2022-06-03 00:00:00,BFT/USD,0.00655,0.006625,0.00653,0.0065958,417.8099943065166,63344.85495414
1654128000000,2022-06-02 00:00:00,BFT/USD,0.0066731,0.006719,0.0061613,0.00655,1522.6040257800896,232458.62989009
1654041600000,2022-06-01 00:00:00,BFT/USD,0.0071038,0.0076803,0.0066655,0.0066773,1548.7506769184329,231942.65300622
1653955200000,2022-05-31 00:00:00,BFT/USD,0.0071383,0.0077455,0.0070965,0.0071045,2384.9910864658127,335701.46899371
1653868800000,2022-05-30 00:00:00,BFT/USD,0.0065794,0.0072171,0.0065714,0.0071372,1226.0085835872667,171777.24928365
1653782400000,2022-05-29 00:00:00,BFT/USD,0.0065415,0.0070103,0.0061613,0.0065763,2513.8480069782854,382258.71796881
1653696000000,2022-05-28 00:00:00,BFT/USD,0.0066286,0.0070732,0.0065048,0.0065111,1355.7888030064532,208227.3046039
1653609600000,2022-05-27 00:00:00,BFT/USD,0.0067515,0.007007,0.00659,0.0066248,1480.0751642573196,223414.31654651
1653523200000,2022-05-26 00:00:00,BFT/USD,0.0069359,0.00788,0.0067049,0.0067708,4229.519461631661,624670.56501915
1653436800000,2022-05-25 00:00:00,BFT/USD,0.0072388,0.0082,0.0068526,0.0069378,6252.718879129694,901253.83826713
1653350400000,2022-05-24 00:00:00,BFT/USD,0.0084135,0.0084135,0.0070893,0.0072431,3226.1855605109868,445415.02402438
1653264000000,2022-05-23 00:00:00,BFT/USD,0.0075636,0.0084807,0.0075261,0.0084135,4841.675498285471,575465.08567011
1653177600000,2022-05-22 00:00:00,BFT/USD,0.0081026,0.0083855,0.0072629,0.0075652,7880.6705261267825,1041700.2228793399
1653091200000,2022-05-21 00:00:00,BFT/USD,0.007107,0.0086471,0.0068615,0.0081094,7194.283503340473,887153.61226977
1653004800000,2022-05-20 00:00:00,BFT/USD,0.007216,0.0079628,0.0069763,0.0071292,7525.769687796216,1055626.11342033
1652918400000,2022-05-19 00:00:00,BFT/USD,0.0071763,0.00759,0.0065111,0.0074091,4185.616773760927,564929.17814052
