https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BMN
1657843200000,2022-07-15 00:00:00,BMN/USD,144980,144980,144980,144980,1449.8,0.01
1656460800000,2022-06-29 00:00:00,BMN/USD,150010,150010,150000,150000,67500.0,0.45
1656201600000,2022-06-26 00:00:00,BMN/USD,160010,162310,150000,162310,147182.708,0.9068
1651622400000,2022-05-04 00:00:00,BMN/USD,309190,309190,309190,309190,2164330.0,7.0
1649289600000,2022-04-07 00:00:00,BMN/USD,315000,315000,315000,315000,100044.0,0.3176
1648684800000,2022-03-31 00:00:00,BMN/USD,310000,310000,310000,310000,310000.0,1.0
1648425600000,2022-03-28 00:00:00,BMN/USD,314990,314990,314990,314990,9764.69,0.031
1648339200000,2022-03-27 00:00:00,BMN/USD,314910,314990,314910,314990,86370.258,0.2742
1647475200000,2022-03-17 00:00:00,BMN/USD,290000,290000,290000,290000,3190.0,0.011
1646092800000,2022-03-01 00:00:00,BMN/USD,320000,320000,320000,320000,16000.0,0.05
