https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BNT
1659484800000,2022-08-03 00:00:00,BNT/USD,0.54378,0.5582,0.54378,0.54639,355.4206966704771,650.48902189
1659398400000,2022-08-02 00:00:00,BNT/USD,0.53454,0.55202,0.52383,0.5476,117.230959203156,214.08137181
1659312000000,2022-08-01 00:00:00,BNT/USD,0.57281,0.57296,0.54,0.55724,2790.5826517264454,5007.86492665
1659225600000,2022-07-31 00:00:00,BNT/USD,0.58694,0.59411,0.57479,0.57539,2100.2716807750417,3650.17063344
1659139200000,2022-07-30 00:00:00,BNT/USD,0.55892,0.59095,0.55892,0.5659,2039.187268911501,3603.44101239
1659052800000,2022-07-29 00:00:00,BNT/USD,0.54159,0.57284,0.54159,0.55893,2353.309550841766,4210.3833232100005
1658966400000,2022-07-28 00:00:00,BNT/USD,0.51368,0.55643,0.50931,0.54775,1870.5608430994973,3414.99012889
1658880000000,2022-07-27 00:00:00,BNT/USD,0.49336,0.55821,0.48213,0.51347,5212.0495400996015,10150.6408166
1658793600000,2022-07-26 00:00:00,BNT/USD,0.484,0.53043,0.47243,0.53,1532.7969514516,2892.06971972
1658707200000,2022-07-25 00:00:00,BNT/USD,0.52723,0.54013,0.5,0.5,609.11969207,1218.23938414
1658620800000,2022-07-24 00:00:00,BNT/USD,0.51375,0.54656,0.51083,0.52809,552.2531517519938,1045.75574571
1658534400000,2022-07-23 00:00:00,BNT/USD,0.543,0.55,0.50282,0.50926,1364.63661795551,2679.6461885
1658448000000,2022-07-22 00:00:00,BNT/USD,0.51983,0.543,0.50309,0.543,878.77087631907,1618.36257149
1658361600000,2022-07-21 00:00:00,BNT/USD,0.51162,0.52075,0.49444,0.52075,364.156006912925,699.2914198999999
1658275200000,2022-07-20 00:00:00,BNT/USD,0.53753,0.54462,0.49954,0.50611,2562.5773306127467,5063.28136297
1658188800000,2022-07-19 00:00:00,BNT/USD,0.515,0.54479,0.5098,0.53016,1864.6339143594935,3517.11542621
1658102400000,2022-07-18 00:00:00,BNT/USD,0.49325,0.53737,0.49325,0.52921,2311.4166366313907,4367.67377153
1658016000000,2022-07-17 00:00:00,BNT/USD,0.49125,0.51055,0.48723,0.49041,436.2669159756957,889.59628877
1657929600000,2022-07-16 00:00:00,BNT/USD,0.47106,0.51155,0.47106,0.49763,2173.8463974951164,4368.39900628
1657843200000,2022-07-15 00:00:00,BNT/USD,0.46435,0.49217,0.46435,0.47427,382.80366794467085,807.1429100400001
1657756800000,2022-07-14 00:00:00,BNT/USD,0.49217,0.49217,0.42617,0.46008,792.7396439549327,1723.04739166
1657670400000,2022-07-13 00:00:00,BNT/USD,0.505,0.505,0.42064,0.49217,977.8548858155833,1986.82342649
