https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BSV
1659571200000,2022-08-04 00:00:00,BSV/USD,60.238,60.71,60.048,60.623,665.48565672222,10.97744514
1659484800000,2022-08-03 00:00:00,BSV/USD,60.664,62.446,59.304,60.314,21575.05268326706,357.71218429
1659398400000,2022-08-02 00:00:00,BSV/USD,60.53,64.983,58.186,60.765,113605.4557649271,1869.58702814
1659312000000,2022-08-01 00:00:00,BSV/USD,61.131,61.983,58.973,60.53,79518.993879081,1313.7121077
1659225600000,2022-07-31 00:00:00,BSV/USD,62.865,63.716,60.935,61.131,37783.747147420465,618.07834237
1659139200000,2022-07-30 00:00:00,BSV/USD,65.774,66.479,62.176,62.864,121668.09384014287,1935.41762917
1659052800000,2022-07-29 00:00:00,BSV/USD,63.234,67.748,61.758,66.019,218177.59795171124,3304.76980796
1658966400000,2022-07-28 00:00:00,BSV/USD,58.008,64.491,58.008,63.108,404998.4789845293,6417.54577842
1658880000000,2022-07-27 00:00:00,BSV/USD,54.488,58.056,53.402,57.979,83126.54872932108,1433.73546852
1658793600000,2022-07-26 00:00:00,BSV/USD,53.612,54.544,52.265,54.471,87624.40298133773,1608.64318594
1658707200000,2022-07-25 00:00:00,BSV/USD,57.964,58.995,53.89,53.93,41116.6510668401,762.40777057
1658620800000,2022-07-24 00:00:00,BSV/USD,57.145,59.048,57.098,58.13,15760.8301103542,271.13074334
1658534400000,2022-07-23 00:00:00,BSV/USD,57.927,58.979,56.11,57.173,17504.031022040268,306.15904399
1658448000000,2022-07-22 00:00:00,BSV/USD,56.756,60.341,56.673,57.927,62454.419850123995,1078.15733337
1658361600000,2022-07-21 00:00:00,BSV/USD,55.691,57.184,54.802,56.724,94458.03562684848,1665.22169852
1658275200000,2022-07-20 00:00:00,BSV/USD,57.944,59.024,55.408,55.707,91835.97529158498,1648.55359814
1658188800000,2022-07-19 00:00:00,BSV/USD,57.432,60.256,55.395,57.944,381384.86555692507,6581.95612241
1658102400000,2022-07-18 00:00:00,BSV/USD,53.691,57.655,53.475,57.537,128409.49046141063,2231.77243272
1658016000000,2022-07-17 00:00:00,BSV/USD,54.205,56.113,53.231,53.558,128258.79888947764,2394.76453358
1657929600000,2022-07-16 00:00:00,BSV/USD,52.389,54.711,51.803,54.205,117604.46025966715,2169.62384023
1657843200000,2022-07-15 00:00:00,BSV/USD,52.083,53.504,51.904,52.389,98612.7469884495,1882.3177954999999
1657756800000,2022-07-14 00:00:00,BSV/USD,51.795,52.9,50.283,52.181,67506.72428513572,1293.70315412
1657670400000,2022-07-13 00:00:00,BSV/USD,49.485,51.945,48.9,51.939,105771.53686954104,2036.45693736
1657584000000,2022-07-12 00:00:00,BSV/USD,50.02,51.497,48.375,49.485,101321.26811385974,2047.51476435
1657497600000,2022-07-11 00:00:00,BSV/USD,54.229,54.229,49.631,50.02,172378.59278406663,3446.19337833
1657411200000,2022-07-10 00:00:00,BSV/USD,56.977,56.977,54.072,54.359,35018.5238937536,644.2083904
1657324800000,2022-07-09 00:00:00,BSV/USD,56.668,57.785,55.995,56.977,45122.53598281248,791.94299424
1657238400000,2022-07-08 00:00:00,BSV/USD,55.792,58.599,55.402,56.494,93607.90143913763,1656.95297623
1657152000000,2022-07-07 00:00:00,BSV/USD,54.463,56.32,54.0,55.658,46503.63298674592,835.5246862399999
1657065600000,2022-07-06 00:00:00,BSV/USD,54.069,54.844,52.731,54.462,61176.350473703766,1123.28505148
1656979200000,2022-07-05 00:00:00,BSV/USD,55.801,56.983,52.281,54.069,104804.17238606753,1938.3412377900002
1656892800000,2022-07-04 00:00:00,BSV/USD,53.059,55.923,51.977,55.923,142385.5848620917,2546.10061803
1656806400000,2022-07-03 00:00:00,BSV/USD,53.786,53.786,51.701,52.961,46760.74661815897,882.92793977
1656720000000,2022-07-02 00:00:00,BSV/USD,51.934,56.0,51.124,53.786,68580.77197774658,1275.06734053
1656633600000,2022-07-01 00:00:00,BSV/USD,55.51,56.62,51.113,51.934,74182.98182772583,1428.40878476
1656547200000,2022-06-30 00:00:00,BSV/USD,57.174,57.174,52.108,55.558,122119.02880974447,2198.04580456
1656460800000,2022-06-29 00:00:00,BSV/USD,57.05,58.114,55.898,57.173,221196.32795075487,3868.89489708
1656374400000,2022-06-28 00:00:00,BSV/USD,59.869,60.424,57.05,57.05,133560.0904420195,2341.10587979
1656288000000,2022-06-27 00:00:00,BSV/USD,61.067,62.164,59.273,59.869,268071.5008330158,4477.63451591
1656201600000,2022-06-26 00:00:00,BSV/USD,63.758,64.5,60.961,60.961,76044.70661434521,1247.4320732
1656115200000,2022-06-25 00:00:00,BSV/USD,64.284,64.5,62.167,63.953,50864.595229744285,795.3433807600001
1656028800000,2022-06-24 00:00:00,BSV/USD,64.028,65.365,62.938,64.284,60939.45743889432,947.97239498
1655942400000,2022-06-23 00:00:00,BSV/USD,61.795,65.087,61.668,64.217,36553.55790276581,569.21933293
1655856000000,2022-06-22 00:00:00,BSV/USD,63.594,64.677,61.669,61.869,43233.57244834203,698.79216487
1655769600000,2022-06-21 00:00:00,BSV/USD,63.556,67.282,62.088,63.637,110025.31592815687,1728.95196078
1655683200000,2022-06-20 00:00:00,BSV/USD,60.215,65.316,59.852,64.117,117538.92188504669,1833.19434604
1655596800000,2022-06-19 00:00:00,BSV/USD,55.346,61.4,54.322,60.234,221888.1773985277,3683.76958858
1655510400000,2022-06-18 00:00:00,BSV/USD,54.106,56.542,50.375,55.58,311267.19542782917,5600.34536574
