https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTG
1659484800000,2022-08-03 00:00:00,BTG/USD,29.762,31.084,28.928,29.952,2306.1949684300803,76.99635979
1659398400000,2022-08-02 00:00:00,BTG/USD,29.203,30.428,25.89,30.038,9744.79043942764,324.41542178
1659312000000,2022-08-01 00:00:00,BTG/USD,30.384,30.384,28.745,28.811,2107.88405915792,73.16247472
1659225600000,2022-07-31 00:00:00,BTG/USD,34.328,34.539,30.868,30.868,2741.29976739256,88.80717142
1659139200000,2022-07-30 00:00:00,BTG/USD,35.97,36.454,32.737,33.42,11982.378052116,358.5391398
1659052800000,2022-07-29 00:00:00,BTG/USD,28.381,35.556,28.381,35.329,29712.790013446822,841.03116458
1658966400000,2022-07-28 00:00:00,BTG/USD,25.0,28.669,25.0,28.094,14431.40746873474,513.68290271
1658880000000,2022-07-27 00:00:00,BTG/USD,20.536,24.97,20.152,24.269,12086.506013904,498.022416
1658793600000,2022-07-26 00:00:00,BTG/USD,21.167,21.167,19.982,20.292,1926.4049095724401,94.93420607
1658707200000,2022-07-25 00:00:00,BTG/USD,22.436,22.451,20.0,20.0,6511.7582988,325.58791494
1658620800000,2022-07-24 00:00:00,BTG/USD,23.035,23.109,22.03,22.19,803.2311231812,36.19788748
1658534400000,2022-07-23 00:00:00,BTG/USD,22.93,24.793,22.135,22.894,7244.418469687559,316.43305974
1658448000000,2022-07-22 00:00:00,BTG/USD,19.169,24.5,19.169,23.054,25103.57295866764,1088.90313866
1658361600000,2022-07-21 00:00:00,BTG/USD,18.237,18.791,17.668,18.784,1728.8337843808,92.0375737
1658275200000,2022-07-20 00:00:00,BTG/USD,19.962,20.742,18.861,18.861,2282.6127782716503,121.02289265
1658188800000,2022-07-19 00:00:00,BTG/USD,19.688,20.405,18.802,20.065,5443.287701355601,271.28271624
1658102400000,2022-07-18 00:00:00,BTG/USD,17.702,19.768,17.7,19.768,6845.161448689761,346.27486082
1658016000000,2022-07-17 00:00:00,BTG/USD,17.217,18.481,17.0,17.818,6688.313374869741,375.36835643
1657929600000,2022-07-16 00:00:00,BTG/USD,15.693,26.629,15.498,17.478,22528.47572675496,1288.96187932
1657843200000,2022-07-15 00:00:00,BTG/USD,15.595,16.023,15.453,15.78,802.6466091714,50.86480413
1657756800000,2022-07-14 00:00:00,BTG/USD,15.41,15.499,15.0,15.43,222.101476819,14.3941333
1657670400000,2022-07-13 00:00:00,BTG/USD,14.987,15.635,14.268,15.282,983.4417612693001,64.35294865
1657584000000,2022-07-12 00:00:00,BTG/USD,15.017,15.771,14.76,15.076,1565.99755718352,103.87354452
1657497600000,2022-07-11 00:00:00,BTG/USD,15.772,15.772,15.01,15.026,718.5022885018,47.8172693
1657411200000,2022-07-10 00:00:00,BTG/USD,16.366,16.523,15.922,16.336,566.05356108192,34.65068322
1657324800000,2022-07-09 00:00:00,BTG/USD,16.576,16.785,16.471,16.785,195.2115897132,11.63012152
1657238400000,2022-07-08 00:00:00,BTG/USD,16.992,17.0,15.972,16.437,1774.4298106131002,107.9533863
1657152000000,2022-07-07 00:00:00,BTG/USD,15.98,16.5,15.514,16.5,434.522407275,26.33469135
1657065600000,2022-07-06 00:00:00,BTG/USD,15.589,15.883,15.516,15.516,426.929547645,27.51543875
1656979200000,2022-07-05 00:00:00,BTG/USD,15.982,15.982,15.616,15.65,113.41684441150001,7.24708271
1656892800000,2022-07-04 00:00:00,BTG/USD,15.327,15.82,15.109,15.82,430.63754888000005,27.221084
1656806400000,2022-07-03 00:00:00,BTG/USD,15.307,15.414,15.0,15.306,131.81950104779997,8.6122763
