https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTT
1659571200000,2022-08-04 00:00:00,BTT/USD,9.6e-07,9.7e-07,9.6e-07,9.7e-07,31.808649545737,32792422.2121
1659484800000,2022-08-03 00:00:00,BTT/USD,9.8e-07,1e-06,9.6e-07,9.6e-07,4000.180453108435,4166854638.65462
1659398400000,2022-08-02 00:00:00,BTT/USD,9.7e-07,1.03e-06,9.5e-07,9.8e-07,1952.1323554521464,1991971791.2777004
1659312000000,2022-08-01 00:00:00,BTT/USD,9.9e-07,1.3e-06,9.2e-07,9.7e-07,26005.230316655317,26809515790.366306
1659225600000,2022-07-31 00:00:00,BTT/USD,9.5e-07,1.01e-06,9.4e-07,9.8e-07,5066.062928952132,5169451968.318502
1659139200000,2022-07-30 00:00:00,BTT/USD,9.5e-07,9.7e-07,9.4e-07,9.5e-07,1249.720140480083,1315494884.7158768
1659052800000,2022-07-29 00:00:00,BTT/USD,9.5e-07,9.7e-07,9.4e-07,9.5e-07,2769.4574617135595,2915218380.7511153
1658966400000,2022-07-28 00:00:00,BTT/USD,9.3e-07,9.8e-07,9.2e-07,9.5e-07,3577.838657100188,3766145954.842303
1658880000000,2022-07-27 00:00:00,BTT/USD,8.7e-07,9.3e-07,8.5e-07,9.2e-07,1792.7470077947996,1948638051.9508693
1658793600000,2022-07-26 00:00:00,BTT/USD,8.7e-07,8.8e-07,8.3e-07,8.7e-07,2317.3873741657226,2663663648.4663477
1658707200000,2022-07-25 00:00:00,BTT/USD,9.3e-07,9.4e-07,8.8e-07,8.8e-07,1801.9212849435146,2047637823.7994483
1658620800000,2022-07-24 00:00:00,BTT/USD,9.1e-07,9.5e-07,9.1e-07,9.4e-07,2949.9393183836532,3138233317.4294186
1658534400000,2022-07-23 00:00:00,BTT/USD,9.2e-07,9.5e-07,9e-07,9.1e-07,1798.2364497027788,1976084010.6623943
1658448000000,2022-07-22 00:00:00,BTT/USD,9.2e-07,9.6e-07,9.1e-07,9.2e-07,4956.486520595047,5387485348.4728775
1658361600000,2022-07-21 00:00:00,BTT/USD,9.3e-07,9.4e-07,8.8e-07,9.4e-07,1294.4740127817956,1377100013.5976548
1658275200000,2022-07-20 00:00:00,BTT/USD,9.2e-07,9.6e-07,9.1e-07,9.3e-07,5047.765781436321,5427705141.329377
1658188800000,2022-07-19 00:00:00,BTT/USD,9.3e-07,9.5e-07,9e-07,9.2e-07,2463.581691539553,2677806186.456036
1658102400000,2022-07-18 00:00:00,BTT/USD,9e-07,9.4e-07,8.9e-07,9.3e-07,1340.1410591489,1441011891.557957
1658016000000,2022-07-17 00:00:00,BTT/USD,9e-07,9.2e-07,8.8e-07,9e-07,1272.1406096066767,1413489566.2296407
1657929600000,2022-07-16 00:00:00,BTT/USD,8.7e-07,9.2e-07,8.5e-07,9.1e-07,2400.7332796064848,2638168439.1280055
1657843200000,2022-07-15 00:00:00,BTT/USD,8.4e-07,8.8e-07,8.4e-07,8.6e-07,718.3488429593875,835289352.2783575
1657756800000,2022-07-14 00:00:00,BTT/USD,8.3e-07,8.6e-07,7.5e-07,8.5e-07,2863.396593896889,3368701875.1728106
1657670400000,2022-07-13 00:00:00,BTT/USD,8.2e-07,8.4e-07,8e-07,8.3e-07,2674.9831368255122,3222871249.187364
1657584000000,2022-07-12 00:00:00,BTT/USD,8.6e-07,8.7e-07,8.1e-07,8.2e-07,3675.7230570879797,4482589094.009731
1657497600000,2022-07-11 00:00:00,BTT/USD,9e-07,9.1e-07,8.6e-07,8.6e-07,1183.0547088703265,1375645010.3143332
1657411200000,2022-07-10 00:00:00,BTT/USD,9.3e-07,9.3e-07,8.9e-07,9e-07,1700.642924400671,1889603249.334079
1657324800000,2022-07-09 00:00:00,BTT/USD,9.1e-07,9.4e-07,9e-07,9.3e-07,1938.4647728998468,2084370723.5482223
1657238400000,2022-07-08 00:00:00,BTT/USD,9.3e-07,9.9e-07,8.9e-07,9.1e-07,3632.3237687256574,3991564581.017206
1657152000000,2022-07-07 00:00:00,BTT/USD,8.8e-07,9.3e-07,8.2e-07,9.3e-07,1835.5076346088572,1973664123.2353303
1657065600000,2022-07-06 00:00:00,BTT/USD,8.9e-07,9.2e-07,7.7e-07,8.7e-07,1975.2101983287166,2270356549.8031225
1656979200000,2022-07-05 00:00:00,BTT/USD,8.7e-07,9.4e-07,7.7e-07,8.7e-07,1234.6860240558483,1419179337.9952278
1656892800000,2022-07-04 00:00:00,BTT/USD,8.1e-07,9.5e-07,8.1e-07,8.8e-07,1174.1948682226425,1334312350.253003
1656806400000,2022-07-03 00:00:00,BTT/USD,8.1e-07,8.6e-07,8e-07,8e-07,288.0436461763272,360054557.720409
1656720000000,2022-07-02 00:00:00,BTT/USD,8e-07,8e-07,7.9e-07,8e-07,146.6089431551569,183261178.94394615
1656633600000,2022-07-01 00:00:00,BTT/USD,8e-07,8.2e-07,8e-07,8.2e-07,551.3140708029674,672334232.6865456
1656547200000,2022-06-30 00:00:00,BTT/USD,8.6e-07,8.6e-07,8e-07,8e-07,131.1216824300404,163902103.0375505
1656460800000,2022-06-29 00:00:00,BTT/USD,9.2e-07,9.6e-07,8e-07,8.6e-07,2138.775850460917,2486948663.3266473
1656374400000,2022-06-28 00:00:00,BTT/USD,8.3e-07,1.02e-06,8.2e-07,9.2e-07,1615.0237497928858,1755460597.6009629
1656288000000,2022-06-27 00:00:00,BTT/USD,8.7e-07,9e-07,8e-07,8.3e-07,784.5771769064057,945273707.1161515
1656201600000,2022-06-26 00:00:00,BTT/USD,8.9e-07,9e-07,8.7e-07,8.7e-07,1457.8460182122858,1675685078.404926
1656115200000,2022-06-25 00:00:00,BTT/USD,8.9e-07,9.2e-07,8.6e-07,8.9e-07,1460.072070600678,1640530416.4052563
1656028800000,2022-06-24 00:00:00,BTT/USD,8.1e-07,9.7e-07,8.1e-07,9e-07,1564.3291596699244,1738143510.7443604
1655942400000,2022-06-23 00:00:00,BTT/USD,7.8e-07,8.1e-07,7.7e-07,8.1e-07,713.2523387971844,880558442.959487
1655856000000,2022-06-22 00:00:00,BTT/USD,8.2e-07,8.3e-07,7.8e-07,7.8e-07,1065.3068202122527,1365777974.631093
1655769600000,2022-06-21 00:00:00,BTT/USD,8.1e-07,8.4e-07,7.9e-07,8.2e-07,1423.8428039940086,1736393663.4073277
1655683200000,2022-06-20 00:00:00,BTT/USD,8e-07,8.5e-07,6e-07,8e-07,5125.6891455519335,6407111431.939918
1655596800000,2022-06-19 00:00:00,BTT/USD,7.5e-07,8e-07,6.4e-07,8e-07,5916.844678382289,7396055847.977861
1655510400000,2022-06-18 00:00:00,BTT/USD,8e-07,8.4e-07,6e-07,7.5e-07,6738.902205725839,8985202940.967785
1655424000000,2022-06-17 00:00:00,BTT/USD,7.8e-07,8.6e-07,7.5e-07,8.2e-07,1912.9470267885642,2332862227.790932
1655337600000,2022-06-16 00:00:00,BTT/USD,8.2e-07,8.6e-07,7.1e-07,7.8e-07,1456.0164426660406,1866687747.0077443
1655251200000,2022-06-15 00:00:00,BTT/USD,8.6e-07,8.6e-07,6.5e-07,8.2e-07,1854.3022098211661,2261344158.3184953
1655164800000,2022-06-14 00:00:00,BTT/USD,8.4e-07,8.8e-07,6.6e-07,8.6e-07,1840.5511033170153,2140175701.531413
1655078400000,2022-06-13 00:00:00,BTT/USD,9.7e-07,9.8e-07,7.9e-07,8.4e-07,2025.2458234245084,2411006932.6482244
1654992000000,2022-06-12 00:00:00,BTT/USD,9.7e-07,1.02e-06,9e-07,9.7e-07,1791.4170517468826,1846821702.8318377
1654905600000,2022-06-11 00:00:00,BTT/USD,1.02e-06,1.04e-06,9.3e-07,9.7e-07,2698.5447907299454,2782004938.8968506
1654819200000,2022-06-10 00:00:00,BTT/USD,1.07e-06,1.09e-06,9.6e-07,1.02e-06,1816.2507793382988,1780638018.9591165
1654732800000,2022-06-09 00:00:00,BTT/USD,1.06e-06,1.09e-06,9.8e-07,1.06e-06,1766.3774473182064,1666393818.2247229
1654646400000,2022-06-08 00:00:00,BTT/USD,1.14e-06,1.14e-06,1.05e-06,1.06e-06,2629.4937444533075,2480654475.899347
1654560000000,2022-06-07 00:00:00,BTT/USD,1.19e-06,1.19e-06,1.06e-06,1.14e-06,1060.2593467809847,930052058.5798111
1654473600000,2022-06-06 00:00:00,BTT/USD,1.11e-06,1.22e-06,1.09e-06,1.19e-06,1551.475054475308,1303760549.9792504
1654387200000,2022-06-05 00:00:00,BTT/USD,1.09e-06,1.11e-06,8.7e-07,1.11e-06,3335.0065080167183,3004510367.582629
1654300800000,2022-06-04 00:00:00,BTT/USD,1.08e-06,1.09e-06,1.02e-06,1.09e-06,695.9610237335327,638496352.0491126
1654214400000,2022-06-03 00:00:00,BTT/USD,1.08e-06,1.09e-06,9.8e-07,1.08e-06,327.21431101037507,302976213.89849544
1654128000000,2022-06-02 00:00:00,BTT/USD,1.09e-06,1.09e-06,9.8e-07,1.08e-06,27.798421179293204,25739278.86971593
1654041600000,2022-06-01 00:00:00,BTT/USD,1.15e-06,1.15e-06,9.8e-07,1.09e-06,511.4495245840651,469219747.3248304
1653955200000,2022-05-31 00:00:00,BTT/USD,1.16e-06,1.2e-06,8.5e-07,1.15e-06,2164.9204825762804,1882539550.0663307
1653868800000,2022-05-30 00:00:00,BTT/USD,1.03e-06,1.42e-06,9e-07,1.16e-06,3392.47381344307,2924546390.8991985
1653782400000,2022-05-29 00:00:00,BTT/USD,1.07e-06,1.1e-06,8.9e-07,1.03e-06,1919.5145105429588,1863606320.9154937
1653696000000,2022-05-28 00:00:00,BTT/USD,9.9e-07,1.14e-06,9.3e-07,1.07e-06,713.3809789732572,666711195.3021096
