https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CEL
1659571200000,2022-08-04 00:00:00,CEL/USD,1.1733,1.1843,1.1617,1.1732,174.29331216978798,148.56231859
1659484800000,2022-08-03 00:00:00,CEL/USD,1.1956,1.219,1.15,1.1701,6353.185929664098,5429.60937498
1659398400000,2022-08-02 00:00:00,CEL/USD,1.3068,1.3466,1.1504,1.1934,11518.128358578271,9651.52367905
1659312000000,2022-08-01 00:00:00,CEL/USD,1.0954,1.3241,1.0615,1.3085,9203.50320448427,7033.62873862
1659225600000,2022-07-31 00:00:00,CEL/USD,1.075,1.1101,1.0521,1.0982,3169.05221128464,2885.6785752
1659139200000,2022-07-30 00:00:00,CEL/USD,1.1677,1.2069,1.0591,1.0716,6302.236034986308,5881.14598263
1659052800000,2022-07-29 00:00:00,CEL/USD,1.1381,1.3595,1.1308,1.1647,6978.839223860533,5991.96292939
1658966400000,2022-07-28 00:00:00,CEL/USD,1.1252,1.5439,1.0623,1.1458,23980.240471707762,20928.81870458
1658880000000,2022-07-27 00:00:00,CEL/USD,0.91709,1.1842,0.89701,1.1242,14414.423024819818,12821.93828929
1658793600000,2022-07-26 00:00:00,CEL/USD,0.90066,0.94165,0.86454,0.91541,13040.243189791683,14245.24878447
1658707200000,2022-07-25 00:00:00,CEL/USD,0.90434,0.93947,0.87173,0.90479,4626.435959498493,5113.27043789
1658620800000,2022-07-24 00:00:00,CEL/USD,0.90018,0.91963,0.88342,0.90557,3013.247673755336,3327.45969252
1658534400000,2022-07-23 00:00:00,CEL/USD,0.88293,0.92262,0.84591,0.90258,6268.837468101135,6945.46463261
1658448000000,2022-07-22 00:00:00,CEL/USD,0.89246,0.98308,0.80006,0.88811,17121.781908017478,19278.8977807
1658361600000,2022-07-21 00:00:00,CEL/USD,0.80193,0.96182,0.77204,0.87923,10104.5853454092,11492.53931896
1658275200000,2022-07-20 00:00:00,CEL/USD,0.77595,0.84073,0.7678,0.80231,5446.952650316707,6789.08732325
1658188800000,2022-07-19 00:00:00,CEL/USD,0.82749,0.82749,0.75897,0.77936,2949.62263783152,3784.672857
1658102400000,2022-07-18 00:00:00,CEL/USD,0.79577,0.82573,0.77618,0.82393,8667.93729017298,10520.23508086
1658016000000,2022-07-17 00:00:00,CEL/USD,0.81789,0.83762,0.77271,0.79898,5994.593688636935,7502.80819124
1657929600000,2022-07-16 00:00:00,CEL/USD,0.77628,0.85192,0.70228,0.81789,3570.826669843521,4365.9008789
1657843200000,2022-07-15 00:00:00,CEL/USD,0.75747,0.81205,0.71199,0.77304,10839.174842481112,14021.49286257
1657756800000,2022-07-14 00:00:00,CEL/USD,0.76861,0.85391,0.39146,0.75453,63418.920995531575,84050.89392805
1657670400000,2022-07-13 00:00:00,CEL/USD,0.70891,0.97818,0.69563,0.76985,6912.295392299703,8978.75611132
1657584000000,2022-07-12 00:00:00,CEL/USD,0.70862,0.7892,0.7,0.71097,3638.9373920327844,5118.27136452
1657497600000,2022-07-11 00:00:00,CEL/USD,0.79809,0.82216,0.7,0.71049,3950.0766963721067,5559.65136226
1657411200000,2022-07-10 00:00:00,CEL/USD,0.97515,1.0064,0.78028,0.79423,4542.008252776942,5718.75684975
1657324800000,2022-07-09 00:00:00,CEL/USD,0.7884,1.0005,0.73958,0.97515,11457.454826098463,11749.42811475
1657238400000,2022-07-08 00:00:00,CEL/USD,0.71402,0.80338,0.69217,0.79305,6426.578535569776,8103.62339773
1657152000000,2022-07-07 00:00:00,CEL/USD,0.82703,0.92905,0.65369,0.72105,8934.073113075116,12390.36559611
1657065600000,2022-07-06 00:00:00,CEL/USD,0.9014,0.93326,0.7912,0.82865,7572.983099991041,9138.94056597
1656979200000,2022-07-05 00:00:00,CEL/USD,1.0641,1.0679,0.87068,0.90305,6431.115602454667,7121.54986153
1656892800000,2022-07-04 00:00:00,CEL/USD,0.89887,1.1236,0.84102,1.0668,17614.614206760565,16511.63686423
1656806400000,2022-07-03 00:00:00,CEL/USD,0.71351,0.95516,0.69726,0.90525,9241.57859243712,10208.86892288
1656720000000,2022-07-02 00:00:00,CEL/USD,0.62544,0.76851,0.56439,0.72373,9161.955523051884,12659.3557308
1656633600000,2022-07-01 00:00:00,CEL/USD,0.62971,0.67626,0.56834,0.61806,2614.774566234047,4230.61606678
1656547200000,2022-06-30 00:00:00,CEL/USD,0.77167,0.77198,0.54514,0.63127,5973.133897988639,9462.09054444
1656460800000,2022-06-29 00:00:00,CEL/USD,0.703,0.78187,0.663,0.77277,10039.771094965688,12991.92656931
1656374400000,2022-06-28 00:00:00,CEL/USD,0.75154,0.77876,0.68569,0.70005,2872.714216026915,4103.5843383
1656288000000,2022-06-27 00:00:00,CEL/USD,0.79365,0.8505,0.68887,0.76345,18369.550264760102,24061.23552919
1656201600000,2022-06-26 00:00:00,CEL/USD,0.99708,1.0621,0.79016,0.80349,3170.616672917139,3946.0561711
1656115200000,2022-06-25 00:00:00,CEL/USD,1.0524,1.1248,0.90323,1.0036,4342.834708194164,4327.25658449
1656028800000,2022-06-24 00:00:00,CEL/USD,1.0414,1.2208,0.99372,1.0392,11938.383801014015,11488.05215648
1655942400000,2022-06-23 00:00:00,CEL/USD,0.93598,1.0861,0.89112,1.0537,5132.536370152068,4870.96552164
1655856000000,2022-06-22 00:00:00,CEL/USD,0.98533,1.1353,0.90657,0.96254,3097.592450649565,3218.14412975
1655769600000,2022-06-21 00:00:00,CEL/USD,1.1882,1.5729,0.91582,1.1916,30113.72579393784,25271.6732074
1655683200000,2022-06-20 00:00:00,CEL/USD,0.66962,1.2368,0.60177,1.172,11555.000834387998,9859.215729
1655596800000,2022-06-19 00:00:00,CEL/USD,0.57029,0.694,0.51327,0.6801,6186.388877692434,9096.29301234
1655510400000,2022-06-18 00:00:00,CEL/USD,0.60332,0.61487,0.45211,0.57,3907.5647402553,6855.37673729
1655424000000,2022-06-17 00:00:00,CEL/USD,0.58481,0.71288,0.53334,0.59416,4186.09944872275,7045.40771631
1655337600000,2022-06-16 00:00:00,CEL/USD,0.61652,0.61666,0.48057,0.59034,6659.811637624533,11281.31523804
1655251200000,2022-06-15 00:00:00,CEL/USD,0.70412,0.71037,0.45129,0.61484,35811.833192770086,58245.77645041
