https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CRV
1659571200000,2022-08-04 00:00:00,CRV/USD,1.336,1.364,1.3356,1.364,86.50934584512001,63.42327408
1659484800000,2022-08-03 00:00:00,CRV/USD,1.3335,1.5519,1.2836,1.3321,60615.65189375227,45503.82996303
1659398400000,2022-08-02 00:00:00,CRV/USD,1.3032,1.3855,1.2206,1.3394,58175.63040485302,43434.09765929
1659312000000,2022-08-01 00:00:00,CRV/USD,1.3113,1.361,1.2745,1.3088,37103.32774588211,28349.11961024
1659225600000,2022-07-31 00:00:00,CRV/USD,1.3569,1.4272,1.3065,1.3204,24198.525424352967,18326.66269642
1659139200000,2022-07-30 00:00:00,CRV/USD,1.4257,1.475,1.3406,1.3564,33282.846615707,24537.63389539
1659052800000,2022-07-29 00:00:00,CRV/USD,1.5435,1.579,1.4032,1.4305,46334.538229732294,32390.44965378
1658966400000,2022-07-28 00:00:00,CRV/USD,1.3255,1.5827,1.2477,1.54,138783.8640772738,90119.39225797
1658880000000,2022-07-27 00:00:00,CRV/USD,1.1681,1.333,1.1239,1.3259,73865.00104836319,55709.33030271
1658793600000,2022-07-26 00:00:00,CRV/USD,1.1741,1.1938,1.0944,1.168,27459.423806079518,23509.78065589
1658707200000,2022-07-25 00:00:00,CRV/USD,1.3708,1.3885,1.1735,1.1764,48566.48690884151,41283.99091197
1658620800000,2022-07-24 00:00:00,CRV/USD,1.4005,1.4393,1.3587,1.374,17443.45366958346,12695.38112779
1658534400000,2022-07-23 00:00:00,CRV/USD,1.4174,1.499,1.349,1.3967,36642.63158282889,26235.14826579
1658448000000,2022-07-22 00:00:00,CRV/USD,1.4047,1.5504,1.3813,1.4334,95996.02913222363,66970.85888951
1658361600000,2022-07-21 00:00:00,CRV/USD,1.1576,1.4297,1.1055,1.4,67789.49055809,48421.06468435
1658275200000,2022-07-20 00:00:00,CRV/USD,1.2517,1.2799,1.1341,1.1559,35869.672121643984,31031.81254576
1658188800000,2022-07-19 00:00:00,CRV/USD,1.3433,1.3818,1.2379,1.2485,39819.18365325142,31893.61926572
1658102400000,2022-07-18 00:00:00,CRV/USD,1.0763,1.3918,1.0759,1.3431,77027.49532385988,57350.52886893
1658016000000,2022-07-17 00:00:00,CRV/USD,1.177,1.1845,1.0787,1.0787,13182.880346359807,12221.08125184
1657929600000,2022-07-16 00:00:00,CRV/USD,1.1116,1.1986,1.0869,1.1732,27513.31171067836,23451.5101523
1657843200000,2022-07-15 00:00:00,CRV/USD,1.1691,1.183,1.1,1.1056,21714.287767889728,19640.27475388
1657756800000,2022-07-14 00:00:00,CRV/USD,1.0496,1.1847,1.0102,1.1678,60335.39483386847,51665.86301924
1657670400000,2022-07-13 00:00:00,CRV/USD,0.87323,1.0562,0.86883,1.0503,42575.63917694362,40536.64588874
1657584000000,2022-07-12 00:00:00,CRV/USD,0.88539,0.9214,0.87195,0.87195,6345.778535653888,7277.68626143
1657497600000,2022-07-11 00:00:00,CRV/USD,0.95424,0.95424,0.8778,0.88909,25860.496864722714,29086.47815713
