https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOG
1650672000000,2022-04-23 00:00:00,DOG/USD,137460,138460,134800,134920,123.9199724,0.00091847
1650585600000,2022-04-22 00:00:00,DOG/USD,138940,140420,132760,138490,2621.7237222000003,0.01893078
1650499200000,2022-04-21 00:00:00,DOG/USD,141810,144480,132770,133310,2601.67796,0.019516
1650412800000,2022-04-20 00:00:00,DOG/USD,143630,149050,132900,136240,3990.9409904,0.02929346
1650326400000,2022-04-19 00:00:00,DOG/USD,141420,146630,133830,135430,2501.8308932,0.01847324
1650240000000,2022-04-18 00:00:00,DOG/USD,140410,142950,132690,141400,3031.4364219999998,0.02143873
1650153600000,2022-04-17 00:00:00,DOG/USD,144730,146440,137230,140300,2857.572877,0.02036759
1650067200000,2022-04-16 00:00:00,DOG/USD,146960,149920,136380,146220,3144.2739384,0.02150372
1649980800000,2022-04-15 00:00:00,DOG/USD,144600,150680,140080,145050,2975.0639804999996,0.02051061
1649894400000,2022-04-14 00:00:00,DOG/USD,142890,148870,134280,146080,3118.3361616,0.02134677
1649808000000,2022-04-13 00:00:00,DOG/USD,141000,145050,131460,141160,2862.8123192,0.02028062
1649721600000,2022-04-12 00:00:00,DOG/USD,134670,146030,130440,139140,4451.4030564,0.03199226
1649635200000,2022-04-11 00:00:00,DOG/USD,147540,151000,130390,132210,4099.4672003999995,0.03100724
1649548800000,2022-04-10 00:00:00,DOG/USD,145120,159500,142790,147540,3434.9554608,0.02328152
1649462400000,2022-04-09 00:00:00,DOG/USD,143330,146990,139580,142780,2777.8791348,0.01945566
1649376000000,2022-04-08 00:00:00,DOG/USD,146430,154650,140860,141300,3270.3814350000002,0.02314495
1649289600000,2022-04-07 00:00:00,DOG/USD,144840,150100,135400,148590,3112.5682224,0.02094736
1649203200000,2022-04-06 00:00:00,DOG/USD,173010,175600,140840,143260,4194.1069794000005,0.02927619
1649116800000,2022-04-05 00:00:00,DOG/USD,149450,178800,145320,174090,8983.5070794,0.05160266
1649030400000,2022-04-04 00:00:00,DOG/USD,148370,158360,134790,151240,5447.4197912,0.03601838
1648944000000,2022-04-03 00:00:00,DOG/USD,139720,151520,128570,147520,5405.355555200001,0.03664151
1648857600000,2022-04-02 00:00:00,DOG/USD,142110,146520,137030,138300,3026.5184759999997,0.02188372
1648771200000,2022-04-01 00:00:00,DOG/USD,137180,144690,129800,142170,2916.6090197999997,0.02051494
1648684800000,2022-03-31 00:00:00,DOG/USD,143730,149710,136540,139130,4263.3898073,0.03064321
1648598400000,2022-03-30 00:00:00,DOG/USD,144820,146410,131640,142020,3816.0731394,0.02686997
1648512000000,2022-03-29 00:00:00,DOG/USD,143170,151160,139640,141490,3921.7717134000004,0.02771766
1648425600000,2022-03-28 00:00:00,DOG/USD,145270,154780,137860,140010,91074.3194439,0.65048439
1648339200000,2022-03-27 00:00:00,DOG/USD,136800,146490,133630,145560,12457.978218,0.08558655
1648252800000,2022-03-26 00:00:00,DOG/USD,132880,138740,127940,134610,2821.7405874,0.02096234
1648166400000,2022-03-25 00:00:00,DOG/USD,136760,139190,126080,131810,3550.0558653,0.02693313
1648080000000,2022-03-24 00:00:00,DOG/USD,130810,143780,127170,136770,6481.6520253,0.04739089
1647993600000,2022-03-23 00:00:00,DOG/USD,123090,131960,116350,130760,3539.2756896,0.02706696
1647907200000,2022-03-22 00:00:00,DOG/USD,120860,126410,115460,121040,2808.5988456,0.02320389
1647820800000,2022-03-21 00:00:00,DOG/USD,120100,123060,113860,120190,2570.1237296,0.02138384
1647734400000,2022-03-20 00:00:00,DOG/USD,124590,126260,114350,118220,2391.9854548,0.02023334
1647648000000,2022-03-19 00:00:00,DOG/USD,120150,126490,114520,125890,3640.3472821,0.02891689
1647561600000,2022-03-18 00:00:00,DOG/USD,117380,120840,109830,118190,9658.004584799999,0.08171592
1647475200000,2022-03-17 00:00:00,DOG/USD,117900,120570,112940,117420,2542.3003428,0.02165134
1647388800000,2022-03-16 00:00:00,DOG/USD,113540,118950,107930,117910,2792.9730802999998,0.02368733
1647302400000,2022-03-15 00:00:00,DOG/USD,114840,116360,107360,111790,4083.5064823,0.03652837
1647216000000,2022-03-14 00:00:00,DOG/USD,112170,120750,106580,114840,3110.4551808,0.02708512
1647129600000,2022-03-13 00:00:00,DOG/USD,117090,118530,106350,113760,4220.5722192,0.03710067
