https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOT
1659571200000,2022-08-04 00:00:00,DOT/USD,7.9894,8.1234,7.973,8.1008,10792.14517839904,1332.2320238
1659484800000,2022-08-03 00:00:00,DOT/USD,7.9292,8.4401,7.6843,7.9894,549303.6761695216,68754.0586489
1659398400000,2022-08-02 00:00:00,DOT/USD,8.1701,8.2649,7.6747,7.9372,1070534.6466100533,134875.60432017
1659312000000,2022-08-01 00:00:00,DOT/USD,8.6248,8.9762,8.0268,8.1851,1084324.7227351426,132475.43985231
1659225600000,2022-07-31 00:00:00,DOT/USD,8.2056,9.2051,8.0732,8.6257,2154319.03765065,249755.8502673
1659139200000,2022-07-30 00:00:00,DOT/USD,8.1915,8.8392,8.1585,8.2094,1938088.324122763,236081.60451711
1659052800000,2022-07-29 00:00:00,DOT/USD,7.8578,8.4229,7.7684,8.1816,1459038.52953384,178331.68689912
1658966400000,2022-07-28 00:00:00,DOT/USD,7.6947,8.0654,7.4711,7.8541,2008923.4610684186,255780.22447746
1658880000000,2022-07-27 00:00:00,DOT/USD,6.7756,7.7083,6.6517,7.6751,1863596.1230523863,242810.66345095
1658793600000,2022-07-26 00:00:00,DOT/USD,6.7489,6.7953,6.5275,6.7844,1264740.6830309136,186418.94390527
1658707200000,2022-07-25 00:00:00,DOT/USD,7.3946,7.4376,6.7318,6.7477,1407015.274301797,208517.75779922
1658620800000,2022-07-24 00:00:00,DOT/USD,7.324,7.5795,7.3063,7.3993,1077857.422714063,145670.18808726
1658534400000,2022-07-23 00:00:00,DOT/USD,7.2891,7.489,7.084,7.3227,756740.2298074189,103341.69497691
1658448000000,2022-07-22 00:00:00,DOT/USD,7.5316,7.8525,7.2639,7.2884,1053450.1408608903,144537.9151612
1658361600000,2022-07-21 00:00:00,DOT/USD,7.4606,7.5909,7.1825,7.5273,863439.9356430416,114707.78840262
1658275200000,2022-07-20 00:00:00,DOT/USD,7.7915,8.0725,7.3583,7.4603,1530941.7720838108,205211.82420061
1658188800000,2022-07-19 00:00:00,DOT/USD,7.6596,8.0353,7.4846,7.7916,2321486.048474521,297947.28277562
1658102400000,2022-07-18 00:00:00,DOT/USD,6.9144,7.7367,6.9069,7.6565,1540858.600012643,201248.42944069
1658016000000,2022-07-17 00:00:00,DOT/USD,7.2029,7.3348,6.8733,6.9153,902180.3401649201,130461.48976399
1657929600000,2022-07-16 00:00:00,DOT/USD,6.7972,7.2164,6.5618,7.2,1649612.142662256,229112.79759198
1657843200000,2022-07-15 00:00:00,DOT/USD,6.7174,6.986,6.6571,6.796,917203.5855043932,134962.2697917
1657756800000,2022-07-14 00:00:00,DOT/USD,6.459,6.756,6.2872,6.7222,1512514.145702914,225002.84813050998
1657670400000,2022-07-13 00:00:00,DOT/USD,6.27,6.5431,5.983,6.47,648649.2167981161,100254.90213263
1657584000000,2022-07-12 00:00:00,DOT/USD,6.523,6.6166,6.2519,6.2697,1828709.4614448317,291674.15688866
1657497600000,2022-07-11 00:00:00,DOT/USD,6.8576,6.9035,6.5,6.5247,1839302.1328078208,281898.34518182
1657411200000,2022-07-10 00:00:00,DOT/USD,7.2526,7.2581,6.7606,6.8533,1176152.0306728994,171618.34892284
1657324800000,2022-07-09 00:00:00,DOT/USD,7.0375,7.3558,7.0375,7.2525,1265063.6895266606,174431.39462622
1657238400000,2022-07-08 00:00:00,DOT/USD,7.2995,7.442,6.9334,7.0375,1906844.5845470338,270954.8255129
1657152000000,2022-07-07 00:00:00,DOT/USD,6.9225,7.3446,6.8812,7.2923,1053196.1306137089,144425.78207338
1657065600000,2022-07-06 00:00:00,DOT/USD,6.8312,7.005,6.6912,6.9247,1122479.2949325726,162097.89520594
1656979200000,2022-07-05 00:00:00,DOT/USD,7.1655,7.2188,6.5729,6.8476,2192021.8198990836,320115.34258705
1656892800000,2022-07-04 00:00:00,DOT/USD,6.8543,7.2121,6.6674,7.1655,1081088.424034129,150874.10844102
1656806400000,2022-07-03 00:00:00,DOT/USD,6.8151,6.9933,6.61,6.8519,999842.6696347838,145921.95881942
1656720000000,2022-07-02 00:00:00,DOT/USD,6.7588,6.9109,6.6152,6.8213,1677918.4663967146,245982.21253965
1656633600000,2022-07-01 00:00:00,DOT/USD,7.0566,7.2658,6.5351,6.7462,1770946.0129757912,262510.15578782
1656547200000,2022-06-30 00:00:00,DOT/USD,7.0317,7.0823,6.6402,7.0625,1308762.709313087,185311.53406203
1656460800000,2022-06-29 00:00:00,DOT/USD,7.3148,7.4343,6.9538,7.0274,1431802.6268265692,203745.71346822
1656374400000,2022-06-28 00:00:00,DOT/USD,7.7367,7.9944,7.2525,7.3053,1017433.2630021306,139273.30335539
1656288000000,2022-06-27 00:00:00,DOT/USD,7.8391,8.2034,7.7,7.7257,1035255.2146759365,134001.47749407
1656201600000,2022-06-26 00:00:00,DOT/USD,8.128,8.4876,7.8205,7.8438,1377577.700775513,175626.31642514
1656115200000,2022-06-25 00:00:00,DOT/USD,8.1815,8.3621,7.7913,8.128,707940.0237442886,87098.92024413
1656028800000,2022-06-24 00:00:00,DOT/USD,7.7694,8.3362,7.7176,8.1764,1681199.965680712,205616.15939542
1655942400000,2022-06-23 00:00:00,DOT/USD,7.3771,7.8159,7.3504,7.7639,1391264.7626688895,179196.63605519
1655856000000,2022-06-22 00:00:00,DOT/USD,7.749,7.8,7.3457,7.3755,696810.9997038,94476.44223494
1655769600000,2022-06-21 00:00:00,DOT/USD,7.8662,8.2744,7.6781,7.748,766680.1423975809,98952.00598833
1655683200000,2022-06-20 00:00:00,DOT/USD,7.5111,8.0045,7.1634,7.8726,2407795.33552482,305844.99854239
1655596800000,2022-06-19 00:00:00,DOT/USD,7.053,7.6469,6.7691,7.519,1617910.769178711,215176.32254006
1655510400000,2022-06-18 00:00:00,DOT/USD,7.2593,7.3952,6.4771,7.05,1268977.7019870945,179996.83716129
1655424000000,2022-06-17 00:00:00,DOT/USD,7.1252,7.4501,7.035,7.264,1179464.8377433233,162371.26070255
1655337600000,2022-06-16 00:00:00,DOT/USD,8.506,8.5533,6.9817,7.119,2469734.40507824,346921.53463664
1655251200000,2022-06-15 00:00:00,DOT/USD,7.369,8.794,6.8432,8.505,4799721.023910389,564341.09628576
1655164800000,2022-06-14 00:00:00,DOT/USD,7.0479,7.546,6.6731,7.3717,2588747.9911515475,351173.81216701
1655078400000,2022-06-13 00:00:00,DOT/USD,7.4071,7.478,6.3778,7.0537,3515706.2739502303,498420.15877486
1654992000000,2022-06-12 00:00:00,DOT/USD,8.0429,8.1125,7.4035,7.411,1330892.5191708095,179583.39214287
1654905600000,2022-06-11 00:00:00,DOT/USD,8.6668,8.8545,7.9223,8.0432,1282542.253718057,159456.71545132
1654819200000,2022-06-10 00:00:00,DOT/USD,9.2333,9.3719,8.5265,8.6656,1120660.4121531707,129322.88729611
1654732800000,2022-06-09 00:00:00,DOT/USD,9.0112,9.4652,8.924,9.242,751653.6794937043,81330.19687229
1654646400000,2022-06-08 00:00:00,DOT/USD,9.225,9.3967,8.8999,9.0109,761141.8538055035,84469.01572601
1654560000000,2022-06-07 00:00:00,DOT/USD,9.5012,9.5025,8.8511,9.2255,2047762.9158896557,221967.68911058
1654473600000,2022-06-06 00:00:00,DOT/USD,9.3517,9.9396,9.329,9.5043,1056676.1008027748,111178.74023366
