https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DVF
1659484800000,2022-08-03 00:00:00,DVF/USD,1.1823,1.1823,1.1823,1.1823,44.1766395,37.365
1659398400000,2022-08-02 00:00:00,DVF/USD,1.1828,1.1828,1.1823,1.1823,306.47698829999996,259.221
1659312000000,2022-08-01 00:00:00,DVF/USD,1.1809,1.184,1.1809,1.184,734.720544,620.541
1659225600000,2022-07-31 00:00:00,DVF/USD,1.1791,1.1797,1.1782,1.1797,1793.6489115999998,1520.4279999999999
1659139200000,2022-07-30 00:00:00,DVF/USD,1.1438,1.2272,1.1438,1.1915,83921.71475476,70433.66744
1658966400000,2022-07-28 00:00:00,DVF/USD,1.1417,1.1417,1.1417,1.1417,670.1014061,586.933
1658880000000,2022-07-27 00:00:00,DVF/USD,1.1385,1.1404,1.1385,1.1404,408.7957668,358.467
1658793600000,2022-07-26 00:00:00,DVF/USD,1.1462,1.1647,1.1383,1.1383,21403.340091062004,18802.89914
1658707200000,2022-07-25 00:00:00,DVF/USD,1.1465,1.148,1.1438,1.1439,26885.605606199995,23503.458
1658620800000,2022-07-24 00:00:00,DVF/USD,1.1454,1.1454,1.1454,1.1454,90.973395,79.425
1658534400000,2022-07-23 00:00:00,DVF/USD,1.1063,1.1292,1.1063,1.1292,15687.996399864,13893.01842
1658448000000,2022-07-22 00:00:00,DVF/USD,1.1837,1.1837,1.1437,1.1539,32336.201425665422,28023.40014357
1658361600000,2022-07-21 00:00:00,DVF/USD,1.2566,1.2566,1.1659,1.1856,48606.450062352,40997.34317
1658275200000,2022-07-20 00:00:00,DVF/USD,1.2604,1.2612,1.2575,1.2589,2572.7725814295,2043.667155
1658188800000,2022-07-19 00:00:00,DVF/USD,1.2968,1.2971,1.2682,1.2682,15955.216641527999,12580.99404
1658102400000,2022-07-18 00:00:00,DVF/USD,1.2962,1.2962,1.2962,1.2962,44.099316400000006,34.022000000000006
1657929600000,2022-07-16 00:00:00,DVF/USD,1.306,1.306,1.2817,1.2956,10986.1899869072,8479.615612
1657843200000,2022-07-15 00:00:00,DVF/USD,1.35,1.4003,1.2,1.306,2153.91964018184,1649.24934164
1657756800000,2022-07-14 00:00:00,DVF/USD,1.391,1.3929,1.3314,1.34,59176.96878,44161.917
1657584000000,2022-07-12 00:00:00,DVF/USD,1.3885,1.3885,1.3885,1.3885,174.662192,125.792
1657497600000,2022-07-11 00:00:00,DVF/USD,1.3877,1.3877,1.3877,1.3877,14.877531699999999,10.721
1657411200000,2022-07-10 00:00:00,DVF/USD,1.388,1.388,1.388,1.388,15.267999999999999,11.0
1657152000000,2022-07-07 00:00:00,DVF/USD,1.3974,1.3974,1.3921,1.3921,3639.5814133999993,2614.4539999999997
1656979200000,2022-07-05 00:00:00,DVF/USD,1.3971,1.3971,1.3971,1.3971,682.755435225,488.69475
1656892800000,2022-07-04 00:00:00,DVF/USD,1.3969,1.3979,1.3961,1.3961,1168.7562838,837.158
1656806400000,2022-07-03 00:00:00,DVF/USD,1.3963,1.3963,1.3933,1.3962,3614.9684376000005,2589.148
1656460800000,2022-06-29 00:00:00,DVF/USD,1.3969,1.3969,1.3969,1.3969,2.9021561361,2.077569
1656201600000,2022-06-26 00:00:00,DVF/USD,1.4008,1.4134,1.3973,1.3978,19149.421349644603,13699.68618518
1655942400000,2022-06-23 00:00:00,DVF/USD,1.3989,1.3989,1.3989,1.3989,790.5561603,565.127
1655856000000,2022-06-22 00:00:00,DVF/USD,1.3992,1.3992,1.3973,1.3973,475.02610799999997,339.96
1655683200000,2022-06-20 00:00:00,DVF/USD,1.398,1.4009,1.3951,1.3951,3527.5926609000003,2528.559
1655424000000,2022-06-17 00:00:00,DVF/USD,1.3943,1.396,1.3943,1.396,1052.036768,753.608
1655337600000,2022-06-16 00:00:00,DVF/USD,1.3938,1.3938,1.3834,1.3927,9847.8016518202,7071.0143259999995
1655251200000,2022-06-15 00:00:00,DVF/USD,1.5113,1.5113,1.3626,1.3955,98243.867397875,70400.47825
1655164800000,2022-06-14 00:00:00,DVF/USD,1.5097,1.5097,1.5097,1.5097,214.71859220000002,142.226
1655078400000,2022-06-13 00:00:00,DVF/USD,1.9867,1.9867,1.4272,1.5114,407569.9556722121,269663.8584572
