https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EUS
1659398400000,2022-08-02 00:00:00,EUS/USD,1.01,1.01,1.008,1.008,1512.0,1500.0
1659312000000,2022-08-01 00:00:00,EUS/USD,1.0138,1.0138,1.01,1.01,2020.0,2000.0
1659139200000,2022-07-30 00:00:00,EUS/USD,1.0139,1.0139,1.0139,1.0139,2.0278,2.0
1658966400000,2022-07-28 00:00:00,EUS/USD,1.0139,1.014,1.012,1.012,909.8892000000001,899.1
1658707200000,2022-07-25 00:00:00,EUS/USD,1.012,1.012,1.012,1.012,2.024,2.0
1658448000000,2022-07-22 00:00:00,EUS/USD,1.0139,1.0139,1.0139,1.0139,10.139,10.0
1658188800000,2022-07-19 00:00:00,EUS/USD,1.012,1.012,1.012,1.012,12.41724,12.27
1657670400000,2022-07-13 00:00:00,EUS/USD,1.0139,1.0139,1.0139,1.0139,3.0880301605,3.045695
1657324800000,2022-07-09 00:00:00,EUS/USD,1.012,1.012,1.012,1.012,101.2,100.0
1657152000000,2022-07-07 00:00:00,EUS/USD,1.018,1.018,1.012,1.012,5945.568245232001,5875.067436
1656979200000,2022-07-05 00:00:00,EUS/USD,1.032,1.032,0.94,1.02,24767.298069306602,24281.66477383
1656547200000,2022-06-30 00:00:00,EUS/USD,1.038,1.038,1.032,1.032,6708.0,6500.0
1656460800000,2022-06-29 00:00:00,EUS/USD,1.0399,1.0399,1.0399,1.0399,10.399000000000001,10.0
1656201600000,2022-06-26 00:00:00,EUS/USD,1.038,1.038,1.038,1.038,196.25466,189.07
1655683200000,2022-06-20 00:00:00,EUS/USD,1.038,1.038,1.038,1.038,1038.0,1000.0
1655510400000,2022-06-18 00:00:00,EUS/USD,1.038,1.038,1.038,1.038,259.5,250.0
1655337600000,2022-06-16 00:00:00,EUS/USD,1.042,1.042,1.042,1.042,2084.0,2000.0
1655251200000,2022-06-15 00:00:00,EUS/USD,1.0432,1.0432,1.0432,1.0432,205.995959349056,197.46545183
1655078400000,2022-06-13 00:00:00,EUS/USD,1.0581,1.0581,1.044,1.044,36647.83740641472,35103.29253488
1654905600000,2022-06-11 00:00:00,EUS/USD,1.06,1.06,1.058,1.058,1508.708,1426.0
1654560000000,2022-06-07 00:00:00,EUS/USD,1.062,1.062,1.06,1.06,1068.47152,1007.992
1654473600000,2022-06-06 00:00:00,EUS/USD,1.06,1.06,1.06,1.06,1227.8804733000002,1158.377805
1654214400000,2022-06-03 00:00:00,EUS/USD,1.06,1.06,1.06,1.06,212.0,200.0
1654128000000,2022-06-02 00:00:00,EUS/USD,1.062,1.062,1.06,1.06,6360.0,6000.0
1654041600000,2022-06-01 00:00:00,EUS/USD,1.064,1.064,1.062,1.062,2655.0,2500.0
1653955200000,2022-05-31 00:00:00,EUS/USD,1.056,1.0675,1.056,1.0675,30637.39152061,28700.132572000002
1653868800000,2022-05-30 00:00:00,EUS/USD,1.058,1.058,1.0525,1.0525,5262.5,5000.0
1653350400000,2022-05-24 00:00:00,EUS/USD,1.046,1.06,1.046,1.06,17535.29891026,16542.734821
1653264000000,2022-05-23 00:00:00,EUS/USD,1.0439,1.05,1.0439,1.046,91235.4814160814,87223.21359089999
1653177600000,2022-05-22 00:00:00,EUS/USD,1.044,1.044,1.042,1.042,3085.736066538,2961.358989
1652918400000,2022-05-19 00:00:00,EUS/USD,1.044,1.044,1.044,1.044,459.91332,440.53
1652745600000,2022-05-17 00:00:00,EUS/USD,1.044,1.044,1.044,1.044,631.6616556,605.0399
1652400000000,2022-05-13 00:00:00,EUS/USD,1.046,1.046,1.044,1.044,1390.63455051732,1332.0254315299999
1652313600000,2022-05-12 00:00:00,EUS/USD,1.048,1.048,1.046,1.046,2495.7560000000003,2386.0
1652054400000,2022-05-09 00:00:00,EUS/USD,1.048,1.048,1.048,1.048,153.37720064312,146.35229069
1651968000000,2022-05-08 00:00:00,EUS/USD,1.0525,1.0525,1.048,1.048,4716.0,4500.0
1651795200000,2022-05-06 00:00:00,EUS/USD,1.0525,1.0525,1.0525,1.0525,631.5,600.0
1651622400000,2022-05-04 00:00:00,EUS/USD,1.0525,1.0525,1.0525,1.0525,736.75,700.0
1651536000000,2022-05-03 00:00:00,EUS/USD,1.0525,1.0525,1.0525,1.0525,4999.375,4750.0
1651449600000,2022-05-02 00:00:00,EUS/USD,1.0525,1.055,1.0525,1.055,10.597880193850001,10.04538407
1651363200000,2022-05-01 00:00:00,EUS/USD,1.0525,1.055,1.0525,1.0525,1071.2354534808,1017.80090592
1651276800000,2022-04-30 00:00:00,EUS/USD,1.055,1.055,1.0525,1.0525,35.498185508925,33.72749217
1651190400000,2022-04-29 00:00:00,EUS/USD,1.055,1.055,1.0525,1.0525,413.832475,393.19
1651104000000,2022-04-28 00:00:00,EUS/USD,1.0525,1.055,1.0525,1.055,832.8270632441,789.40953862
1651017600000,2022-04-27 00:00:00,EUS/USD,1.06,1.06,1.0525,1.0525,29232.61915,27774.46
1650844800000,2022-04-25 00:00:00,EUS/USD,1.06,1.062,1.06,1.062,318.87928753182,300.26298261
1650412800000,2022-04-20 00:00:00,EUS/USD,1.06,1.06,1.06,1.06,3.17682,2.997
1650326400000,2022-04-19 00:00:00,EUS/USD,1.06,1.06,1.06,1.06,848.0,800.0
1650240000000,2022-04-18 00:00:00,EUS/USD,1.06,1.06,1.06,1.06,136.4644,128.74
1650153600000,2022-04-17 00:00:00,EUS/USD,1.064,1.064,1.06,1.06,4745.577918,4476.9603
1650067200000,2022-04-16 00:00:00,EUS/USD,1.074,1.074,1.064,1.064,26351.274745197923,24766.23566278
1649894400000,2022-04-14 00:00:00,EUS/USD,1.076,1.076,1.074,1.074,64.4367497538,59.9969737
1649462400000,2022-04-09 00:00:00,EUS/USD,1.092,1.092,1.062,1.072,42815.9871814392,39940.28654985
1649289600000,2022-04-07 00:00:00,EUS/USD,1.096,1.096,1.094,1.094,2719.684,2486.0
1649203200000,2022-04-06 00:00:00,EUS/USD,1.096,1.096,1.096,1.096,1083.9637280000002,989.018
1649030400000,2022-04-04 00:00:00,EUS/USD,1.096,1.096,1.096,1.096,575.4000000000001,525.0
1648944000000,2022-04-03 00:00:00,EUS/USD,1.098,1.098,1.098,1.098,2167.452,1974.0
1648857600000,2022-04-02 00:00:00,EUS/USD,1.098,1.098,1.098,1.098,24.024240000000002,21.88
1648598400000,2022-03-30 00:00:00,EUS/USD,1.1,1.104,1.098,1.098,9321.178932,8489.234
1648512000000,2022-03-29 00:00:00,EUS/USD,1.092,1.1,1.092,1.1,10902.386,9911.26
1648425600000,2022-03-28 00:00:00,EUS/USD,1.096,1.096,1.092,1.092,4149.6,3800.0
1648080000000,2022-03-24 00:00:00,EUS/USD,1.102,1.102,1.096,1.096,5390.358160000001,4918.21
1647993600000,2022-03-23 00:00:00,EUS/USD,1.102,1.102,1.102,1.102,330.6,300.0
1647820800000,2022-03-21 00:00:00,EUS/USD,1.102,1.104,1.102,1.104,938.4350299200001,850.03173
1647734400000,2022-03-20 00:00:00,EUS/USD,1.1001,1.1001,1.1,1.1,220.00000000000003,200.0
1647475200000,2022-03-17 00:00:00,EUS/USD,1.098,1.102,1.096,1.102,8535.779256808,7745.716204
1647302400000,2022-03-15 00:00:00,EUS/USD,1.098,1.098,1.098,1.098,362.217072312,329.888044
1647216000000,2022-03-14 00:00:00,EUS/USD,1.1038,1.2092,1.0985,1.1,287750.15834687103,261591.05304261
1647129600000,2022-03-13 00:00:00,EUS/USD,1.1037,1.1037,1.1037,1.1037,176.59199999999998,160.0
1646870400000,2022-03-10 00:00:00,EUS/USD,1.1037,1.1038,1.1037,1.1037,714.8052512055,647.6445150000001
1646784000000,2022-03-09 00:00:00,EUS/USD,1.098,1.104,1.098,1.1037,47530.983630023395,43065.129682
1646697600000,2022-03-08 00:00:00,EUS/USD,1.0981,1.0981,1.0981,1.0981,41.61799,37.9
1646611200000,2022-03-07 00:00:00,EUS/USD,1.098,1.098,1.098,1.098,469.944,428.0
1646524800000,2022-03-06 00:00:00,EUS/USD,1.1025,1.1025,1.098,1.098,10980.0,10000.0
1646438400000,2022-03-05 00:00:00,EUS/USD,1.11,1.11,1.1025,1.1025,18034.739100000003,16358.04
1646352000000,2022-03-04 00:00:00,EUS/USD,1.1417,1.1417,1.11,1.111,136063.43513137198,122469.33855209
1646265600000,2022-03-03 00:00:00,EUS/USD,1.1201,1.19,1.1201,1.1416,88591.9991281714,77603.36293638
1646179200000,2022-03-02 00:00:00,EUS/USD,1.125,1.125,1.12,1.12,21090.0368,18830.39
1645747200000,2022-02-25 00:00:00,EUS/USD,1.128,1.128,1.125,1.125,4958.594999999999,4407.639999999999
1645660800000,2022-02-24 00:00:00,EUS/USD,1.14,1.14,1.128,1.128,42426.990239187835,37612.57999928
1645574400000,2022-02-23 00:00:00,EUS/USD,1.154,1.154,1.14,1.14,34107.8538,29919.17
1645488000000,2022-02-22 00:00:00,EUS/USD,1.1982,1.2505,1.154,1.1542,47550.53164639199,41197.826759999996
1645315200000,2022-02-20 00:00:00,EUS/USD,1.1537,1.1537,1.1537,1.1537,173.05499999999998,150.0
1644796800000,2022-02-14 00:00:00,EUS/USD,1.1537,1.1537,1.1537,1.1537,230.73999999999998,200.0
1644537600000,2022-02-11 00:00:00,EUS/USD,1.1537,1.1537,1.1537,1.1537,5248.631243,4549.39
1644451200000,2022-02-10 00:00:00,EUS/USD,1.1548,1.1548,1.152,1.152,9830.595270528,8533.502839
1644278400000,2022-02-08 00:00:00,EUS/USD,1.2602,1.2602,1.152,1.1549,13736.0613879498,11893.723602
1644105600000,2022-02-06 00:00:00,EUS/USD,1.152,1.155,1.152,1.153,10603.226138314,9196.206537999999
1644019200000,2022-02-05 00:00:00,EUS/USD,1.1398,1.155,1.1398,1.1487,50547.800684977745,44004.35334289
1643932800000,2022-02-04 00:00:00,EUS/USD,1.1399,1.1399,1.139,1.139,11390.0,10000.0
1643846400000,2022-02-03 00:00:00,EUS/USD,1.138,1.138,1.138,1.138,814.6828199999999,715.89
1643241600000,2022-01-27 00:00:00,EUS/USD,1.138,1.138,1.138,1.138,2.493594704,2.191208
1643068800000,2022-01-25 00:00:00,EUS/USD,1.14,1.1401,1.14,1.14,19427.879999999997,17042.0
1642982400000,2022-01-24 00:00:00,EUS/USD,1.146,1.146,1.142,1.142,6851.999999999999,6000.0
1642896000000,2022-01-23 00:00:00,EUS/USD,1.148,1.148,1.1475,1.1475,19509.1983,17001.48
1642809600000,2022-01-22 00:00:00,EUS/USD,1.154,1.158,1.15,1.15,7179.290107587999,6242.86096312
1642723200000,2022-01-21 00:00:00,EUS/USD,1.156,1.156,1.154,1.154,173.1,150.0
1642636800000,2022-01-20 00:00:00,EUS/USD,1.156,1.156,1.156,1.156,2199.6268133159997,1902.791361
1642464000000,2022-01-18 00:00:00,EUS/USD,1.158,1.16,1.158,1.16,406.0,350.0
1642118400000,2022-01-14 00:00:00,EUS/USD,1.1462,1.158,1.14,1.156,396363.23765745247,342874.77306008
1641945600000,2022-01-12 00:00:00,EUS/USD,1.1462,1.1462,1.1462,1.1462,41.20722995364801,35.95116904
1641859200000,2022-01-11 00:00:00,EUS/USD,1.146,1.146,1.146,1.146,3.42654,2.99
1641772800000,2022-01-10 00:00:00,EUS/USD,1.148,1.148,1.146,1.146,28.755135185999997,25.091741
1641254400000,2022-01-04 00:00:00,EUS/USD,1.146,1.146,1.146,1.146,1005.4902066738,877.3911053
1641081600000,2022-01-02 00:00:00,EUS/USD,1.146,1.148,1.146,1.148,9813.635120822399,8548.4626488
1640908800000,2021-12-31 00:00:00,EUS/USD,1.144,1.144,1.144,1.144,181.896,159.0
1640563200000,2021-12-27 00:00:00,EUS/USD,1.144,1.1475,1.144,1.144,24302.84402973856,21243.744781240002
1640476800000,2021-12-26 00:00:00,EUS/USD,1.142,1.142,1.142,1.142,5.789011554,5.069187
1640390400000,2021-12-25 00:00:00,EUS/USD,1.144,1.144,1.142,1.142,6.842864,5.992
1640304000000,2021-12-24 00:00:00,EUS/USD,1.1116,1.142,1.1116,1.142,412.62775407283993,361.32027502
1640217600000,2021-12-23 00:00:00,EUS/USD,1.142,1.142,1.142,1.142,342.59999999999997,300.0
1640131200000,2021-12-22 00:00:00,EUS/USD,1.144,1.144,1.142,1.142,25.830685587999998,22.618814
1640044800000,2021-12-21 00:00:00,EUS/USD,1.1475,1.1475,1.142,1.142,4557.40357712212,3990.72117086
1639785600000,2021-12-18 00:00:00,EUS/USD,1.138,1.138,1.136,1.138,93495.7551426443,82157.95706735
1639699200000,2021-12-17 00:00:00,EUS/USD,1.14,1.14,1.14,1.14,4.56,4.0
