https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EUT
1659571200000,2022-08-04 00:00:00,EUT/USD,1.0143,1.0151,1.0142,1.0151,4923.616108443581,4850.37543931
1659484800000,2022-08-03 00:00:00,EUT/USD,1.0149,1.01904408,1.0111,1.0142,119216.88177984305,117547.70437768
1659398400000,2022-08-02 00:00:00,EUT/USD,1.0247,1.0275,1.01439247,1.0149,390177.1340138097,384448.84620535
1659312000000,2022-08-01 00:00:00,EUT/USD,1.01899464,1.02669234,1.01899464,1.0247,122903.75378391675,119941.20599582
1659225600000,2022-07-31 00:00:00,EUT/USD,1.02180071,1.02180071,1.01899464,1.01899464,87533.84615158466,85902.16544376
1659139200000,2022-07-30 00:00:00,EUT/USD,1.02188251,1.0224,1.0207,1.02180071,40937.717115840984,40064.28720904
1659052800000,2022-07-29 00:00:00,EUT/USD,1.0180947,1.0238,1.01410438,1.0214,258506.21574795645,253090.08786759
1658966400000,2022-07-28 00:00:00,EUT/USD,1.01969488,1.02179214,1.0109,1.0180947,130500.80481246064,128181.40081906
1658880000000,2022-07-27 00:00:00,EUT/USD,1.0127,1.02059981,1.0088,1.01969488,294956.25073191477,289259.32307507
1658793600000,2022-07-26 00:00:00,EUT/USD,1.0212,1.02419235,1.0098,1.0121,57770.62666432797,57079.95915851
1658707200000,2022-07-25 00:00:00,EUT/USD,1.01919094,1.02419665,1.017,1.0211,67620.36138111967,66223.05492226
1658620800000,2022-07-24 00:00:00,EUT/USD,1.0187,1.0206,1.0176,1.01909912,24446.18643277241,23988.03605362
1658534400000,2022-07-23 00:00:00,EUT/USD,1.0185,1.0204,1.0167,1.0183,78119.25379759447,76715.3626609
1658448000000,2022-07-22 00:00:00,EUT/USD,1.0211959,1.02359213,1.0116,1.0185,100867.99413247399,99035.83125427
1658361600000,2022-07-21 00:00:00,EUT/USD,1.01706221,1.0264,1.01500466,1.02149235,303258.2319701521,296877.63395404
1658275200000,2022-07-20 00:00:00,EUT/USD,1.0217,1.02569684,1.0141,1.01695019,220454.15403694665,216779.69698491
1658188800000,2022-07-19 00:00:00,EUT/USD,1.01369224,1.02569339,1.01050393,1.0216,46635.08663199996,45649.06678935
1658102400000,2022-07-18 00:00:00,EUT/USD,1.00839395,1.01859453,1.00650232,1.01220075,50411.2712220197,49803.62958832
1658016000000,2022-07-17 00:00:00,EUT/USD,1.00759547,1.00839853,1.0057,1.00720274,76622.3776681188,76074.43330438
1657929600000,2022-07-16 00:00:00,EUT/USD,1.00699026,1.00779721,1.00520487,1.0076,15429.699114659588,15313.317898629999
1657843200000,2022-07-15 00:00:00,EUT/USD,1.00139849,1.00839107,0.998553,1.00590087,59731.43668816463,59381.0369089
1657756800000,2022-07-14 00:00:00,EUT/USD,1.0026,1.004,0.99375,1.00079699,144265.47158353616,144150.58500879
1657670400000,2022-07-13 00:00:00,EUT/USD,1.00218981,1.00811281,0.994,1.0015,3866407.396458116,3860616.47175049
1657584000000,2022-07-12 00:00:00,EUT/USD,1.00419891,1.00479371,0.99903,1.00080677,1208930.652340374,1207956.10958984
1657497600000,2022-07-11 00:00:00,EUT/USD,1.0172,1.0172,1.0023,1.0039,104826.18476047338,104418.95085215
1657411200000,2022-07-10 00:00:00,EUT/USD,1.0175,1.0185,1.01590018,1.01590018,31637.168472981848,31142.00498811
1657324800000,2022-07-09 00:00:00,EUT/USD,1.01828368,1.01839572,1.017,1.0174,24643.383437824916,24221.92199511
1657238400000,2022-07-08 00:00:00,EUT/USD,1.01569781,1.0184,1.00647784,1.0184,261125.91116921397,256408.0038975
1657152000000,2022-07-07 00:00:00,EUT/USD,1.01858547,1.02120316,1.01380326,1.01579945,81505.46110942036,80237.748809
1657065600000,2022-07-06 00:00:00,EUT/USD,1.02509667,1.0266,1.0158,1.0185,227219.54911248968,223092.34080755
1656979200000,2022-07-05 00:00:00,EUT/USD,1.04209362,1.043,1.0226983,1.0248,84234.25843825743,82195.80253538
1656892800000,2022-07-04 00:00:00,EUT/USD,1.041,1.0443,1.03760018,1.04199971,77398.9565567431,74279.24961394
1656806400000,2022-07-03 00:00:00,EUT/USD,1.0407924,1.0415224,1.03700957,1.04112762,46797.530508767035,44948.88965559
1656720000000,2022-07-02 00:00:00,EUT/USD,1.04089669,1.0415224,1.0382,1.04001026,46978.20240335031,45170.90283643
1656633600000,2022-07-01 00:00:00,EUT/USD,1.0458,1.046,1.0341,1.0402,89606.32283390862,86143.35977111
1656547200000,2022-06-30 00:00:00,EUT/USD,1.04139984,1.0464,1.0333,1.0458,59990.90605479909,57363.65084605
1656460800000,2022-06-29 00:00:00,EUT/USD,1.04849945,1.0513,1.0379,1.0391,90540.52217024974,87133.59847007
1656374400000,2022-06-28 00:00:00,EUT/USD,1.05589714,1.05819859,1.04654171,1.04720515,17584.12539311884,16791.48101317
1656288000000,2022-06-27 00:00:00,EUT/USD,1.05639027,1.05989487,1.0522,1.05589714,149681.28784802486,141757.45172302
1656201600000,2022-06-26 00:00:00,EUT/USD,1.05349169,1.0565352,1.05170757,1.05357932,21535.19452910085,20440.03153849
1656115200000,2022-06-25 00:00:00,EUT/USD,1.0532,1.05442069,1.05104249,1.05349169,81977.45943280598,77815.00339391
1656028800000,2022-06-24 00:00:00,EUT/USD,1.0492,1.0548,1.0474,1.052,81514.32549852604,77485.10028376999
1655942400000,2022-06-23 00:00:00,EUT/USD,1.0541,1.05599636,1.04480149,1.05,124153.5855017535,118241.51000167
1655856000000,2022-06-22 00:00:00,EUT/USD,1.04969317,1.0583,1.0451,1.05388987,94311.43181890268,89488.88731505
1655769600000,2022-06-21 00:00:00,EUT/USD,1.0497,1.05568973,1.0479,1.0479,83389.4483038486,79577.67754924
1655683200000,2022-06-20 00:00:00,EUT/USD,1.04729333,1.05234096,1.0458,1.05009204,486961.23885847104,463731.95901806
1655596800000,2022-06-19 00:00:00,EUT/USD,1.04629074,1.0489,1.0445,1.04570919,178006.8088801332,170225.91996168
1655510400000,2022-06-18 00:00:00,EUT/USD,1.04559805,1.04751869,1.04429662,1.0454,364960.64546793024,349111.00580441
1655424000000,2022-06-17 00:00:00,EUT/USD,1.0549,1.05540786,1.0431,1.0454,205691.25938769674,196758.4268105
1655337600000,2022-06-16 00:00:00,EUT/USD,1.04752343,1.0606,1.0387,1.0540016,704416.3532764595,668325.69635232
1655251200000,2022-06-15 00:00:00,EUT/USD,1.0427,1.0498,1.0375,1.0471,1324178.5324272355,1264615.1584636
