https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FET
1659571200000,2022-08-04 00:00:00,FET/USD,0.095579,0.09815,0.095579,0.097622,301.4193626492896,3087.61716262
1659484800000,2022-08-03 00:00:00,FET/USD,0.092519,0.098619,0.09086,0.095782,1975.0412580414688,20620.17141051
1659398400000,2022-08-02 00:00:00,FET/USD,0.094621,0.097075,0.091317,0.092588,2535.9149383198082,27389.23984015
1659312000000,2022-08-01 00:00:00,FET/USD,0.096103,0.10517,0.090808,0.09496,5447.803316936503,57369.453632439996
1659225600000,2022-07-31 00:00:00,FET/USD,0.08739,0.10357,0.087191,0.095812,3139.0999875452967,32763.11931225
1659139200000,2022-07-30 00:00:00,FET/USD,0.086129,0.094217,0.085932,0.087058,1486.6840145185802,17076.93738104
1659052800000,2022-07-29 00:00:00,FET/USD,0.087575,0.089855,0.083614,0.086021,1592.790563434227,18516.29908318
1658966400000,2022-07-28 00:00:00,FET/USD,0.081016,0.090312,0.080093,0.086012,2109.8070951282134,24529.21795945
1658880000000,2022-07-27 00:00:00,FET/USD,0.076419,0.08136,0.075117,0.081242,1884.3017808971106,23193.69022054
1658793600000,2022-07-26 00:00:00,FET/USD,0.076381,0.076673,0.073489,0.07638,1241.6395611589471,16256.08223565
1658707200000,2022-07-25 00:00:00,FET/USD,0.084548,0.08479,0.076549,0.076549,1395.7019697221274,18232.79167229
1658620800000,2022-07-24 00:00:00,FET/USD,0.083235,0.087702,0.082185,0.084528,1106.2609244852617,13087.50857095
1658534400000,2022-07-23 00:00:00,FET/USD,0.081811,0.084999,0.080605,0.083648,918.7823864110766,10983.91338001
1658448000000,2022-07-22 00:00:00,FET/USD,0.08497,0.088857,0.081809,0.082724,1982.1860399307698,23961.43851761
1658361600000,2022-07-21 00:00:00,FET/USD,0.083706,0.086447,0.080067,0.084923,2755.748195032421,32449.96284908
1658275200000,2022-07-20 00:00:00,FET/USD,0.087684,0.092716,0.083107,0.083858,8858.900842720228,105641.6900322
1658188800000,2022-07-19 00:00:00,FET/USD,0.083774,0.090438,0.083061,0.087832,6529.031035798999,74335.447625
1658102400000,2022-07-18 00:00:00,FET/USD,0.079595,0.085876,0.079595,0.084426,1287.7541062542339,15253.05126684
1658016000000,2022-07-17 00:00:00,FET/USD,0.081208,0.082925,0.078753,0.079583,1344.6627221702636,16896.35628426
1657929600000,2022-07-16 00:00:00,FET/USD,0.076651,0.082428,0.07614,0.081186,3181.631789510806,39189.41430186
1657843200000,2022-07-15 00:00:00,FET/USD,0.076739,0.079748,0.075236,0.076833,2103.845316888967,27382.05350421
1657756800000,2022-07-14 00:00:00,FET/USD,0.074221,0.080729,0.073708,0.076858,2782.831784939365,36207.44470243
1657670400000,2022-07-13 00:00:00,FET/USD,0.068156,0.07452,0.06688,0.07427,2237.765423978591,30130.13900604
1657584000000,2022-07-12 00:00:00,FET/USD,0.071859,0.074198,0.068134,0.068517,5690.479900729228,83052.08781367
1657497600000,2022-07-11 00:00:00,FET/USD,0.076993,0.077136,0.071729,0.071928,978.4561861566217,13603.2725247
1657411200000,2022-07-10 00:00:00,FET/USD,0.08158,0.081908,0.076414,0.077104,2291.861400986625,29724.28669053
1657324800000,2022-07-09 00:00:00,FET/USD,0.079434,0.083482,0.079033,0.08167,3000.6112570408104,36740.67903809
1657238400000,2022-07-08 00:00:00,FET/USD,0.081166,0.082812,0.076008,0.079225,2314.0417530444356,29208.47905389
1657152000000,2022-07-07 00:00:00,FET/USD,0.075696,0.082451,0.074969,0.080999,4066.577755864289,50205.28347096
1657065600000,2022-07-06 00:00:00,FET/USD,0.074314,0.078407,0.073024,0.075562,1993.1638177383577,26377.85947617
1656979200000,2022-07-05 00:00:00,FET/USD,0.076993,0.077848,0.071639,0.074211,1862.91579466295,25102.96040564
1656892800000,2022-07-04 00:00:00,FET/USD,0.07395,0.077515,0.07239,0.077272,850.6261048122167,11008.20613951
1656806400000,2022-07-03 00:00:00,FET/USD,0.076243,0.077566,0.071726,0.073989,1691.068390794142,22855.67301618
1656720000000,2022-07-02 00:00:00,FET/USD,0.073796,0.081652,0.072363,0.07633,1364.1071212815677,17871.1793696
1656633600000,2022-07-01 00:00:00,FET/USD,0.074015,0.077498,0.072846,0.073791,1600.6951137195956,21692.28108739
1656547200000,2022-06-30 00:00:00,FET/USD,0.076601,0.076865,0.068724,0.074286,4057.4479369601677,54619.28138492
1656460800000,2022-06-29 00:00:00,FET/USD,0.075972,0.07926,0.073245,0.076727,2856.6283425084557,37231.070451190004
1656374400000,2022-06-28 00:00:00,FET/USD,0.082125,0.084448,0.075456,0.076122,1419.7721353587415,18651.27210739
1656288000000,2022-06-27 00:00:00,FET/USD,0.081585,0.085368,0.079195,0.082108,4333.031551214869,52772.34314823
1656201600000,2022-06-26 00:00:00,FET/USD,0.088822,0.094439,0.081932,0.082333,2755.6279594709426,33469.30100289
1656115200000,2022-06-25 00:00:00,FET/USD,0.090135,0.092995,0.08675,0.088585,2221.9501875598444,25082.69106011
1656028800000,2022-06-24 00:00:00,FET/USD,0.081909,0.091137,0.081904,0.089974,1530.133566350228,17006.3970297
1655942400000,2022-06-23 00:00:00,FET/USD,0.081237,0.083637,0.079758,0.081852,1741.5079353941157,21276.302783
1655856000000,2022-06-22 00:00:00,FET/USD,0.081399,0.087616,0.078699,0.081398,4078.3935442422776,50104.34585914
1655769600000,2022-06-21 00:00:00,FET/USD,0.080382,0.087652,0.079891,0.080993,4175.391193818424,51552.49458371
1655683200000,2022-06-20 00:00:00,FET/USD,0.078992,0.08239,0.074395,0.080106,3149.471320911836,39316.29741732
1655596800000,2022-06-19 00:00:00,FET/USD,0.075102,0.08048,0.070683,0.0791,5969.885495418601,75472.635846
1655510400000,2022-06-18 00:00:00,FET/USD,0.079812,0.090501,0.066279,0.075065,8898.304526300095,118541.32453607
1655424000000,2022-06-17 00:00:00,FET/USD,0.082911,0.084712,0.076288,0.079917,2111.415359495417,26420.1028504
1655337600000,2022-06-16 00:00:00,FET/USD,0.10793,0.10886,0.081345,0.082767,4864.648948248806,58775.22379993
1655251200000,2022-06-15 00:00:00,FET/USD,0.10903,0.10979,0.085901,0.10772,8246.763875334429,76557.40693775
1655164800000,2022-06-14 00:00:00,FET/USD,0.10923,0.11342,0.10232,0.1098,4109.582149061705,37427.88842497
1655078400000,2022-06-13 00:00:00,FET/USD,0.11388,0.11779,0.10453,0.10962,5093.088111193887,46461.30369635
1654992000000,2022-06-12 00:00:00,FET/USD,0.13624,0.13713,0.11423,0.11423,10058.470168598305,88054.54056376
1654905600000,2022-06-11 00:00:00,FET/USD,0.14469,0.1502,0.13426,0.13624,7722.546495502852,56683.40058355
1654819200000,2022-06-10 00:00:00,FET/USD,0.1543,0.1678,0.14433,0.14456,12477.007613483369,86310.23528973
1654732800000,2022-06-09 00:00:00,FET/USD,0.15025,0.16694,0.14931,0.15437,54242.52964495912,351379.9938133
1654646400000,2022-06-08 00:00:00,FET/USD,0.15345,0.17299,0.14956,0.15041,7135.375584838654,47439.50259184
1654560000000,2022-06-07 00:00:00,FET/USD,0.1488,0.16373,0.13924,0.15346,13952.901842097348,90922.07638536001
1654473600000,2022-06-06 00:00:00,FET/USD,0.147,0.15707,0.147,0.14894,3297.9517906584547,22142.82120759
1654387200000,2022-06-05 00:00:00,FET/USD,0.15277,0.15372,0.14489,0.1472,3217.701617077376,21859.38598558
1654300800000,2022-06-04 00:00:00,FET/USD,0.15382,0.1543,0.14941,0.15296,1318.3449800517249,8618.88716038
1654214400000,2022-06-03 00:00:00,FET/USD,0.16359,0.16559,0.15175,0.15337,823.170252558003,5367.2181819
