https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FIL
1659571200000,2022-08-04 00:00:00,FIL/USD,8.0556,8.1902,8.044,8.1524,11904.222628884812,1460.21081263
1659484800000,2022-08-03 00:00:00,FIL/USD,8.1874,8.7397,7.9054,8.0779,401895.6307803325,49752.48898604
1659398400000,2022-08-02 00:00:00,FIL/USD,8.7681,8.8632,7.694,8.1563,591737.5348802095,72549.75109795
1659312000000,2022-08-01 00:00:00,FIL/USD,9.7525,11.343,8.3685,8.7799,2012807.862066546,229251.79809184
1659225600000,2022-07-31 00:00:00,FIL/USD,8.0309,10.689,7.9486,9.7845,3590423.1134506343,366950.08569172
1659139200000,2022-07-30 00:00:00,FIL/USD,5.975,9.0718,5.9639,7.9975,3545969.173448277,443384.70440116
1659052800000,2022-07-29 00:00:00,FIL/USD,5.9346,6.215,5.7921,5.9618,206748.16139888007,34678.81535759
1658966400000,2022-07-28 00:00:00,FIL/USD,5.6468,6.0493,5.5513,5.9215,167114.15598356584,28221.59182362
1658880000000,2022-07-27 00:00:00,FIL/USD,5.3242,5.6515,5.2233,5.6515,83964.62141379318,14857.05059078
1658793600000,2022-07-26 00:00:00,FIL/USD,5.2258,5.3227,5.1,5.3227,280418.1359213769,52683.43808995
1658707200000,2022-07-25 00:00:00,FIL/USD,5.6446,5.687,5.2076,5.2348,81061.04398053647,15485.03170714
1658620800000,2022-07-24 00:00:00,FIL/USD,5.5799,5.934,5.5467,5.6332,217547.22391562565,38618.76445282
1658534400000,2022-07-23 00:00:00,FIL/USD,5.4913,5.6474,5.3874,5.5754,97874.3426389849,17554.67637102
1658448000000,2022-07-22 00:00:00,FIL/USD,5.6181,5.7985,5.421,5.483,151883.37629384827,27700.77991863
1658361600000,2022-07-21 00:00:00,FIL/USD,5.5763,5.723,5.3915,5.6264,215952.14045396744,38381.93879816
1658275200000,2022-07-20 00:00:00,FIL/USD,6.0411,6.169,5.4826,5.5799,192357.28716572255,34473.24990873
1658188800000,2022-07-19 00:00:00,FIL/USD,5.9505,6.254,5.6525,6.0391,243592.8691969714,40335.95555579
1658102400000,2022-07-18 00:00:00,FIL/USD,5.6878,6.187,5.6198,5.9841,527771.9515710124,88195.71056149
1658016000000,2022-07-17 00:00:00,FIL/USD,5.396,5.964,5.3673,5.6885,387592.3915313817,68136.13281733
1657929600000,2022-07-16 00:00:00,FIL/USD,5.2295,5.4384,5.1575,5.389,81830.54303932904,15184.73613645
1657843200000,2022-07-15 00:00:00,FIL/USD,5.3668,5.4529,5.2036,5.2211,71408.36628367784,13676.881554399999
1657756800000,2022-07-14 00:00:00,FIL/USD,5.2827,5.4179,5.158,5.3599,70361.46400495512,13127.38372077
1657670400000,2022-07-13 00:00:00,FIL/USD,5.0706,5.3048,5.0204,5.3021,40012.680422649566,7546.57219265
1657584000000,2022-07-12 00:00:00,FIL/USD,5.1572,5.2739,5.059,5.0766,53686.54413825576,10575.2953036
1657497600000,2022-07-11 00:00:00,FIL/USD,5.4801,5.4856,5.1422,5.198,161444.83524291374,31059.02948113
1657411200000,2022-07-10 00:00:00,FIL/USD,5.7847,5.7955,5.4316,5.4942,174225.10954023214,31710.73305308
1657324800000,2022-07-09 00:00:00,FIL/USD,5.7336,5.9001,5.6915,5.7987,80367.7783494964,13859.61997508
1657238400000,2022-07-08 00:00:00,FIL/USD,5.7897,5.9124,5.5849,5.7016,105340.57851203834,18475.61710959
1657152000000,2022-07-07 00:00:00,FIL/USD,5.5759,5.8566,5.5395,5.7897,85474.43407997128,14763.18878007
1657065600000,2022-07-06 00:00:00,FIL/USD,5.49,5.66,5.4347,5.5636,46262.047286233974,8315.12820588
1656979200000,2022-07-05 00:00:00,FIL/USD,5.5507,5.6254,5.3091,5.4886,77766.96570506002,14168.81640219
1656892800000,2022-07-04 00:00:00,FIL/USD,5.3033,5.6022,5.213,5.5468,58494.6857733009,10545.66340472
1656806400000,2022-07-03 00:00:00,FIL/USD,5.3393,5.3872,5.1924,5.3017,76096.7202470278,14353.26786635
1656720000000,2022-07-02 00:00:00,FIL/USD,5.3387,5.4039,5.2154,5.3347,98723.99184910036,18506.00630759
1656633600000,2022-07-01 00:00:00,FIL/USD,5.4025,5.511,5.2365,5.3241,134336.9804396778,25231.86650132
1656547200000,2022-06-30 00:00:00,FIL/USD,5.4506,5.4986,5.1006,5.4022,116903.62649399952,21640.00342342
1656460800000,2022-06-29 00:00:00,FIL/USD,5.5205,5.5943,5.3574,5.434,103507.60445456574,19048.14215211
1656374400000,2022-06-28 00:00:00,FIL/USD,5.7764,5.9472,5.4594,5.5136,144193.3180182094,26152.29940841
1656288000000,2022-06-27 00:00:00,FIL/USD,5.8139,6.0919,5.67,5.7819,154075.07172503925,26647.82713728
1656201600000,2022-06-26 00:00:00,FIL/USD,6.0756,6.3292,5.8244,5.8244,145580.2610440814,24994.89407391
1656115200000,2022-06-25 00:00:00,FIL/USD,6.1234,6.2854,5.8441,6.0878,164887.02896848044,27084.83014693
1656028800000,2022-06-24 00:00:00,FIL/USD,5.798,6.3758,5.7541,6.1082,212485.59760571824,34786.94175137
1655942400000,2022-06-23 00:00:00,FIL/USD,5.531,5.903,5.5083,5.7896,194887.17193518585,33661.59526309
1655856000000,2022-06-22 00:00:00,FIL/USD,5.8816,5.8857,5.4462,5.5079,263170.608878684,47780.57133911
1655769600000,2022-06-21 00:00:00,FIL/USD,5.4536,6.3681,5.3877,5.9487,570083.0296901001,95833.21224639
1655683200000,2022-06-20 00:00:00,FIL/USD,5.4744,5.6803,5.2826,5.4515,214304.42041425436,39311.09243589
1655596800000,2022-06-19 00:00:00,FIL/USD,5.1189,5.5308,4.9848,5.4723,197029.57542334622,36004.89290122
1655510400000,2022-06-18 00:00:00,FIL/USD,5.3254,5.4096,4.8029,5.1199,300330.63641930575,58659.47311848
1655424000000,2022-06-17 00:00:00,FIL/USD,5.286,5.4734,5.2815,5.3231,708566.671878857,133111.65897294
1655337600000,2022-06-16 00:00:00,FIL/USD,5.8732,5.9196,5.2135,5.2972,70272.4359598572,13265.95861207
1655251200000,2022-06-15 00:00:00,FIL/USD,5.47,5.8811,5.0729,5.8811,151150.94621513382,25701.13519837
1655164800000,2022-06-14 00:00:00,FIL/USD,5.3236,5.7045,5.0083,5.475,158206.26350128875,28896.12118745
1655078400000,2022-06-13 00:00:00,FIL/USD,5.6725,5.8337,5.0735,5.3367,356728.45080138254,66844.3890047
1654992000000,2022-06-12 00:00:00,FIL/USD,6.1081,6.1777,5.6051,5.7016,432188.9394156931,75801.34338005
1654905600000,2022-06-11 00:00:00,FIL/USD,6.8189,6.911,6.07,6.1026,322176.2298998795,52793.27334249
1654819200000,2022-06-10 00:00:00,FIL/USD,7.223,7.2543,6.7343,6.822,221527.1229870762,32472.4601271
1654732800000,2022-06-09 00:00:00,FIL/USD,7.1773,7.3464,7.0814,7.227,191025.85982465502,26432.24848826
1654646400000,2022-06-08 00:00:00,FIL/USD,7.3223,7.4666,7.1531,7.1894,216113.16027476304,30059.971663110002
1654560000000,2022-06-07 00:00:00,FIL/USD,7.5637,7.6509,7.0,7.3372,211585.68479026036,28837.38821216
1654473600000,2022-06-06 00:00:00,FIL/USD,7.3527,7.874,7.3527,7.573,95867.62473940795,12659.13439052
1654387200000,2022-06-05 00:00:00,FIL/USD,7.4545,7.568,7.2643,7.3665,383452.2739000816,52053.52255482
1654300800000,2022-06-04 00:00:00,FIL/USD,7.3963,7.5262,7.2157,7.4692,105323.15815314981,14100.99584335
1654214400000,2022-06-03 00:00:00,FIL/USD,7.7451,7.7552,7.25,7.3826,151389.2425697641,20506.22308804
1654128000000,2022-06-02 00:00:00,FIL/USD,7.4257,7.8009,7.3217,7.7472,211924.24062387814,27354.94638371
1654041600000,2022-06-01 00:00:00,FIL/USD,8.0961,8.1679,7.3164,7.4354,317470.9356916818,42697.22351073
1653955200000,2022-05-31 00:00:00,FIL/USD,8.205,8.3397,7.8331,8.0678,329934.7603203062,40895.25773077
1653868800000,2022-05-30 00:00:00,FIL/USD,7.6178,8.2856,7.5431,8.2115,694768.591050021,84609.21768861
1653782400000,2022-05-29 00:00:00,FIL/USD,7.5293,7.7886,7.335,7.6246,777677.5978958423,101995.85524432
1653696000000,2022-05-28 00:00:00,FIL/USD,7.2241,7.5865,7.1721,7.5507,85575.22352870158,11333.41591226
1653609600000,2022-05-27 00:00:00,FIL/USD,7.6332,7.7199,7.1563,7.2119,102622.77887394655,14229.64529097
1653523200000,2022-05-26 00:00:00,FIL/USD,8.1934,8.2762,7.2975,7.6295,494199.0776525574,64774.76605971
1653436800000,2022-05-25 00:00:00,FIL/USD,8.4175,8.58,8.0885,8.1799,198256.3107947583,24237.00910705
1653350400000,2022-05-24 00:00:00,FIL/USD,8.1766,8.5333,7.9916,8.4162,190157.05665595885,22594.17036857
1653264000000,2022-05-23 00:00:00,FIL/USD,8.4462,9.4686,8.031,8.1565,653442.6368283073,80113.11675698
