https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GNO
1659571200000,2022-08-04 00:00:00,GNO/USD,156.56,158.11,156.56,158.0,99.04444248,0.62686356
1659484800000,2022-08-03 00:00:00,GNO/USD,157.95,161.37,155.11,157.08,4478.8855615812,28.513404389999998
1659398400000,2022-08-02 00:00:00,GNO/USD,157.26,160.74,150.87,157.88,12319.120929635601,78.02838187
1659312000000,2022-08-01 00:00:00,GNO/USD,160.51,163.21,155.57,157.33,3182.3593783700003,20.227289
1659225600000,2022-07-31 00:00:00,GNO/USD,162.17,165.96,160.14,160.72,984.4017277416,6.12494853
1659139200000,2022-07-30 00:00:00,GNO/USD,164.92,165.69,160.76,161.95,1607.902540248,9.92838864
1659052800000,2022-07-29 00:00:00,GNO/USD,164.6,166.57,158.88,165.05,1557.0465509520002,9.43378704
1658966400000,2022-07-28 00:00:00,GNO/USD,155.39,168.18,153.66,164.88,3738.3473232,22.67314
1658880000000,2022-07-27 00:00:00,GNO/USD,139.9,156.18,136.94,155.21,33267.8407535661,214.34083341
1658793600000,2022-07-26 00:00:00,GNO/USD,140.7,141.48,132.89,141.26,25966.685669350998,183.82192885
1658707200000,2022-07-25 00:00:00,GNO/USD,154.42,154.94,140.6,140.6,4693.175854271999,33.37962912
1658620800000,2022-07-24 00:00:00,GNO/USD,150.39,158.1,150.37,154.33,3390.4223332375004,21.96865375
1658534400000,2022-07-23 00:00:00,GNO/USD,148.32,153.28,145.82,149.79,2912.5061054373,19.44392887
1658448000000,2022-07-22 00:00:00,GNO/USD,153.21,158.49,147.66,148.91,6091.806751854,40.9093194
1658361600000,2022-07-21 00:00:00,GNO/USD,149.65,155.75,144.79,153.81,42449.9989715433,275.98985093
1658275200000,2022-07-20 00:00:00,GNO/USD,152.95,162.34,148.14,149.67,13895.7596709588,92.84265164
1658188800000,2022-07-19 00:00:00,GNO/USD,155.06,186.51,149.15,152.76,17410.3060109052,113.97162877
1658102400000,2022-07-18 00:00:00,GNO/USD,132.83,155.07,132.83,155.07,43724.1531194316,281.96397188
1658016000000,2022-07-17 00:00:00,GNO/USD,134.23,137.96,131.13,133.51,17597.225167432298,131.80454773
1657929600000,2022-07-16 00:00:00,GNO/USD,123.46,136.39,118.58,133.44,31119.117613776,233.20681665
1657843200000,2022-07-15 00:00:00,GNO/USD,121.35,132.0,119.6,123.46,10377.3984115166,84.05474171
1657756800000,2022-07-14 00:00:00,GNO/USD,112.08,123.76,108.03,119.8,5246.144106737999,43.79085231
1657670400000,2022-07-13 00:00:00,GNO/USD,104.08,111.84,102.2,110.76,2223.4744221612,20.07470587
1657584000000,2022-07-12 00:00:00,GNO/USD,110.22,113.62,104.0,104.0,16229.066846720001,156.04871968
1657497600000,2022-07-11 00:00:00,GNO/USD,116.74,132.26,109.42,111.15,28454.596375374003,256.00176676
1657411200000,2022-07-10 00:00:00,GNO/USD,122.23,122.51,115.88,117.16,6269.0440924496,53.50839956
1657324800000,2022-07-09 00:00:00,GNO/USD,122.74,136.55,121.08,122.66,20982.751643883,171.06433755
1657238400000,2022-07-08 00:00:00,GNO/USD,124.4,127.72,120.34,122.79,4455.3859799724,36.28459956
1657152000000,2022-07-07 00:00:00,GNO/USD,119.36,124.89,117.28,124.03,9686.0748913199,78.09461333
1657065600000,2022-07-06 00:00:00,GNO/USD,115.24,121.76,113.63,119.35,2281.5630245485,19.11657331
1656979200000,2022-07-05 00:00:00,GNO/USD,117.46,119.58,111.69,116.19,4205.3350021308,36.193605319999996
1656892800000,2022-07-04 00:00:00,GNO/USD,111.54,117.63,107.12,117.41,4117.9186041079,35.07298019
1656806400000,2022-07-03 00:00:00,GNO/USD,109.5,112.27,106.85,110.62,2959.7922854746002,26.75639383
1656720000000,2022-07-02 00:00:00,GNO/USD,108.99,110.99,106.13,109.57,2900.7385556655,26.47383915
1656633600000,2022-07-01 00:00:00,GNO/USD,110.04,116.62,106.87,109.89,10211.5764246771,92.92543839
1656547200000,2022-06-30 00:00:00,GNO/USD,114.36,115.56,104.68,110.32,3024.1502665752,27.41252961
1656460800000,2022-06-29 00:00:00,GNO/USD,117.02,123.39,113.91,113.95,4955.719406962,43.49029756
1656374400000,2022-06-28 00:00:00,GNO/USD,122.05,129.67,116.39,118.04,9177.549847996399,77.74949040999999
1656288000000,2022-06-27 00:00:00,GNO/USD,121.94,128.82,119.8,122.39,8466.0400142066,69.17264494
1656201600000,2022-06-26 00:00:00,GNO/USD,126.74,130.48,122.03,123.0,4376.24160123,35.57920001
1656115200000,2022-06-25 00:00:00,GNO/USD,127.61,128.29,120.92,127.92,1820.1662235432002,14.22894171
1656028800000,2022-06-24 00:00:00,GNO/USD,117.27,128.5,116.81,127.72,2354.3957637763997,18.43404137
1655942400000,2022-06-23 00:00:00,GNO/USD,108.72,144.67,108.72,116.92,25770.504780266798,220.41143329
1655856000000,2022-06-22 00:00:00,GNO/USD,116.33,118.06,107.92,108.0,2685.58182072,24.86649834
1655769600000,2022-06-21 00:00:00,GNO/USD,117.38,122.73,115.04,117.31,2092.3122383926,17.83575346
1655683200000,2022-06-20 00:00:00,GNO/USD,117.33,127.89,112.77,117.3,35512.051348167,302.74553579
1655596800000,2022-06-19 00:00:00,GNO/USD,103.91,142.12,98.719,117.5,56781.690516775,483.24842993
1655510400000,2022-06-18 00:00:00,GNO/USD,113.19,114.97,95.644,103.78,61976.2421786674,597.18868933
1655424000000,2022-06-17 00:00:00,GNO/USD,112.91,120.69,111.85,112.89,36014.0688225636,319.01912324
1655337600000,2022-06-16 00:00:00,GNO/USD,128.66,129.72,112.32,113.8,7808.922828438,68.61970851
1655251200000,2022-06-15 00:00:00,GNO/USD,127.15,129.11,109.46,128.43,32054.5405435536,249.58763952
1655164800000,2022-06-14 00:00:00,GNO/USD,127.88,139.49,118.8,127.72,31940.3535668804,250.08106457
1655078400000,2022-06-13 00:00:00,GNO/USD,151.64,152.63,126.06,128.4,57698.03191683601,449.36161929
1654992000000,2022-06-12 00:00:00,GNO/USD,161.83,162.83,150.44,151.4,17093.618973342,112.90369203
1654905600000,2022-06-11 00:00:00,GNO/USD,176.92,177.47,160.85,161.55,10861.313688940501,67.23190151
1654819200000,2022-06-10 00:00:00,GNO/USD,188.89,189.12,176.45,176.7,1162.12669149,6.5768347
1654732800000,2022-06-09 00:00:00,GNO/USD,188.81,190.81,187.5,189.17,1586.471272865,8.3864845
1654646400000,2022-06-08 00:00:00,GNO/USD,190.47,192.21,185.99,188.6,3072.20437728,16.2895248
1654560000000,2022-06-07 00:00:00,GNO/USD,196.95,196.95,183.19,190.52,4171.975842368401,21.89783667
