https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GNT
1659571200000,2022-08-04 00:00:00,GNT/USD,0.25989,0.25989,0.25517,0.25617,50.110523546278195,195.61433245999999
1659484800000,2022-08-03 00:00:00,GNT/USD,0.26062,0.26675,0.25335,0.2599,1949.0660934189161,7499.29239484
1659398400000,2022-08-02 00:00:00,GNT/USD,0.27256,0.275,0.25256,0.26379,1866.7569406501755,7076.6781934499995
1659312000000,2022-08-01 00:00:00,GNT/USD,0.25843,0.275,0.25843,0.27499,3098.166277005961,11266.46887889
1659225600000,2022-07-31 00:00:00,GNT/USD,0.25821,0.27193,0.25247,0.26062,4055.476767762913,15560.88085244
1659139200000,2022-07-30 00:00:00,GNT/USD,0.25391,0.26476,0.25003,0.25822,1887.687298522521,7310.38377555
1659052800000,2022-07-29 00:00:00,GNT/USD,0.2545,0.25771,0.24275,0.25365,1538.9792485543499,6067.333919
1658966400000,2022-07-28 00:00:00,GNT/USD,0.24709,0.25729,0.24133,0.25444,2422.049337390997,9519.13746813
1658880000000,2022-07-27 00:00:00,GNT/USD,0.2397,0.24856,0.23221,0.2478,2388.307516471548,9638.04486066
1658793600000,2022-07-26 00:00:00,GNT/USD,0.23149,0.24293,0.22477,0.23687,2908.6935891844637,12279.704433590001
1658707200000,2022-07-25 00:00:00,GNT/USD,0.25408,0.25455,0.22889,0.22889,2043.5279752818929,8927.9915037
1658620800000,2022-07-24 00:00:00,GNT/USD,0.25478,0.25832,0.24782,0.2525,1479.8001966657,5860.59483828
1658534400000,2022-07-23 00:00:00,GNT/USD,0.25449,0.25723,0.24479,0.25478,1673.121820638905,6566.92762634
1658448000000,2022-07-22 00:00:00,GNT/USD,0.25174,0.2577,0.24246,0.25525,1557.7431037740648,6102.81333506
1658361600000,2022-07-21 00:00:00,GNT/USD,0.24738,0.25437,0.23709,0.25269,2414.6446394842606,9555.75859545
1658275200000,2022-07-20 00:00:00,GNT/USD,0.25513,0.26557,0.24249,0.24249,2487.9352789773066,10259.95001434
1658188800000,2022-07-19 00:00:00,GNT/USD,0.24726,0.26093,0.24001,0.25512,1928.972285229564,7561.03906095
1658102400000,2022-07-18 00:00:00,GNT/USD,0.23861,0.25285,0.23475,0.25285,1871.932391525157,7403.33158602
1658016000000,2022-07-17 00:00:00,GNT/USD,0.24276,0.24576,0.23513,0.23702,1583.196266623006,6679.5893453
1657929600000,2022-07-16 00:00:00,GNT/USD,0.23987,0.24555,0.23226,0.24315,1923.6224284413781,7911.25818812
1657843200000,2022-07-15 00:00:00,GNT/USD,0.23716,0.2423,0.2304,0.23987,1559.8963561464536,6503.0906580500005
