https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GOT
1657411200000,2022-07-10 00:00:00,GOT/USD,0.007633,0.007633,0.007633,0.007633,22.4799483,2945.1
1657324800000,2022-07-09 00:00:00,GOT/USD,0.0092,0.0092,0.007633,0.007633,4.396608,576.0
1657238400000,2022-07-08 00:00:00,GOT/USD,0.0083862,0.0083862,0.007633,0.007633,290.35762050491695,38039.777348999996
1657152000000,2022-07-07 00:00:00,GOT/USD,0.0084002,0.009,0.0084002,0.0085,29.873695077,3514.552362
1657065600000,2022-07-06 00:00:00,GOT/USD,0.0088097,0.024676,0.0088097,0.0095,130.05759275254,13690.27292132
1656979200000,2022-07-05 00:00:00,GOT/USD,0.025,0.025,0.007633,0.0084175,720.2725022973162,85568.45884138001
1656892800000,2022-07-04 00:00:00,GOT/USD,0.0298,0.0298,0.020327,0.024926,124.1891487026201,4982.31359635
1656806400000,2022-07-03 00:00:00,GOT/USD,0.025227,0.029902,0.02513,0.0298,8.536876791092,286.47237554000003
1656720000000,2022-07-02 00:00:00,GOT/USD,0.03,0.03,0.025,0.02513,100.75211220109979,4009.23645846
1656633600000,2022-07-01 00:00:00,GOT/USD,0.032044,0.037878,0.02241,0.03,867.9061595616,28930.20531872
1656547200000,2022-06-30 00:00:00,GOT/USD,0.037998,0.037998,0.0318,0.032,39.667593288000006,1239.6122902500001
1656460800000,2022-06-29 00:00:00,GOT/USD,0.0378,0.037998,0.0378,0.037998,10.461648137718958,275.32102052
1656374400000,2022-06-28 00:00:00,GOT/USD,0.0309,0.0378,0.0309,0.0378,5.148936726318,136.21525731
1656288000000,2022-06-27 00:00:00,GOT/USD,0.0397,0.04,0.030001,0.0308,80.357615236052,2609.01348169
1656201600000,2022-06-26 00:00:00,GOT/USD,0.03019,0.04,0.030013,0.0398,22.611744634142,568.13428729
1656115200000,2022-06-25 00:00:00,GOT/USD,0.037998,0.0395,0.030001,0.03931,37.042550145444096,942.31875211
1656028800000,2022-06-24 00:00:00,GOT/USD,0.03995,0.04,0.030001,0.037998,66.88691750000898,1760.27468551
1655942400000,2022-06-23 00:00:00,GOT/USD,0.03999,0.04,0.030001,0.030416,83.74034694310654,2753.16764016
1655856000000,2022-06-22 00:00:00,GOT/USD,0.0302,0.04,0.0302,0.039798,84.04398982755667,2111.76415467
1655769600000,2022-06-21 00:00:00,GOT/USD,0.04,0.04,0.027425,0.030164,80.63265809476019,2673.14209305
1655683200000,2022-06-20 00:00:00,GOT/USD,0.039795,0.04,0.029771,0.030036,94.13656175402892,3134.12444247
1655596800000,2022-06-19 00:00:00,GOT/USD,0.030019,0.039999,0.028738,0.039999,107.17784251014942,2679.51305058
1655510400000,2022-06-18 00:00:00,GOT/USD,0.039626,0.039999,0.024726,0.039998,420.49975732363185,10513.01958407
1655424000000,2022-06-17 00:00:00,GOT/USD,0.039999,0.039999,0.039626,0.039626,9.1588586977381,231.13255685000001
1655337600000,2022-06-16 00:00:00,GOT/USD,0.041477,0.041478,0.04,0.04,74.06924501760001,1851.7311254400001
1655251200000,2022-06-15 00:00:00,GOT/USD,0.041477,0.048998,0.040001,0.041663,58.327874644467144,1399.99219078
1655164800000,2022-06-14 00:00:00,GOT/USD,0.041627,0.041627,0.041477,0.041627,5.4495584695906105,130.91403343000002
1655078400000,2022-06-13 00:00:00,GOT/USD,0.044585,0.048999,0.036836,0.041477,102.58542290052144,2473.30865059
1654992000000,2022-06-12 00:00:00,GOT/USD,0.036874,0.045784,0.036491,0.044743,125.33885286594196,2801.30641365
1654905600000,2022-06-11 00:00:00,GOT/USD,0.046166,0.046166,0.036495,0.04597,36.4440668909681,792.77935373
1654819200000,2022-06-10 00:00:00,GOT/USD,0.034646,0.048998,0.034646,0.035031,61.48660271833041,1755.20546711
1654732800000,2022-06-09 00:00:00,GOT/USD,0.036001,0.046547,0.034725,0.046311,255.28607578325494,5512.4284896300005
1654646400000,2022-06-08 00:00:00,GOT/USD,0.04899,0.048999,0.036001,0.038669,17.77651432704291,459.70969838999997
1654300800000,2022-06-04 00:00:00,GOT/USD,0.04899,0.04899,0.04899,0.04899,5.68465963557,116.037143
1654214400000,2022-06-03 00:00:00,GOT/USD,0.041178,0.048998,0.041178,0.041487,14.31350788713324,345.01188052
1654128000000,2022-06-02 00:00:00,GOT/USD,0.047012,0.048999,0.040876,0.048999,59.2515520094745,1209.2400255
1654041600000,2022-06-01 00:00:00,GOT/USD,0.047998,0.047998,0.040297,0.047139,70.46283322961031,1494.7884602899999
1653955200000,2022-05-31 00:00:00,GOT/USD,0.04273,0.048,0.039588,0.047999,77.22209482452058,1608.82715941
1653868800000,2022-05-30 00:00:00,GOT/USD,0.0432,0.0432,0.039003,0.042731,84.17061442535122,1969.77871862
1653782400000,2022-05-29 00:00:00,GOT/USD,0.038515,0.043906,0.038515,0.039097,71.1795896480791,1820.5895503
1653696000000,2022-05-28 00:00:00,GOT/USD,0.044165,0.044165,0.037806,0.043907,76.71192208751641,1747.1456052
1653609600000,2022-05-27 00:00:00,GOT/USD,0.044889,0.044889,0.037068,0.044166,71.13319688673558,1610.58725913
1653523200000,2022-05-26 00:00:00,GOT/USD,0.035587,0.04587,0.035587,0.045051,92.7809273636908,2059.46432629
1653436800000,2022-05-25 00:00:00,GOT/USD,0.036582,0.047572,0.034296,0.045871,121.94716123703253,2658.48054843
1653350400000,2022-05-24 00:00:00,GOT/USD,0.048898,0.048999,0.03282,0.047573,306.66853282976666,6446.27273516
1653264000000,2022-05-23 00:00:00,GOT/USD,0.078506,0.078506,0.04611,0.04611,925.1130851589243,20063.17686313
1653177600000,2022-05-22 00:00:00,GOT/USD,0.064372,0.08,0.064372,0.065,10.7180606468,164.89324072
1653091200000,2022-05-21 00:00:00,GOT/USD,0.0645,0.082639,0.064,0.064,16.460306119040002,257.19228311
1653004800000,2022-05-20 00:00:00,GOT/USD,0.082275,0.082648,0.082275,0.08264,9.375316202476801,113.44767912
1652918400000,2022-05-19 00:00:00,GOT/USD,0.082648,0.082648,0.06438,0.06438,5.2645371008478,81.77286581
1652745600000,2022-05-17 00:00:00,GOT/USD,0.086501,0.086501,0.064,0.082648,10.44028021795512,126.32223669
1652659200000,2022-05-16 00:00:00,GOT/USD,0.06432,0.06432,0.06432,0.06432,2.3155200000000002,36.0
1652572800000,2022-05-15 00:00:00,GOT/USD,0.06432,0.06432,0.064,0.064,49.102459327999995,767.225927
1652400000000,2022-05-13 00:00:00,GOT/USD,0.08,0.086961,0.08,0.086961,8.38130634896184,96.38005944
1652313600000,2022-05-12 00:00:00,GOT/USD,0.07946,0.079776,0.064,0.078539,21.55775884288267,274.48476353
1652227200000,2022-05-11 00:00:00,GOT/USD,0.073129,0.092585,0.064,0.064,205.6895486432,3213.89919755
1652140800000,2022-05-10 00:00:00,GOT/USD,0.093334,0.093334,0.093334,0.093334,5.11871078649208,54.84293812
1652054400000,2022-05-09 00:00:00,GOT/USD,0.086921,0.097459,0.07167,0.095316,37.97863100852184,398.44969374
1651968000000,2022-05-08 00:00:00,GOT/USD,0.073,0.094681,0.072873,0.073843,33.7405301243395,456.9225265
1651881600000,2022-05-07 00:00:00,GOT/USD,0.072999,0.095127,0.072999,0.095127,12.816178848699,134.727037
1651795200000,2022-05-06 00:00:00,GOT/USD,0.091131,0.091322,0.091131,0.091322,9.308533558478,101.93089900000001
1651708800000,2022-05-05 00:00:00,GOT/USD,0.094604,0.094604,0.073083,0.073449,112.05401168858364,1525.60295836
1651622400000,2022-05-04 00:00:00,GOT/USD,0.10448,0.10448,0.094604,0.094604,8.3526521955198,88.29068745000001
1651536000000,2022-05-03 00:00:00,GOT/USD,0.106,0.106,0.089651,0.10599,45.2216042189541,426.65915859
1651449600000,2022-05-02 00:00:00,GOT/USD,0.094574,0.094574,0.094574,0.094574,5.4869571511776405,58.01760686
1651363200000,2022-05-01 00:00:00,GOT/USD,0.10385,0.10386,0.10385,0.10386,11.3300752244922,109.08988277
1651276800000,2022-04-30 00:00:00,GOT/USD,0.10841,0.10841,0.10331,0.10786,146.9424107555034,1362.34387869
1651190400000,2022-04-29 00:00:00,GOT/USD,0.10941,0.10941,0.10219,0.10322,195.4279513263246,1893.31477743
1651104000000,2022-04-28 00:00:00,GOT/USD,0.1097,0.1102,0.10101,0.10942,229.74800954251222,2099.68935791
1651017600000,2022-04-27 00:00:00,GOT/USD,0.10042,0.1102,0.10042,0.10971,160.63443437096342,1464.17313254
1650931200000,2022-04-26 00:00:00,GOT/USD,0.1048,0.1102,0.10002,0.10024,170.5018313330248,1700.93606677
1650844800000,2022-04-25 00:00:00,GOT/USD,0.099343,0.12045,0.099343,0.11989,56.3680096486453,470.16439777
1650758400000,2022-04-24 00:00:00,GOT/USD,0.094552,0.12169,0.094552,0.12088,149.0448502099384,1232.99842993
1650672000000,2022-04-23 00:00:00,GOT/USD,0.12402,0.12408,0.094124,0.094551,65.1533441784573,689.0814923
1650585600000,2022-04-22 00:00:00,GOT/USD,0.11945,0.125,0.085063,0.1038,704.152380077112,6783.74161924
1650499200000,2022-04-21 00:00:00,GOT/USD,0.11853,0.125,0.11853,0.125,21.6518124025,173.21449922
1650412800000,2022-04-20 00:00:00,GOT/USD,0.12713,0.12987,0.084118,0.11854,2963.490085982966,24999.91636564
1650326400000,2022-04-19 00:00:00,GOT/USD,0.123,0.1275,0.10022,0.12749,1177.6675744323138,9237.33292362
1650240000000,2022-04-18 00:00:00,GOT/USD,0.09908,0.13,0.09908,0.123,1109.89173151905,9023.51001235
1650153600000,2022-04-17 00:00:00,GOT/USD,0.096262,0.12,0.096262,0.11985,175.7586100856565,1466.48819429
1650067200000,2022-04-16 00:00:00,GOT/USD,0.11067,0.12,0.09425,0.12,129.695022864,1080.7918572
1649980800000,2022-04-15 00:00:00,GOT/USD,0.12,0.12,0.12,0.12,53.016,441.8
1649894400000,2022-04-14 00:00:00,GOT/USD,0.12,0.12,0.11,0.12,207.01149169559997,1725.09576413
1649808000000,2022-04-13 00:00:00,GOT/USD,0.11583,0.12,0.10357,0.12,1627.8829201776,13565.69100148
1649721600000,2022-04-12 00:00:00,GOT/USD,0.10999,0.116,0.1007,0.11583,3566.2656122304356,30788.79057438
1649635200000,2022-04-11 00:00:00,GOT/USD,0.1,0.11016,0.095321,0.11016,3793.5405987372073,34436.64305317
1649548800000,2022-04-10 00:00:00,GOT/USD,0.088028,0.1,0.0805,0.1,3058.148187144,30581.48187144
1649462400000,2022-04-09 00:00:00,GOT/USD,0.085186,0.1,0.070951,0.088027,2438.148926205787,27697.73962768
1649376000000,2022-04-08 00:00:00,GOT/USD,0.089962,0.1,0.07828,0.084926,1869.9832647464875,22018.97257314
1649289600000,2022-04-07 00:00:00,GOT/USD,0.087894,0.09,0.082943,0.088152,2818.98395768308,31978.67272079
1649203200000,2022-04-06 00:00:00,GOT/USD,0.077114,0.088,0.073151,0.083099,2357.4552867352168,28369.23773734
1649116800000,2022-04-05 00:00:00,GOT/USD,0.066539,0.077759,0.0625,0.071637,1804.0667518777302,25183.44922146
1649030400000,2022-04-04 00:00:00,GOT/USD,0.084163,0.084163,0.066,0.066538,688.1687315881424,10342.49198335
1648944000000,2022-04-03 00:00:00,GOT/USD,0.082188,0.084209,0.082001,0.084164,119.17199134783309,1415.94970947
1648771200000,2022-04-01 00:00:00,GOT/USD,0.085,0.086799,0.08081,0.08421,1330.857957917355,15804.0370255
1648684800000,2022-03-31 00:00:00,GOT/USD,0.083345,0.0892,0.083271,0.083439,2193.545489950871,26289.21115966
1648598400000,2022-03-30 00:00:00,GOT/USD,0.078412,0.0891,0.075462,0.08327,2659.814625373972,31942.0514636
1648512000000,2022-03-29 00:00:00,GOT/USD,0.08,0.08001,0.07837,0.078412,2375.0834230697865,30289.79522356
1648425600000,2022-03-28 00:00:00,GOT/USD,0.08089,0.081418,0.078368,0.08,2489.29816282,31116.22703525
1648339200000,2022-03-27 00:00:00,GOT/USD,0.081248,0.081898,0.074219,0.08089,3383.0238211260494,41822.52220455
1648252800000,2022-03-26 00:00:00,GOT/USD,0.08255,0.08255,0.076907,0.081334,2571.294215103817,31614.01400526
1648166400000,2022-03-25 00:00:00,GOT/USD,0.088737,0.088737,0.06825,0.076347,2928.6254346455053,38359.40422866
1648080000000,2022-03-24 00:00:00,GOT/USD,0.08722,0.096838,0.07455,0.088964,2967.524962688297,33356.46961342
1647993600000,2022-03-23 00:00:00,GOT/USD,0.072421,0.094394,0.070002,0.08722,4486.894558736581,51443.41388141
1647907200000,2022-03-22 00:00:00,GOT/USD,0.070939,0.081871,0.070001,0.080036,3069.291724028602,38348.88955006
1647820800000,2022-03-21 00:00:00,GOT/USD,0.074014,0.11549,0.0507,0.07112,68703.73723922607,966025.55173265
1647734400000,2022-03-20 00:00:00,GOT/USD,0.076023,0.080987,0.073684,0.074013,2540.6505507859847,34327.08511729
1647648000000,2022-03-19 00:00:00,GOT/USD,0.081185,0.081189,0.0705,0.076416,2766.650820936491,36205.12485522
1647561600000,2022-03-18 00:00:00,GOT/USD,0.10036,0.10037,0.052,0.081189,118881.12342882663,1464251.60340473
1647475200000,2022-03-17 00:00:00,GOT/USD,0.096001,0.10037,0.094442,0.10036,3288.9446097465097,32771.46880975
1647388800000,2022-03-16 00:00:00,GOT/USD,0.096712,0.10037,0.089162,0.096,18059.47573160064,188119.53887084
1647302400000,2022-03-15 00:00:00,GOT/USD,0.096022,0.097434,0.091258,0.096712,3059.925261923376,31639.561398
1647216000000,2022-03-14 00:00:00,GOT/USD,0.08913,0.10037,0.071219,0.095939,35422.956475612824,369223.74087298
1647129600000,2022-03-13 00:00:00,GOT/USD,0.089127,0.08913,0.083631,0.089129,2783.0457488453476,31224.91836378
1647043200000,2022-03-12 00:00:00,GOT/USD,0.08575,0.08913,0.082274,0.087333,2385.2360017739,27311.96685988
1646956800000,2022-03-11 00:00:00,GOT/USD,0.074839,0.08913,0.068289,0.085823,15773.050809613042,183785.82442484
1646870400000,2022-03-10 00:00:00,GOT/USD,0.072367,0.074999,0.068792,0.072379,2194.3060485234864,30316.8881654
1646784000000,2022-03-09 00:00:00,GOT/USD,0.070666,0.075,0.07035,0.072366,2216.344028840275,30626.86937015
1646697600000,2022-03-08 00:00:00,GOT/USD,0.070758,0.075,0.069352,0.074892,2654.611897195,35445.86734491
1646611200000,2022-03-07 00:00:00,GOT/USD,0.074998,0.075,0.070251,0.070688,2310.994254733611,32692.879339260002
1646524800000,2022-03-06 00:00:00,GOT/USD,0.071483,0.074999,0.071483,0.074998,770.6169226233878,10275.16630608
1646438400000,2022-03-05 00:00:00,GOT/USD,0.066545,0.075,0.064298,0.072631,1984.541332115524,27323.61294923
1646352000000,2022-03-04 00:00:00,GOT/USD,0.073857,0.075,0.06390056,0.0666,3003.3913137831723,45095.96567242
1646265600000,2022-03-03 00:00:00,GOT/USD,0.070565,0.0749,0.070312,0.073858,2251.2735334039276,30481.10608741
1646179200000,2022-03-02 00:00:00,GOT/USD,0.067914,0.075,0.06305175,0.070488,2376.3516768314057,33712.85434161
1646092800000,2022-03-01 00:00:00,GOT/USD,0.071604,0.074999,0.060146,0.067975,2082.95880174155,30643.012898
1645833600000,2022-02-26 00:00:00,GOT/USD,0.074999,0.075,0.070538,0.072718,1905.5539588040501,26204.70803383
1645747200000,2022-02-25 00:00:00,GOT/USD,0.074999,0.075,0.073469,0.074999,2330.7282398316115,31076.790888300002
1645660800000,2022-02-24 00:00:00,GOT/USD,0.074998,0.075,0.07347,0.074999,2362.069501821297,31494.67995335
1645574400000,2022-02-23 00:00:00,GOT/USD,0.074999,0.075,0.073471,0.074999,2339.1330064648123,31188.85593761
1645488000000,2022-02-22 00:00:00,GOT/USD,0.074999,0.075,0.070797,0.074999,2311.3190897324803,30817.99876975
1645401600000,2022-02-21 00:00:00,GOT/USD,0.073597,0.074999,0.067755,0.074999,2450.504746727476,32673.83227413
1645315200000,2022-02-20 00:00:00,GOT/USD,0.06987,0.073999,0.067513,0.073195,2520.104090367256,34430.00328393
1645228800000,2022-02-19 00:00:00,GOT/USD,0.064776,0.07088,0.06202757,0.06987,1785.531115959262,25555.04674337
