https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GRT
1659571200000,2022-08-04 00:00:00,GRT/USD,0.11965,0.11965,0.11965,0.11965,11.965,100.0
1659484800000,2022-08-03 00:00:00,GRT/USD,0.11575,0.12362,0.11487,0.11822,5830.721464602094,49320.939473880004
1659398400000,2022-08-02 00:00:00,GRT/USD,0.11925,0.1245,0.11463,0.117,10649.80110929202,91023.94110506
1659312000000,2022-08-01 00:00:00,GRT/USD,0.12748,0.13125,0.12168,0.12299,7848.5659655965555,63814.66757945
1659225600000,2022-07-31 00:00:00,GRT/USD,0.1337,0.14009,0.12797,0.12822,11260.174494631787,87819.17403394
1659139200000,2022-07-30 00:00:00,GRT/USD,0.12801,0.14461,0.12769,0.13089,18652.280420088777,142503.47941087
1659052800000,2022-07-29 00:00:00,GRT/USD,0.1158,0.14017,0.11505,0.12754,31937.928790114784,250414.99757029
1658966400000,2022-07-28 00:00:00,GRT/USD,0.11165,0.11751,0.10678,0.11497,30814.05730976945,268018.2422351
1658880000000,2022-07-27 00:00:00,GRT/USD,0.10109,0.11117,0.095237,0.11117,5790.366452904365,52085.69265903
1658793600000,2022-07-26 00:00:00,GRT/USD,0.095795,0.098277,0.093286,0.095186,5755.849051433039,60469.491852089996
1658707200000,2022-07-25 00:00:00,GRT/USD,0.10305,0.10305,0.09605,0.09605,4457.503561712455,46408.15785229
1658620800000,2022-07-24 00:00:00,GRT/USD,0.10857,0.10858,0.10468,0.10621,3295.608472221403,31029.1730743
1658534400000,2022-07-23 00:00:00,GRT/USD,0.10599,0.10757,0.10114,0.10361,6335.632784809998,61148.85421108
1658448000000,2022-07-22 00:00:00,GRT/USD,0.10944,0.11456,0.10383,0.10496,7745.735075069977,73797.01862681
1658361600000,2022-07-21 00:00:00,GRT/USD,0.10363,0.10804,0.10203,0.10779,3458.124624201336,32082.0542184
1658275200000,2022-07-20 00:00:00,GRT/USD,0.11346,0.12135,0.10449,0.10476,8412.133820520101,80299.10099771
1658188800000,2022-07-19 00:00:00,GRT/USD,0.10989,0.11655,0.10867,0.11497,7491.265856731108,65158.44008638
1658102400000,2022-07-18 00:00:00,GRT/USD,0.098129,0.138,0.098129,0.11088,16313.915388334133,147131.27153981
1658016000000,2022-07-17 00:00:00,GRT/USD,0.10001,0.1024,0.097801,0.098119,8605.986944051136,87709.68868467
1657929600000,2022-07-16 00:00:00,GRT/USD,0.099095,0.103,0.096701,0.10056,9508.98501130775,94560.31236384
1657843200000,2022-07-15 00:00:00,GRT/USD,0.096853,0.099312,0.096659,0.098942,328.02496435969334,3315.32579046
1657756800000,2022-07-14 00:00:00,GRT/USD,0.092355,0.096706,0.091,0.095722,2322.4537364689277,24262.486538819998
1657670400000,2022-07-13 00:00:00,GRT/USD,0.087,0.095778,0.08,0.093962,17770.4414258052,189123.7034738
1657584000000,2022-07-12 00:00:00,GRT/USD,0.091657,0.094136,0.087176,0.087176,4768.385249260103,54698.37167638
1657497600000,2022-07-11 00:00:00,GRT/USD,0.098639,0.099715,0.09258,0.09258,1322.0253862058573,14279.81622603
1657411200000,2022-07-10 00:00:00,GRT/USD,0.10443,0.10484,0.099264,0.10024,1398.104870255688,13947.5745237
1657324800000,2022-07-09 00:00:00,GRT/USD,0.10068,0.11011,0.10061,0.10747,39016.05301264962,363041.3418875
1657238400000,2022-07-08 00:00:00,GRT/USD,0.10267,0.1038,0.098053,0.10052,30836.377591237004,306768.57930001
1657152000000,2022-07-07 00:00:00,GRT/USD,0.098582,0.10314,0.098582,0.10206,3863.394446230683,37854.14899305
1657065600000,2022-07-06 00:00:00,GRT/USD,0.096094,0.098792,0.095958,0.097499,1975.9680409913062,20266.54674398
1656979200000,2022-07-05 00:00:00,GRT/USD,0.098881,0.10078,0.092991,0.097073,3765.4491676450775,38789.87120667
1656892800000,2022-07-04 00:00:00,GRT/USD,0.092363,0.098019,0.09231,0.098019,1638.6708866162567,16717.89027246
1656806400000,2022-07-03 00:00:00,GRT/USD,0.0928,0.094532,0.091031,0.094532,1717.2871645564637,18166.19943042
1656720000000,2022-07-02 00:00:00,GRT/USD,0.09138,0.095617,0.09095,0.095398,1162.301780835322,12183.71224591
1656633600000,2022-07-01 00:00:00,GRT/USD,0.097618,0.09855,0.090561,0.09342,1674.5958402636186,17925.45322483
1656547200000,2022-06-30 00:00:00,GRT/USD,0.094704,0.094811,0.090133,0.094811,5497.651166119099,57985.37264789
1656460800000,2022-06-29 00:00:00,GRT/USD,0.10108,0.1019,0.094996,0.095551,20391.26313597439,213407.11385516
1656374400000,2022-06-28 00:00:00,GRT/USD,0.10886,0.10917,0.0993,0.10002,10501.149764366875,104990.49954376
1656288000000,2022-06-27 00:00:00,GRT/USD,0.10896,0.11386,0.10653,0.10737,14351.08715736221,133660.12067954
1656201600000,2022-06-26 00:00:00,GRT/USD,0.11732,0.12363,0.1077,0.10825,38292.732223866,353743.48474703
1656115200000,2022-06-25 00:00:00,GRT/USD,0.11681,0.12003,0.10993,0.11661,19767.589564692254,169518.8196955
