https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GTX
1659571200000,2022-08-04 00:00:00,GTX/USD,4.5079,4.5079,4.4921,4.5052,19.237204,4.27
1659484800000,2022-08-03 00:00:00,GTX/USD,4.352,4.5991,4.3104,4.5081,1534.82411952,340.4592
1659398400000,2022-08-02 00:00:00,GTX/USD,4.4165,4.4392,4.2183,4.352,1041.8026496,239.38479999999998
1659312000000,2022-08-01 00:00:00,GTX/USD,4.4554,4.5067,4.3706,4.4165,728.0662081,164.8514
1659225600000,2022-07-31 00:00:00,GTX/USD,4.4426,4.5729,4.4424,4.4555,677.9542266,152.1612
1659139200000,2022-07-30 00:00:00,GTX/USD,4.409,4.5929,4.4002,4.4425,1369.3961825000001,308.249
1659052800000,2022-07-29 00:00:00,GTX/USD,4.2933,4.4306,4.2806,4.3856,1096.9416216,250.1235
1658966400000,2022-07-28 00:00:00,GTX/USD,4.1968,4.4651,4.1735,4.2933,3026.13078768,704.8496
1658880000000,2022-07-27 00:00:00,GTX/USD,4.0129,4.1956,3.9507,4.1805,960.7018927500001,229.8055
1658793600000,2022-07-26 00:00:00,GTX/USD,3.9665,4.0218,3.9386,4.0091,617.41823822,154.0042
1658707200000,2022-07-25 00:00:00,GTX/USD,4.16,4.1739,3.9618,3.9625,562.47964875,141.9507
1658620800000,2022-07-24 00:00:00,GTX/USD,4.1284,4.2167,4.0828,4.16,588.703232,141.5152
1658534400000,2022-07-23 00:00:00,GTX/USD,4.1083,4.1339,4.0461,4.1127,750.2157028800001,182.4144
1658448000000,2022-07-22 00:00:00,GTX/USD,4.1184,4.1791,4.0661,4.1085,1122.01614855,273.0963
1658361600000,2022-07-21 00:00:00,GTX/USD,4.1556,4.1729,4.0957,4.1215,1156.57656645,280.6203
1658275200000,2022-07-20 00:00:00,GTX/USD,4.2309,4.2827,4.1063,4.1556,1173.5892293999998,282.4115
1658188800000,2022-07-19 00:00:00,GTX/USD,4.2666,4.317,4.0849,4.238,1130.6873812000001,266.7974
1658102400000,2022-07-18 00:00:00,GTX/USD,4.091,4.2826,4.091,4.2826,1309.7017341800001,305.8193
1658016000000,2022-07-17 00:00:00,GTX/USD,4.1537,4.181,4.091,4.091,824.0382661,201.4271
1657929600000,2022-07-16 00:00:00,GTX/USD,4.0031,4.1243,3.9876,4.1243,680.34164099,164.9593
1657843200000,2022-07-15 00:00:00,GTX/USD,4.0096,4.0807,3.9736,4.003,775.5404194,193.7398
1657756800000,2022-07-14 00:00:00,GTX/USD,3.9564,4.0079,3.8822,3.9985,1277.0449285000002,319.38100000000003
1657670400000,2022-07-13 00:00:00,GTX/USD,3.7833,3.963,3.7184,3.9562,1787.6948195399998,451.8717
1657584000000,2022-07-12 00:00:00,GTX/USD,3.9001,3.9001,3.7832,3.7833,1068.45423789,282.4133
1657497600000,2022-07-11 00:00:00,GTX/USD,3.9163,3.9762,3.8933,3.8933,980.72538464,251.9008
1657411200000,2022-07-10 00:00:00,GTX/USD,3.9439,3.9661,3.8979,3.9163,779.622312357199,199.07114173
1657324800000,2022-07-09 00:00:00,GTX/USD,3.9275,3.9573,3.9126,3.9298,1013.7414254800001,257.9626
1657238400000,2022-07-08 00:00:00,GTX/USD,4.0279,4.0922,3.9356,3.9398,1719.58465019596,436.4649602
1657152000000,2022-07-07 00:00:00,GTX/USD,4.0101,4.0647,3.9726,4.028,1871.5783477038397,464.64209228
1657065600000,2022-07-06 00:00:00,GTX/USD,4.0472,4.0765,3.9568,4.0101,874.9356483,218.183
1656979200000,2022-07-05 00:00:00,GTX/USD,4.0782,4.1279,3.9108,4.0555,1582.7699957000002,390.2774
1656892800000,2022-07-04 00:00:00,GTX/USD,4.109,4.1092,3.9285,4.0782,1399.85520024,343.2532
1656806400000,2022-07-03 00:00:00,GTX/USD,4.0983,4.1438,4.0222,4.1128,969.8290860000001,235.8075
1656720000000,2022-07-02 00:00:00,GTX/USD,4.04,4.1245,3.9293,4.0983,1822.71195789,444.7483
1656633600000,2022-07-01 00:00:00,GTX/USD,4.1144,4.1657,4.0014,4.0479,1259.0248136400003,311.0316
1656547200000,2022-06-30 00:00:00,GTX/USD,4.1114,4.1179,3.8584,4.1144,1631.86073392,396.6218
1656460800000,2022-06-29 00:00:00,GTX/USD,4.1699,4.1701,4.0364,4.1113,1114.16682243,271.0011
1656374400000,2022-06-28 00:00:00,GTX/USD,4.279,4.352,4.1598,4.1638,835.71130144,200.7088
1656288000000,2022-06-27 00:00:00,GTX/USD,4.2888,4.3733,4.1904,4.279,780.9654248,182.5112
1656201600000,2022-06-26 00:00:00,GTX/USD,4.3339,4.4165,4.2992,4.2992,551.93602512,128.3811
1656115200000,2022-06-25 00:00:00,GTX/USD,4.2757,4.3384,4.2473,4.3339,736.73309609,169.9931
1656028800000,2022-06-24 00:00:00,GTX/USD,4.246,4.2831,4.21,4.2757,1042.7367650699998,243.8751
1655942400000,2022-06-23 00:00:00,GTX/USD,4.0635,4.246,4.0635,4.246,1078.8016008000002,254.0748
1655856000000,2022-06-22 00:00:00,GTX/USD,4.1901,4.2063,4.0352,4.0636,1496.78804944,368.3404
1655769600000,2022-06-21 00:00:00,GTX/USD,4.0488,4.3216,4.0397,4.2044,1387.0202081199998,329.8973
1655683200000,2022-06-20 00:00:00,GTX/USD,3.9519,4.1321,3.798,4.0578,1997.1631346400002,492.1788
1655596800000,2022-06-19 00:00:00,GTX/USD,3.6068,3.9953,3.4777,3.952,2758.8228304,698.0827
1655510400000,2022-06-18 00:00:00,GTX/USD,3.9478,3.9931,3.3278,3.5995,2646.9538764500003,735.3671
1655424000000,2022-06-17 00:00:00,GTX/USD,3.9629,4.0596,3.9279,3.9479,1248.32913832,316.2008
1655337600000,2022-06-16 00:00:00,GTX/USD,4.3938,4.431,3.9003,3.952,3111.1432352,787.2326
