https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume HIX
1659571200000,2022-08-04 00:00:00,HIX/USD,0.057634,0.057999,0.056704,0.056709,3046.6240116934237,53723.81829504
1659484800000,2022-08-03 00:00:00,HIX/USD,0.0565,0.0583,0.0565,0.0574,28050.592767805734,488686.28515341
1659398400000,2022-08-02 00:00:00,HIX/USD,0.057097,0.057599,0.056405,0.056501,31652.59069273745,560212.92884617
1659312000000,2022-08-01 00:00:00,HIX/USD,0.057096,0.057699,0.056401,0.056803,61353.82470838602,1080115.92184191
1659225600000,2022-07-31 00:00:00,HIX/USD,0.056603,0.058299,0.05656,0.057099,63496.97349052785,1112050.53486975
1659139200000,2022-07-30 00:00:00,HIX/USD,0.057506,0.058997,0.056561,0.056602,76126.65872376504,1344946.44577515
1659052800000,2022-07-29 00:00:00,HIX/USD,0.058395,0.059299,0.0571,0.057699,76598.18988795343,1327547.96249421
1658966400000,2022-07-28 00:00:00,HIX/USD,0.05937,0.060599,0.057302,0.058199,93344.98962480019,1603893.35941855
1658880000000,2022-07-27 00:00:00,HIX/USD,0.059391,0.060299,0.058601,0.059101,98907.44892915478,1673532.57862227
1658793600000,2022-07-26 00:00:00,HIX/USD,0.060604,0.062699,0.059001,0.0593,80418.09629478959,1356123.04038431
1658707200000,2022-07-25 00:00:00,HIX/USD,0.061901,0.062996,0.0604,0.060604,49683.20153235216,819800.69850756
1658620800000,2022-07-24 00:00:00,HIX/USD,0.061397,0.063299,0.061093,0.061986,108533.81210144638,1750940.73018821
1658534400000,2022-07-23 00:00:00,HIX/USD,0.062098,0.063599,0.060594,0.061006,52010.508616590574,852547.43167214
1658448000000,2022-07-22 00:00:00,HIX/USD,0.063194,0.064199,0.061001,0.061808,103237.27425397755,1670289.83714046
1658361600000,2022-07-21 00:00:00,HIX/USD,0.061297,0.063997,0.0605,0.063101,182944.45534237832,2899232.26798907
1658275200000,2022-07-20 00:00:00,HIX/USD,0.063301,0.0645,0.0605,0.061299,120337.06365630405,1963116.26056386
1658188800000,2022-07-19 00:00:00,HIX/USD,0.064602,0.066099,0.0626,0.063691,146426.1975355085,2299009.24048152
1658102400000,2022-07-18 00:00:00,HIX/USD,0.065599,0.067699,0.064201,0.065,129083.44312724705,1985899.12503457
1658016000000,2022-07-17 00:00:00,HIX/USD,0.067401,0.0687,0.064602,0.065201,168368.3525345205,2582297.08953115
1657929600000,2022-07-16 00:00:00,HIX/USD,0.066831,0.068999,0.065502,0.067797,147194.24472856737,2171102.62590627
1657843200000,2022-07-15 00:00:00,HIX/USD,0.069899,0.070996,0.0663,0.0666,135504.90467603275,2034608.17831881
1657756800000,2022-07-14 00:00:00,HIX/USD,0.0697,0.0712,0.0691,0.0697,65495.85974324705,939682.34925749
1657670400000,2022-07-13 00:00:00,HIX/USD,0.070602,0.0722,0.0696,0.0696,71371.71843327499,1025455.72461602
1657584000000,2022-07-12 00:00:00,HIX/USD,0.0698,0.071282,0.069201,0.070602,77788.36468431038,1101786.98456574
1657497600000,2022-07-11 00:00:00,HIX/USD,0.070898,0.0716,0.0693,0.069501,71496.44658588376,1028711.04855878
1657411200000,2022-07-10 00:00:00,HIX/USD,0.0707,0.0714,0.0689,0.070505,71840.16226123415,1018937.12873178
1657324800000,2022-07-09 00:00:00,HIX/USD,0.0711,0.072,0.0701,0.0707,75175.98895814871,1063309.60336844
1657238400000,2022-07-08 00:00:00,HIX/USD,0.0738,0.0743,0.0701,0.071,74855.80819091065,1054307.15761846
1657152000000,2022-07-07 00:00:00,HIX/USD,0.0734,0.0751,0.0722,0.0743,69430.39558799063,934460.23671589
1657065600000,2022-07-06 00:00:00,HIX/USD,0.071798,0.0824,0.071,0.0734,83214.12571229637,1133707.43477243
1656979200000,2022-07-05 00:00:00,HIX/USD,0.07,0.0721,0.0698,0.071301,77470.60081398727,1086528.95210428
1656892800000,2022-07-04 00:00:00,HIX/USD,0.067203,0.0712,0.0671,0.0699,82699.0562506277,1183105.23963702
1656806400000,2022-07-03 00:00:00,HIX/USD,0.0676,0.069,0.0668,0.0673,78258.12802402236,1162825.08208057
1656720000000,2022-07-02 00:00:00,HIX/USD,0.0688,0.0694,0.0669,0.0676,70717.70380637502,1046119.87879253
1656633600000,2022-07-01 00:00:00,HIX/USD,0.069,0.0698,0.067916,0.069,80338.0998372102,1164320.2874958
1656547200000,2022-06-30 00:00:00,HIX/USD,0.069701,0.0702,0.0683,0.0688,77246.1237207884,1122763.42617425
1656460800000,2022-06-29 00:00:00,HIX/USD,0.0708,0.0713,0.068352,0.0697,86849.7160397317,1246050.44533331
1656374400000,2022-06-28 00:00:00,HIX/USD,0.071495,0.0716,0.0694,0.0705,83077.95399469903,1178410.69496027
1656288000000,2022-06-27 00:00:00,HIX/USD,0.0779,0.078001,0.0709,0.0714,69638.29667711092,975326.28399315
1656201600000,2022-06-26 00:00:00,HIX/USD,0.0869,0.087099,0.0772,0.0772,89335.88412772845,1157200.5716027
1656115200000,2022-06-25 00:00:00,HIX/USD,0.088699,0.089,0.08538,0.0869,87868.67279319832,1011146.98266051
1656028800000,2022-06-24 00:00:00,HIX/USD,0.091499,0.092291,0.08848,0.088799,112250.6195370779,1264097.78868093
1655942400000,2022-06-23 00:00:00,HIX/USD,0.093185,0.0969,0.090501,0.091401,159502.9656473949,1745089.94045355
1655856000000,2022-06-22 00:00:00,HIX/USD,0.094201,0.097099,0.0915,0.092901,155372.81137307236,1672455.74722632
1655769600000,2022-06-21 00:00:00,HIX/USD,0.11486,0.11486,0.0918,0.0944,106386.55275837769,1126976.19447434
1655683200000,2022-06-20 00:00:00,HIX/USD,0.1156,0.11739,0.1124,0.11555,56150.3853026786,485940.15839618
1655596800000,2022-06-19 00:00:00,HIX/USD,0.1176,0.1197,0.11501,0.1158,84838.82077229646,732632.30373313
1655510400000,2022-06-18 00:00:00,HIX/USD,0.11541,0.11849,0.11424,0.1175,128441.61241016081,1093120.10561839
1655424000000,2022-06-17 00:00:00,HIX/USD,0.1166,0.125,0.11458,0.11599,91276.74569901195,786936.33674465
1655337600000,2022-06-16 00:00:00,HIX/USD,0.1145,0.11968,0.1145,0.1166,62287.321476566714,534196.58213179
1655251200000,2022-06-15 00:00:00,HIX/USD,0.11602,0.11879,0.114,0.1145,62921.144881661756,549529.6496215
1655164800000,2022-06-14 00:00:00,HIX/USD,0.117,0.12009,0.11391,0.1166,108451.09593203042,930112.31502599
1655078400000,2022-06-13 00:00:00,HIX/USD,0.11806,0.12177,0.11511,0.1165,88092.38277079251,756157.79202397
1654992000000,2022-06-12 00:00:00,HIX/USD,0.11851,0.12911,0.11581,0.11807,101945.7487563625,863434.81626461
1654905600000,2022-06-11 00:00:00,HIX/USD,0.1186,0.1212,0.1172,0.11888,102989.98012023172,866335.63358203
1654819200000,2022-06-10 00:00:00,HIX/USD,0.1223,0.12369,0.11681,0.11762,120670.92692388105,1025938.84478729
1654732800000,2022-06-09 00:00:00,HIX/USD,0.12988,0.13161,0.12051,0.12122,87929.88564978457,725374.4072742499
1654646400000,2022-06-08 00:00:00,HIX/USD,0.12628,0.13098,0.12561,0.12988,107184.45109097412,825257.55382641
1654560000000,2022-06-07 00:00:00,HIX/USD,0.12245,0.12739,0.1212,0.12628,96483.01638984353,764040.35785432
1654473600000,2022-06-06 00:00:00,HIX/USD,0.11951,0.12459,0.11931,0.1232,91543.81192824808,743050.42149552
1654387200000,2022-06-05 00:00:00,HIX/USD,0.1166,0.12278,0.11514,0.12057,92399.67421923975,766357.08898764
1654300800000,2022-06-04 00:00:00,HIX/USD,0.11379,0.11758,0.11261,0.1165,112171.1924457817,962842.85361186
1654214400000,2022-06-03 00:00:00,HIX/USD,0.1092,0.11498,0.1082,0.11311,105455.15819998192,932323.91654126
1654128000000,2022-06-02 00:00:00,HIX/USD,0.10618,0.11039,0.10524,0.1081,72426.23103774677,669992.88656565
1654041600000,2022-06-01 00:00:00,HIX/USD,0.10295,0.10799,0.10281,0.10551,118022.26860041473,1118588.46176111
1653955200000,2022-05-31 00:00:00,HIX/USD,0.10049,0.10498,0.099,0.10295,173871.25858880227,1688890.32140653
1653868800000,2022-05-30 00:00:00,HIX/USD,0.095204,0.10259,0.0952,0.10021,165267.40562338836,1649210.71373504
1653782400000,2022-05-29 00:00:00,HIX/USD,0.092966,0.099799,0.091301,0.097,126196.87227213921,1300998.68321793
1653696000000,2022-05-28 00:00:00,HIX/USD,0.089403,0.0938,0.0888,0.0922,152146.76643592646,1650181.84854584
1653609600000,2022-05-27 00:00:00,HIX/USD,0.0863,0.092,0.086,0.090298,148379.97730919765,1643225.51229482
1653523200000,2022-05-26 00:00:00,HIX/USD,0.083005,0.087977,0.082805,0.087,89917.93085645181,1033539.43513163
1653436800000,2022-05-25 00:00:00,HIX/USD,0.079598,0.084699,0.078803,0.083898,120696.96452012291,1438615.51550839
1653350400000,2022-05-24 00:00:00,HIX/USD,0.072901,0.081899,0.0729,0.078803,125780.98909481023,1596144.67843623
1653264000000,2022-05-23 00:00:00,HIX/USD,0.070098,0.0751,0.0691,0.0737,76004.68267685671,1031271.13537119
1653177600000,2022-05-22 00:00:00,HIX/USD,0.0669,0.0705,0.0613,0.0697,19857.92888399509,284905.72286937
1653091200000,2022-05-21 00:00:00,HIX/USD,0.074099,0.074363,0.0667,0.0669,113520.62185280534,1696870.28180576
1653004800000,2022-05-20 00:00:00,HIX/USD,0.083599,0.0845,0.0714,0.074099,138696.12327990137,1871767.81440912
1652918400000,2022-05-19 00:00:00,HIX/USD,0.0808,0.0876,0.071,0.082703,195977.6833895096,2369656.28078195
1652832000000,2022-05-18 00:00:00,HIX/USD,0.0881,0.09,0.0807,0.081,111314.96075987973,1374258.77481333
1652745600000,2022-05-17 00:00:00,HIX/USD,0.0905,0.0949,0.0875,0.0881,16963.868961503933,192552.42862093
1652659200000,2022-05-16 00:00:00,HIX/USD,0.0914,0.097087,0.0905,0.0931,7975.572935059255,85666.73399634
1652572800000,2022-05-15 00:00:00,HIX/USD,0.092305,0.097281,0.090801,0.0912,2314.243712584992,25375.47930466
1652486400000,2022-05-14 00:00:00,HIX/USD,0.0938,0.0981,0.0916,0.094399,3581.4527057399087,37939.51954724
1652400000000,2022-05-13 00:00:00,HIX/USD,0.096001,0.1,0.0932,0.0944,4817.92388514592,51037.3292918
1652313600000,2022-05-12 00:00:00,HIX/USD,0.098892,0.1,0.096001,0.096001,577.4033257678051,6014.55532513
1652227200000,2022-05-11 00:00:00,HIX/USD,0.09921,0.10129,0.0972,0.0972,3055.8122976382197,31438.39812385
1652140800000,2022-05-10 00:00:00,HIX/USD,0.1043,0.1087,0.0988,0.098811,14497.78848221539,146722.41432852
1652054400000,2022-05-09 00:00:00,HIX/USD,0.10821,0.1112,0.10357,0.10357,8134.822968782661,78544.20168758
1651968000000,2022-05-08 00:00:00,HIX/USD,0.1129,0.1129,0.107,0.1091,1420.648793581216,13021.52881376
1651881600000,2022-05-07 00:00:00,HIX/USD,0.11438,0.11793,0.1115,0.1119,14903.70724084515,133187.7322685
1651795200000,2022-05-06 00:00:00,HIX/USD,0.1164,0.11938,0.1126,0.1135,36583.12180106652,322318.25375389
1651708800000,2022-05-05 00:00:00,HIX/USD,0.1165,0.13944,0.115,0.1163,38740.089622844214,333104.81189032
1651622400000,2022-05-04 00:00:00,HIX/USD,0.1176,0.1179,0.115,0.1165,4187.714833871475,35946.05007615
1651536000000,2022-05-03 00:00:00,HIX/USD,0.1203,0.1485,0.10474,0.1173,34829.52212577408,296926.87234249
1651449600000,2022-05-02 00:00:00,HIX/USD,0.1221,0.12555,0.1199,0.1215,8927.971191150615,73481.24437161
1651363200000,2022-05-01 00:00:00,HIX/USD,0.1242,0.12708,0.1201,0.122,7673.06556778116,62893.98006378
1651276800000,2022-04-30 00:00:00,HIX/USD,0.1242,0.12841,0.1232,0.1243,11522.293473526672,92697.45352797
1651190400000,2022-04-29 00:00:00,HIX/USD,0.1279,0.1478,0.123,0.1242,60870.87598580835,490103.67138332
1651104000000,2022-04-28 00:00:00,HIX/USD,0.129,0.1448,0.12666,0.13098,21651.26665617521,165302.08166266
1651017600000,2022-04-27 00:00:00,HIX/USD,0.1235,0.1322,0.1235,0.13065,43868.13727870483,335768.36799621
1650931200000,2022-04-26 00:00:00,HIX/USD,0.128,0.13002,0.12211,0.1233,15648.246166152952,126911.97215047
1650844800000,2022-04-25 00:00:00,HIX/USD,0.1264,0.1337,0.1237,0.1248,23179.114285687774,185730.08241737
1650758400000,2022-04-24 00:00:00,HIX/USD,0.1269,0.134,0.1248,0.1265,18089.163164458925,142997.33726845
1650672000000,2022-04-23 00:00:00,HIX/USD,0.1273,0.1485,0.1243,0.1252,42053.49536596712,335890.53806683
1650585600000,2022-04-22 00:00:00,HIX/USD,0.1271,0.14326,0.11756,0.127,25661.76892836864,202061.17266432
1650499200000,2022-04-21 00:00:00,HIX/USD,0.1286,0.13286,0.1244,0.1244,15140.435290052956,121707.67918049
1650412800000,2022-04-20 00:00:00,HIX/USD,0.1284,0.1337,0.1259,0.1281,17490.457949639367,136537.53278407
1650326400000,2022-04-19 00:00:00,HIX/USD,0.1292,0.13498,0.12661,0.128,19982.372053053437,156112.28166448
1650240000000,2022-04-18 00:00:00,HIX/USD,0.13512,0.1485,0.1295,0.13,34894.7678823536,268421.29140272
1650153600000,2022-04-17 00:00:00,HIX/USD,0.1293,0.1485,0.12246,0.1319,16979.6597658621,128731.30982457999
1650067200000,2022-04-16 00:00:00,HIX/USD,0.1308,0.1378,0.1297,0.1305,18020.749835663148,138090.03705489
1649980800000,2022-04-15 00:00:00,HIX/USD,0.1503,0.1573,0.1281,0.1291,52025.96726028782,402989.67668697
1649894400000,2022-04-14 00:00:00,HIX/USD,0.15401,0.1729,0.13449,0.1503,29157.75328235301,193997.0278267
1649808000000,2022-04-13 00:00:00,HIX/USD,0.1535,0.1756,0.1486,0.1515,25723.033060781807,169788.99710087
1649721600000,2022-04-12 00:00:00,HIX/USD,0.15888,0.15888,0.1543,0.1543,1759.0574890690027,11400.242962209999
1649635200000,2022-04-11 00:00:00,HIX/USD,0.1636,0.16774,0.1587,0.16529,2158.9764296973217,13061.7486218
1649548800000,2022-04-10 00:00:00,HIX/USD,0.1674,0.17608,0.1618,0.1618,11411.791828113517,70530.23379551
1649462400000,2022-04-09 00:00:00,HIX/USD,0.1721,0.17626,0.1673,0.1674,5214.951662675976,31152.63836724
1649376000000,2022-04-08 00:00:00,HIX/USD,0.1724,0.1782,0.1694,0.1703,10941.567688367213,64248.78266804
1649289600000,2022-04-07 00:00:00,HIX/USD,0.1728,0.1752,0.1702,0.1724,4905.9203143882405,28456.6143526
1649203200000,2022-04-06 00:00:00,HIX/USD,0.1722,0.1803,0.1686,0.17549,15261.679524542436,86966.09222487
1649116800000,2022-04-05 00:00:00,HIX/USD,0.1719,0.18,0.16552,0.1722,32798.22775660149,190465.89870268
1649030400000,2022-04-04 00:00:00,HIX/USD,0.1757,0.1805,0.1704,0.1722,6236.10637267674,36214.3227217
1648944000000,2022-04-03 00:00:00,HIX/USD,0.1721,0.1791,0.1707,0.1744,5521.6749852741605,31660.98042015
1648857600000,2022-04-02 00:00:00,HIX/USD,0.171,0.1819,0.16817,0.172,18966.085205556916,110267.93724161
1648771200000,2022-04-01 00:00:00,HIX/USD,0.17299,0.1788,0.1713,0.1727,8690.638600115999,50322.16908
1648684800000,2022-03-31 00:00:00,HIX/USD,0.1689,0.1783,0.1689,0.17299,29320.411329961837,169491.94363814
1648598400000,2022-03-30 00:00:00,HIX/USD,0.1617,0.1774,0.15666,0.1706,11605.630346745742,68028.31387307
1648512000000,2022-03-29 00:00:00,HIX/USD,0.1558,0.1694,0.1543,0.1603,47031.52160515936,293396.89086188
1648425600000,2022-03-28 00:00:00,HIX/USD,0.15767,0.1765,0.1474,0.1565,7747.13594389254,49502.46609516
1648339200000,2022-03-27 00:00:00,HIX/USD,0.1586,0.1607,0.1536,0.1554,6722.498275916136,43259.31966484
1648252800000,2022-03-26 00:00:00,HIX/USD,0.1645,0.1665,0.159,0.159,2844.0288516025503,17886.97390945
1648166400000,2022-03-25 00:00:00,HIX/USD,0.1673,0.1685,0.1506,0.16619,6295.790677218072,37883.08969985
1648080000000,2022-03-24 00:00:00,HIX/USD,0.1741,0.1791,0.16062,0.1693,30713.030196564094,181411.87357687
1647993600000,2022-03-23 00:00:00,HIX/USD,0.17231,0.1772,0.1721,0.1741,3593.6796067064893,20641.468160290002
1647907200000,2022-03-22 00:00:00,HIX/USD,0.17271,0.1782,0.1719,0.174,5338.455489643139,30680.77867611
1647820800000,2022-03-21 00:00:00,HIX/USD,0.1727,0.1788,0.1703,0.17374,42201.52661087403,242900.46397418
1647734400000,2022-03-20 00:00:00,HIX/USD,0.17689,0.18,0.16718,0.1728,102597.93379096877,593738.04277181
1647648000000,2022-03-19 00:00:00,HIX/USD,0.1743,0.18,0.16979,0.1731,27228.62204380643,157299.95403701
1647561600000,2022-03-18 00:00:00,HIX/USD,0.1746,0.18,0.1708,0.174,24122.887698088798,138637.2856212
1647475200000,2022-03-17 00:00:00,HIX/USD,0.177,0.1818,0.1704,0.1749,45569.870834661,260548.14656753
1647388800000,2022-03-16 00:00:00,HIX/USD,0.1768,0.1853,0.17461,0.1775,20112.57541188505,113310.28401062
1647302400000,2022-03-15 00:00:00,HIX/USD,0.1785,0.1835,0.1748,0.1784,30740.093561732152,172309.94148953
1647216000000,2022-03-14 00:00:00,HIX/USD,0.1787,0.183,0.1766,0.1785,7316.48044424913,40988.68596218
1647129600000,2022-03-13 00:00:00,HIX/USD,0.1782,0.1785,0.1772,0.1772,616.593692030508,3479.64837489
1647043200000,2022-03-12 00:00:00,HIX/USD,0.1744,0.1782,0.1698,0.175,4147.850148771,23702.00085012
1646956800000,2022-03-11 00:00:00,HIX/USD,0.17,0.1832,0.1667,0.1783,11035.449587787245,61892.59443515
1646870400000,2022-03-10 00:00:00,HIX/USD,0.068,0.1825,0.068,0.1714,18506.891259850494,107974.86149271
