https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ICP
1659571200000,2022-08-04 00:00:00,ICP/USD,7.8753,7.9893,7.8753,7.9655,733.63237002771,92.10123281999999
1659484800000,2022-08-03 00:00:00,ICP/USD,7.949,8.364,7.658,7.8697,28731.447851003522,3650.89493259
1659398400000,2022-08-02 00:00:00,ICP/USD,8.3351,8.4131,7.4988,7.9759,42172.42910590297,5287.4821783
1659312000000,2022-08-01 00:00:00,ICP/USD,8.9867,9.3353,8.0511,8.3635,89389.54818653321,10688.0550232
1659225600000,2022-07-31 00:00:00,ICP/USD,8.2714,9.774,8.0885,8.9875,368347.79404918215,40984.45552703
1659139200000,2022-07-30 00:00:00,ICP/USD,8.1043,9.3668,8.0327,8.2865,545959.8531300733,65885.45865324
1659052800000,2022-07-29 00:00:00,ICP/USD,7.2607,8.1432,6.9992,8.1219,236052.16083641836,29063.6625465
1658966400000,2022-07-28 00:00:00,ICP/USD,7.1469,7.4452,6.9899,7.272,114386.64205094136,15729.73625563
1658880000000,2022-07-27 00:00:00,ICP/USD,6.5792,7.1422,6.381,7.1422,42523.18670594511,5953.79388787
1658793600000,2022-07-26 00:00:00,ICP/USD,6.2153,6.5935,6.0258,6.5935,47588.34808124137,7217.46387825
1658707200000,2022-07-25 00:00:00,ICP/USD,6.6073,6.6128,6.1447,6.2214,53703.70595136374,8632.093411670001
1658620800000,2022-07-24 00:00:00,ICP/USD,6.6844,6.7918,6.5279,6.6065,55717.71722523282,8433.772379510001
1658534400000,2022-07-23 00:00:00,ICP/USD,6.4986,6.7681,6.2879,6.6667,153639.61453956502,23045.826951799998
1658448000000,2022-07-22 00:00:00,ICP/USD,6.8924,7.102,6.4009,6.5044,32970.358391967275,5068.93155279
1658361600000,2022-07-21 00:00:00,ICP/USD,6.7149,6.9864,6.4292,6.9032,68378.89709728112,9905.39128191
1658275200000,2022-07-20 00:00:00,ICP/USD,7.3546,7.5596,6.5406,6.7207,122779.51469732313,18268.85810962
1658188800000,2022-07-19 00:00:00,ICP/USD,7.5103,7.6093,7.1018,7.3586,99950.30354493052,13582.78796849
1658102400000,2022-07-18 00:00:00,ICP/USD,7.2271,8.2075,7.2011,7.5703,261979.21878301495,34606.1871766
1658016000000,2022-07-17 00:00:00,ICP/USD,7.1185,7.6078,6.8431,7.2188,205906.51004242746,28523.64798061
1657929600000,2022-07-16 00:00:00,ICP/USD,6.8008,7.3988,6.6314,7.1238,115828.40773775878,16259.35704789
1657843200000,2022-07-15 00:00:00,ICP/USD,6.817,7.1367,6.7075,6.8096,177777.56651565208,26106.90297751
1657756800000,2022-07-14 00:00:00,ICP/USD,6.5228,6.9186,6.2713,6.8113,115676.48694789385,16983.02628689
1657670400000,2022-07-13 00:00:00,ICP/USD,6.2897,6.5423,5.8736,6.4803,130411.752164122,20124.33871335
1657584000000,2022-07-12 00:00:00,ICP/USD,6.2764,6.6105,6.1795,6.2673,132480.6140272381,21138.38718862
1657497600000,2022-07-11 00:00:00,ICP/USD,6.3781,6.89,6.1,6.286,212277.2682066929,33769.84858522
1657411200000,2022-07-10 00:00:00,ICP/USD,6.966,7.0257,6.3254,6.3924,122080.18636408912,19097.70764722
1657324800000,2022-07-09 00:00:00,ICP/USD,6.9896,7.301,6.8673,6.9732,155427.92257794144,22289.32521338
1657238400000,2022-07-08 00:00:00,ICP/USD,6.2387,7.4053,5.9554,6.9253,518861.56408061145,74922.61188405
1657152000000,2022-07-07 00:00:00,ICP/USD,5.6436,6.391,5.5673,6.2388,181067.45249121787,29022.80125845
1657065600000,2022-07-06 00:00:00,ICP/USD,5.5157,5.7222,5.3955,5.6284,42986.75486220486,7637.47332496
1656979200000,2022-07-05 00:00:00,ICP/USD,5.5833,5.72,5.2977,5.507,27752.66631926059,5039.52538937
1656892800000,2022-07-04 00:00:00,ICP/USD,5.2417,5.6039,5.1913,5.5901,8717.607603886127,1559.47256827
1656806400000,2022-07-03 00:00:00,ICP/USD,5.2375,5.2858,5.1213,5.2405,6460.38087269594,1232.77948148
1656720000000,2022-07-02 00:00:00,ICP/USD,5.2249,5.351,5.1266,5.2395,9197.098847423023,1755.33902995
1656633600000,2022-07-01 00:00:00,ICP/USD,5.3257,5.4529,5.1325,5.2273,23104.834840012714,4420.03229966
1656547200000,2022-06-30 00:00:00,ICP/USD,5.4126,5.4373,5.0169,5.3653,12011.282774186666,2238.69732805
1656460800000,2022-06-29 00:00:00,ICP/USD,5.4766,5.6059,5.2643,5.4193,16994.159119404812,3135.85871227
1656374400000,2022-06-28 00:00:00,ICP/USD,5.7782,6.0151,5.4309,5.4945,27618.67721695451,5026.60428009
1656288000000,2022-06-27 00:00:00,ICP/USD,5.7432,6.1243,5.7017,5.7729,35451.07249305674,6140.94692322
1656201600000,2022-06-26 00:00:00,ICP/USD,6.3256,6.3343,5.7306,5.7595,37492.5054744469,6509.6806102
1656115200000,2022-06-25 00:00:00,ICP/USD,6.1071,6.4565,5.9314,6.304,41498.26361299424,6582.84638531
1656028800000,2022-06-24 00:00:00,ICP/USD,5.8233,6.2413,5.7227,6.1228,33100.600306421176,5406.12143242
1655942400000,2022-06-23 00:00:00,ICP/USD,5.4652,5.8526,5.4412,5.8135,50698.39411707648,8720.80401085
1655856000000,2022-06-22 00:00:00,ICP/USD,5.7282,5.7777,5.3774,5.4434,21448.54431242203,3940.28443848
