https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume IDX
1659571200000,2022-08-04 00:00:00,IDX/USD,0.069106,0.070562,0.067842,0.069993,1621.3770512611818,23164.845788309998
1659484800000,2022-08-03 00:00:00,IDX/USD,0.065902,0.073087,0.06272,0.069482,31398.10757897671,451888.3679079
1659398400000,2022-08-02 00:00:00,IDX/USD,0.065596,0.068998,0.062311,0.065878,6404.070189657672,97211.05968089
1659312000000,2022-08-01 00:00:00,IDX/USD,0.064338,0.06729,0.062651,0.065596,10506.573791254514,160170.95236378
1659225600000,2022-07-31 00:00:00,IDX/USD,0.063394,0.06646,0.062097,0.064338,5485.591810273432,85262.08166672
1659139200000,2022-07-30 00:00:00,IDX/USD,0.064529,0.065456,0.062237,0.063383,6306.387166621044,99496.50800090001
1659052800000,2022-07-29 00:00:00,IDX/USD,0.064927,0.065968,0.062479,0.063375,5864.947555274534,92543.55116804
1658966400000,2022-07-28 00:00:00,IDX/USD,0.063685,0.065972,0.060444,0.064927,11984.90660347281,184590.48783207
1658880000000,2022-07-27 00:00:00,IDX/USD,0.064682,0.06693,0.060168,0.064129,16644.931594112073,259553.89284274
1658793600000,2022-07-26 00:00:00,IDX/USD,0.064496,0.068999,0.054295,0.064574,17120.682368510432,265132.7526328
1658707200000,2022-07-25 00:00:00,IDX/USD,0.065571,0.069,0.06103,0.064497,13684.395923873475,212171.04553504
1658620800000,2022-07-24 00:00:00,IDX/USD,0.064725,0.068999,0.063431,0.065571,13905.317746989494,212065.05539018
1658534400000,2022-07-23 00:00:00,IDX/USD,0.065174,0.065414,0.062822,0.064557,8547.346398533575,132399.99378121
1658448000000,2022-07-22 00:00:00,IDX/USD,0.067605,0.069,0.061056,0.065421,27166.195180508723,415251.90963924
1658361600000,2022-07-21 00:00:00,IDX/USD,0.06731,0.067849,0.06729,0.067745,20713.60774879053,305758.47293218
1658275200000,2022-07-20 00:00:00,IDX/USD,0.067477,0.068999,0.066922,0.06731,14702.505743905598,218429.73917554002
1658188800000,2022-07-19 00:00:00,IDX/USD,0.067125,0.068997,0.066839,0.06732,18540.573740223168,275409.59210076
1658102400000,2022-07-18 00:00:00,IDX/USD,0.066164,0.072366,0.061031,0.067126,23513.45240501712,350288.29969039
1658016000000,2022-07-17 00:00:00,IDX/USD,0.06615,0.066164,0.065001,0.066164,11484.645956384667,173578.47101724
1657929600000,2022-07-16 00:00:00,IDX/USD,0.066207,0.06621,0.065529,0.06615,36913.90068255796,558033.26806588
1657843200000,2022-07-15 00:00:00,IDX/USD,0.067218,0.069,0.065002,0.066207,11979.09819406909,180934.01293019002
1657756800000,2022-07-14 00:00:00,IDX/USD,0.065647,0.067489,0.065001,0.067429,15146.192037995555,224624.30168022
1657670400000,2022-07-13 00:00:00,IDX/USD,0.065071,0.065729,0.065002,0.065512,17747.625809936588,270906.48751277
1657584000000,2022-07-12 00:00:00,IDX/USD,0.066979,0.067456,0.065002,0.06522,19607.306997561205,300633.34862866
1657497600000,2022-07-11 00:00:00,IDX/USD,0.074073,0.074611,0.065,0.066979,27123.832386480102,404960.24703982
1657411200000,2022-07-10 00:00:00,IDX/USD,0.074311,0.075278,0.074025,0.074073,8061.108806991871,108826.54687932
1657324800000,2022-07-09 00:00:00,IDX/USD,0.075135,0.076987,0.07428,0.075248,9261.685396252784,123082.14698401
1657238400000,2022-07-08 00:00:00,IDX/USD,0.077008,0.077966,0.075035,0.075135,3764.5388608977996,50103.66488185
1657152000000,2022-07-07 00:00:00,IDX/USD,0.073611,0.077508,0.072141,0.074994,19115.463950874673,254893.24413786
1657065600000,2022-07-06 00:00:00,IDX/USD,0.072679,0.07896,0.072494,0.073156,24178.41353822072,330504.86000083
1656979200000,2022-07-05 00:00:00,IDX/USD,0.072975,0.072978,0.072679,0.072679,20750.467018133964,285508.42771824
1656892800000,2022-07-04 00:00:00,IDX/USD,0.072689,0.072975,0.072495,0.072751,14511.923977081713,199473.87633272
1656806400000,2022-07-03 00:00:00,IDX/USD,0.072416,0.078693,0.0724,0.072689,7584.933564449314,104347.74951436
1656720000000,2022-07-02 00:00:00,IDX/USD,0.072358,0.078392,0.07217,0.072416,4149.081479454996,57295.09334201
1656633600000,2022-07-01 00:00:00,IDX/USD,0.071657,0.072553,0.071513,0.072358,15571.738215682704,215204.09927973
1656547200000,2022-06-30 00:00:00,IDX/USD,0.071915,0.072187,0.071379,0.071658,29554.64978000293,412440.33855261
1656460800000,2022-06-29 00:00:00,IDX/USD,0.071986,0.072139,0.071915,0.072059,8890.477966972458,123377.75943286
1656374400000,2022-06-28 00:00:00,IDX/USD,0.072063,0.072581,0.065008,0.071986,4595.892304648495,63844.25172462
1656288000000,2022-06-27 00:00:00,IDX/USD,0.071969,0.074725,0.07195,0.072063,2451.263428624203,34015.561781
1656201600000,2022-06-26 00:00:00,IDX/USD,0.071798,0.072404,0.071605,0.071968,4268.585502943765,59312.27077234
1656115200000,2022-06-25 00:00:00,IDX/USD,0.070959,0.071801,0.070802,0.071798,18968.48367737045,264192.36855303
1656028800000,2022-06-24 00:00:00,IDX/USD,0.075197,0.076858,0.064235,0.070959,13485.852810483988,190051.33683513
1655942400000,2022-06-23 00:00:00,IDX/USD,0.060556,0.076352,0.060098,0.064513,1383.9730452942756,21452.62265426
1655856000000,2022-06-22 00:00:00,IDX/USD,0.067366,0.071789,0.059442,0.060555,5034.435430394484,83138.22855907
1655769600000,2022-06-21 00:00:00,IDX/USD,0.068122,0.071308,0.06506,0.067497,18135.983169508923,268693.17405972
1655683200000,2022-06-20 00:00:00,IDX/USD,0.068405,0.068423,0.067656,0.068259,19575.497719062132,286782.6619063
1655596800000,2022-06-19 00:00:00,IDX/USD,0.06553,0.068427,0.064227,0.068029,29512.797971215652,433826.72053412
1655510400000,2022-06-18 00:00:00,IDX/USD,0.06652,0.067267,0.064896,0.06553,20791.377858007698,317280.29693282
1655424000000,2022-06-17 00:00:00,IDX/USD,0.066887,0.073465,0.06285,0.066519,2894.0123655958364,43506.55249772
1655337600000,2022-06-16 00:00:00,IDX/USD,0.079949,0.079949,0.0664,0.066886,2482.0391996685116,37108.501026649996
1655251200000,2022-06-15 00:00:00,IDX/USD,0.077104,0.082088,0.066501,0.07688,21026.029228948293,273491.53523606
1655164800000,2022-06-14 00:00:00,IDX/USD,0.074071,0.08202,0.066501,0.072767,2865.0013622121273,39372.2616325
1655078400000,2022-06-13 00:00:00,IDX/USD,0.082352,0.084904,0.065972,0.074071,11224.621745091097,151538.68241405
1654992000000,2022-06-12 00:00:00,IDX/USD,0.093919,0.094824,0.08,0.084856,2083.290281317017,24550.88952245
1654905600000,2022-06-11 00:00:00,IDX/USD,0.083797,0.094005,0.08,0.093919,12228.01433376397,130197.45028976
1654819200000,2022-06-10 00:00:00,IDX/USD,0.096309,0.096309,0.082504,0.09037,59348.098142882365,656723.449628
1654732800000,2022-06-09 00:00:00,IDX/USD,0.09632,0.096332,0.094556,0.094643,2187.8211974436877,23116.56643855
1654646400000,2022-06-08 00:00:00,IDX/USD,0.099059,0.099571,0.092006,0.09463,16111.501038138607,170257.85731944
1654560000000,2022-06-07 00:00:00,IDX/USD,0.095229,0.10177,0.094398,0.094485,59424.10134756884,628926.29885769
1654473600000,2022-06-06 00:00:00,IDX/USD,0.095072,0.096704,0.095054,0.095229,14031.587211334652,147345.73723692
1654387200000,2022-06-05 00:00:00,IDX/USD,0.096497,0.096517,0.095041,0.095072,1791.3132021609472,18841.6484576
1654300800000,2022-06-04 00:00:00,IDX/USD,0.095366,0.096497,0.095031,0.09504,1267.6023345376511,13337.56665128
1654214400000,2022-06-03 00:00:00,IDX/USD,0.095419,0.096825,0.094884,0.095366,6273.024518409548,65778.41702923
1654128000000,2022-06-02 00:00:00,IDX/USD,0.096724,0.096824,0.095362,0.095418,838.0693956556983,8783.13730801
1654041600000,2022-06-01 00:00:00,IDX/USD,0.094229,0.097476,0.093601,0.096725,15887.41059992692,164253.40501346
1653955200000,2022-05-31 00:00:00,IDX/USD,0.097563,0.097607,0.094229,0.094229,629.6083472649246,6681.68342299
1653868800000,2022-05-30 00:00:00,IDX/USD,0.095156,0.097679,0.093728,0.095367,25191.024118486923,264148.22861668
1653782400000,2022-05-29 00:00:00,IDX/USD,0.094711,0.095157,0.093315,0.095156,8760.023609097925,92059.60327355
1653696000000,2022-05-28 00:00:00,IDX/USD,0.094865,0.094865,0.084014,0.094713,780.3133165777883,8238.71397356
1653609600000,2022-05-27 00:00:00,IDX/USD,0.10026,0.10358,0.084684,0.091731,10389.726420994331,113262.9800285
1653523200000,2022-05-26 00:00:00,IDX/USD,0.10805,0.1085,0.09984,0.10038,9566.26499301089,95300.50799971
1653436800000,2022-05-25 00:00:00,IDX/USD,0.10762,0.11789,0.10622,0.1085,1112.19271281888,10250.62408128
1653350400000,2022-05-24 00:00:00,IDX/USD,0.11182,0.11226,0.10486,0.10763,8587.946502304476,79791.38253558
1653264000000,2022-05-23 00:00:00,IDX/USD,0.10894,0.1179,0.10826,0.11182,3623.9955356428886,32409.18919373
1653177600000,2022-05-22 00:00:00,IDX/USD,0.10627,0.10895,0.10415,0.10826,7858.412504897349,72588.32906796
1653091200000,2022-05-21 00:00:00,IDX/USD,0.10623,0.11553,0.10416,0.10627,1914.331259783335,18013.84454487
1653004800000,2022-05-20 00:00:00,IDX/USD,0.10429,0.113,0.10305,0.10623,7283.964121677626,68567.86333124
1652918400000,2022-05-19 00:00:00,IDX/USD,0.10205,0.10432,0.10201,0.10304,805.626722180672,7818.5823193
1652832000000,2022-05-18 00:00:00,IDX/USD,0.10401,0.10637,0.102,0.10201,11663.229710413725,114334.18008444
1652745600000,2022-05-17 00:00:00,IDX/USD,0.099527,0.11624,0.099527,0.10335,6690.964388244376,64740.82620459
1652659200000,2022-05-16 00:00:00,IDX/USD,0.10354,0.10354,0.09938,0.099523,5849.913745214952,58779.51574224
1652572800000,2022-05-15 00:00:00,IDX/USD,0.10048,0.10355,0.098801,0.10354,7678.355217813956,74158.34670479
1652486400000,2022-05-14 00:00:00,IDX/USD,0.098621,0.10051,0.09823,0.09883,1774.9417420480406,17959.54408629
1652400000000,2022-05-13 00:00:00,IDX/USD,0.099527,0.11803,0.093361,0.10012,887.24303797191,8861.79622425
1652313600000,2022-05-12 00:00:00,IDX/USD,0.10555,0.11557,0.085981,0.10481,2747.964758064623,26218.53599909
1652227200000,2022-05-11 00:00:00,IDX/USD,0.13768,0.14461,0.10097,0.10559,11268.663589054746,106720.93559101
1652140800000,2022-05-10 00:00:00,IDX/USD,0.12144,0.15077,0.11788,0.12738,1664.767308588021,13069.29901545
1652054400000,2022-05-09 00:00:00,IDX/USD,0.14836,0.15337,0.1215,0.1215,3475.016957162385,28600.96261039
1651968000000,2022-05-08 00:00:00,IDX/USD,0.15892,0.16266,0.14788,0.15338,2719.8628146286433,17732.83879664
1651881600000,2022-05-07 00:00:00,IDX/USD,0.16432,0.16736,0.15887,0.15892,4098.017027294766,25786.66641892
1651795200000,2022-05-06 00:00:00,IDX/USD,0.17343,0.17589,0.16424,0.16727,4635.496474466087,27712.65902114
1651708800000,2022-05-05 00:00:00,IDX/USD,0.18781,0.20459,0.1659,0.1759,11491.911636647264,65332.07297696
1651622400000,2022-05-04 00:00:00,IDX/USD,0.17029,0.2,0.17028,0.18308,8087.512562777755,44174.74635557
1651536000000,2022-05-03 00:00:00,IDX/USD,0.18117,0.18117,0.17001,0.17028,8017.528880903534,47084.383843690004
1651449600000,2022-05-02 00:00:00,IDX/USD,0.17984,0.18255,0.17001,0.18118,11953.017326469193,65973.16109101
1651363200000,2022-05-01 00:00:00,IDX/USD,0.18322,0.19325,0.16339,0.17984,7027.208960251873,39074.78291955
1651276800000,2022-04-30 00:00:00,IDX/USD,0.22295,0.22481,0.18322,0.18322,12756.33764370157,69623.06322291
1651190400000,2022-04-29 00:00:00,IDX/USD,0.22729,0.23421,0.21488,0.22302,16686.305671493898,74819.77253831
1651104000000,2022-04-28 00:00:00,IDX/USD,0.24946,0.25043,0.20451,0.22754,5989.130346606874,26321.21977062
1651017600000,2022-04-27 00:00:00,IDX/USD,0.22556,0.36451,0.2225,0.24954,88247.01096249273,353638.73912997
1650931200000,2022-04-26 00:00:00,IDX/USD,0.24093,0.26517,0.22206,0.22536,19350.12709194852,85863.18375909
1650844800000,2022-04-25 00:00:00,IDX/USD,0.24,0.2497,0.19069,0.24093,44783.09672538284,185875.9669837
1650758400000,2022-04-24 00:00:00,IDX/USD,0.16395,0.24134,0.16139,0.23831,20953.921722300696,87927.1609345
1650672000000,2022-04-23 00:00:00,IDX/USD,0.1511,0.1661,0.14659,0.16396,11075.294239783938,67548.75725655
