https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume IOT
1659571200000,2022-08-04 00:00:00,IOT/USD,0.31971,0.32468,0.31971,0.32468,1665.4781652707509,5129.59888281
1659484800000,2022-08-03 00:00:00,IOT/USD,0.32082,0.33515,0.31279,0.32011,325682.3447268112,1017407.59341105
1659398400000,2022-08-02 00:00:00,IOT/USD,0.33658,0.34133,0.3097,0.32018,337205.61057729664,1053175.1220479
1659312000000,2022-08-01 00:00:00,IOT/USD,0.31833,0.34701,0.31655,0.33677,314787.0559867297,934724.1618515
1659225600000,2022-07-31 00:00:00,IOT/USD,0.31713,0.33775,0.31491,0.31854,285932.9750277765,897636.01126319
1659139200000,2022-07-30 00:00:00,IOT/USD,0.31013,0.33706,0.30943,0.31702,549550.1651676652,1733487.36725653
1659052800000,2022-07-29 00:00:00,IOT/USD,0.314,0.32366,0.3045,0.31004,637841.4391842254,2057287.57316548
1658966400000,2022-07-28 00:00:00,IOT/USD,0.299,0.32,0.29408,0.31382,664450.1918177896,2117297.15065257
1658880000000,2022-07-27 00:00:00,IOT/USD,0.27756,0.2988,0.26995,0.29844,225310.47564798908,754960.71454225
1658793600000,2022-07-26 00:00:00,IOT/USD,0.27509,0.27692,0.26571,0.27674,175552.54325905876,634359.1214102
1658707200000,2022-07-25 00:00:00,IOT/USD,0.30251,0.30511,0.27523,0.27523,177371.58059295017,644448.57244105
1658620800000,2022-07-24 00:00:00,IOT/USD,0.30213,0.31034,0.30013,0.30266,96702.39497564404,319508.3426143
1658534400000,2022-07-23 00:00:00,IOT/USD,0.30163,0.31312,0.29253,0.30233,288396.57695471967,953913.19734965
1658448000000,2022-07-22 00:00:00,IOT/USD,0.29977,0.32397,0.29607,0.30165,333738.1385434289,1106375.39712723
1658361600000,2022-07-21 00:00:00,IOT/USD,0.29248,0.30264,0.28174,0.30032,323778.28797779354,1078110.9748861
1658275200000,2022-07-20 00:00:00,IOT/USD,0.30982,0.31863,0.28926,0.29221,323830.6461991287,1108212.06050145
1658188800000,2022-07-19 00:00:00,IOT/USD,0.29611,0.3141,0.28765,0.30924,649192.3992653873,2099315.73944311
1658102400000,2022-07-18 00:00:00,IOT/USD,0.2731,0.29837,0.27304,0.2967,402082.8483833881,1355183.17621634
1658016000000,2022-07-17 00:00:00,IOT/USD,0.27967,0.28598,0.27203,0.27284,239498.5045600664,877798.36006475
1657929600000,2022-07-16 00:00:00,IOT/USD,0.27071,0.28097,0.26446,0.27927,264187.0504846871,945991.51532455
1657843200000,2022-07-15 00:00:00,IOT/USD,0.26934,0.27653,0.26608,0.27056,75727.35067432394,279891.15417772
1657756800000,2022-07-14 00:00:00,IOT/USD,0.26569,0.27226,0.25585,0.26885,205347.3881856931,763799.10056051
1657670400000,2022-07-13 00:00:00,IOT/USD,0.25447,0.26722,0.24761,0.26596,423586.2186830769,1592668.892627
1657584000000,2022-07-12 00:00:00,IOT/USD,0.26562,0.27049,0.25353,0.25415,316053.66445857345,1243571.3730418
1657497600000,2022-07-11 00:00:00,IOT/USD,0.29692,0.29692,0.26364,0.26609,380096.7715950842,1428451.92076021
1657411200000,2022-07-10 00:00:00,IOT/USD,0.2887,0.30801,0.28135,0.29706,494177.01911155804,1663559.61459489
1657324800000,2022-07-09 00:00:00,IOT/USD,0.28002,0.29306,0.27967,0.2888,29638.221675870194,102625.42131534
1657238400000,2022-07-08 00:00:00,IOT/USD,0.28791,0.29497,0.27616,0.28053,217780.2964330083,776317.31519983
1657152000000,2022-07-07 00:00:00,IOT/USD,0.27582,0.28868,0.27296,0.28768,133477.2952162063,463978.3621253
1657065600000,2022-07-06 00:00:00,IOT/USD,0.27119,0.27821,0.26798,0.27554,301623.82547856047,1094664.38803281
1656979200000,2022-07-05 00:00:00,IOT/USD,0.27955,0.28164,0.26094,0.27112,298770.03483979945,1101984.48967173
1656892800000,2022-07-04 00:00:00,IOT/USD,0.2697,0.27982,0.26374,0.27909,193960.58757372023,694975.05311448
1656806400000,2022-07-03 00:00:00,IOT/USD,0.26995,0.27426,0.26248,0.27021,249612.04234597684,923770.55751444
1656720000000,2022-07-02 00:00:00,IOT/USD,0.26343,0.27254,0.25685,0.26971,429955.28705808835,1594139.21270286
