https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume KNC
1659571200000,2022-08-04 00:00:00,KNC/USD,1.4582,1.4806,1.4582,1.4792,269.614122707216,182.27022897999998
1659484800000,2022-08-03 00:00:00,KNC/USD,1.4916,1.5182,1.443,1.4592,6560.211771700225,4495.75916372
1659398400000,2022-08-02 00:00:00,KNC/USD,1.5703,1.6269,1.4705,1.49,11207.788247701299,7522.00553537
1659312000000,2022-08-01 00:00:00,KNC/USD,1.5429,1.61,1.5148,1.5731,7110.72136631793,4520.1966603
1659225600000,2022-07-31 00:00:00,KNC/USD,1.5858,1.628,1.5172,1.5458,8862.518831562673,5733.28944984
1659139200000,2022-07-30 00:00:00,KNC/USD,1.6244,1.7253,1.5705,1.5876,33303.45878277592,20977.23531291
1659052800000,2022-07-29 00:00:00,KNC/USD,1.5038,1.6645,1.4915,1.6172,42954.27176626596,26560.89028337
1658966400000,2022-07-28 00:00:00,KNC/USD,1.4399,1.5227,1.4069,1.5022,63159.33709389112,42044.55937551
1658880000000,2022-07-27 00:00:00,KNC/USD,1.3539,1.4433,1.3132,1.4428,18033.613553488376,12499.03905842
1658793600000,2022-07-26 00:00:00,KNC/USD,1.3107,1.355,1.2864,1.3543,17908.894456816346,13223.72772415
1658707200000,2022-07-25 00:00:00,KNC/USD,1.4175,1.4914,1.3091,1.3132,34784.93941497128,26488.68368487
1658620800000,2022-07-24 00:00:00,KNC/USD,1.4269,1.4638,1.4094,1.4183,11099.532503014072,7825.94126984
1658534400000,2022-07-23 00:00:00,KNC/USD,1.4062,1.4657,1.3811,1.4241,5489.949048849831,3855.03057991
1658448000000,2022-07-22 00:00:00,KNC/USD,1.4717,1.4941,1.3884,1.4074,8877.79863552625,6307.94275652
1658361600000,2022-07-21 00:00:00,KNC/USD,1.4356,1.4806,1.3647,1.4725,7936.130313333674,5389.56218223
1658275200000,2022-07-20 00:00:00,KNC/USD,1.5157,1.5804,1.4222,1.4344,19635.26029946571,13688.83177598
1658188800000,2022-07-19 00:00:00,KNC/USD,1.4457,1.6191,1.4347,1.5191,29949.95043690806,19715.58846482
1658102400000,2022-07-18 00:00:00,KNC/USD,1.3531,1.468,1.3531,1.4523,33211.27069374261,22868.05115592
1658016000000,2022-07-17 00:00:00,KNC/USD,1.409,1.4198,1.3516,1.353,6576.70155234279,4860.82893743
1657929600000,2022-07-16 00:00:00,KNC/USD,1.4213,1.4217,1.3325,1.4054,11599.328428288385,8253.40004859
1657843200000,2022-07-15 00:00:00,KNC/USD,1.3261,1.4541,1.3231,1.4161,68548.6775457286,48406.66446277
1657756800000,2022-07-14 00:00:00,KNC/USD,1.2859,1.3287,1.2311,1.3209,3285.9521845091763,2487.6615826400002
1657670400000,2022-07-13 00:00:00,KNC/USD,1.1922,1.2903,1.1777,1.2873,12422.245970727225,9649.84539014
1657584000000,2022-07-12 00:00:00,KNC/USD,1.2336,1.2526,1.1902,1.1902,16926.803008803246,14221.813988240001
1657497600000,2022-07-11 00:00:00,KNC/USD,1.3152,1.3235,1.2288,1.2351,46160.01640187203,37373.50530473
1657411200000,2022-07-10 00:00:00,KNC/USD,1.3899,1.3901,1.3098,1.3175,4466.808543777624,3390.36701615
1657324800000,2022-07-09 00:00:00,KNC/USD,1.3792,1.423,1.3752,1.3906,41441.07812035131,29800.86158518
1657238400000,2022-07-08 00:00:00,KNC/USD,1.4068,1.432,1.3553,1.3814,10124.871626215747,7329.42784582
1657152000000,2022-07-07 00:00:00,KNC/USD,1.3914,1.4158,1.3542,1.4107,11402.457480485054,8082.83652122
1657065600000,2022-07-06 00:00:00,KNC/USD,1.3716,1.4232,1.3479,1.3842,22015.60131232451,15904.92798174
1656979200000,2022-07-05 00:00:00,KNC/USD,1.295,1.4009,1.2261,1.3722,46493.5912001626,33882.51800041
1656892800000,2022-07-04 00:00:00,KNC/USD,1.2375,1.305,1.2116,1.2954,7848.6688360899125,6058.87666828
1656806400000,2022-07-03 00:00:00,KNC/USD,1.2524,1.2567,1.2019,1.2353,8827.45228387925,7145.99877267
1656720000000,2022-07-02 00:00:00,KNC/USD,1.2234,1.2649,1.2051,1.2489,8167.810259498339,6540.0034106
1656633600000,2022-07-01 00:00:00,KNC/USD,1.2648,1.2914,1.2024,1.2334,12496.373312953432,10131.64692148
1656547200000,2022-06-30 00:00:00,KNC/USD,1.3065,1.3143,1.1749,1.2629,28812.989119344937,22814.94110329
1656460800000,2022-06-29 00:00:00,KNC/USD,1.3447,1.3726,1.2796,1.3065,48639.93992893522,37229.19244465
1656374400000,2022-06-28 00:00:00,KNC/USD,1.4095,1.4875,1.3358,1.3426,17062.060895427912,12708.22351812
1656288000000,2022-06-27 00:00:00,KNC/USD,1.4006,1.4933,1.3746,1.4048,32094.366546403584,22846.21764408
1656201600000,2022-06-26 00:00:00,KNC/USD,1.5208,1.5389,1.397,1.3983,20807.450405618416,14880.53379505
1656115200000,2022-06-25 00:00:00,KNC/USD,1.4582,1.5271,1.4032,1.5196,16644.26322350544,10953.0555564
1656028800000,2022-06-24 00:00:00,KNC/USD,1.3971,1.4928,1.3872,1.4557,38394.21151297541,26375.0851913
1655942400000,2022-06-23 00:00:00,KNC/USD,1.3126,1.4165,1.3086,1.397,16566.64980715228,11858.73286124
1655856000000,2022-06-22 00:00:00,KNC/USD,1.3433,1.3651,1.2742,1.3092,20399.986248725112,15582.02432686
1655769600000,2022-06-21 00:00:00,KNC/USD,1.3112,1.4664,1.2746,1.3585,51916.12671389144,38215.77233264
1655683200000,2022-06-20 00:00:00,KNC/USD,1.3052,1.3269,1.2194,1.3127,15828.433433449904,12057.92140889
1655596800000,2022-06-19 00:00:00,KNC/USD,1.2492,1.3247,1.1572,1.308,15065.519577351,11517.98132825
1655510400000,2022-06-18 00:00:00,KNC/USD,1.3673,1.378,1.1266,1.247,18322.1795677629,14693.0068707
1655424000000,2022-06-17 00:00:00,KNC/USD,1.3585,1.4238,1.3309,1.3671,26201.32027495813,19165.62085799
1655337600000,2022-06-16 00:00:00,KNC/USD,1.5142,1.5519,1.3168,1.353,21415.36555223736,15828.06027512
1655251200000,2022-06-15 00:00:00,KNC/USD,1.3527,1.5382,1.2861,1.5203,56104.08828385131,36903.30085105
1655164800000,2022-06-14 00:00:00,KNC/USD,1.2367,1.3793,1.1105,1.3547,76355.27853319013,56363.23801077
1655078400000,2022-06-13 00:00:00,KNC/USD,1.4343,1.4526,1.1699,1.2368,65461.153079456206,52927.84045881
1654992000000,2022-06-12 00:00:00,KNC/USD,1.6476,1.6621,1.4396,1.4414,29160.07251587672,20230.38193137
1654905600000,2022-06-11 00:00:00,KNC/USD,1.7731,1.8148,1.5833,1.6396,25940.40312083081,15821.17779997
1654819200000,2022-06-10 00:00:00,KNC/USD,1.8908,1.8997,1.7432,1.7749,17520.57992467718,9871.30538322
