https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume KSM
1659571200000,2022-08-04 00:00:00,KSM/USD,61.421,62.311,61.421,61.907,76.46260293629,1.23512047
1659484800000,2022-08-03 00:00:00,KSM/USD,61.01,63.962,59.117,61.35,5352.949320441,87.25263766
1659398400000,2022-08-02 00:00:00,KSM/USD,64.188,64.793,59.763,60.916,4948.67288720448,81.23765328
1659312000000,2022-08-01 00:00:00,KSM/USD,63.602,69.61,62.755,64.176,9555.057373024802,148.88832855
1659225600000,2022-07-31 00:00:00,KSM/USD,63.013,68.306,62.251,63.789,7481.1210950533205,117.27917188
1659139200000,2022-07-30 00:00:00,KSM/USD,63.9,66.884,62.786,63.114,3997.9962956782197,63.34563323
1659052800000,2022-07-29 00:00:00,KSM/USD,65.435,67.418,62.234,63.957,8801.32070924016,137.61309488
1658966400000,2022-07-28 00:00:00,KSM/USD,62.353,67.242,60.881,65.512,14536.616836818159,221.89242943
1658880000000,2022-07-27 00:00:00,KSM/USD,58.31,62.802,56.11,62.327,5218.84663003057,83.73331991
1658793600000,2022-07-26 00:00:00,KSM/USD,58.695,58.79,55.46,58.353,8687.409355220281,148.87682476
1658707200000,2022-07-25 00:00:00,KSM/USD,64.782,65.147,58.844,58.915,10387.419671309499,176.3119693
1658620800000,2022-07-24 00:00:00,KSM/USD,67.303,68.053,64.722,64.784,3210.5195712403206,49.55729148
1658534400000,2022-07-23 00:00:00,KSM/USD,66.917,69.565,63.783,67.204,8889.08730439864,132.27021166
1658448000000,2022-07-22 00:00:00,KSM/USD,61.284,69.783,60.988,66.847,23412.467535214888,350.23961487
1658361600000,2022-07-21 00:00:00,KSM/USD,60.001,61.95,57.702,61.313,5539.13682156436,90.34196372
1658275200000,2022-07-20 00:00:00,KSM/USD,63.187,66.775,58.656,59.884,21872.745020333678,365.25190402
1658188800000,2022-07-19 00:00:00,KSM/USD,63.922,65.585,61.718,63.349,19627.43924265982,309.83029318
1658102400000,2022-07-18 00:00:00,KSM/USD,54.601,64.023,54.601,64.023,34579.35005823498,540.10824326
1658016000000,2022-07-17 00:00:00,KSM/USD,56.685,57.757,54.402,54.625,5908.904093605,108.17215732
1657929600000,2022-07-16 00:00:00,KSM/USD,54.661,57.151,52.762,56.685,6708.54305732445,118.34776497
1657843200000,2022-07-15 00:00:00,KSM/USD,51.739,55.626,51.246,54.521,9825.677262940719,180.21821432
1657756800000,2022-07-14 00:00:00,KSM/USD,49.151,52.084,47.463,51.625,1869.2274117125003,36.2077949
1657670400000,2022-07-13 00:00:00,KSM/USD,46.921,49.44,46.365,49.141,5172.97807798995,105.26806695
1657584000000,2022-07-12 00:00:00,KSM/USD,46.708,49.348,46.693,47.139,4028.9247932546104,85.46903399
1657497600000,2022-07-11 00:00:00,KSM/USD,49.938,50.461,46.75,47.536,27152.57881842816,571.20032856
1657411200000,2022-07-10 00:00:00,KSM/USD,53.098,53.325,49.857,49.962,1279.88133686226,25.61709573
1657324800000,2022-07-09 00:00:00,KSM/USD,51.697,53.982,51.697,53.163,1571.8021485437698,29.56571579
1657238400000,2022-07-08 00:00:00,KSM/USD,52.522,54.012,50.804,51.685,1576.0182478813,30.49275898
