https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume LEO
1659571200000,2022-08-04 00:00:00,LEO/USD,5.0151,5.0154,5.0,5.0153,1554.623916415882,309.97625594
1659484800000,2022-08-03 00:00:00,LEO/USD,5.0524,5.1464,5.0,5.0151,1203462.142286618,239967.72592502998
1659398400000,2022-08-02 00:00:00,LEO/USD,5.19,5.34,5.0,5.0698,483909.9439091507,95449.51357236
1659312000000,2022-08-01 00:00:00,LEO/USD,5.0001,5.1927,4.9999,5.19,238874.6074814748,46025.93593092
1659225600000,2022-07-31 00:00:00,LEO/USD,5.0611,5.1952,5.0,5.0103,418619.68840096955,83551.82092908
1659139200000,2022-07-30 00:00:00,LEO/USD,5.1731,5.2214,5.0516,5.0516,360448.96042906144,71353.42474247
1659052800000,2022-07-29 00:00:00,LEO/USD,5.3229,5.3457,5.0755,5.1731,178780.72236593568,34559.68807213
1658966400000,2022-07-28 00:00:00,LEO/USD,5.1981,5.3257,5.0517,5.3229,159289.0529073876,29925.23866828
1658880000000,2022-07-27 00:00:00,LEO/USD,5.0946,5.1982,5.004,5.1981,104345.23162040739,20073.72532664
1658793600000,2022-07-26 00:00:00,LEO/USD,5.0848,5.1313,5.0041,5.0946,227560.86718781688,44667.07242724
1658707200000,2022-07-25 00:00:00,LEO/USD,5.2117,5.2866,5.075,5.0862,163399.8670523768,32126.1191169
1658620800000,2022-07-24 00:00:00,LEO/USD,5.2364,5.3887,5.2003,5.2117,80223.12509396275,15392.89005391
1658534400000,2022-07-23 00:00:00,LEO/USD,5.4095,5.5995,5.1758,5.2317,112811.60232460417,21563.08701275
1658448000000,2022-07-22 00:00:00,LEO/USD,5.4006,5.5604,5.378,5.4073,86970.51131761132,16083.90718429
1658361600000,2022-07-21 00:00:00,LEO/USD,5.2442,5.4105,5.2,5.3878,201676.80056961914,37432.12453499
1658275200000,2022-07-20 00:00:00,LEO/USD,5.3247,5.4173,5.2014,5.2414,206439.8011809919,39386.38554222
1658188800000,2022-07-19 00:00:00,LEO/USD,5.4369,5.4749,5.1757,5.333,372848.0237061498,69913.37403078
1658102400000,2022-07-18 00:00:00,LEO/USD,5.2304,5.4461,5.2064,5.4359,223256.3434784294,41070.72305937
1658016000000,2022-07-17 00:00:00,LEO/USD,5.4,5.611,5.2098,5.2307,425748.1912193685,81394.11383167999
1657929600000,2022-07-16 00:00:00,LEO/USD,5.3033,5.4104,5.2811,5.4,45139.62180663,8359.18922345
1657843200000,2022-07-15 00:00:00,LEO/USD,5.3999,5.6051,5.2018,5.3034,376906.8070475731,71068.90052562
1657756800000,2022-07-14 00:00:00,LEO/USD,5.28,5.475,5.1976,5.3999,498763.1686447523,92365.26021681
1657670400000,2022-07-13 00:00:00,LEO/USD,5.3703,5.5627,5.28,5.28,785678.3118073824,148802.71056958
1657584000000,2022-07-12 00:00:00,LEO/USD,5.4008,5.4842,5.37,5.389,213153.70375093285,39553.48000574
1657497600000,2022-07-11 00:00:00,LEO/USD,5.6278,5.7184,5.3775,5.4011,402056.78862715996,74439.79719449
1657411200000,2022-07-10 00:00:00,LEO/USD,5.6962,5.9178,5.6272,5.6377,228620.11996165235,40552.01943375
1657324800000,2022-07-09 00:00:00,LEO/USD,5.7,5.83,5.6877,5.6963,154833.1468905688,27181.35401762
1657238400000,2022-07-08 00:00:00,LEO/USD,5.784,5.8466,5.6877,5.7,215178.77818788603,37750.66283998
1657152000000,2022-07-07 00:00:00,LEO/USD,5.8037,5.9454,5.7613,5.784,160252.78429892688,27706.22135182
1657065600000,2022-07-06 00:00:00,LEO/USD,5.7328,5.9587,5.7033,5.8046,153243.98399411555,26400.43827208
1656979200000,2022-07-05 00:00:00,LEO/USD,5.7299,5.9126,5.555,5.7325,440367.20889736497,76819.39972043
1656892800000,2022-07-04 00:00:00,LEO/USD,5.7299,5.946,5.7201,5.7295,198743.72596734602,34687.795788
1656806400000,2022-07-03 00:00:00,LEO/USD,5.73,5.9645,5.714,5.7297,164400.7530742061,28692.73314034
1656720000000,2022-07-02 00:00:00,LEO/USD,5.7902,5.9415,5.6376,5.73,351151.0254164532,61282.90146884
1656633600000,2022-07-01 00:00:00,LEO/USD,5.8039,6.5,5.79,5.7902,907103.8518972297,156661.92046859
1656547200000,2022-06-30 00:00:00,LEO/USD,5.9252,6.04,5.685,5.8041,1353849.290992497,233257.4026968
1656460800000,2022-06-29 00:00:00,LEO/USD,5.7593,6.0493,5.7468,5.9333,423457.78558372206,71369.69065844
1656374400000,2022-06-28 00:00:00,LEO/USD,5.7622,5.896,5.7501,5.7501,185466.61287360857,32254.50216059
1656288000000,2022-06-27 00:00:00,LEO/USD,5.9,5.9901,5.762,5.7622,385182.1085729689,66846.36225278
1656201600000,2022-06-26 00:00:00,LEO/USD,5.8981,5.99,5.898,5.9,143238.61415652302,24277.73121297
1656115200000,2022-06-25 00:00:00,LEO/USD,5.8383,5.931,5.8281,5.898,203541.39255767054,34510.23949774
1656028800000,2022-06-24 00:00:00,LEO/USD,5.7987,5.8899,5.7468,5.8361,318407.3187645002,54558.23559646
1655942400000,2022-06-23 00:00:00,LEO/USD,5.813,6.0166,5.7452,5.7918,454463.7074319876,78466.74737249
1655856000000,2022-06-22 00:00:00,LEO/USD,5.597,5.934,5.597,5.8136,456311.7996724592,78490.40176009
1655769600000,2022-06-21 00:00:00,LEO/USD,5.399,5.6,5.27,5.597,802745.5878458646,143424.26082649
1655683200000,2022-06-20 00:00:00,LEO/USD,5.1999,5.4295,5.172,5.399,218663.89655050117,40500.81432682
1655596800000,2022-06-19 00:00:00,LEO/USD,5.06,5.2,5.05,5.1793,365495.232834855,70568.46153628
1655510400000,2022-06-18 00:00:00,LEO/USD,5.055,5.1,4.3352,5.06,3357718.497310476,663580.73069377
1655424000000,2022-06-17 00:00:00,LEO/USD,5.0102,5.0563,5.0066,5.055,165855.89056102827,32810.26519506
1655337600000,2022-06-16 00:00:00,LEO/USD,5.0,5.0538,4.99,5.0538,264320.27495618135,52301.29307772
1655251200000,2022-06-15 00:00:00,LEO/USD,5.4084,5.487,4.95,4.9947,1813445.9549551874,363074.04948349
1655164800000,2022-06-14 00:00:00,LEO/USD,5.3085,5.4329,5.2,5.4,571298.8707566101,105796.08717715
1655078400000,2022-06-13 00:00:00,LEO/USD,5.5157,5.5389,5.06,5.3088,1842653.4591255374,347094.15670689
1654992000000,2022-06-12 00:00:00,LEO/USD,5.5069,5.5912,5.5,5.5114,174956.67191335565,31744.50628032
1654905600000,2022-06-11 00:00:00,LEO/USD,5.5098,5.5997,5.4936,5.5003,156659.21165166018,28481.93946724
1654819200000,2022-06-10 00:00:00,LEO/USD,5.4272,5.5294,5.4173,5.5099,245339.9735665573,44527.1191068
1654732800000,2022-06-09 00:00:00,LEO/USD,5.359,5.4272,5.3519,5.4272,131620.35638862132,24251.98194071
1654646400000,2022-06-08 00:00:00,LEO/USD,5.3185,5.379,5.2766,5.3523,167813.0331167305,31353.44302762
1654560000000,2022-06-07 00:00:00,LEO/USD,5.1306,5.3203,5.1235,5.3187,190714.52289982652,35857.35666607
1654473600000,2022-06-06 00:00:00,LEO/USD,5.1088,5.3736,5.0001,5.1334,305638.546376994,59539.20333054
1654387200000,2022-06-05 00:00:00,LEO/USD,4.9985,5.1143,4.9914,5.1091,151208.22064358025,29595.86241091
1654300800000,2022-06-04 00:00:00,LEO/USD,4.9002,5.0238,4.9,4.9981,118640.34795060001,23737.0896842
1654214400000,2022-06-03 00:00:00,LEO/USD,4.9461,4.9529,4.9,4.9002,39401.94305483779,8040.88466896
1654128000000,2022-06-02 00:00:00,LEO/USD,4.9042,4.9648,4.9001,4.9461,88660.77815682854,17925.39135012
1654041600000,2022-06-01 00:00:00,LEO/USD,5.3179,5.3908,4.9,4.9038,469309.95867360604,95703.32368237
1653955200000,2022-05-31 00:00:00,LEO/USD,5.245,5.3181,5.2346,5.3181,224211.10278222614,42160.00127531
1653868800000,2022-05-30 00:00:00,LEO/USD,5.1363,5.2454,5.1288,5.2454,320368.8990339105,61076.161786310004
1653782400000,2022-05-29 00:00:00,LEO/USD,5.0998,5.1363,5.0804,5.1363,155223.81126061865,30220.93944291
1653696000000,2022-05-28 00:00:00,LEO/USD,4.9232,5.0999,4.91,5.0994,209322.85340061685,41048.52598357
1653609600000,2022-05-27 00:00:00,LEO/USD,4.9197,4.9633,4.8854,4.9181,203106.30245952625,41297.71709797
1653523200000,2022-05-26 00:00:00,LEO/USD,4.9119,5.0036,4.9001,4.9167,241047.67193814358,49026.31275818
1653436800000,2022-05-25 00:00:00,LEO/USD,4.9322,5.1013,4.91,4.9103,228583.7988957288,46551.90088095
1653350400000,2022-05-24 00:00:00,LEO/USD,4.9177,5.0836,4.9001,4.9324,268597.33963527466,54455.70911428
1653264000000,2022-05-23 00:00:00,LEO/USD,4.9074,5.17,4.8982,4.9179,260864.81046413863,53043.94364752
1653177600000,2022-05-22 00:00:00,LEO/USD,4.935,4.9436,4.8922,4.9129,177236.3846083615,36075.71589252
1653091200000,2022-05-21 00:00:00,LEO/USD,4.9951,5.0172,4.935,4.9351,271538.77194891084,55021.93916008
1653004800000,2022-05-20 00:00:00,LEO/USD,5.0086,5.2478,4.9776,4.9926,312119.55278623156,62516.43488087
1652918400000,2022-05-19 00:00:00,LEO/USD,4.9714,5.2863,4.96,5.0075,321621.94354319014,64228.04663868
1652832000000,2022-05-18 00:00:00,LEO/USD,4.98,5.2095,4.96,4.9753,285845.3881257258,57452.89492608
1652745600000,2022-05-17 00:00:00,LEO/USD,4.961,5.0568,4.935,4.98,291513.73342461063,58536.89426197
1652659200000,2022-05-16 00:00:00,LEO/USD,5.0001,5.079,4.9162,4.961,627452.8162779228,126477.0845148
1652572800000,2022-05-15 00:00:00,LEO/USD,5.0623,5.0786,5.0,5.0077,1177388.3661178434,235115.59520695
1652486400000,2022-05-14 00:00:00,LEO/USD,5.0899,5.2216,5.0311,5.06,527151.1271864815,104180.06466136
1652400000000,2022-05-13 00:00:00,LEO/USD,5.1301,5.3883,5.0732,5.0899,487425.7680041287,95763.32894637
1652313600000,2022-05-12 00:00:00,LEO/USD,5.25,5.3887,5.05,5.13,1188450.5641351389,231666.77663453
1652227200000,2022-05-11 00:00:00,LEO/USD,5.4419,5.7083,5.21,5.25,1451716.766460135,276517.47932574
1652140800000,2022-05-10 00:00:00,LEO/USD,5.2357,5.5535,5.1,5.4245,383503.05363761523,70698.32309662
1652054400000,2022-05-09 00:00:00,LEO/USD,5.3157,5.4535,5.2,5.2364,791188.3696538082,151093.95188561
1651968000000,2022-05-08 00:00:00,LEO/USD,5.2733,5.4386,5.215,5.3183,226033.13748783883,42501.01300939
1651881600000,2022-05-07 00:00:00,LEO/USD,5.4005,5.4457,5.21,5.2733,227310.48605441817,43105.92722857
1651795200000,2022-05-06 00:00:00,LEO/USD,5.1334,5.4173,5.0542,5.3767,295940.6719286898,55041.32124327
1651708800000,2022-05-05 00:00:00,LEO/USD,5.6517,5.7095,5.057,5.1342,1109607.3573823583,216120.78948665
1651622400000,2022-05-04 00:00:00,LEO/USD,5.6127,5.7082,5.5148,5.6389,285105.54270382196,50560.4892273
1651536000000,2022-05-03 00:00:00,LEO/USD,5.7724,5.78,5.6041,5.6044,202162.07491228555,36072.02821217
1651449600000,2022-05-02 00:00:00,LEO/USD,5.5507,5.7725,5.456,5.7724,233885.6606168732,40517.92332771
1651363200000,2022-05-01 00:00:00,LEO/USD,5.6749,5.706,5.4743,5.5805,326168.1054304836,58447.82822874
1651276800000,2022-04-30 00:00:00,LEO/USD,5.7001,5.7707,5.5261,5.688,898367.3941026808,157940.82174801
1651190400000,2022-04-29 00:00:00,LEO/USD,5.7144,5.8032,5.7,5.7064,251996.66180166183,44160.3571081
1651104000000,2022-04-28 00:00:00,LEO/USD,5.8033,5.84,5.7,5.7032,756838.625743096,132704.20566403
1651017600000,2022-04-27 00:00:00,LEO/USD,5.8398,5.84,5.8,5.8032,246503.03319838873,42477.08733085
1650931200000,2022-04-26 00:00:00,LEO/USD,5.9501,6.0199,5.8007,5.8399,302239.5461085045,51754.23313901
1650844800000,2022-04-25 00:00:00,LEO/USD,5.8534,5.9872,5.8339,5.9519,314549.1919895786,52848.53441583
1650758400000,2022-04-24 00:00:00,LEO/USD,5.8975,5.9584,5.8236,5.8522,225138.65929458593,38470.77326383
1650672000000,2022-04-23 00:00:00,LEO/USD,5.85,5.9245,5.8,5.8975,284796.1720626414,48290.99992584
1650585600000,2022-04-22 00:00:00,LEO/USD,6.0081,6.0412,5.85,5.8587,271377.47441244643,46320.42507936
1650499200000,2022-04-21 00:00:00,LEO/USD,5.9711,6.0423,5.8943,6.006,250414.17847355912,41694.00240985
1650412800000,2022-04-20 00:00:00,LEO/USD,5.8548,5.9902,5.8501,5.9614,207064.64643402473,34734.23129366
1650326400000,2022-04-19 00:00:00,LEO/USD,5.9737,6.0195,5.8501,5.8627,167332.67714483314,28541.91364812
1650240000000,2022-04-18 00:00:00,LEO/USD,5.8959,6.0039,5.7917,5.9739,284095.30583030434,47556.08661516
