https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MKR
1659571200000,2022-08-04 00:00:00,MKR/USD,1040.0,1052.7,1040.0,1052.3,449.71394810099997,0.42736287
1659484800000,2022-08-03 00:00:00,MKR/USD,1044.6,1087.3,1016.0,1040.0,52573.9380816,50.55186354
1659398400000,2022-08-02 00:00:00,MKR/USD,1062.0,1077.1,1009.1,1042.1,22720.093347369,21.80221989
1659312000000,2022-08-01 00:00:00,MKR/USD,1103.3,1132.5,1045.7,1061.3,123723.94389383,116.5777291
1659225600000,2022-07-31 00:00:00,MKR/USD,1121.8,1175.1,1091.8,1103.4,46168.94145492001,41.8424338
1659139200000,2022-07-30 00:00:00,MKR/USD,1153.9,1186.6,1094.2,1121.8,42852.127798392,38.19943644
1659052800000,2022-07-29 00:00:00,MKR/USD,1114.5,1175.3,1057.6,1153.9,64022.370725060005,55.4834654
1658966400000,2022-07-28 00:00:00,MKR/USD,1010.0,1130.7,993.0,1113.4,137539.92172978402,123.53145476
1658880000000,2022-07-27 00:00:00,MKR/USD,914.89,1013.1,901.75,1010.0,51835.101021999995,51.3218822
1658793600000,2022-07-26 00:00:00,MKR/USD,894.19,915.82,850.7,914.89,104422.68188174331,114.13687097
1658707200000,2022-07-25 00:00:00,MKR/USD,986.21,995.11,892.93,892.93,156107.5798302187,174.82622359
1658620800000,2022-07-24 00:00:00,MKR/USD,953.7,1016.1,953.7,984.47,12743.0969402217,12.944119109999999
1658534400000,2022-07-23 00:00:00,MKR/USD,951.32,977.15,922.9,953.7,15701.735654649001,16.46401977
1658448000000,2022-07-22 00:00:00,MKR/USD,978.75,1010.5,933.6,951.32,11405.1946150416,11.98880988
1658361600000,2022-07-21 00:00:00,MKR/USD,971.71,999.8,941.44,978.75,70481.15866023749,72.01140093
1658275200000,2022-07-20 00:00:00,MKR/USD,1029.0,1057.1,953.7,971.71,43221.4195049728,44.47975168
1658188800000,2022-07-19 00:00:00,MKR/USD,1049.4,1064.3,999.79,1029.0,36171.651039510005,35.15223619
1658102400000,2022-07-18 00:00:00,MKR/USD,929.93,1047.3,929.93,1047.3,248161.304994348,236.95340876
1658016000000,2022-07-17 00:00:00,MKR/USD,965.68,969.87,929.7,930.01,56852.7418148312,61.13132312
1657929600000,2022-07-16 00:00:00,MKR/USD,910.83,975.8,886.94,963.18,72164.983649094,74.9236733
1657843200000,2022-07-15 00:00:00,MKR/USD,890.06,937.13,880.21,909.74,29625.6168800254,32.56492721
1657756800000,2022-07-14 00:00:00,MKR/USD,855.85,901.0,820.77,890.96,21358.4742905072,23.97242782
1657670400000,2022-07-13 00:00:00,MKR/USD,823.25,858.97,797.05,855.8,16640.692205896,19.44460412
1657584000000,2022-07-12 00:00:00,MKR/USD,865.89,879.2,823.4,823.4,87416.42592702,106.1652003
1657497600000,2022-07-11 00:00:00,MKR/USD,941.54,944.13,860.2,864.16,71004.73895885919,82.16619487
1657411200000,2022-07-10 00:00:00,MKR/USD,997.59,999.79,936.2,941.56,53527.0576593496,56.84933266
1657324800000,2022-07-09 00:00:00,MKR/USD,959.23,1011.5,959.23,997.59,61243.038611931,61.3909909
1657238400000,2022-07-08 00:00:00,MKR/USD,989.17,1005.5,949.47,959.17,68234.08527849159,71.13867748
1657152000000,2022-07-07 00:00:00,MKR/USD,998.19,1015.4,967.9,989.17,71785.2178586452,72.57116356
1657065600000,2022-07-06 00:00:00,MKR/USD,932.82,1009.0,917.47,993.36,107758.3620254088,108.47866033
1656979200000,2022-07-05 00:00:00,MKR/USD,940.26,962.3,896.63,932.82,73233.8351159268,78.50800274
1656892800000,2022-07-04 00:00:00,MKR/USD,903.19,945.75,877.9,940.26,15850.927601980798,16.85802608
1656806400000,2022-07-03 00:00:00,MKR/USD,908.2,913.89,877.36,903.19,25179.7001187208,27.87863032
1656720000000,2022-07-02 00:00:00,MKR/USD,892.61,918.06,872.43,907.55,19880.450495128996,21.90562558
1656633600000,2022-07-01 00:00:00,MKR/USD,906.21,929.58,869.34,891.68,91305.799768288,102.3974966
1656547200000,2022-06-30 00:00:00,MKR/USD,909.75,921.99,838.1,901.6,67904.392535504,75.31543094
1656460800000,2022-06-29 00:00:00,MKR/USD,944.33,972.6,897.25,912.01,92655.140299546,101.5944346
1656374400000,2022-06-28 00:00:00,MKR/USD,1002.1,1032.2,942.22,945.9,64618.929989478005,68.31475842
1656288000000,2022-06-27 00:00:00,MKR/USD,1000.3,1068.3,984.6,1001.8,46176.767707966,46.09379887
