https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MLN
1659571200000,2022-08-04 00:00:00,MLN/USD,27.211,27.393,27.135,27.305,5431.21190214045,198.90906069
1659484800000,2022-08-03 00:00:00,MLN/USD,26.614,30.987,26.239,27.267,3833.7698190514197,140.60108626
1659398400000,2022-08-02 00:00:00,MLN/USD,27.675,27.675,26.138,26.606,941.54260266266,35.38835611
1659312000000,2022-08-01 00:00:00,MLN/USD,27.317,28.266,26.947,27.692,3029.25222736024,109.39087922
1659225600000,2022-07-31 00:00:00,MLN/USD,27.509,29.608,26.765,27.369,4251.73172750262,155.34844998
1659139200000,2022-07-30 00:00:00,MLN/USD,27.787,30.409,27.41,27.663,13508.152697937,488.311199
1659052800000,2022-07-29 00:00:00,MLN/USD,27.066,28.387,26.898,27.824,1183.67202155712,42.54140388
1658966400000,2022-07-28 00:00:00,MLN/USD,25.955,27.992,25.877,27.071,7776.84329170826,287.27580406
1658880000000,2022-07-27 00:00:00,MLN/USD,24.692,26.223,24.372,25.946,776.57533193758,29.93044523
1658793600000,2022-07-26 00:00:00,MLN/USD,24.542,24.754,23.927,24.754,527.53478770564,21.31109266
1658707200000,2022-07-25 00:00:00,MLN/USD,25.7,25.81,24.423,24.423,540.31578110496,22.12323552
1658620800000,2022-07-24 00:00:00,MLN/USD,26.164,26.706,25.332,25.714,1154.3693951023,44.89264195
1658534400000,2022-07-23 00:00:00,MLN/USD,25.494,26.15,25.413,26.141,549.0133021285699,21.00200077
1658448000000,2022-07-22 00:00:00,MLN/USD,25.66,26.443,24.835,25.043,644.69042906066,25.74333862
1658361600000,2022-07-21 00:00:00,MLN/USD,25.677,25.786,24.524,25.663,2489.62076421498,97.01207046
1658275200000,2022-07-20 00:00:00,MLN/USD,26.541,26.964,25.376,25.666,1112.1962211861,43.33344585
1658188800000,2022-07-19 00:00:00,MLN/USD,26.379,26.853,25.644,26.464,1157.64582893984,43.74417431
1658102400000,2022-07-18 00:00:00,MLN/USD,25.153,26.824,25.128,26.562,2985.25826711106,112.38830913
1658016000000,2022-07-17 00:00:00,MLN/USD,25.281,25.891,24.617,25.148,948.38986898256,37.71233772
1657929600000,2022-07-16 00:00:00,MLN/USD,24.564,25.803,24.186,25.262,1975.4507217270002,78.1985085
1657843200000,2022-07-15 00:00:00,MLN/USD,24.904,27.0,24.033,24.559,1428.8727946609401,58.18122866
1657756800000,2022-07-14 00:00:00,MLN/USD,24.117,24.955,23.364,24.955,1052.4092034792,42.17227824
1657670400000,2022-07-13 00:00:00,MLN/USD,23.886,24.218,22.51,24.072,1125.03717551712,46.73633996
1657584000000,2022-07-12 00:00:00,MLN/USD,23.394,24.98,23.0,23.888,1204.2742507556802,50.41335611
1657497600000,2022-07-11 00:00:00,MLN/USD,24.626,24.646,23.233,23.424,824.12872288128,35.18309097
1657411200000,2022-07-10 00:00:00,MLN/USD,25.408,25.444,24.368,24.468,751.5724304004,30.7165453
1657324800000,2022-07-09 00:00:00,MLN/USD,24.794,26.0,24.794,25.352,901.9596419487201,35.57745511
1657238400000,2022-07-08 00:00:00,MLN/USD,25.809,26.245,24.649,24.803,1152.65283340954,46.47231518
1657152000000,2022-07-07 00:00:00,MLN/USD,25.192,26.0,24.757,25.766,6458.552362393039,250.66181644
1657065600000,2022-07-06 00:00:00,MLN/USD,24.535,25.519,24.408,25.199,924.1755132811601,36.67508684
1656979200000,2022-07-05 00:00:00,MLN/USD,25.058,25.256,24.305,24.547,739.74335446466,30.13579478
1656892800000,2022-07-04 00:00:00,MLN/USD,24.226,25.247,24.127,25.064,901.2757408782401,35.95897466
1656806400000,2022-07-03 00:00:00,MLN/USD,24.234,25.0,23.529,24.325,883.22400004825,36.30931141
1656720000000,2022-07-02 00:00:00,MLN/USD,23.981,25.42,23.303,24.224,1058.12386198528,43.68080672
1656633600000,2022-07-01 00:00:00,MLN/USD,23.873,24.654,23.126,24.01,1207.6447783911,50.29757511
1656547200000,2022-06-30 00:00:00,MLN/USD,24.432,25.185,22.707,23.943,1344.81265494198,56.16725786
1656460800000,2022-06-29 00:00:00,MLN/USD,23.547,25.871,22.933,24.432,1551.8862776136,63.51859355
1656374400000,2022-06-28 00:00:00,MLN/USD,25.1,26.0,23.436,23.533,1019.3689095850401,43.31657288
1656288000000,2022-06-27 00:00:00,MLN/USD,24.853,26.77,24.543,25.028,1641.2097972926,65.57494795
