https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MNA
1659571200000,2022-08-04 00:00:00,MNA/USD,0.96338,0.98032,0.96338,0.97807,526.6631923269069,538.47188067
1659484800000,2022-08-03 00:00:00,MNA/USD,0.96034,1.0022,0.93506,0.96329,50137.463950034245,52048.15159509
1659398400000,2022-08-02 00:00:00,MNA/USD,1.0114,1.025,0.94102,0.95871,28046.697479116145,29254.62077074
1659312000000,2022-08-01 00:00:00,MNA/USD,0.97292,1.0368,0.96018,1.0173,41576.78639197901,40869.739891850004
1659225600000,2022-07-31 00:00:00,MNA/USD,1.0102,1.0419,0.97091,0.97644,37226.46454653606,38124.68205577
1659139200000,2022-07-30 00:00:00,MNA/USD,0.97041,1.0927,0.97041,1.0087,76118.4312770932,75461.91263715
1659052800000,2022-07-29 00:00:00,MNA/USD,0.97822,1.0308,0.94764,0.96903,77215.6664035355,79683.46326072
1658966400000,2022-07-28 00:00:00,MNA/USD,0.95391,0.99569,0.92485,0.98009,178873.53085515322,182507.25020677
1658880000000,2022-07-27 00:00:00,MNA/USD,0.87842,0.9553,0.85179,0.9553,23878.90319496423,24996.23489476
1658793600000,2022-07-26 00:00:00,MNA/USD,0.87651,0.88006,0.84411,0.88006,101521.98406196997,115358.02565958
1658707200000,2022-07-25 00:00:00,MNA/USD,0.96353,0.96925,0.87205,0.87461,41476.01804073649,47422.30027182
1658620800000,2022-07-24 00:00:00,MNA/USD,0.97728,1.0264,0.96036,0.96301,26876.610247682664,27908.96278095
1658534400000,2022-07-23 00:00:00,MNA/USD,0.92719,1.0173,0.92427,0.97668,51393.527029432065,52620.64036269
1658448000000,2022-07-22 00:00:00,MNA/USD,0.93779,1.0363,0.90378,0.93011,96484.22606336043,103734.21000028
1658361600000,2022-07-21 00:00:00,MNA/USD,0.92096,0.94327,0.88068,0.9397,31976.224838849204,34028.12050532
1658275200000,2022-07-20 00:00:00,MNA/USD,0.99944,1.0184,0.9139,0.91948,54261.66682618163,59013.42805301
1658188800000,2022-07-19 00:00:00,MNA/USD,0.91208,1.02,0.9093,1.0008,130546.18417216607,130441.8307076
1658102400000,2022-07-18 00:00:00,MNA/USD,0.84004,0.92833,0.83586,0.92198,75260.82527875491,81629.56385036
1658016000000,2022-07-17 00:00:00,MNA/USD,0.86914,0.88568,0.83849,0.83849,15079.348849895949,17983.93403606
1657929600000,2022-07-16 00:00:00,MNA/USD,0.8494,0.873,0.82118,0.86642,39755.02084148938,45884.237253859996
1657843200000,2022-07-15 00:00:00,MNA/USD,0.83874,0.87134,0.82886,0.84688,73272.596037886,86520.63579006
1657756800000,2022-07-14 00:00:00,MNA/USD,0.8131,0.84617,0.78718,0.83716,74666.96485590955,89190.79370241
1657670400000,2022-07-13 00:00:00,MNA/USD,0.78,0.81456,0.75428,0.81456,27421.175847171082,33663.78885186
1657584000000,2022-07-12 00:00:00,MNA/USD,0.80473,0.82314,0.78225,0.78225,45605.88684419108,58300.90999577
1657497600000,2022-07-11 00:00:00,MNA/USD,0.86962,0.86962,0.80136,0.8065,87192.92834190544,108112.7443793
1657411200000,2022-07-10 00:00:00,MNA/USD,0.90428,0.90436,0.85889,0.86944,11730.683597479474,13492.22901808
1657324800000,2022-07-09 00:00:00,MNA/USD,0.89822,0.9223,0.89713,0.90575,10774.760883759533,11895.95460531
1657238400000,2022-07-08 00:00:00,MNA/USD,0.93606,0.95276,0.88704,0.9,34167.070680237004,37963.41186693
1657152000000,2022-07-07 00:00:00,MNA/USD,0.91653,0.94791,0.90553,0.93463,29759.439775951505,31840.87796877
1657065600000,2022-07-06 00:00:00,MNA/USD,0.87363,0.92654,0.86039,0.91528,39848.348095431254,43536.78447626
1656979200000,2022-07-05 00:00:00,MNA/USD,0.90191,0.91707,0.8364,0.87495,69896.19893434644,79885.93512126
1656892800000,2022-07-04 00:00:00,MNA/USD,0.83839,0.90934,0.8231,0.90458,27938.197783360378,30885.27027279
1656806400000,2022-07-03 00:00:00,MNA/USD,0.83615,0.84394,0.81099,0.83655,18289.04662332376,21862.46682604
1656720000000,2022-07-02 00:00:00,MNA/USD,0.83338,0.84516,0.81048,0.835,22354.214507325047,26771.51438003
1656633600000,2022-07-01 00:00:00,MNA/USD,0.88294,0.9,0.83026,0.83677,42671.05676711432,50994.964885350004
1656547200000,2022-06-30 00:00:00,MNA/USD,0.87817,0.88596,0.8,0.88047,54197.456478426786,61555.14268337
1656460800000,2022-06-29 00:00:00,MNA/USD,0.88595,0.89993,0.8598,0.87836,19793.742995504348,22534.88660174
1656374400000,2022-06-28 00:00:00,MNA/USD,0.96656,1.0048,0.88048,0.88824,57685.348913327194,64943.42622864
1656288000000,2022-06-27 00:00:00,MNA/USD,0.93705,1.0048,0.92138,0.9671,55512.51659507484,57401.00981809
1656201600000,2022-06-26 00:00:00,MNA/USD,1.0226,1.0483,0.93026,0.93435,95620.93248333836,102339.52210985
1656115200000,2022-06-25 00:00:00,MNA/USD,0.93986,1.0563,0.91757,1.0266,116380.77052759218,113365.25475121
1656028800000,2022-06-24 00:00:00,MNA/USD,0.89507,0.95,0.89174,0.93996,57913.12847548978,61612.33294554
1655942400000,2022-06-23 00:00:00,MNA/USD,0.83589,0.91201,0.83204,0.89271,58997.224208780106,66087.78238037
