https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MOB
1659571200000,2022-08-04 00:00:00,MOB/USD,1.3548,1.3697,1.3516,1.3618,81.40242428172799,59.77560896
1659484800000,2022-08-03 00:00:00,MOB/USD,1.317,1.4622,1.3136,1.3589,10998.189161854925,8093.44996825
1659398400000,2022-08-02 00:00:00,MOB/USD,1.2895,1.5287,1.1965,1.3169,47190.432859341876,35834.48466804
1659312000000,2022-08-01 00:00:00,MOB/USD,1.2061,1.489,1.1997,1.2851,22136.132630650078,17225.22187429
1659225600000,2022-07-31 00:00:00,MOB/USD,1.1885,1.2278,1.1777,1.2041,2685.950684981859,2230.67077899
1659139200000,2022-07-30 00:00:00,MOB/USD,1.2417,1.2776,1.1792,1.1908,4182.134144779552,3512.03740744
1659052800000,2022-07-29 00:00:00,MOB/USD,1.2317,1.2604,1.2031,1.2415,3739.72928188483,3012.26684002
1658966400000,2022-07-28 00:00:00,MOB/USD,1.1468,1.2429,1.1254,1.222,4518.05716001406,3697.26445173
1658880000000,2022-07-27 00:00:00,MOB/USD,1.0742,1.149,1.0714,1.1474,3930.0410114894,3425.170831
1658793600000,2022-07-26 00:00:00,MOB/USD,1.1026,1.1135,1.0502,1.0725,4236.645474386325,3950.25219057
1658707200000,2022-07-25 00:00:00,MOB/USD,1.1449,1.4008,1.1054,1.1054,107183.54212891601,96963.58072093
1658620800000,2022-07-24 00:00:00,MOB/USD,1.1037,1.1852,1.1005,1.1433,2292.706300200498,2005.34094306
1658534400000,2022-07-23 00:00:00,MOB/USD,1.1289,1.134,1.0845,1.1014,1012.056618642462,918.88198533
1658448000000,2022-07-22 00:00:00,MOB/USD,1.1261,1.1619,1.1186,1.1301,2360.048850529269,2088.35399569
1658361600000,2022-07-21 00:00:00,MOB/USD,1.11,1.1353,1.0854,1.1265,3331.0170123687003,2956.9613958
1658275200000,2022-07-20 00:00:00,MOB/USD,1.153,1.1772,1.1079,1.1087,2709.732538660223,2444.06290129
1658188800000,2022-07-19 00:00:00,MOB/USD,1.1553,1.1989,1.1182,1.1539,3851.4112518802685,3337.73399071
1658102400000,2022-07-18 00:00:00,MOB/USD,1.1444,1.1943,1.1103,1.1582,5982.019191698276,5164.92763918
1658016000000,2022-07-17 00:00:00,MOB/USD,1.0863,1.4993,1.0863,1.1419,18185.288783636996,15925.46526284
1657929600000,2022-07-16 00:00:00,MOB/USD,1.0472,1.1166,1.0191,1.0859,1214.5292344238412,1118.45403299
1657843200000,2022-07-15 00:00:00,MOB/USD,1.0514,1.0753,1.0386,1.0499,2359.2382839281013,2247.10761399
1657756800000,2022-07-14 00:00:00,MOB/USD,1.0292,1.0584,1.0118,1.0512,1789.611463951632,1702.44621761
1657670400000,2022-07-13 00:00:00,MOB/USD,1.0151,1.0299,0.99374,1.0299,1141.825373593368,1108.67596232
1657584000000,2022-07-12 00:00:00,MOB/USD,1.0313,1.0404,1.0133,1.0143,1308.064097621799,1289.62249593
1657497600000,2022-07-11 00:00:00,MOB/USD,1.0794,1.0794,1.0316,1.0316,2612.4883883880243,2532.46257114
1657411200000,2022-07-10 00:00:00,MOB/USD,1.1422,1.1454,1.0699,1.0726,2394.83408713389,2232.73735515
1657324800000,2022-07-09 00:00:00,MOB/USD,1.1224,1.1502,1.1161,1.1422,1293.85027315329,1132.77033195
1657238400000,2022-07-08 00:00:00,MOB/USD,1.1399,1.1633,1.112,1.1226,3917.1083297494683,3489.31794918
1657152000000,2022-07-07 00:00:00,MOB/USD,1.1211,1.1441,1.0971,1.1371,1806.9846242450699,1589.1167217
1657065600000,2022-07-06 00:00:00,MOB/USD,1.0852,1.1615,1.0739,1.1242,4325.810392775718,3847.90107879
1656979200000,2022-07-05 00:00:00,MOB/USD,1.0965,1.1164,1.0629,1.0855,1665.067796486575,1533.91782265
1656892800000,2022-07-04 00:00:00,MOB/USD,1.076,1.1026,1.0644,1.0961,1419.2575144569091,1294.82484669
1656806400000,2022-07-03 00:00:00,MOB/USD,1.0856,1.0924,1.0541,1.0764,1449.722707571268,1346.82525787
1656720000000,2022-07-02 00:00:00,MOB/USD,1.0644,1.1072,1.0567,1.0823,1461.228444486365,1350.11405755
