https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1659571200000,2022-08-04 00:00:00,OMG/USD,2.1495,2.1786,2.1435,2.1687,10715.603839194328,4941.0263472100005
1659484800000,2022-08-03 00:00:00,OMG/USD,2.1534,2.2554,2.0841,2.1535,314499.5923083757,146041.13875476
1659398400000,2022-08-02 00:00:00,OMG/USD,2.2666,2.2761,2.0729,2.1551,268346.96501907683,124517.17554595
1659312000000,2022-08-01 00:00:00,OMG/USD,2.198,2.3216,2.1754,2.2684,284610.0286932725,125467.30236875
1659225600000,2022-07-31 00:00:00,OMG/USD,2.2569,2.3274,2.1861,2.2036,325518.39617774595,147721.18178333
1659139200000,2022-07-30 00:00:00,OMG/USD,2.2822,2.4188,2.2326,2.2549,633334.9572494959,280870.52962415
1659052800000,2022-07-29 00:00:00,OMG/USD,2.3205,2.4397,2.2259,2.2853,688082.076782434,301090.48124204
1658966400000,2022-07-28 00:00:00,OMG/USD,2.0073,2.398,1.952,2.3211,803879.147434254,346335.42175445
1658880000000,2022-07-27 00:00:00,OMG/USD,1.8702,2.0083,1.8289,2.0077,297998.00206767407,148427.55494729
1658793600000,2022-07-26 00:00:00,OMG/USD,1.8336,1.876,1.777,1.8721,345091.51064948447,184333.90879199
1658707200000,2022-07-25 00:00:00,OMG/USD,2.046,2.0653,1.8353,1.8353,296156.4765255664,161366.79372613
1658620800000,2022-07-24 00:00:00,OMG/USD,2.0754,2.1061,2.0359,2.0476,307014.89719155553,149938.90271125
1658534400000,2022-07-23 00:00:00,OMG/USD,2.0183,2.1622,1.9854,2.0756,480246.8394313295,231377.35567129
1658448000000,2022-07-22 00:00:00,OMG/USD,1.927,2.1982,1.9161,2.0223,671760.5009527637,332176.48269434
1658361600000,2022-07-21 00:00:00,OMG/USD,1.8862,1.9435,1.825,1.9257,167158.93084207826,86804.24305036
1658275200000,2022-07-20 00:00:00,OMG/USD,2.0108,2.054,1.8563,1.8837,547760.1867419141,290789.50296858
1658188800000,2022-07-19 00:00:00,OMG/USD,1.939,2.0486,1.8851,2.0108,866091.1851674806,430719.70617042
1658102400000,2022-07-18 00:00:00,OMG/USD,1.8054,1.9651,1.7978,1.9391,380726.6060298532,196341.91430553
1658016000000,2022-07-17 00:00:00,OMG/USD,1.8376,1.887,1.7941,1.8017,313190.1896561403,173830.37667544
1657929600000,2022-07-16 00:00:00,OMG/USD,1.7698,1.8444,1.7339,1.8367,196103.04825058475,106769.23191081
1657843200000,2022-07-15 00:00:00,OMG/USD,1.768,1.8199,1.7312,1.7669,407144.28883481136,230428.59745023
1657756800000,2022-07-14 00:00:00,OMG/USD,1.742,1.7979,1.6633,1.7655,127973.12086782514,72485.48335759
1657670400000,2022-07-13 00:00:00,OMG/USD,1.6375,1.7514,1.5905,1.745,375124.72221910197,214971.18751811
1657584000000,2022-07-12 00:00:00,OMG/USD,1.6977,1.7348,1.6338,1.6338,344316.5363773454,210745.82958584
1657497600000,2022-07-11 00:00:00,OMG/USD,1.8707,1.8707,1.688,1.6976,946178.576522874,557362.49795174
1657411200000,2022-07-10 00:00:00,OMG/USD,1.9277,1.9332,1.8303,1.8696,354181.5232343912,189442.40652246
1657324800000,2022-07-09 00:00:00,OMG/USD,1.892,1.9682,1.892,1.9302,174072.76324136913,90183.79610474
1657238400000,2022-07-08 00:00:00,OMG/USD,1.915,1.9746,1.8446,1.8893,344806.19223730924,182504.73309549
1657152000000,2022-07-07 00:00:00,OMG/USD,1.8361,1.9287,1.8257,1.9126,255655.3239682925,133668.99716004
1657065600000,2022-07-06 00:00:00,OMG/USD,1.8087,1.8539,1.7839,1.8338,226679.96351319688,123612.15155044
1656979200000,2022-07-05 00:00:00,OMG/USD,1.8738,1.893,1.7573,1.8092,237739.28305837733,131405.75008754
1656892800000,2022-07-04 00:00:00,OMG/USD,1.8203,1.89,1.7689,1.8746,173403.25850432477,92501.47151623
1656806400000,2022-07-03 00:00:00,OMG/USD,1.8224,1.8351,1.7499,1.8238,323578.52004265116,177419.95835215
1656720000000,2022-07-02 00:00:00,OMG/USD,1.7909,1.8407,1.7523,1.8207,369670.20431800355,203037.40556819
1656633600000,2022-07-01 00:00:00,OMG/USD,1.8441,1.895,1.7367,1.7927,603660.5688717271,336732.62055655
1656547200000,2022-06-30 00:00:00,OMG/USD,1.8654,1.8742,1.6979,1.8518,641229.6423287581,346273.7025212
1656460800000,2022-06-29 00:00:00,OMG/USD,1.8601,1.9,1.8053,1.874,812947.3174279745,433803.26436925
1656374400000,2022-06-28 00:00:00,OMG/USD,1.9835,2.089,1.8425,1.857,398037.9160877959,214344.59670856
