https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OXY
1659571200000,2022-08-04 00:00:00,OXY/USD,0.056352,0.056453,0.056103,0.05637,15.880714649192102,281.72280733
1659484800000,2022-08-03 00:00:00,OXY/USD,0.056551,0.057102,0.05593,0.056095,853.2416352549179,15210.6539844
1659398400000,2022-08-02 00:00:00,OXY/USD,0.057208,0.057208,0.056148,0.056557,1698.8466366184234,30037.77846453
1659312000000,2022-08-01 00:00:00,OXY/USD,0.057761,0.057997,0.056916,0.057068,2134.2354950830872,37398.11269158
1659225600000,2022-07-31 00:00:00,OXY/USD,0.058182,0.058355,0.057597,0.057642,3705.857376448366,64290.92287652
1659139200000,2022-07-30 00:00:00,OXY/USD,0.05784,0.059012,0.05784,0.058343,5140.022523226316,88100.07238617
1659052800000,2022-07-29 00:00:00,OXY/USD,0.058516,0.058793,0.057547,0.057982,1874.1161038669197,32322.37770113
1658966400000,2022-07-28 00:00:00,OXY/USD,0.057652,0.058991,0.056962,0.058466,5395.505906432523,92284.5056346
1658880000000,2022-07-27 00:00:00,OXY/USD,0.055262,0.057705,0.0548,0.057654,21480.022376509645,372567.77286068
1658793600000,2022-07-26 00:00:00,OXY/USD,0.055261,0.055447,0.054794,0.055296,14603.723720433192,264100.90640251
1658707200000,2022-07-25 00:00:00,OXY/USD,0.056895,0.057017,0.055256,0.055327,10787.46302477304,194976.46763376
1658620800000,2022-07-24 00:00:00,OXY/USD,0.056865,0.057388,0.056557,0.056987,9324.372724347693,163622.80387365
1658534400000,2022-07-23 00:00:00,OXY/USD,0.057381,0.057524,0.055863,0.056876,45626.54150904108,802210.80084818
1658448000000,2022-07-22 00:00:00,OXY/USD,0.057645,0.058291,0.056959,0.057027,32676.875694247436,573007.09653756
1658361600000,2022-07-21 00:00:00,OXY/USD,0.05767,0.057799,0.056859,0.057779,8888.969938920998,153844.30223647
1658275200000,2022-07-20 00:00:00,OXY/USD,0.058451,0.063002,0.057392,0.05767,14451.414098494355,250588.07176165
1658188800000,2022-07-19 00:00:00,OXY/USD,0.059072,0.061279,0.058593,0.058632,13142.71952957427,224156.08421296
1658102400000,2022-07-18 00:00:00,OXY/USD,0.057744,0.059166,0.057744,0.058846,14083.356956283445,239325.6458601
1658016000000,2022-07-17 00:00:00,OXY/USD,0.058656,0.05878,0.057728,0.057734,8302.10327554166,143799.2045509
1657929600000,2022-07-16 00:00:00,OXY/USD,0.05753,0.05876,0.056945,0.058581,91305.27491414023,1558615.84667623
1657843200000,2022-07-15 00:00:00,OXY/USD,0.059872,0.061453,0.054491,0.057532,42183.936587313256,733225.62378004
1657756800000,2022-07-14 00:00:00,OXY/USD,0.055827,0.061078,0.055392,0.05988,24105.678834163045,402566.44679631
1657670400000,2022-07-13 00:00:00,OXY/USD,0.053596,0.05716,0.053264,0.055749,1992.6724299680777,35743.64436973
1657584000000,2022-07-12 00:00:00,OXY/USD,0.056022,0.057063,0.051184,0.053565,25342.47232330777,473116.25731929
1657497600000,2022-07-11 00:00:00,OXY/USD,0.06549,0.070642,0.05411,0.055837,14321.404801562856,256485.92871327
1657411200000,2022-07-10 00:00:00,OXY/USD,0.079866,0.086819,0.064652,0.065436,11632.212387811487,177764.7225963
1657324800000,2022-07-09 00:00:00,OXY/USD,0.074219,0.078758,0.069809,0.078023,6679.341225451022,85607.33662447
1657238400000,2022-07-08 00:00:00,OXY/USD,0.070977,0.074816,0.070977,0.074272,8286.597130747838,111570.94370352
1657152000000,2022-07-07 00:00:00,OXY/USD,0.066268,0.071249,0.066268,0.070951,7855.508860733656,110717.380456
1657065600000,2022-07-06 00:00:00,OXY/USD,0.062704,0.066712,0.062544,0.066667,7985.977369778535,119789.06160137
1656979200000,2022-07-05 00:00:00,OXY/USD,0.068997,0.06938,0.058892,0.062655,17872.672649454613,285255.32917492
1656892800000,2022-07-04 00:00:00,OXY/USD,0.067666,0.06934,0.067293,0.068969,2485.0921597691963,36032.01669981
1656806400000,2022-07-03 00:00:00,OXY/USD,0.067915,0.068379,0.06743,0.067701,1081.2963009412695,15971.64445047
1656720000000,2022-07-02 00:00:00,OXY/USD,0.068922,0.069406,0.067344,0.068323,4271.070256938453,62512.92034803
1656633600000,2022-07-01 00:00:00,OXY/USD,0.069264,0.070298,0.06847,0.068898,18247.360339781568,264846.00916981
1656547200000,2022-06-30 00:00:00,OXY/USD,0.070607,0.07122,0.068753,0.069703,2349.478607308513,33706.99406494
1656460800000,2022-06-29 00:00:00,OXY/USD,0.07166,0.072531,0.070499,0.070613,3337.207545203631,47260.5263224
1656374400000,2022-06-28 00:00:00,OXY/USD,0.073305,0.074548,0.071528,0.07166,2206.946854713292,30797.4721562
1656288000000,2022-06-27 00:00:00,OXY/USD,0.074335,0.075028,0.073268,0.073724,1863.541342470824,25277.26849426
1656201600000,2022-06-26 00:00:00,OXY/USD,0.074365,0.075167,0.074214,0.074781,3624.4068876297924,48466.948658479996
1656115200000,2022-06-25 00:00:00,OXY/USD,0.074268,0.075102,0.073084,0.074382,6894.917196474481,92696.04469461
1656028800000,2022-06-24 00:00:00,OXY/USD,0.081848,0.082523,0.074357,0.074357,17976.27051735754,241756.26393423
1655942400000,2022-06-23 00:00:00,OXY/USD,0.085617,0.086788,0.081174,0.081841,3070.291083819578,37515.31730819
1655856000000,2022-06-22 00:00:00,OXY/USD,0.088858,0.089718,0.085377,0.085377,1279.5449754774102,14986.99855321
1655769600000,2022-06-21 00:00:00,OXY/USD,0.090472,0.09625,0.089214,0.090099,3727.151120560948,41367.28621362
1655683200000,2022-06-20 00:00:00,OXY/USD,0.084321,0.10153,0.081904,0.090002,43483.637123881774,483140.78713675
1655596800000,2022-06-19 00:00:00,OXY/USD,0.074683,0.084806,0.074067,0.084459,5305.691825588913,62819.73295432
1655510400000,2022-06-18 00:00:00,OXY/USD,0.077678,0.078149,0.065534,0.074568,20415.872116423227,273788.65084786003
1655424000000,2022-06-17 00:00:00,OXY/USD,0.078393,0.079254,0.077548,0.077664,4343.799809169022,55930.673274220004
1655337600000,2022-06-16 00:00:00,OXY/USD,0.078441,0.082815,0.077029,0.078393,27166.333700986303,346540.29952912
1655251200000,2022-06-15 00:00:00,OXY/USD,0.076018,0.078385,0.07477,0.078385,4546.8519086162305,58006.65827156
1655164800000,2022-06-14 00:00:00,OXY/USD,0.077259,0.079942,0.075514,0.076,6402.06785588384,84237.73494584
1655078400000,2022-06-13 00:00:00,OXY/USD,0.07877,0.079226,0.075831,0.07782,5311.909843946677,68258.92886079
1654992000000,2022-06-12 00:00:00,OXY/USD,0.080887,0.08141,0.078637,0.07877,2716.92887637135,34491.92429061
1654905600000,2022-06-11 00:00:00,OXY/USD,0.08421,0.084697,0.080846,0.080884,5785.625015141662,71529.90721455
1654819200000,2022-06-10 00:00:00,OXY/USD,0.086027,0.086655,0.084224,0.084246,7080.817593270098,84049.30315112999
1654732800000,2022-06-09 00:00:00,OXY/USD,0.087655,0.088147,0.086029,0.08603,16164.67880879727,187895.83643842
1654646400000,2022-06-08 00:00:00,OXY/USD,0.089278,0.092337,0.086615,0.087624,41366.77210180646,472094.08497451
1654560000000,2022-06-07 00:00:00,OXY/USD,0.091274,0.097197,0.087809,0.089217,33681.34957890007,377521.6559501
1654473600000,2022-06-06 00:00:00,OXY/USD,0.090132,0.093348,0.089596,0.091397,50799.49550443795,555811.41070755
1654387200000,2022-06-05 00:00:00,OXY/USD,0.088054,0.092291,0.087309,0.090119,19929.906209140925,221150.99156827
1654300800000,2022-06-04 00:00:00,OXY/USD,0.088244,0.089572,0.086196,0.087614,34798.61164513789,397180.94876547
1654214400000,2022-06-03 00:00:00,OXY/USD,0.089871,0.09001,0.084209,0.088467,35266.9349950003,398645.0879424
1654128000000,2022-06-02 00:00:00,OXY/USD,0.087366,0.10218,0.086965,0.089878,72634.40632287899,808144.44383363
1654041600000,2022-06-01 00:00:00,OXY/USD,0.093773,0.094364,0.087475,0.087484,39047.66396918206,446340.63336361
1653955200000,2022-05-31 00:00:00,OXY/USD,0.093736,0.094119,0.090121,0.093739,45622.846747543954,486700.80486824
1653868800000,2022-05-30 00:00:00,OXY/USD,0.089064,0.094049,0.087874,0.09371,45554.635682513,486123.52665151
1653782400000,2022-05-29 00:00:00,OXY/USD,0.089184,0.090238,0.088205,0.088781,11626.166207641874,130953.31442135
1653696000000,2022-05-28 00:00:00,OXY/USD,0.09033,0.091788,0.086985,0.08975,81701.23335278062,910320.1487775
1653609600000,2022-05-27 00:00:00,OXY/USD,0.092857,0.094452,0.08926,0.090296,74185.8661485615,821585.29888989
1653523200000,2022-05-26 00:00:00,OXY/USD,0.10061,0.1007,0.091004,0.092811,502.287047715496,5411.93444436
1653436800000,2022-05-25 00:00:00,OXY/USD,0.10149,0.10511,0.099487,0.099811,27275.028681805692,273266.76099634
1653350400000,2022-05-24 00:00:00,OXY/USD,0.10242,0.10366,0.098911,0.10349,46342.362711037444,447795.56199669
1653264000000,2022-05-23 00:00:00,OXY/USD,0.1027,0.10742,0.1013,0.10241,13109.97089629498,128014.55811244
1653177600000,2022-05-22 00:00:00,OXY/USD,0.10065,0.10483,0.10063,0.10318,4557.773149574876,44173.0291682
1653091200000,2022-05-21 00:00:00,OXY/USD,0.10357,0.10563,0.097253,0.10069,30174.578214112746,299678.00391412
1653004800000,2022-05-20 00:00:00,OXY/USD,0.10681,0.1081,0.10279,0.10552,5751.314371975536,54504.49556459
1652918400000,2022-05-19 00:00:00,OXY/USD,0.10136,0.11463,0.086214,0.10757,66844.10601365955,621401.00412438
1652832000000,2022-05-18 00:00:00,OXY/USD,0.10496,0.10651,0.096002,0.10129,33836.310928879895,334053.81507434
1652745600000,2022-05-17 00:00:00,OXY/USD,0.099828,0.1111,0.099293,0.10507,135155.1769083911,1286334.60462921
1652659200000,2022-05-16 00:00:00,OXY/USD,0.1048,0.10513,0.09915,0.099942,170408.68282777493,1705075.77222564
1652572800000,2022-05-15 00:00:00,OXY/USD,0.10198,0.1053,0.098146,0.10476,190353.07788179728,1817039.68959333
1652486400000,2022-05-14 00:00:00,OXY/USD,0.10503,0.10699,0.087874,0.10189,250737.4007892473,2460863.68425996
1652400000000,2022-05-13 00:00:00,OXY/USD,0.082522,0.11443,0.08195,0.10633,95029.94951572712,893726.60129528
1652313600000,2022-05-12 00:00:00,OXY/USD,0.090978,0.092204,0.082386,0.08276,66225.62461466117,800212.96054448
1652227200000,2022-05-11 00:00:00,OXY/USD,0.11157,0.11702,0.088916,0.091441,79410.0300220756,868429.1512787
1652140800000,2022-05-10 00:00:00,OXY/USD,0.11627,0.11973,0.10616,0.11147,89358.22467192943,801634.74183125
1652054400000,2022-05-09 00:00:00,OXY/USD,0.13158,0.1328,0.11592,0.11627,73297.34072020731,630406.30188533
1651968000000,2022-05-08 00:00:00,OXY/USD,0.15082,0.15155,0.13152,0.13152,23847.692127646482,181323.69318466
1651881600000,2022-05-07 00:00:00,OXY/USD,0.16828,0.16848,0.15057,0.15075,8433.799593127356,55945.60260781
1651795200000,2022-05-06 00:00:00,OXY/USD,0.18407,0.18424,0.16746,0.16855,34073.95854065341,202159.35058234
