https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PAX
1659484800000,2022-08-03 00:00:00,PAX/USD,0.99979,0.99979,0.99963,0.99964,3833.7662200957307,3835.14687297
1659312000000,2022-08-01 00:00:00,PAX/USD,0.99945,0.99965,0.99942,0.99965,2259.920209049679,2260.71145806
1659225600000,2022-07-31 00:00:00,PAX/USD,0.99953,0.99953,0.99938,0.99939,7385.260466232841,7389.76822485
1659052800000,2022-07-29 00:00:00,PAX/USD,0.99978,0.9998,0.99978,0.9998,17.36445886351,17.367932449999998
1658966400000,2022-07-28 00:00:00,PAX/USD,1.0001,1.0001,1.0001,1.0001,9.846883859927,9.84589927
1658707200000,2022-07-25 00:00:00,PAX/USD,0.99988,0.99989,0.99988,0.99989,813.0129761240871,813.10241739
1658448000000,2022-07-22 00:00:00,PAX/USD,0.99996,0.99996,0.99996,0.99996,9.9996,10.0
1658361600000,2022-07-21 00:00:00,PAX/USD,0.99997,0.99997,0.99997,0.99997,1.99994,2.0
1658102400000,2022-07-18 00:00:00,PAX/USD,1.0004,1.0005,1.0004,1.0005,2962.1268670919103,2960.6465438200003
1658016000000,2022-07-17 00:00:00,PAX/USD,1.0006,1.0006,1.0005,1.0005,8022.4385775214205,8018.429362840001
1657929600000,2022-07-16 00:00:00,PAX/USD,1.0005,1.0005,1.0005,1.0005,6045.47308743075,6042.4518615
1657670400000,2022-07-13 00:00:00,PAX/USD,1.0001,1.0001,1.0001,1.0001,141.645361729861,141.63119861
1657584000000,2022-07-12 00:00:00,PAX/USD,0.99966,0.99969,0.99966,0.99969,354.11900928573175,354.22882022
1657497600000,2022-07-11 00:00:00,PAX/USD,1.0005,1.0006,1.0005,1.0005,3083.885955721665,3082.34478333
1657324800000,2022-07-09 00:00:00,PAX/USD,1.0005,1.0005,1.0004,1.0004,640.720676616328,640.46449082
1657152000000,2022-07-07 00:00:00,PAX/USD,1.0003,1.0003,1.0,1.0,86.32902649,86.32902649
1657065600000,2022-07-06 00:00:00,PAX/USD,1.0007,1.0007,1.0007,1.0007,10.761054478907,10.75352701
1656979200000,2022-07-05 00:00:00,PAX/USD,1.0006,1.0006,1.0004,1.0004,222.33034500937197,222.24144843
1656892800000,2022-07-04 00:00:00,PAX/USD,1.0008,1.0009,1.0007,1.0007,33653.475167779674,33629.93421383
1656806400000,2022-07-03 00:00:00,PAX/USD,1.0008,1.0009,1.0005,1.0009,31417.381918529994,31389.131699999998
1656720000000,2022-07-02 00:00:00,PAX/USD,1.0007,1.0008,1.0006,1.0006,12534.64986480079,12527.13358465
1656633600000,2022-07-01 00:00:00,PAX/USD,1.0004,1.001,1.0004,1.0006,335041.161150928,334840.25699673
1656547200000,2022-06-30 00:00:00,PAX/USD,1.0005,1.0014,1.0005,1.0005,139433.4842587688,139363.80235759
1656460800000,2022-06-29 00:00:00,PAX/USD,1.0005,1.0008,1.0005,1.0005,66426.64320567121,66393.44648243
1656374400000,2022-06-28 00:00:00,PAX/USD,1.0008,1.0008,1.0005,1.0008,75170.89469766225,75110.80605282
1656288000000,2022-06-27 00:00:00,PAX/USD,1.0008,1.0011,1.0003,1.0008,679174.211255028,678631.30621006
1656201600000,2022-06-26 00:00:00,PAX/USD,1.0008,1.001,1.0006,1.0007,276119.1084719498,275925.96029974
1656028800000,2022-06-24 00:00:00,PAX/USD,0.9997,0.9997,0.9997,0.9997,69.839042,69.86
