https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PLU
1659571200000,2022-08-04 00:00:00,PLU/USD,7.6645,7.78,7.6545,7.6545,97.00643822120999,12.67312538
1659484800000,2022-08-03 00:00:00,PLU/USD,7.7381,7.838,7.6545,7.6644,3002.63748006276,391.7641929
1659398400000,2022-08-02 00:00:00,PLU/USD,7.615,7.9237,7.41,7.7381,6705.343081689815,866.53611115
1659312000000,2022-08-01 00:00:00,PLU/USD,7.9888,8.0104,7.6002,7.6116,3681.1744487114884,483.62689168
1659225600000,2022-07-31 00:00:00,PLU/USD,7.8038,7.9925,7.7381,7.9925,4754.494101903625,594.86945285
1659139200000,2022-07-30 00:00:00,PLU/USD,7.9616,8.2707,7.7381,7.8063,10492.008458025035,1344.04371572
1659052800000,2022-07-29 00:00:00,PLU/USD,7.7796,8.7639,7.6,7.9963,22218.33428771225,2778.57687777
1658966400000,2022-07-28 00:00:00,PLU/USD,7.4343,7.8809,7.3816,7.8032,10852.368392324848,1390.75871339
1658880000000,2022-07-27 00:00:00,PLU/USD,7.2448,7.628,7.1836,7.409,24277.16280129091,3276.71248499
1658793600000,2022-07-26 00:00:00,PLU/USD,7.197,7.4933,7.0707,7.2247,7461.225250258529,1032.73841824
1658707200000,2022-07-25 00:00:00,PLU/USD,7.5068,7.5869,7.1342,7.1714,13925.756930167081,1941.8463522
1658620800000,2022-07-24 00:00:00,PLU/USD,7.4029,7.5869,7.3601,7.4272,6182.7756735655685,832.45040844
1658534400000,2022-07-23 00:00:00,PLU/USD,7.34,7.7888,7.329,7.449,10141.055889175379,1361.39829362
1658448000000,2022-07-22 00:00:00,PLU/USD,7.3816,7.8268,7.2009,7.3613,18883.481405538994,2565.23730938
1658361600000,2022-07-21 00:00:00,PLU/USD,7.55,7.9173,7.3815,7.3815,8773.163878225949,1188.5340213
1658275200000,2022-07-20 00:00:00,PLU/USD,7.6686,8.2278,7.497,7.55,7195.030667569,952.98419438
1658188800000,2022-07-19 00:00:00,PLU/USD,7.6778,7.9051,7.5461,7.6686,6802.660677355206,887.07986821
1658102400000,2022-07-18 00:00:00,PLU/USD,7.5116,7.7959,7.2967,7.6044,4074.820343442384,535.85034236
1658016000000,2022-07-17 00:00:00,PLU/USD,7.594,8.836,7.292,7.5114,11170.274055005753,1487.10946761
1657929600000,2022-07-16 00:00:00,PLU/USD,7.2337,7.7483,7.1268,7.6692,8916.14420165423,1162.59117009
1657843200000,2022-07-15 00:00:00,PLU/USD,7.1386,8.0191,7.046,7.2311,8146.474602886741,1126.58856922
1657756800000,2022-07-14 00:00:00,PLU/USD,7.17,7.2823,6.9123,7.1386,3160.754054377906,442.76945821
1657670400000,2022-07-13 00:00:00,PLU/USD,7.0526,7.4987,6.9376,7.1065,5489.825834173719,772.50768088
1657584000000,2022-07-12 00:00:00,PLU/USD,7.0599,7.159,6.901,7.0526,3837.240626730724,544.08879374
1657497600000,2022-07-11 00:00:00,PLU/USD,7.2567,7.5001,6.9211,7.0599,11235.850786169214,1591.50282386
1657411200000,2022-07-10 00:00:00,PLU/USD,7.5232,7.5999,7.1798,7.247,8105.23642017357,1118.42644131
1657324800000,2022-07-09 00:00:00,PLU/USD,7.3144,7.6291,7.1561,7.4902,9161.623841170167,1223.14809233
1657238400000,2022-07-08 00:00:00,PLU/USD,7.7461,7.8713,7.0123,7.3077,20489.079083228964,2803.76576532
1657152000000,2022-07-07 00:00:00,PLU/USD,7.4505,7.9924,7.1561,7.746,3168.99713013552,409.11401112
1657065600000,2022-07-06 00:00:00,PLU/USD,7.1685,7.4839,7.0459,7.4839,10485.525276593396,1401.07768364
1656979200000,2022-07-05 00:00:00,PLU/USD,7.2192,7.4657,6.9375,7.1675,7493.601633125901,1045.49726308
1656892800000,2022-07-04 00:00:00,PLU/USD,6.9182,7.2823,6.8134,7.2192,3568.17501071616,494.26183105
1656806400000,2022-07-03 00:00:00,PLU/USD,7.0188,7.0867,6.7967,6.8742,5493.195573111108,799.10325174
1656720000000,2022-07-02 00:00:00,PLU/USD,7.2013,7.2822,6.9942,7.0158,4434.021908378633,632.00517523
1656633600000,2022-07-01 00:00:00,PLU/USD,6.9376,7.5423,6.8307,7.1872,18865.914195374786,2624.93240697
1656547200000,2022-06-30 00:00:00,PLU/USD,7.1121,7.1446,6.8307,7.0934,15911.659274863852,2243.16396578
1656460800000,2022-06-29 00:00:00,PLU/USD,7.396,7.446,7.0,7.0501,17929.94746614407,2543.21888571
1656374400000,2022-06-28 00:00:00,PLU/USD,7.3564,8.1174,7.0222,7.3693,20909.262556993075,2837.34717775
1656288000000,2022-06-27 00:00:00,PLU/USD,7.1594,7.2907,6.9375,7.2823,4945.075486148766,679.05407442
1656201600000,2022-06-26 00:00:00,PLU/USD,7.2792,7.5999,7.0459,7.1576,3715.8052776539125,519.14123137
1656115200000,2022-06-25 00:00:00,PLU/USD,7.1944,7.6,7.1893,7.2884,3947.0933623399324,541.55827923
1656028800000,2022-06-24 00:00:00,PLU/USD,7.0223,7.2823,6.9808,7.1944,10203.343748255958,1418.23414715
1655942400000,2022-06-23 00:00:00,PLU/USD,6.9313,7.2,6.863,7.0226,11643.294794542528,1657.97493728
1655856000000,2022-06-22 00:00:00,PLU/USD,7.2295,7.2812,6.8501,6.9302,45398.7717391317,6550.86025499
1655769600000,2022-06-21 00:00:00,PLU/USD,7.5496,7.9925,7.1673,7.2635,28618.01768900639,3939.97627714
1655683200000,2022-06-20 00:00:00,PLU/USD,7.3398,7.8693,7.1653,7.5068,17049.537078945195,2271.21237797
1655596800000,2022-06-19 00:00:00,PLU/USD,7.1531,7.4442,6.8307,7.3399,11576.75449731626,1577.2359974
1655510400000,2022-06-18 00:00:00,PLU/USD,7.1822,9.6367,6.6386,7.1617,95079.73596750783,13276.14057661
1655424000000,2022-06-17 00:00:00,PLU/USD,6.8404,7.2822,6.7256,7.1858,13562.506923278175,1887.40389703
1655337600000,2022-06-16 00:00:00,PLU/USD,7.53,7.6532,6.8,6.8383,26846.796558606136,3925.94600392
1655251200000,2022-06-15 00:00:00,PLU/USD,7.1032,7.9797,6.9375,7.53,15652.459970187601,2078.67994292
1655164800000,2022-06-14 00:00:00,PLU/USD,6.98,7.5914,6.7464,7.1702,49306.596319542,6876.59986047
