https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PNG
1659571200000,2022-08-04 00:00:00,PNG/USD,0.050277,0.050277,0.050277,0.050277,82.2988134606,1636.9078
1659484800000,2022-08-03 00:00:00,PNG/USD,0.050792,0.051306,0.050022,0.050277,16178.760193705539,321792.47357053
1659398400000,2022-08-02 00:00:00,PNG/USD,0.050534,0.051306,0.050022,0.050878,9670.55316364983,190073.37481131
1659312000000,2022-08-01 00:00:00,PNG/USD,0.051574,0.051574,0.050534,0.050786,8499.83686685005,167365.74778187
1659225600000,2022-07-31 00:00:00,PNG/USD,0.051926,0.052397,0.051662,0.051662,1551.9624709512107,30040.69666198
1659139200000,2022-07-30 00:00:00,PNG/USD,0.051486,0.05326,0.051399,0.052014,16474.35275964216,316729.20290003
1659052800000,2022-07-29 00:00:00,PNG/USD,0.052097,0.05272,0.050964,0.052186,28234.381400871076,541033.6373907
1658966400000,2022-07-28 00:00:00,PNG/USD,0.050272,0.052009,0.050022,0.052009,12516.963962432976,240669.19114832
1658880000000,2022-07-27 00:00:00,PNG/USD,0.047129,0.050186,0.047129,0.050186,19392.233821787515,386407.24149738
1658793600000,2022-07-26 00:00:00,PNG/USD,0.049096,0.049096,0.046975,0.047129,12971.423005383285,275232.29869896
1658707200000,2022-07-25 00:00:00,PNG/USD,0.050534,0.050534,0.048188,0.049179,22621.208849476152,459976.99931833
1658620800000,2022-07-24 00:00:00,PNG/USD,0.050443,0.050873,0.050443,0.050786,3670.9451748702,72282.6207
1658534400000,2022-07-23 00:00:00,PNG/USD,0.050614,0.051133,0.049683,0.050358,16914.613640365435,335887.31959898
1658448000000,2022-07-22 00:00:00,PNG/USD,0.051138,0.051481,0.050448,0.050448,7764.585099993592,153912.64470333
1658361600000,2022-07-21 00:00:00,PNG/USD,0.050192,0.051393,0.049179,0.051138,17654.077375003064,345224.24371315
1658275200000,2022-07-20 00:00:00,PNG/USD,0.049593,0.052363,0.049263,0.050277,30726.44248261905,611143.11678539
1658188800000,2022-07-19 00:00:00,PNG/USD,0.050873,0.051393,0.048188,0.049431,37448.369471581515,757588.7493998
1658102400000,2022-07-18 00:00:00,PNG/USD,0.047774,0.050873,0.047774,0.050873,26636.487245767097,523587.90017823
1658016000000,2022-07-17 00:00:00,PNG/USD,0.047693,0.048101,0.046975,0.047774,13070.828772443905,273597.11919546
1657929600000,2022-07-16 00:00:00,PNG/USD,0.046414,0.047693,0.046105,0.04766,9594.190974473506,201304.88826004
1657843200000,2022-07-15 00:00:00,PNG/USD,0.050873,0.051046,0.045918,0.046414,35798.83862807301,771293.97656037
1657756800000,2022-07-14 00:00:00,PNG/USD,0.049096,0.050873,0.048681,0.050277,12935.266401330817,257279.9968441
1657670400000,2022-07-13 00:00:00,PNG/USD,0.04642,0.049342,0.046105,0.049342,27334.052665514617,553971.31582657
1657584000000,2022-07-12 00:00:00,PNG/USD,0.043592,0.047451,0.04337,0.04642,51543.66477175845,1110376.23377334
1657497600000,2022-07-11 00:00:00,PNG/USD,0.045329,0.045329,0.043592,0.043592,22955.426504184437,526597.23123932
1657411200000,2022-07-10 00:00:00,PNG/USD,0.048168,0.048168,0.045329,0.045329,17728.971722082497,391117.64482081
1657324800000,2022-07-09 00:00:00,PNG/USD,0.047864,0.048346,0.047861,0.048346,1920.9420522271039,39733.215824
1657238400000,2022-07-08 00:00:00,PNG/USD,0.0481,0.048346,0.047861,0.048101,2231.4582436467226,46391.09880557
1657152000000,2022-07-07 00:00:00,PNG/USD,0.050142,0.050149,0.050142,0.050149,4.413112,88.0
1657065600000,2022-07-06 00:00:00,PNG/USD,0.0429,0.0429,0.0425,0.0425,504.335715189875,11866.722710349999
1656979200000,2022-07-05 00:00:00,PNG/USD,0.039415,0.21459,0.038243,0.042,14853.876793169402,353663.7331707
1656892800000,2022-07-04 00:00:00,PNG/USD,0.037887,0.039526,0.037815,0.039526,407.6199449024704,10312.70416694
1656633600000,2022-07-01 00:00:00,PNG/USD,0.03578,0.037606,0.035588,0.037606,541.510867086139,14399.5869565
1656547200000,2022-06-30 00:00:00,PNG/USD,0.039545,0.039545,0.034907,0.035471,1404.7054541142656,39601.51825757
1656460800000,2022-06-29 00:00:00,PNG/USD,0.043114,0.044764,0.039207,0.039937,1862.32033582396,46631.45293397
1656374400000,2022-06-28 00:00:00,PNG/USD,0.045901,0.045901,0.041902,0.043301,1402.8454211811616,32397.52941459
1656288000000,2022-06-27 00:00:00,PNG/USD,0.049635,0.051119,0.046283,0.046283,1064.9759413503625,23010.08883068
1656201600000,2022-06-26 00:00:00,PNG/USD,0.057001,0.057001,0.049461,0.049472,1677.6436534217494,33910.97294271
1656115200000,2022-06-25 00:00:00,PNG/USD,0.05607,0.058374,0.05555,0.057189,869.4792621716873,15203.61017279
