https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PNK
1659571200000,2022-08-04 00:00:00,PNK/USD,0.033124,0.033418,0.033124,0.033233,34.66079391596916,1042.96313652
1659484800000,2022-08-03 00:00:00,PNK/USD,0.032546,0.034365,0.032265,0.033101,1111.3686839595832,33575.07881815
1659398400000,2022-08-02 00:00:00,PNK/USD,0.033755,0.034518,0.032153,0.033037,14797.068991505867,447893.84603644
1659312000000,2022-08-01 00:00:00,PNK/USD,0.034802,0.035258,0.033583,0.033768,487.0492749460044,14423.39714955
1659225600000,2022-07-31 00:00:00,PNK/USD,0.037288,0.038362,0.034624,0.034832,3369.4009441973644,96732.91640438
1659139200000,2022-07-30 00:00:00,PNK/USD,0.038335,0.038377,0.036438,0.037478,2135.911579650814,56991.07688913
1659052800000,2022-07-29 00:00:00,PNK/USD,0.038183,0.038377,0.036777,0.038334,1605.6333958428972,41885.36014616
1658966400000,2022-07-28 00:00:00,PNK/USD,0.03677,0.038377,0.036173,0.038259,26428.45597353821,690777.48957208
1658880000000,2022-07-27 00:00:00,PNK/USD,0.033634,0.036898,0.033035,0.036595,41308.96110453356,1128814.34907866
1658793600000,2022-07-26 00:00:00,PNK/USD,0.033838,0.033838,0.032542,0.033684,22117.855286268645,656627.93273568
1658707200000,2022-07-25 00:00:00,PNK/USD,0.036313,0.036696,0.03341,0.033838,14904.066426020687,440453.52639106
1658620800000,2022-07-24 00:00:00,PNK/USD,0.03519,0.037276,0.03519,0.036276,2042.0949562935682,56293.27809829
1658534400000,2022-07-23 00:00:00,PNK/USD,0.034884,0.035779,0.033425,0.035291,1765.4981851107202,50026.86761811
1658448000000,2022-07-22 00:00:00,PNK/USD,0.035494,0.037088,0.03412,0.034583,1720.2170192061956,49741.69445121
1658361600000,2022-07-21 00:00:00,PNK/USD,0.034827,0.036217,0.033578,0.035542,12762.610465821152,359085.32062971
1658275200000,2022-07-20 00:00:00,PNK/USD,0.03638,0.038452,0.034827,0.034828,38924.560140494315,1117622.60653768
1658188800000,2022-07-19 00:00:00,PNK/USD,0.03786,0.038155,0.036106,0.036403,24888.271666625522,683687.37924417
1658102400000,2022-07-18 00:00:00,PNK/USD,0.032741,0.037714,0.032741,0.037489,24807.825955804703,661736.13475432
1658016000000,2022-07-17 00:00:00,PNK/USD,0.034528,0.034788,0.03274,0.032741,19528.900709444686,596466.22612152
1657929600000,2022-07-16 00:00:00,PNK/USD,0.030723,0.034442,0.030217,0.034442,38731.586743790314,1124545.22802945
1657843200000,2022-07-15 00:00:00,PNK/USD,0.030877,0.031499,0.030723,0.030723,62209.87135377418,2024863.17591948
1657756800000,2022-07-14 00:00:00,PNK/USD,0.029878,0.031008,0.029729,0.030877,55703.06056389888,1804030.85027363
1657670400000,2022-07-13 00:00:00,PNK/USD,0.029729,0.030028,0.029655,0.029878,109269.66241930805,3657194.672311
1657584000000,2022-07-12 00:00:00,PNK/USD,0.029729,0.029878,0.029655,0.029778,43238.33602519337,1452022.83649652
1657497600000,2022-07-11 00:00:00,PNK/USD,0.029729,0.029928,0.029655,0.029697,81661.49944042366,2749823.19562325
1657411200000,2022-07-10 00:00:00,PNK/USD,0.02973,0.029877,0.029507,0.029729,36903.14004603471,1241317.90662433
1657324800000,2022-07-09 00:00:00,PNK/USD,0.02973,0.029878,0.029671,0.02973,7165.107924357128,241005.98467397
1657238400000,2022-07-08 00:00:00,PNK/USD,0.029878,0.030028,0.029581,0.02973,39163.25271407639,1317297.43404226
1657152000000,2022-07-07 00:00:00,PNK/USD,0.029878,0.030028,0.029725,0.029878,63158.2637942605,2113871.87208851
1657065600000,2022-07-06 00:00:00,PNK/USD,0.02973,0.030097,0.029729,0.029878,35515.913552017,1188697.82288028
1656979200000,2022-07-05 00:00:00,PNK/USD,0.029878,0.029953,0.029655,0.029796,89394.89895049178,3000231.53948489
1656892800000,2022-07-04 00:00:00,PNK/USD,0.029878,0.030103,0.029693,0.029878,71353.77001409706,2388170.8954447103
1656806400000,2022-07-03 00:00:00,PNK/USD,0.029878,0.029952,0.02966,0.029877,15416.3783223551,515994.85632276
1656720000000,2022-07-02 00:00:00,PNK/USD,0.029691,0.030028,0.029691,0.029878,24324.975203480375,814143.35643217
1656633600000,2022-07-01 00:00:00,PNK/USD,0.029878,0.030178,0.029507,0.029729,158964.9555441233,5347134.29796237
1656547200000,2022-06-30 00:00:00,PNK/USD,0.029729,0.030028,0.029629,0.029764,208487.45607516597,7004685.39427382
1656460800000,2022-06-29 00:00:00,PNK/USD,0.029729,0.030028,0.029655,0.029729,76097.55639360027,2559707.90788793
1656374400000,2022-06-28 00:00:00,PNK/USD,0.029734,0.030028,0.029581,0.029729,107914.08564598318,3629926.52447049
1656288000000,2022-06-27 00:00:00,PNK/USD,0.029729,0.029966,0.029655,0.029729,43548.27832792586,1464841.68078058
1656201600000,2022-06-26 00:00:00,PNK/USD,0.029878,0.029953,0.029665,0.029729,42588.5045771592,1432557.58946346
1656115200000,2022-06-25 00:00:00,PNK/USD,0.029878,0.029953,0.029664,0.02977,21599.97241388621,725561.72031865
1656028800000,2022-06-24 00:00:00,PNK/USD,0.029878,0.030045,0.029717,0.029825,69759.07853360927,2338946.47220819
1655942400000,2022-06-23 00:00:00,PNK/USD,0.029729,0.030028,0.029663,0.029809,55921.034984118334,1875978.22751915
1655856000000,2022-06-22 00:00:00,PNK/USD,0.029729,0.029953,0.029581,0.029729,82979.4452007332,2791195.30427304
1655769600000,2022-06-21 00:00:00,PNK/USD,0.029878,0.030028,0.029695,0.029729,63056.19766573233,2121033.2559363698
1655683200000,2022-06-20 00:00:00,PNK/USD,0.029878,0.030178,0.029507,0.029877,345037.5173007218,11548599.8360184
1655596800000,2022-06-19 00:00:00,PNK/USD,0.029878,0.030329,0.029433,0.029878,418919.62991629494,14021006.42333138
1655510400000,2022-06-18 00:00:00,PNK/USD,0.029729,0.030178,0.028277,0.029878,230790.0932755412,7724415.73316625
1655424000000,2022-06-17 00:00:00,PNK/USD,0.029729,0.030028,0.029581,0.029729,288598.16241715354,9707631.01406551
1655337600000,2022-06-16 00:00:00,PNK/USD,0.031814,0.033827,0.029374,0.029729,95546.24468406432,3213907.11709322
1655251200000,2022-06-15 00:00:00,PNK/USD,0.031214,0.032685,0.02695,0.031706,4039.2926770814574,127398.36867096
1655164800000,2022-06-14 00:00:00,PNK/USD,0.030263,0.03386,0.029477,0.031684,8429.599658457755,266052.25534837
1655078400000,2022-06-13 00:00:00,PNK/USD,0.035974,0.036837,0.029923,0.03036,68379.02378538148,2252273.51071744
1654992000000,2022-06-12 00:00:00,PNK/USD,0.037484,0.037861,0.035476,0.03612,23883.683432557184,661231.54575186
1654905600000,2022-06-11 00:00:00,PNK/USD,0.037672,0.037867,0.036649,0.037484,106996.57684106301,2854459.95200787
1654819200000,2022-06-10 00:00:00,PNK/USD,0.037672,0.03797,0.037204,0.037672,142050.6278389039,3770721.6988454
1654732800000,2022-06-09 00:00:00,PNK/USD,0.037672,0.038146,0.036466,0.037672,105873.6085661138,2810405.83367259
1654646400000,2022-06-08 00:00:00,PNK/USD,0.037672,0.038097,0.037452,0.037672,180769.97618133677,4798523.47051754
1654560000000,2022-06-07 00:00:00,PNK/USD,0.037672,0.038528,0.036557,0.037699,360430.4804664973,9560743.79868159
1654473600000,2022-06-06 00:00:00,PNK/USD,0.037861,0.037956,0.03739,0.037672,170399.50610774005,4523240.2343316
1654387200000,2022-06-05 00:00:00,PNK/USD,0.037861,0.03805,0.037363,0.037672,110454.82319350813,2932013.78194702
1654300800000,2022-06-04 00:00:00,PNK/USD,0.037861,0.038432,0.037559,0.037861,142855.2002766558,3773149.15814838
1654214400000,2022-06-03 00:00:00,PNK/USD,0.037861,0.038165,0.037484,0.03786,210974.02164988182,5572478.12070475
1654128000000,2022-06-02 00:00:00,PNK/USD,0.036926,0.040449,0.036926,0.037861,381180.7876888149,10067900.68114458
1654041600000,2022-06-01 00:00:00,PNK/USD,0.037578,0.038007,0.036926,0.036938,147088.3082325632,3982032.2765868
1653955200000,2022-05-31 00:00:00,PNK/USD,0.037767,0.038051,0.037294,0.037517,145797.25534777803,3886165.08110398
1653868800000,2022-05-30 00:00:00,PNK/USD,0.035811,0.03852,0.035765,0.037767,112430.31970924005,2976946.00336908
1653782400000,2022-05-29 00:00:00,PNK/USD,0.036174,0.036657,0.03551,0.035828,728.1128454727742,20322.452982939998
1653696000000,2022-05-28 00:00:00,PNK/USD,0.035221,0.037013,0.035161,0.036213,3573.8759547159657,98690.41379383
1653609600000,2022-05-27 00:00:00,PNK/USD,0.037261,0.037539,0.034925,0.03517,26449.820056593315,752056.29959037
1653523200000,2022-05-26 00:00:00,PNK/USD,0.039934,0.040329,0.035615,0.036707,1241.4080898204788,33819.38294659
1653436800000,2022-05-25 00:00:00,PNK/USD,0.04082,0.041601,0.039826,0.039988,1095.332561145343,27391.53148808
1653350400000,2022-05-24 00:00:00,PNK/USD,0.040833,0.04107,0.039537,0.040776,8292.90359251708,203377.07456634
1653264000000,2022-05-23 00:00:00,PNK/USD,0.042036,0.04285,0.040214,0.040714,682.1621302019951,16754.97691708
1653177600000,2022-05-22 00:00:00,PNK/USD,0.040035,0.042457,0.039183,0.042056,2009.8873881506067,47790.74063512
1653091200000,2022-05-21 00:00:00,PNK/USD,0.040255,0.041281,0.039427,0.040475,1456.8482055102952,35993.77901199
1653004800000,2022-05-20 00:00:00,PNK/USD,0.041434,0.042957,0.039647,0.040319,749.4950978101749,18589.12914036
1652918400000,2022-05-19 00:00:00,PNK/USD,0.039641,0.042196,0.039017,0.041959,2843.35121579896,67764.99000927
1652832000000,2022-05-18 00:00:00,PNK/USD,0.042908,0.04365,0.039394,0.0395,1938.02818631202,49064.00471676
1652745600000,2022-05-17 00:00:00,PNK/USD,0.042105,0.043724,0.041258,0.042898,757.9989521654376,17669.79701071
1652659200000,2022-05-16 00:00:00,PNK/USD,0.044401,0.044401,0.04086,0.042066,4543.365780259583,108005.65255217
1652572800000,2022-05-15 00:00:00,PNK/USD,0.042647,0.044482,0.041296,0.044457,1023.8687178025111,23030.540023
1652486400000,2022-05-14 00:00:00,PNK/USD,0.041342,0.042786,0.040179,0.042751,1090.5711629147654,25509.83983801
1652400000000,2022-05-13 00:00:00,PNK/USD,0.040229,0.045131,0.0396,0.041854,3266.8644605329923,78053.81709115
1652313600000,2022-05-12 00:00:00,PNK/USD,0.042323,0.045595,0.035423,0.040096,4424.027117715243,110335.87185044
1652227200000,2022-05-11 00:00:00,PNK/USD,0.050326,0.051313,0.038391,0.042783,35127.03468801258,821051.22801142
1652140800000,2022-05-10 00:00:00,PNK/USD,0.0483,0.052554,0.047163,0.051193,1119.7203744098795,21872.52894751
1652054400000,2022-05-09 00:00:00,PNK/USD,0.055292,0.05595,0.0483,0.048606,5310.330872224884,109252.57935697
1651968000000,2022-05-08 00:00:00,PNK/USD,0.057922,0.058307,0.054741,0.055301,6699.751237870107,121150.63448889
1651881600000,2022-05-07 00:00:00,PNK/USD,0.059912,0.060544,0.057132,0.05797,678.0844356828245,11697.16121585
1651795200000,2022-05-06 00:00:00,PNK/USD,0.062374,0.062929,0.058766,0.059934,2062.5024375209637,34412.89480964
1651708800000,2022-05-05 00:00:00,PNK/USD,0.063168,0.066869,0.059762,0.062405,14127.201177592542,226379.31540089002
1651622400000,2022-05-04 00:00:00,PNK/USD,0.059746,0.064208,0.058986,0.063716,1471.6235903341055,23096.60980498
1651536000000,2022-05-03 00:00:00,PNK/USD,0.061833,0.063017,0.059276,0.059746,3670.2165583839505,61430.33104114
1651449600000,2022-05-02 00:00:00,PNK/USD,0.062742,0.064051,0.060372,0.061833,12762.880710844252,206408.88701574
1651363200000,2022-05-01 00:00:00,PNK/USD,0.062,0.064062,0.061446,0.062769,7373.461340202328,117469.79146079
1651276800000,2022-04-30 00:00:00,PNK/USD,0.06412,0.067478,0.061883,0.061988,3724.4483965423547,60083.37737211
1651190400000,2022-04-29 00:00:00,PNK/USD,0.068807,0.069538,0.063722,0.064031,1265.7836962575304,19768.29498614
1651104000000,2022-04-28 00:00:00,PNK/USD,0.067048,0.070696,0.066468,0.068863,1310.0121534167085,19023.45458979
1651017600000,2022-04-27 00:00:00,PNK/USD,0.066955,0.068966,0.06525,0.067037,2256.7291787571176,33663.93452507
1650931200000,2022-04-26 00:00:00,PNK/USD,0.06948,0.071791,0.066536,0.06782,8520.713870365553,125637.18475915
1650844800000,2022-04-25 00:00:00,PNK/USD,0.067812,0.070553,0.065822,0.070165,3598.432230302085,51285.28796839
1650758400000,2022-04-24 00:00:00,PNK/USD,0.070809,0.072645,0.067878,0.067878,802.7455752321391,11826.29976181
1650672000000,2022-04-23 00:00:00,PNK/USD,0.069691,0.072665,0.069147,0.070718,2506.5272571068263,35443.97829558
1650585600000,2022-04-22 00:00:00,PNK/USD,0.070398,0.071856,0.0691,0.069721,3432.0477530481517,49225.45220304
1650499200000,2022-04-21 00:00:00,PNK/USD,0.067976,0.074364,0.06787,0.071039,4542.032493751023,63937.16822803
1650412800000,2022-04-20 00:00:00,PNK/USD,0.069893,0.073803,0.067321,0.067884,1355.3770036898152,19966.07453435
1650326400000,2022-04-19 00:00:00,PNK/USD,0.070351,0.073218,0.066114,0.069905,6702.64653682504,95882.2192522
1650240000000,2022-04-18 00:00:00,PNK/USD,0.071235,0.071967,0.067222,0.070239,1686.2771661113277,24007.70463861
1650153600000,2022-04-17 00:00:00,PNK/USD,0.072424,0.074456,0.071217,0.072085,624.7051559079305,8666.2295333
1650067200000,2022-04-16 00:00:00,PNK/USD,0.072303,0.073814,0.071687,0.072445,2153.867110491595,29731.066471000002
1649980800000,2022-04-15 00:00:00,PNK/USD,0.076903,0.077469,0.071661,0.072339,5208.833967761679,72005.88849391999
1649894400000,2022-04-14 00:00:00,PNK/USD,0.077203,0.078676,0.075127,0.076114,2748.4288828035933,36109.373870819996
