https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume QTF
1659484800000,2022-08-03 00:00:00,QTF/USD,5.602,5.677,5.569,5.5761,26455.00020281622,4744.3554102
1659398400000,2022-08-02 00:00:00,QTF/USD,5.63,5.67,5.586,5.602,33524.93038594712,5984.45740556
1659312000000,2022-08-01 00:00:00,QTF/USD,5.643,5.664,5.609,5.658,17067.25336688382,3016.48168379
1659225600000,2022-07-31 00:00:00,QTF/USD,5.729,5.771,5.651,5.651,27870.66495156312,4931.98813512
1659139200000,2022-07-30 00:00:00,QTF/USD,5.724,5.833,5.695,5.695,27744.0877338397,4871.65719646
1659052800000,2022-07-29 00:00:00,QTF/USD,5.723,5.794,5.69,5.724,31120.658022630243,5436.87247076
1658966400000,2022-07-28 00:00:00,QTF/USD,5.626,5.758,5.572,5.723,54841.19049824,9582.59488
1658880000000,2022-07-27 00:00:00,QTF/USD,5.364,5.626,5.364,5.592,37837.06096115208,6766.28414899
1658793600000,2022-07-26 00:00:00,QTF/USD,5.397,5.397,5.347,5.394,21006.91042384452,3894.49581458
1658707200000,2022-07-25 00:00:00,QTF/USD,5.562,5.562,5.397,5.397,37586.68963079205,6964.36717265
1658620800000,2022-07-24 00:00:00,QTF/USD,5.535,5.613,5.502,5.562,25424.85039519708,4571.17051334
1658534400000,2022-07-23 00:00:00,QTF/USD,5.578,5.595,5.486,5.5223,34079.00484302954,6171.16144415
1658448000000,2022-07-22 00:00:00,QTF/USD,5.641,5.68,5.545,5.545,32667.57375360015,5891.35685367
1658361600000,2022-07-21 00:00:00,QTF/USD,5.634,5.71,5.5724,5.641,61810.427456465244,10957.35285525
1658275200000,2022-07-20 00:00:00,QTF/USD,5.652,5.982,5.6,5.634,76155.7294056924,13517.1688686
1658188800000,2022-07-19 00:00:00,QTF/USD,5.584,5.738,5.49,5.701,105162.00847378054,18446.23898856
1658102400000,2022-07-18 00:00:00,QTF/USD,5.391,5.635,5.391,5.618,74768.04672160858,13308.65908181
1658016000000,2022-07-17 00:00:00,QTF/USD,5.48,5.506,5.391,5.391,21491.22494285433,3986.50063863
1657929600000,2022-07-16 00:00:00,QTF/USD,5.431,5.529,5.383,5.4492,36022.822215536304,6610.66252212
1657843200000,2022-07-15 00:00:00,QTF/USD,5.411,5.464,5.394,5.431,23663.219186772498,4357.0648475
1657756800000,2022-07-14 00:00:00,QTF/USD,5.402,5.46,5.331,5.427,41782.26398924349,7698.96148687
1657670400000,2022-07-13 00:00:00,QTF/USD,5.281,5.402,5.2,5.402,66879.58072798328,12380.52216364
1657584000000,2022-07-12 00:00:00,QTF/USD,5.338,5.345,5.25,5.25,18196.7212582575,3466.04214443
1657497600000,2022-07-11 00:00:00,QTF/USD,5.45,5.452,5.338,5.338,25152.910013907862,4712.04758597
1657411200000,2022-07-10 00:00:00,QTF/USD,5.57,5.57,5.45,5.45,30004.599332971502,5505.43107027
1657324800000,2022-07-09 00:00:00,QTF/USD,5.594,5.63,5.546,5.595,17426.33970025065,3114.62729227
1657238400000,2022-07-08 00:00:00,QTF/USD,5.641,5.691,5.545,5.594,52449.48109915051,9376.02450825
1657152000000,2022-07-07 00:00:00,QTF/USD,5.431,5.63,5.431,5.63,34710.5588464782,6165.28576314
1657065600000,2022-07-06 00:00:00,QTF/USD,5.422,5.464,5.36,5.4364,37619.18097894661,6919.86994683
1656979200000,2022-07-05 00:00:00,QTF/USD,5.438,5.505,5.325,5.422,54739.68298346547,10095.84710134
1656892800000,2022-07-04 00:00:00,QTF/USD,5.3,5.438,5.279,5.4201,33639.726912911065,6206.4771707
1656806400000,2022-07-03 00:00:00,QTF/USD,5.3,5.359,5.246,5.311,33145.35777027559,6240.88830169
1656720000000,2022-07-02 00:00:00,QTF/USD,5.329,5.331,5.278,5.325,12303.135879669002,2310.44805252
1656633600000,2022-07-01 00:00:00,QTF/USD,5.424,5.522,5.285,5.329,79894.8588694029,14992.46741779
1656547200000,2022-06-30 00:00:00,QTF/USD,5.441,5.441,5.221,5.424,72745.78546066512,13411.83360263
1656460800000,2022-06-29 00:00:00,QTF/USD,5.43,5.474,5.3931,5.441,22168.95736298789,4074.42701029
1656374400000,2022-06-28 00:00:00,QTF/USD,5.512,5.546,5.43,5.43,20841.7684826433,3838.26307231
1656288000000,2022-06-27 00:00:00,QTF/USD,5.545,5.599,5.482,5.512,28720.43402501624,5210.52866927
1656201600000,2022-06-26 00:00:00,QTF/USD,5.646,5.68,5.545,5.545,26707.2949117989,4816.46436642
1656115200000,2022-06-25 00:00:00,QTF/USD,5.617,5.656,5.572,5.639,21779.69748135033,3862.33330047
1656028800000,2022-06-24 00:00:00,QTF/USD,5.6042,5.652,5.503,5.652,71812.57403000808,12705.69250354
1655942400000,2022-06-23 00:00:00,QTF/USD,5.39,5.6042,5.37,5.572,59531.173721952524,10683.98666941
1655856000000,2022-06-22 00:00:00,QTF/USD,5.462,5.485,5.354,5.402,59459.803973725946,11006.99814397
1655769600000,2022-06-21 00:00:00,QTF/USD,5.539,5.639,5.462,5.462,96787.10747346301,17720.0855865
1655683200000,2022-06-20 00:00:00,QTF/USD,5.427,5.7944,5.349,5.573,111524.43592013213,20011.56216044
1655596800000,2022-06-19 00:00:00,QTF/USD,5.232,5.477,5.088,5.427,37372.36472871543,6886.37640109
1655510400000,2022-06-18 00:00:00,QTF/USD,5.568,5.568,5.051,5.232,41043.814431572646,7844.76575527
1655424000000,2022-06-17 00:00:00,QTF/USD,5.629,5.651,5.499,5.541,10454.4574383084,1886.7456124
1655337600000,2022-06-16 00:00:00,QTF/USD,5.8611,5.8722,5.514,5.514,25218.21071445858,4573.48761597
1655251200000,2022-06-15 00:00:00,QTF/USD,5.802,5.8611,5.519,5.8611,43068.18139668566,7348.13966605
1655164800000,2022-06-14 00:00:00,QTF/USD,6.1,6.1044,5.66,5.839,35911.9661435206,6150.3624154
1655078400000,2022-06-13 00:00:00,QTF/USD,7.489,7.489,6.139,6.139,37844.393321888725,6164.58597848
1654992000000,2022-06-12 00:00:00,QTF/USD,8.129,8.129,7.489,7.489,74385.31665756012,9932.61004908
1654905600000,2022-06-11 00:00:00,QTF/USD,8.276,8.276,8.081,8.129,29024.237980350248,3570.45614225
1654819200000,2022-06-10 00:00:00,QTF/USD,8.429,8.478,8.252,8.276,23520.12156870668,2841.96732343
1654732800000,2022-06-09 00:00:00,QTF/USD,8.48,8.53,8.399,8.429,19225.41950514955,2280.86599895
1654646400000,2022-06-08 00:00:00,QTF/USD,8.625,8.625,8.447,8.523,33411.22067754855,3920.12444885
1654560000000,2022-06-07 00:00:00,QTF/USD,8.72,8.72,8.408,8.625,56371.99829172375,6535.88385991
1654473600000,2022-06-06 00:00:00,QTF/USD,8.596,8.776,8.596,8.744,26914.05735349032,3078.00289953
1654387200000,2022-06-05 00:00:00,QTF/USD,8.545,8.571,8.545,8.545,7404.34680155175,866.51220615
1654300800000,2022-06-04 00:00:00,QTF/USD,8.5001,8.586,8.5,8.526,6395.7151140099,750.14251865
1654214400000,2022-06-03 00:00:00,QTF/USD,8.584,8.584,8.455,8.505,11768.728477867202,1383.74232544
1654128000000,2022-06-02 00:00:00,QTF/USD,8.525,8.662,8.482,8.611,18678.66570820147,2169.16336177
1654041600000,2022-06-01 00:00:00,QTF/USD,8.906,8.926,8.475,8.577,38671.86235625451,4508.78656363
1653955200000,2022-05-31 00:00:00,QTF/USD,8.929,8.959,8.826,8.907,28294.54790496921,3176.66418603
1653868800000,2022-05-30 00:00:00,QTF/USD,8.744,8.986,8.7415,8.906,44800.57892377956,5030.38164426
1653782400000,2022-05-29 00:00:00,QTF/USD,8.696,8.722,8.669,8.722,4396.23314192524,504.03957142
1653696000000,2022-05-28 00:00:00,QTF/USD,8.634,8.711,8.634,8.634,5600.8534759296,648.6974144
1653609600000,2022-05-27 00:00:00,QTF/USD,8.719,8.742,8.585,8.61,22722.2250961041,2639.05053381
1653523200000,2022-05-26 00:00:00,QTF/USD,8.782,8.826,8.536,8.719,45764.838106701776,5248.86318462
1653436800000,2022-05-25 00:00:00,QTF/USD,8.882,8.935,8.756,8.834,28360.3675354692,3210.3653538
1653350400000,2022-05-24 00:00:00,QTF/USD,8.855,8.856,8.75,8.856,21166.020905762878,2390.02042748
1653264000000,2022-05-23 00:00:00,QTF/USD,9.081,9.2761,8.747,8.747,40077.57598859065,4581.86532395
1653177600000,2022-05-22 00:00:00,QTF/USD,8.973,9.081,8.973,9.081,15513.06447045261,1708.29913781
1653091200000,2022-05-21 00:00:00,QTF/USD,8.973,8.998,8.919,8.971,6575.83925308856,733.01072936
1653004800000,2022-05-20 00:00:00,QTF/USD,9.076,9.628,8.675,9.011,94353.97714261513,10470.97737683
1652918400000,2022-05-19 00:00:00,QTF/USD,8.8571,9.076,8.809,9.076,30982.5091475548,3413.6744323
1652832000000,2022-05-18 00:00:00,QTF/USD,9.1468,9.184,8.857,8.8571,35195.91059695988,3973.75106942
1652745600000,2022-05-17 00:00:00,QTF/USD,9.053,9.157,8.91,9.157,32945.70316018347,3597.87082671
1652659200000,2022-05-16 00:00:00,QTF/USD,9.198,9.243,8.892,9.108,48350.86233940116,5308.61466177
1652572800000,2022-05-15 00:00:00,QTF/USD,9.143,9.358,9.127,9.312,29052.8881164048,3119.94073415
1652486400000,2022-05-14 00:00:00,QTF/USD,9.172,9.172,8.924,9.104,31342.857619968796,3442.75676845
1652400000000,2022-05-13 00:00:00,QTF/USD,9.093,9.449,8.0,9.164,61312.659876503676,6690.60016112
1652313600000,2022-05-12 00:00:00,QTF/USD,9.6125,9.818,8.893,9.093,217463.31050116048,23915.4635985
1652227200000,2022-05-11 00:00:00,QTF/USD,10.671,10.769,9.33,9.33,63617.9436922848,6818.64348256
1652140800000,2022-05-10 00:00:00,QTF/USD,10.268,11.02,9.263,10.657,40031.66829028495,3756.37311535
1652054400000,2022-05-09 00:00:00,QTF/USD,11.655,11.655,9.431,10.469,53161.86092891708,5078.02664332
1651968000000,2022-05-08 00:00:00,QTF/USD,11.886,11.886,11.655,11.655,11503.538027919,987.0045498
1651881600000,2022-05-07 00:00:00,QTF/USD,12.057,12.057,11.793,12.008,22114.086643494,1841.61281175
1651795200000,2022-05-06 00:00:00,QTF/USD,12.106,12.188,11.86,12.057,24222.70022386911,2009.01552823
1651708800000,2022-05-05 00:00:00,QTF/USD,12.136,12.307,11.704,11.956,53440.176502057235,4469.73707779
1651622400000,2022-05-04 00:00:00,QTF/USD,11.967,12.265,11.923,12.203,28759.213088089073,2356.73302369
1651536000000,2022-05-03 00:00:00,QTF/USD,12.047,12.049,11.967,11.967,22108.1983713792,1847.4302976
1651449600000,2022-05-02 00:00:00,QTF/USD,11.921,12.249,11.8,11.904,57521.164726264324,4832.08709058
1651363200000,2022-05-01 00:00:00,QTF/USD,11.78,11.921,11.745,11.884,18172.742299363003,1529.17723825
1651276800000,2022-04-30 00:00:00,QTF/USD,11.948,11.95,11.78,11.78,16847.675094253198,1430.19313194
1651190400000,2022-04-29 00:00:00,QTF/USD,12.119,12.119,11.879,11.879,23226.741021464957,1955.27746624
