https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume QTM
1659571200000,2022-08-04 00:00:00,QTM/USD,3.9308,3.9647,3.9308,3.9647,163.212062041246,41.16630818
1659484800000,2022-08-03 00:00:00,QTM/USD,3.964,4.1099,3.8423,3.923,6880.60786981247,1753.91482789
1659398400000,2022-08-02 00:00:00,QTM/USD,4.1331,4.7651,3.8454,4.0147,20229.43967407089,5038.84217353
1659312000000,2022-08-01 00:00:00,QTM/USD,4.0545,4.181,3.9876,4.1376,6156.472114302143,1487.93312894
1659225600000,2022-07-31 00:00:00,QTM/USD,4.3287,4.4176,4.0581,4.0581,6896.220137057708,1699.37166089
1659139200000,2022-07-30 00:00:00,QTM/USD,4.6743,4.8432,4.2829,4.3147,32600.718960062462,7555.73248663
1659052800000,2022-07-29 00:00:00,QTM/USD,4.5549,5.1921,4.1495,4.7664,90713.01932918165,19031.76807007
1658966400000,2022-07-28 00:00:00,QTM/USD,4.1639,4.6534,4.1408,4.4761,33029.93770993701,7379.17779092
1658880000000,2022-07-27 00:00:00,QTM/USD,3.6515,4.1866,3.4895,4.1866,30466.956272622872,7277.25511695
1658793600000,2022-07-26 00:00:00,QTM/USD,3.2987,3.6631,3.1731,3.6415,11607.67687850977,3187.60864438
1658707200000,2022-07-25 00:00:00,QTM/USD,3.3659,3.5915,3.2482,3.2844,8777.101550180292,2672.36072043
1658620800000,2022-07-24 00:00:00,QTM/USD,3.4328,3.5076,3.3578,3.4298,1495.1778260695542,435.93732173
1658534400000,2022-07-23 00:00:00,QTM/USD,3.2448,3.6,3.2041,3.4532,4480.68100598626,1297.54459805
1658448000000,2022-07-22 00:00:00,QTM/USD,3.1232,3.4653,3.1232,3.2784,8205.429439906751,2502.87623228
1658361600000,2022-07-21 00:00:00,QTM/USD,3.0616,3.1179,2.972,3.1117,879.291390658483,282.57588799
1658275200000,2022-07-20 00:00:00,QTM/USD,3.2449,3.341,3.0505,3.0587,7547.268954035443,2467.47603689
1658188800000,2022-07-19 00:00:00,QTM/USD,3.2093,3.2839,3.0929,3.2839,10180.778647359668,3100.20970412
1658102400000,2022-07-18 00:00:00,QTM/USD,2.9428,3.2433,2.9428,3.1008,2217.799406811456,715.23458682
1658016000000,2022-07-17 00:00:00,QTM/USD,2.9148,3.069,2.9086,3.0162,4212.010028991798,1396.46244579
1657929600000,2022-07-16 00:00:00,QTM/USD,2.7772,2.8801,2.7541,2.8459,1179.6110000801189,414.49488741
1657843200000,2022-07-15 00:00:00,QTM/USD,2.775,2.8206,2.7399,2.7857,1356.74033672871,487.0374903
1657756800000,2022-07-14 00:00:00,QTM/USD,2.7042,2.7848,2.6399,2.7424,1715.2845567240959,625.46840604
1657670400000,2022-07-13 00:00:00,QTM/USD,2.6087,2.7079,2.5187,2.7079,4304.994671093792,1589.79086048
1657584000000,2022-07-12 00:00:00,QTM/USD,2.6793,2.7283,2.6247,2.6262,4131.656637837767,1573.24523564
1657497600000,2022-07-11 00:00:00,QTM/USD,2.9164,2.9164,2.6799,2.6799,13457.379657819087,5021.59769313
1657411200000,2022-07-10 00:00:00,QTM/USD,3.0216,3.0267,2.8886,2.9242,1566.9966122316341,535.87190077
1657324800000,2022-07-09 00:00:00,QTM/USD,3.0094,3.1655,3.0094,3.0398,4640.4290777014285,1526.55736486
1657238400000,2022-07-08 00:00:00,QTM/USD,2.9936,3.0555,2.9031,2.9269,2080.27149679342,710.7422518
1657152000000,2022-07-07 00:00:00,QTM/USD,2.8748,3.0091,2.8581,2.9961,2034.136398766275,678.92807275
1657065600000,2022-07-06 00:00:00,QTM/USD,2.8243,2.9005,2.797,2.8915,2554.1787905416204,883.34040828
1656979200000,2022-07-05 00:00:00,QTM/USD,2.9163,2.9163,2.7341,2.8616,2310.6471512378243,807.4668546400001
1656892800000,2022-07-04 00:00:00,QTM/USD,2.8437,2.9067,2.8437,2.8979,841.531651373511,290.39361309
1656806400000,2022-07-03 00:00:00,QTM/USD,2.7992,2.8068,2.7666,2.778,1864.0841427466798,671.01661006
1656720000000,2022-07-02 00:00:00,QTM/USD,2.7488,2.8205,2.7032,2.799,1030.13550131004,368.03697796
1656633600000,2022-07-01 00:00:00,QTM/USD,2.8024,2.937,2.7161,2.7543,1335.5694067464842,484.90338988
1656547200000,2022-06-30 00:00:00,QTM/USD,2.8513,2.8519,2.6441,2.8236,28920.820455113964,10242.53451449
1656460800000,2022-06-29 00:00:00,QTM/USD,2.8976,2.918,2.8024,2.8171,1573.410048800018,558.52119158
1656374400000,2022-06-28 00:00:00,QTM/USD,2.9962,3.1003,2.8843,2.8867,4748.991124845736,1645.12804408
1656288000000,2022-06-27 00:00:00,QTM/USD,2.996,3.1244,2.9339,3.0234,21547.039787271682,7126.75788426
1656201600000,2022-06-26 00:00:00,QTM/USD,3.1412,3.2092,2.9564,2.9564,2574.289324813396,870.7513613899999
1656115200000,2022-06-25 00:00:00,QTM/USD,3.1015,3.1816,2.9714,3.1373,1689.4610669870651,538.50797405
1656028800000,2022-06-24 00:00:00,QTM/USD,2.9718,3.1542,2.956,3.1061,1186.070398705569,381.85196829
1655942400000,2022-06-23 00:00:00,QTM/USD,2.7394,2.9593,2.7243,2.9593,1611.081873029156,544.41316292
1655856000000,2022-06-22 00:00:00,QTM/USD,2.8242,2.8395,2.7003,2.7317,2487.900984024096,910.75190688
1655769600000,2022-06-21 00:00:00,QTM/USD,2.7584,2.9477,2.7584,2.8272,1097.3592043610881,388.14346504
1655683200000,2022-06-20 00:00:00,QTM/USD,2.752,2.8245,2.6606,2.796,1133.0191286648399,405.22858679
1655596800000,2022-06-19 00:00:00,QTM/USD,2.5634,2.7797,2.4951,2.7614,3018.07008559751,1092.94925965
1655510400000,2022-06-18 00:00:00,QTM/USD,2.7208,2.7692,2.4153,2.5923,2991.645467461635,1154.05063745
