https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume RBT
1659571200000,2022-08-04 00:00:00,RBT/USD,22857,23042,22747,22993,34.67045491,0.00150787
1659484800000,2022-08-03 00:00:00,RBT/USD,22923,23655,22635,22880,1326.5316064,0.05797778
1659398400000,2022-08-02 00:00:00,RBT/USD,23173,23474,22603,23047,1296.81020929,0.05626807
1659312000000,2022-08-01 00:00:00,RBT/USD,23217,23535,22690,23218,1394.78443338,0.06007341
1659225600000,2022-07-31 00:00:00,RBT/USD,23696,24259,23190,23304,1327.2965649599998,0.05695574
1659139200000,2022-07-30 00:00:00,RBT/USD,23856,24671,23494,23554,1623.51974824,0.06892756
1659052800000,2022-07-29 00:00:00,RBT/USD,23891,24369,23414,23861,2492.95242132,0.10447812000000001
1658966400000,2022-07-28 00:00:00,RBT/USD,22988,24210,22661,23909,2540.0825964,0.1062396
1658880000000,2022-07-27 00:00:00,RBT/USD,21290,22986,21008,22893,1509.44240031,0.06593467
1658793600000,2022-07-26 00:00:00,RBT/USD,21324,21324,20643,21213,1203.4113687,0.0567299
1658707200000,2022-07-25 00:00:00,RBT/USD,22645,22694,21216,21325,1948.08715775,0.09135227
1658620800000,2022-07-24 00:00:00,RBT/USD,22516,22937,22260,22645,1273.24660155,0.05622639
1658534400000,2022-07-23 00:00:00,RBT/USD,22854,22918,21904,22381,2063.7931910400002,0.09221184
1658448000000,2022-07-22 00:00:00,RBT/USD,23082,23767,22466,22627,5256.2136341,0.23229829999999999
1658361600000,2022-07-21 00:00:00,RBT/USD,23148,23446,22329,23220,1346.0406444,0.05796902
1658275200000,2022-07-20 00:00:00,RBT/USD,23330,24275,22913,23259,1267.88646735,0.05451165
1658188800000,2022-07-19 00:00:00,RBT/USD,22514,23700,21559,23445,6176.8117287,0.26345966
1658102400000,2022-07-18 00:00:00,RBT/USD,20819,22727,20735,22500,15463.725525,0.68727669
1658016000000,2022-07-17 00:00:00,RBT/USD,21145,21654,20694,20716,1879.1585108400002,0.09071049
1657929600000,2022-07-16 00:00:00,RBT/USD,20878,21574,20453,21141,1575.54296127,0.07452547
1657843200000,2022-07-15 00:00:00,RBT/USD,20629,21200,20332,20779,1189.51837422,0.05724618
1657756800000,2022-07-14 00:00:00,RBT/USD,20282,20848,19604,20506,1293.1159472200002,0.06306037
1657670400000,2022-07-13 00:00:00,RBT/USD,19209,20384,18924,20384,1431.28559392,0.07021613
1657584000000,2022-07-12 00:00:00,RBT/USD,19889,20134,19234,19345,1019.6300696,0.05270768
1657497600000,2022-07-11 00:00:00,RBT/USD,20783,20884,19837,19892,1168.7872818,0.05875665
1657411200000,2022-07-10 00:00:00,RBT/USD,21515,21650,20685,20803,1215.9727954,0.0584518
1657324800000,2022-07-09 00:00:00,RBT/USD,21659,21957,21352,21515,1265.89419125,0.05883775
1657238400000,2022-07-08 00:00:00,RBT/USD,21576,22282,21159,21571,1465.3946070499999,0.06793355
1657152000000,2022-07-07 00:00:00,RBT/USD,20607,21821,20227,21555,1216.75409955,0.05644881
1657065600000,2022-07-06 00:00:00,RBT/USD,20135,20675,19736,20483,1163.94627017,0.05682499
1656979200000,2022-07-05 00:00:00,RBT/USD,20192,20731,19259,20237,1120.13130642,0.05535066
1656892800000,2022-07-04 00:00:00,RBT/USD,19362,20339,18949,20192,1111.7321456,0.05505805
1656806400000,2022-07-03 00:00:00,RBT/USD,19284,19614,18884,19243,1157.36523182,0.06014474
1656720000000,2022-07-02 00:00:00,RBT/USD,19326,19453,18976,19170,1119.1802562,0.05838186
1656633600000,2022-07-01 00:00:00,RBT/USD,19843,20580,18975,19183,1178.62404581,0.06144107
1656547200000,2022-06-30 00:00:00,RBT/USD,20046,20187,18644,19835,1349.6303264500002,0.06804287
1656460800000,2022-06-29 00:00:00,RBT/USD,20334,20469,19861,20162,1145.30301486,0.05680503
1656374400000,2022-06-28 00:00:00,RBT/USD,20674,21251,20164,20334,1207.36093764,0.05937646
1656288000000,2022-06-27 00:00:00,RBT/USD,21012,21559,20592,20777,1108.86204913,0.05336969
1656201600000,2022-06-26 00:00:00,RBT/USD,21541,21918,20956,20991,1283.38176342,0.06113962
1656115200000,2022-06-25 00:00:00,RBT/USD,21175,21583,20810,21553,14989.37093892,0.69546564
1656028800000,2022-06-24 00:00:00,RBT/USD,20993,21532,20650,21152,1144.9662208,0.0541304
1655942400000,2022-06-23 00:00:00,RBT/USD,19913,21227,19894,21017,1180.4055134399998,0.05616432
1655856000000,2022-06-22 00:00:00,RBT/USD,20461,20892,19694,19893,1002.14906421,0.05037697
1655769600000,2022-06-21 00:00:00,RBT/USD,20562,21849,20339,20880,11618.2863792,0.55643134
1655683200000,2022-06-20 00:00:00,RBT/USD,20521,20946,19654,20562,50763.18760176,2.46878648
1655596800000,2022-06-19 00:00:00,RBT/USD,18996,20698,17950,20521,60764.42466937,2.96108497
1655510400000,2022-06-18 00:00:00,RBT/USD,20387,20585,17604,18996,46090.10535672,2.42630582
1655424000000,2022-06-17 00:00:00,RBT/USD,20161,21400,20082,20387,14001.37529746,0.68677958
1655337600000,2022-06-16 00:00:00,RBT/USD,22707,23014,20026,20158,16402.338628819998,0.8136887899999999
1655251200000,2022-06-15 00:00:00,RBT/USD,22010,22858,20037,22503,22177.51638297,0.98553599
1655164800000,2022-06-14 00:00:00,RBT/USD,22386,23211,20927,22114,32994.1056912,1.4920008
1655078400000,2022-06-13 00:00:00,RBT/USD,26609,26970,22074,22361,102739.57444165001,4.59458765
1654992000000,2022-06-12 00:00:00,RBT/USD,28563,28680,26735,26779,4391.71663487,0.16399853
1654905600000,2022-06-11 00:00:00,RBT/USD,29252,29609,28141,28526,9602.79780742,0.33663317
1654819200000,2022-06-10 00:00:00,RBT/USD,30249,30396,28755,28964,4749.502817279999,0.16397952
1654732800000,2022-06-09 00:00:00,RBT/USD,30461,30773,29860,29984,1720.5026089599999,0.05738069
1654646400000,2022-06-08 00:00:00,RBT/USD,30955,31442,29766,30385,1796.03152275,0.05910915
1654560000000,2022-06-07 00:00:00,RBT/USD,31197,31664,29107,30990,4857.0227229,0.15672871
1654473600000,2022-06-06 00:00:00,RBT/USD,29780,31875,29706,31519,5011.02016309,0.15898411
1654387200000,2022-06-05 00:00:00,RBT/USD,29960,30266,29429,29780,1765.0757878,0.05927051
1654300800000,2022-06-04 00:00:00,RBT/USD,29595,30104,29408,29716,1706.3251104400001,0.05742109
1654214400000,2022-06-03 00:00:00,RBT/USD,30621,30853,29245,29605,1747.07956895,0.05901299
1654128000000,2022-06-02 00:00:00,RBT/USD,29680,30767,29511,30621,1823.61895692,0.05955452
1654041600000,2022-06-01 00:00:00,RBT/USD,31927,32101,29393,29680,4717.5089696000005,0.15894572
1653955200000,2022-05-31 00:00:00,RBT/USD,31887,32452,31151,31931,1899.92898548,0.05950108
1653868800000,2022-05-30 00:00:00,RBT/USD,29336,32004,29171,31569,5435.7051081,0.1721849
1653782400000,2022-05-29 00:00:00,RBT/USD,28880,29643,28840,29604,4507.81232952,0.15227038
1653696000000,2022-05-28 00:00:00,RBT/USD,28525,29238,28485,28897,4833.64511344,0.16727152
1653609600000,2022-05-27 00:00:00,RBT/USD,29151,29508,28216,28737,5201.05962762,0.18098826
1653523200000,2022-05-26 00:00:00,RBT/USD,29689,30000,28026,29041,7920.71726578,0.27274258
1653436800000,2022-05-25 00:00:00,RBT/USD,29502,30328,29216,29396,4670.18249856,0.15887136
