https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REQ
1659484800000,2022-08-03 00:00:00,REQ/USD,0.13066,0.13577,0.128,0.13021,14856.812317561733,114098.85813349001
1659398400000,2022-08-02 00:00:00,REQ/USD,0.12915,0.13401,0.12752,0.13314,18514.989498173672,139064.06412929
1659312000000,2022-08-01 00:00:00,REQ/USD,0.13829,0.13837,0.13042,0.13042,1631.6427326329906,12510.67882712
1659225600000,2022-07-31 00:00:00,REQ/USD,0.14403,0.15308,0.13818,0.14014,4878.990567362312,34815.11750651
1659139200000,2022-07-30 00:00:00,REQ/USD,0.12902,0.14461,0.12902,0.13179,15470.297723128664,117385.97559093
1659052800000,2022-07-29 00:00:00,REQ/USD,0.12724,0.131,0.12439,0.12951,19017.617878382236,146842.85289462
1658966400000,2022-07-28 00:00:00,REQ/USD,0.12204,0.13198,0.12204,0.13198,21299.768952856997,161386.33848202
1658880000000,2022-07-27 00:00:00,REQ/USD,0.1163,0.12138,0.11434,0.12138,12121.46909982393,99863.8086985
1658793600000,2022-07-26 00:00:00,REQ/USD,0.12487,0.12743,0.11297,0.11375,29839.65582610399,262326.64462509
1658707200000,2022-07-25 00:00:00,REQ/USD,0.1186,0.13198,0.1153,0.12236,34049.39527682879,278272.2726122
1658620800000,2022-07-24 00:00:00,REQ/USD,0.1199,0.1211,0.1182,0.1186,2952.414021021392,24893.87876072
1658534400000,2022-07-23 00:00:00,REQ/USD,0.121,0.12526,0.11663,0.11975,11583.23841165723,96728.50448148
1658448000000,2022-07-22 00:00:00,REQ/USD,0.12368,0.12572,0.11906,0.11906,4532.609975040412,38069.96451403
1658361600000,2022-07-21 00:00:00,REQ/USD,0.12024,0.12614,0.11896,0.12368,13509.654749688696,109230.71434095
1658275200000,2022-07-20 00:00:00,REQ/USD,0.12845,0.13554,0.12024,0.12024,11632.869114673687,96747.08179203
1658188800000,2022-07-19 00:00:00,REQ/USD,0.11529,0.13007,0.11527,0.12657,580.1691693274364,4583.78106445
1658102400000,2022-07-18 00:00:00,REQ/USD,0.11765,0.11765,0.11765,0.11765,10.7388535952165,91.27797361
1658016000000,2022-07-17 00:00:00,REQ/USD,0.1185,0.1185,0.11527,0.11527,83.5505235731,724.82453
1657929600000,2022-07-16 00:00:00,REQ/USD,0.11933,0.11933,0.11656,0.11656,446.9326122896,3834.35666
1657843200000,2022-07-15 00:00:00,REQ/USD,0.11531,0.11531,0.11531,0.11531,10.101156,87.6
1657670400000,2022-07-13 00:00:00,REQ/USD,0.11077,0.11418,0.10589,0.10589,605.8127627137821,5721.15178689
1657584000000,2022-07-12 00:00:00,REQ/USD,0.1177,0.1177,0.10892,0.11126,1861.84708991165,16734.199981230002
1657497600000,2022-07-11 00:00:00,REQ/USD,0.10688,0.12187,0.10453,0.11487,2584.7921769851414,22501.89063276
1657411200000,2022-07-10 00:00:00,REQ/USD,0.11071,0.11071,0.11071,0.11071,49.9899934,451.54
1657324800000,2022-07-09 00:00:00,REQ/USD,0.11544,0.11544,0.11544,0.11544,100.6612742304,871.97916
1657238400000,2022-07-08 00:00:00,REQ/USD,0.11663,0.11663,0.11663,0.11663,98.808936,847.2
1657152000000,2022-07-07 00:00:00,REQ/USD,0.1186,0.1186,0.1186,0.1186,106.74,900.0
1657065600000,2022-07-06 00:00:00,REQ/USD,0.11569,0.1191,0.11496,0.1191,501.501320620023,4210.75835953
1656979200000,2022-07-05 00:00:00,REQ/USD,0.12117,0.12165,0.1146,0.12165,769.0531452058154,6321.85076207
1656892800000,2022-07-04 00:00:00,REQ/USD,0.12825,0.1336,0.11863,0.12042,12567.452087949929,104363.4951665
1656806400000,2022-07-03 00:00:00,REQ/USD,0.10305,0.14031,0.098358,0.13822,17179.61096566193,124291.78820476
1656720000000,2022-07-02 00:00:00,REQ/USD,0.1048,0.10557,0.10076,0.10353,1349.9826977769383,13039.53151528
1656633600000,2022-07-01 00:00:00,REQ/USD,0.11509,0.11815,0.10337,0.10337,14100.707662513916,136410.05768128
1656547200000,2022-06-30 00:00:00,REQ/USD,0.11999,0.15567,0.1074,0.11568,90583.42559983236,783051.74273714
1656460800000,2022-06-29 00:00:00,REQ/USD,0.084627,0.13566,0.083657,0.11746,242741.93673763008,2066592.34409697
1656374400000,2022-06-28 00:00:00,REQ/USD,0.088682,0.090618,0.084,0.084,1041.0335554164,12393.2566121
1656288000000,2022-06-27 00:00:00,REQ/USD,0.09132,0.09346,0.088621,0.08987,1480.5350797979763,16474.18582172
1656201600000,2022-06-26 00:00:00,REQ/USD,0.098614,0.10096,0.09094,0.09094,5883.239457463304,64693.638195110005
