https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume RRT
1659484800000,2022-08-03 00:00:00,RRT/USD,0.85,0.85,0.85,0.85,170.0,200.0
1659225600000,2022-07-31 00:00:00,RRT/USD,0.85001,0.85001,0.85,0.85,17.0,20.0
1659139200000,2022-07-30 00:00:00,RRT/USD,0.90002,0.90002,0.85,0.85,8295.9595724615,9759.95243819
1659052800000,2022-07-29 00:00:00,RRT/USD,0.92702,0.95399,0.92702,0.95399,42.2986968093062,44.33872138
1658966400000,2022-07-28 00:00:00,RRT/USD,0.94999,0.95,0.9,0.9,18534.994807608,20594.43867512
1658793600000,2022-07-26 00:00:00,RRT/USD,0.95,0.95,0.9001,0.9001,139.64425930500002,155.14305000000002
1658707200000,2022-07-25 00:00:00,RRT/USD,0.919,0.95,0.9,0.95,30437.557566,32039.53428
1658620800000,2022-07-24 00:00:00,RRT/USD,0.91,0.91,0.91,0.91,7.6223406623,8.37619853
1658361600000,2022-07-21 00:00:00,RRT/USD,0.77333,0.91,0.77333,0.91,16507.679028204002,18140.3066244
1658275200000,2022-07-20 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,37.76506001300059,48.83433982
1658188800000,2022-07-19 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,31.35761201063,40.548811
1658102400000,2022-07-18 00:00:00,RRT/USD,0.77334,0.77334,0.77333,0.77333,388.7839242,502.74
1658016000000,2022-07-17 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,146.0975036,188.92000000000002
1657929600000,2022-07-16 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,26.079007589999996,33.723
1657843200000,2022-07-15 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,183.6680480495667,237.50280999
1657670400000,2022-07-13 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,96.66624999999999,125.0
1657584000000,2022-07-12 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,34.79985,45.0
1657497600000,2022-07-11 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,2088.124563912291,2700.1727127
1657238400000,2022-07-08 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,2261.0309284896907,2923.7594927
1657152000000,2022-07-07 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,1644.6444341986803,2126.70455588
1657065600000,2022-07-06 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,1082.662,1400.0
1656979200000,2022-07-05 00:00:00,RRT/USD,0.77333,0.77333,0.77333,0.77333,3237.00515402477,4185.800569
