https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SAN
1659484800000,2022-08-03 00:00:00,SAN/USD,0.17201,0.17201,0.1631,0.1631,42.9758824908,263.49406799999997
1659398400000,2022-08-02 00:00:00,SAN/USD,0.1631,0.1631,0.1631,0.1631,239.36611258279999,1467.603388
1659312000000,2022-08-01 00:00:00,SAN/USD,0.167,0.17201,0.13017,0.1631,2158.319755888408,13233.10702568
1659225600000,2022-07-31 00:00:00,SAN/USD,0.17201,0.17201,0.167,0.167,551.49230048991,3302.34910473
1659139200000,2022-07-30 00:00:00,SAN/USD,0.17201,0.21,0.172,0.172,2377.10282238424,13820.36524642
1659052800000,2022-07-29 00:00:00,SAN/USD,0.172,0.17214,0.172,0.17214,162.07398628854,941.524261
1658966400000,2022-07-28 00:00:00,SAN/USD,0.12499,0.195,0.11002,0.175,19427.051606357498,111011.7234649
1658880000000,2022-07-27 00:00:00,SAN/USD,0.11336,0.11621,0.11,0.11,98.77615263999999,897.965024
1658793600000,2022-07-26 00:00:00,SAN/USD,0.11339,0.12648,0.10068,0.12,1450.33309218,12086.1091015
1658707200000,2022-07-25 00:00:00,SAN/USD,0.1624,0.17794,0.10068,0.17794,1535.5968585129744,8629.85758409
1658620800000,2022-07-24 00:00:00,SAN/USD,0.1521,0.16241,0.1521,0.1624,537.6885478145999,3310.89007275
1658534400000,2022-07-23 00:00:00,SAN/USD,0.1521,0.1521,0.1521,0.1521,461.82964751820003,3036.355342
1658448000000,2022-07-22 00:00:00,SAN/USD,0.15211,0.15211,0.1521,0.1521,520.2340174395,3420.3419949999998
1658361600000,2022-07-21 00:00:00,SAN/USD,0.16416,0.17694,0.1521,0.15216,1322.3301865869935,8690.39291921
1658275200000,2022-07-20 00:00:00,SAN/USD,0.15325,0.15325,0.15324,0.15324,65.8268541183132,429.56704593
1658188800000,2022-07-19 00:00:00,SAN/USD,0.175,0.175,0.175,0.175,8.75,50.0
1658102400000,2022-07-18 00:00:00,SAN/USD,0.14022,0.1756,0.1351,0.1756,6302.570914910324,35891.63391179
1658016000000,2022-07-17 00:00:00,SAN/USD,0.14022,0.14022,0.1402,0.1402,897.8816162857999,6404.291128999999
1657929600000,2022-07-16 00:00:00,SAN/USD,0.1288,0.16632,0.1288,0.14245,34515.441688738894,242298.64295359
1657843200000,2022-07-15 00:00:00,SAN/USD,0.1288,0.13,0.1288,0.1288,450.331846392176,3496.36526702
1657756800000,2022-07-14 00:00:00,SAN/USD,0.1148,0.15,0.091162,0.1311,29189.34065673625,222649.43292705
1657670400000,2022-07-13 00:00:00,SAN/USD,0.1291,0.12923,0.1148,0.115,4763.7989278185505,41424.33850277
1657584000000,2022-07-12 00:00:00,SAN/USD,0.1178,0.137,0.0666,0.1291,40006.49317149331,309887.63107276
1657497600000,2022-07-11 00:00:00,SAN/USD,0.1198,0.13773,0.1131,0.1178,10161.657246769171,86261.94606765
1657411200000,2022-07-10 00:00:00,SAN/USD,0.1305,0.1395,0.1198,0.1198,9550.951660703293,79724.13740153
1657324800000,2022-07-09 00:00:00,SAN/USD,0.13112,0.13979,0.1267,0.1305,6910.03109767221,52950.42986722
1657238400000,2022-07-08 00:00:00,SAN/USD,0.13576,0.14,0.1267,0.13111,4946.50406734473,37727.89312291
1657152000000,2022-07-07 00:00:00,SAN/USD,0.1244,0.14,0.11,0.1317,16871.6920336676,128107.00101494
1657065600000,2022-07-06 00:00:00,SAN/USD,0.1311,0.1315,0.1076,0.1244,17894.215123390684,143844.17301761
1656979200000,2022-07-05 00:00:00,SAN/USD,0.182,0.204,0.0666,0.1311,99963.44611237757,762497.68201661
1656892800000,2022-07-04 00:00:00,SAN/USD,0.19135,0.204,0.1801,0.1801,976.5940038138002,5422.509738000001
1656806400000,2022-07-03 00:00:00,SAN/USD,0.19135,0.19135,0.19135,0.19135,106.42368345825,556.172895
1656720000000,2022-07-02 00:00:00,SAN/USD,0.19135,0.19135,0.19135,0.19135,202.6374257476,1058.988376
1656633600000,2022-07-01 00:00:00,SAN/USD,0.205,0.22,0.19121,0.21932,800.986801939136,3652.1375248
1656547200000,2022-06-30 00:00:00,SAN/USD,0.22,0.22,0.1912,0.19121,1078.0238446875499,5637.9051549999995
1656460800000,2022-06-29 00:00:00,SAN/USD,0.19167,0.219,0.19123,0.1987,2491.4947335521056,12538.97701838
1656374400000,2022-06-28 00:00:00,SAN/USD,0.20867,0.20867,0.19137,0.19137,24.8742726,129.98
1656288000000,2022-06-27 00:00:00,SAN/USD,0.20084,0.20088,0.20084,0.20088,10.044,50.0
1656201600000,2022-06-26 00:00:00,SAN/USD,0.22,0.22,0.19121,0.19121,305.613415096727,1598.3129287000002
1656028800000,2022-06-24 00:00:00,SAN/USD,0.17042,0.19565,0.17042,0.19565,2048.23086546988,10468.8518552
1655942400000,2022-06-23 00:00:00,SAN/USD,0.17042,0.17042,0.17042,0.17042,2.3196377459999997,13.6113
1655856000000,2022-06-22 00:00:00,SAN/USD,0.19943,0.19991,0.1899,0.19991,2081.4675119926733,10412.0229703
1655769600000,2022-06-21 00:00:00,SAN/USD,0.18,0.215,0.1799,0.19,26167.9133353677,137725.85965983
1655683200000,2022-06-20 00:00:00,SAN/USD,0.1737,0.18,0.1703,0.18,3202.3822852782,17791.01269599
1655596800000,2022-06-19 00:00:00,SAN/USD,0.1812,0.188,0.1737,0.176,2661.0252118296,15119.46143085
1655510400000,2022-06-18 00:00:00,SAN/USD,0.19195,0.19195,0.162,0.162,4550.0645633283,28086.81829215
1655424000000,2022-06-17 00:00:00,SAN/USD,0.19541,0.19541,0.18211,0.18211,141.60501949912,777.579592
1655337600000,2022-06-16 00:00:00,SAN/USD,0.18212,0.19663,0.18211,0.18211,3324.039118864645,18252.91921841
1655251200000,2022-06-15 00:00:00,SAN/USD,0.1963,0.197,0.1811,0.1811,3896.5551213999256,21516.04153175
1655164800000,2022-06-14 00:00:00,SAN/USD,0.2071,0.21406,0.1963,0.1963,8470.5785112169,43151.189563
1655078400000,2022-06-13 00:00:00,SAN/USD,0.2307,0.23983,0.2071,0.2071,10912.481430708818,52691.84659927
1654992000000,2022-06-12 00:00:00,SAN/USD,0.2377,0.2377,0.2307,0.2307,3101.2779242785587,13442.90387637
1654905600000,2022-06-11 00:00:00,SAN/USD,0.2565,0.2565,0.2377,0.2377,4303.088362045718,18103.02213734
1654819200000,2022-06-10 00:00:00,SAN/USD,0.2709,0.27504,0.2565,0.2565,1435.3641546476401,5595.96161656
1654732800000,2022-06-09 00:00:00,SAN/USD,0.25651,0.25651,0.2565,0.2565,393.59192102549997,1534.471427
1654646400000,2022-06-08 00:00:00,SAN/USD,0.2709,0.2709,0.2709,0.2709,5.688899999999999,21.0
1654560000000,2022-06-07 00:00:00,SAN/USD,0.27715,0.27715,0.2565,0.25651,532.8093049513813,2077.14827863
1654473600000,2022-06-06 00:00:00,SAN/USD,0.2565,0.2565,0.2565,0.2565,42.8603658795,167.096943
1654300800000,2022-06-04 00:00:00,SAN/USD,0.2613,0.2613,0.2613,0.2613,104.40654406259998,399.56580199999996
1654214400000,2022-06-03 00:00:00,SAN/USD,0.2647,0.26499,0.2613,0.2613,2952.9936794631,11301.162187
1654128000000,2022-06-02 00:00:00,SAN/USD,0.28,0.2892,0.2647,0.2647,686.7153686752299,2594.3157109
1654041600000,2022-06-01 00:00:00,SAN/USD,0.28828,0.29463,0.2647,0.2647,3385.760407209881,12790.93467023
1653955200000,2022-05-31 00:00:00,SAN/USD,0.25498,0.33727,0.25498,0.28813,5074.383301941641,17611.43685816
1653868800000,2022-05-30 00:00:00,SAN/USD,0.242,0.242,0.242,0.242,3251.14168964706,13434.46979193
1653782400000,2022-05-29 00:00:00,SAN/USD,0.2412,0.24134,0.2412,0.24134,14838.477426804022,61483.70525733
1653696000000,2022-05-28 00:00:00,SAN/USD,0.2412,0.2412,0.2412,0.2412,10.832291999999999,44.91
1653609600000,2022-05-27 00:00:00,SAN/USD,0.24334,0.24334,0.2412,0.2412,20574.989743006587,85302.61087482
1653523200000,2022-05-26 00:00:00,SAN/USD,0.25547,0.25548,0.24333,0.24333,4574.172522905426,18798.22678217
1653436800000,2022-05-25 00:00:00,SAN/USD,0.25874,0.26913,0.25471,0.26913,7301.772294611675,27131.02327727
1653350400000,2022-05-24 00:00:00,SAN/USD,0.24333,0.25299,0.24333,0.24333,801.115514268873,3292.3006381
1653264000000,2022-05-23 00:00:00,SAN/USD,0.25297,0.25297,0.2376,0.24595,894.9570141349654,3638.7762314899996
1653177600000,2022-05-22 00:00:00,SAN/USD,0.25819,0.25828,0.2381,0.25286,2959.2921025964556,11703.28285453
1653091200000,2022-05-21 00:00:00,SAN/USD,0.25001,0.26657,0.25001,0.25051,247.3434543329074,987.35960374
1653004800000,2022-05-20 00:00:00,SAN/USD,0.2675,0.26887,0.2381,0.2665,2846.5699596530953,10681.313169430001
1652918400000,2022-05-19 00:00:00,SAN/USD,0.23622,0.2675,0.2361,0.2675,1080.638392960425,4039.76969331
1652832000000,2022-05-18 00:00:00,SAN/USD,0.25039,0.25466,0.2361,0.2361,2888.4700166257767,12234.095792569999
1652745600000,2022-05-17 00:00:00,SAN/USD,0.22707,0.2675,0.22707,0.2361,5759.318917486499,24393.557464999998
1652659200000,2022-05-16 00:00:00,SAN/USD,0.22512,0.24999,0.2247,0.24999,663.5261663716608,2654.21083392
1652572800000,2022-05-15 00:00:00,SAN/USD,0.21537,0.25463,0.2019,0.2247,10066.441488265365,44799.47257795
1652486400000,2022-05-14 00:00:00,SAN/USD,0.22588,0.2718,0.1811,0.20981,38926.80755238326,185533.61399543998
1652400000000,2022-05-13 00:00:00,SAN/USD,0.23832,0.23999,0.2137,0.21394,5412.632065238027,25299.76659455
1652313600000,2022-05-12 00:00:00,SAN/USD,0.2518,0.25682,0.1811,0.23832,21536.39687486753,90367.5598979
1652227200000,2022-05-11 00:00:00,SAN/USD,0.29999,0.3014,0.2355,0.2518,12253.591404527953,48663.98492664
1652140800000,2022-05-10 00:00:00,SAN/USD,0.30211,0.32094,0.21501,0.3,25315.702806702,84385.67602234
1652054400000,2022-05-09 00:00:00,SAN/USD,0.33313,0.348,0.3018,0.30286,43123.14627964801,142386.40388182
1651968000000,2022-05-08 00:00:00,SAN/USD,0.33726,0.361,0.3314,0.361,5063.17027344672,14025.40241952
1651881600000,2022-05-07 00:00:00,SAN/USD,0.3384,0.3384,0.3371,0.3371,3790.932409496777,11245.72058587
1651795200000,2022-05-06 00:00:00,SAN/USD,0.36152,0.37,0.33711,0.33968,4453.406702880942,13110.59439143
1651708800000,2022-05-05 00:00:00,SAN/USD,0.3461,0.353,0.3431,0.3431,3294.292495231425,9601.55201175
1651622400000,2022-05-04 00:00:00,SAN/USD,0.34432,0.36799,0.3291,0.34615,4508.242762792552,13023.95713648
1651536000000,2022-05-03 00:00:00,SAN/USD,0.34475,0.37587,0.3241,0.3291,10895.939631033762,33108.29422982
1651449600000,2022-05-02 00:00:00,SAN/USD,0.31595,0.38,0.31446,0.35072,11670.835957457739,33276.79048089
1651363200000,2022-05-01 00:00:00,SAN/USD,0.31608,0.34194,0.3147,0.33517,2467.580868957862,7362.17701154
1651276800000,2022-04-30 00:00:00,SAN/USD,0.31471,0.34187,0.3147,0.31607,1279.3471696295262,4047.67035666
1651190400000,2022-04-29 00:00:00,SAN/USD,0.33201,0.34205,0.3147,0.3147,8115.119409834272,25786.84273859
1651104000000,2022-04-28 00:00:00,SAN/USD,0.3015,0.37,0.29,0.342,24677.127251221864,72155.34283983
1651017600000,2022-04-27 00:00:00,SAN/USD,0.28931,0.33699,0.2893,0.3015,15196.911988803478,50404.35153832
1650931200000,2022-04-26 00:00:00,SAN/USD,0.2949,0.29491,0.2893,0.2893,2382.9641,8237.0
1650844800000,2022-04-25 00:00:00,SAN/USD,0.30947,0.30947,0.2949,0.30396,8185.05480488196,26928.065551
1650758400000,2022-04-24 00:00:00,SAN/USD,0.31,0.32538,0.3085,0.32537,1796.6078877759912,5521.73798376
1650672000000,2022-04-23 00:00:00,SAN/USD,0.32,0.3228,0.31,0.31,496.4589287368,1601.48041528
1650585600000,2022-04-22 00:00:00,SAN/USD,0.3086,0.34444,0.30242,0.31,11098.3978427935,35801.28336385
1650499200000,2022-04-21 00:00:00,SAN/USD,0.30864,0.31018,0.3086,0.3086,4790.696803765142,15523.96890397
1650412800000,2022-04-20 00:00:00,SAN/USD,0.29138,0.3397,0.29138,0.30865,7785.441214974199,25224.173708
1650326400000,2022-04-19 00:00:00,SAN/USD,0.276,0.31,0.2715,0.2715,1090.591840623915,4016.91285681
1650240000000,2022-04-18 00:00:00,SAN/USD,0.295,0.295,0.2715,0.2715,13199.624942402057,48617.403102770004
1650153600000,2022-04-17 00:00:00,SAN/USD,0.3036,0.339,0.2917,0.295,24424.18566431725,82793.84970955
1650067200000,2022-04-16 00:00:00,SAN/USD,0.29202,0.30646,0.2847,0.2847,2186.0218528476903,7678.3345727000005
1649980800000,2022-04-15 00:00:00,SAN/USD,0.27992,0.33,0.2791,0.29201,32424.873800850535,111040.28560957
1649894400000,2022-04-14 00:00:00,SAN/USD,0.27064,0.29998,0.2665,0.27004,15907.864305312343,58909.28864358
