https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SGB
1659484800000,2022-08-03 00:00:00,SGB/USD,0.025015,0.025208,0.024791,0.024962,3319.1004069730334,132966.1247886
1659398400000,2022-08-02 00:00:00,SGB/USD,0.024367,0.025562,0.02431,0.025015,2429.8787742337204,97136.86884804
1659312000000,2022-08-01 00:00:00,SGB/USD,0.026051,0.026051,0.024373,0.024373,2671.482808534287,109608.28820967
1659225600000,2022-07-31 00:00:00,SGB/USD,0.025892,0.026246,0.025678,0.025974,2331.522863500519,89763.72000849
1659139200000,2022-07-30 00:00:00,SGB/USD,0.026009,0.026122,0.024991,0.025907,1257.5254125659412,48539.98581719
1659052800000,2022-07-29 00:00:00,SGB/USD,0.0251,0.026009,0.025077,0.026009,2090.7403585137904,80385.2650434
1658966400000,2022-07-28 00:00:00,SGB/USD,0.024941,0.025605,0.024835,0.0251,2458.192845960358,97935.96995858
1658880000000,2022-07-27 00:00:00,SGB/USD,0.024188,0.025042,0.023813,0.025042,5381.58416462637,214902.33066953
1658793600000,2022-07-26 00:00:00,SGB/USD,0.02477,0.024792,0.023947,0.024175,481.2481450801787,19906.85191645
1658707200000,2022-07-25 00:00:00,SGB/USD,0.025813,0.025813,0.024591,0.024792,1286.5675732320717,51894.46487706
1658620800000,2022-07-24 00:00:00,SGB/USD,0.025655,0.02596,0.025502,0.025789,181.74103822012165,7047.23092094
1658534400000,2022-07-23 00:00:00,SGB/USD,0.026139,0.026139,0.025583,0.025665,3811.2338036593537,148499.27152384
1658448000000,2022-07-22 00:00:00,SGB/USD,0.026755,0.026889,0.025814,0.025847,1530.6510217837972,59219.67817479
1658361600000,2022-07-21 00:00:00,SGB/USD,0.026561,0.026717,0.025811,0.026521,1402.0889809373564,52867.12344698
1658275200000,2022-07-20 00:00:00,SGB/USD,0.02625,0.027822,0.026209,0.026601,3230.557232395277,121444.95441507
1658188800000,2022-07-19 00:00:00,SGB/USD,0.026011,0.026329,0.02587,0.026176,4897.818052193599,187111.01972011
1658102400000,2022-07-18 00:00:00,SGB/USD,0.025506,0.026209,0.02536,0.026011,30396.325547834338,1168595.03855424
1658016000000,2022-07-17 00:00:00,SGB/USD,0.026475,0.026716,0.02555,0.02556,2729.148794053711,106774.20947002
1657929600000,2022-07-16 00:00:00,SGB/USD,0.025901,0.02662,0.02576,0.026559,3337.925139675181,125679.62422061
1657843200000,2022-07-15 00:00:00,SGB/USD,0.025405,0.026489,0.025405,0.025901,13473.612454830823,520196.61228643
1657756800000,2022-07-14 00:00:00,SGB/USD,0.02619,0.028985,0.02519,0.02571,12208.08225964624,474837.89419083
1657670400000,2022-07-13 00:00:00,SGB/USD,0.02607,0.026284,0.02579,0.026218,8812.079105045397,336107.98325751
1657584000000,2022-07-12 00:00:00,SGB/USD,0.026851,0.02711,0.025921,0.0261,5437.747644789906,208342.82163946
1657497600000,2022-07-11 00:00:00,SGB/USD,0.029041,0.029254,0.0266,0.026687,2039.7399915842432,76431.97030705
1657411200000,2022-07-10 00:00:00,SGB/USD,0.029875,0.029875,0.028831,0.029058,1695.9256941747678,58363.469412030005
1657324800000,2022-07-09 00:00:00,SGB/USD,0.030206,0.030364,0.02972,0.029832,327.8486499608496,10989.8313878
1657238400000,2022-07-08 00:00:00,SGB/USD,0.029599,0.030561,0.029599,0.030234,1614.6977158942161,53406.68505306
1657152000000,2022-07-07 00:00:00,SGB/USD,0.028873,0.029853,0.028774,0.029853,1568.6230793535628,52544.90601794
1657065600000,2022-07-06 00:00:00,SGB/USD,0.029093,0.02956,0.028783,0.028887,2119.9548852043736,73387.8521551
1656979200000,2022-07-05 00:00:00,SGB/USD,0.02942,0.030399,0.028911,0.029102,1114.1307200301596,38283.64786029
1656892800000,2022-07-04 00:00:00,SGB/USD,0.029203,0.03022,0.028667,0.029612,1016.3692583404957,34322.88458532
1656806400000,2022-07-03 00:00:00,SGB/USD,0.029053,0.029171,0.028591,0.02904,607.7818589964264,20929.12737591
1656720000000,2022-07-02 00:00:00,SGB/USD,0.029337,0.029412,0.028821,0.02903,1360.6808021964728,46871.53986209
1656633600000,2022-07-01 00:00:00,SGB/USD,0.028712,0.029417,0.028711,0.029321,620.1641434282858,21150.85240709
1656547200000,2022-06-30 00:00:00,SGB/USD,0.030836,0.031009,0.027861,0.028719,4997.394043341145,174010.02971347
1656460800000,2022-06-29 00:00:00,SGB/USD,0.031181,0.031338,0.02877,0.031036,3089.0379787809043,99530.80225483
1656374400000,2022-06-28 00:00:00,SGB/USD,0.031906,0.031989,0.031192,0.031197,3635.4836679905306,116533.11754305
1656288000000,2022-06-27 00:00:00,SGB/USD,0.0325,0.032849,0.031758,0.031758,1210.9615973304853,38130.91496097
1656201600000,2022-06-26 00:00:00,SGB/USD,0.032185,0.032659,0.032021,0.032659,3895.6240440217125,119281.79197225
1656115200000,2022-06-25 00:00:00,SGB/USD,0.033059,0.033059,0.031791,0.032268,1795.2472146060109,55635.52791019
1656028800000,2022-06-24 00:00:00,SGB/USD,0.030714,0.033455,0.030631,0.033071,11999.958452183915,362854.41783387
