https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SNX
1659571200000,2022-08-04 00:00:00,SNX/USD,3.7071,3.826,3.7071,3.8154,120.54919465581,31.59542765
1659484800000,2022-08-03 00:00:00,SNX/USD,3.8352,4.0176,3.6682,3.7121,20141.123090233108,5425.8029391
1659398400000,2022-08-02 00:00:00,SNX/USD,3.6106,4.1143,3.322,3.8,38572.224376891994,10150.58536234
1659312000000,2022-08-01 00:00:00,SNX/USD,3.5641,3.7705,3.4158,3.6217,27226.65053401748,7517.64379546
1659225600000,2022-07-31 00:00:00,SNX/USD,3.6449,3.8224,3.5247,3.5641,13664.046012702202,3833.79984083
1659139200000,2022-07-30 00:00:00,SNX/USD,4.0463,4.0463,3.5943,3.6451,106473.60263615388,29210.06354727
1659052800000,2022-07-29 00:00:00,SNX/USD,4.1442,4.2239,3.86,4.0521,85839.48909632192,21183.95130829
1658966400000,2022-07-28 00:00:00,SNX/USD,3.7596,4.4038,3.6274,4.133,298804.20717603504,72297.17086282
1658880000000,2022-07-27 00:00:00,SNX/USD,2.9878,3.7573,2.8775,3.7573,61126.70642046158,16268.78514371
1658793600000,2022-07-26 00:00:00,SNX/USD,2.9738,3.0565,2.8173,2.9751,127685.44599469597,42918.03502225
1658707200000,2022-07-25 00:00:00,SNX/USD,3.4377,3.465,2.9802,2.9802,39541.63392811128,13268.1141964
1658620800000,2022-07-24 00:00:00,SNX/USD,3.244,3.5226,3.1972,3.4251,100614.9211245935,29375.76161998
1658534400000,2022-07-23 00:00:00,SNX/USD,3.0083,3.2791,2.9039,3.2343,67169.31264449852,20767.80528847
1658448000000,2022-07-22 00:00:00,SNX/USD,3.2723,3.3945,2.9873,3.0235,70971.66958093044,23473.34862938
1658361600000,2022-07-21 00:00:00,SNX/USD,2.8607,3.3321,2.785,3.2863,136451.09090970797,41521.1912819
1658275200000,2022-07-20 00:00:00,SNX/USD,2.9773,3.1937,2.8062,2.8605,65239.54800964141,22807.04352723
1658188800000,2022-07-19 00:00:00,SNX/USD,2.9198,3.0491,2.7774,2.9702,121291.64110131125,40836.1864862
1658102400000,2022-07-18 00:00:00,SNX/USD,2.6634,3.114,2.6561,2.9505,270739.89313497196,91760.68230299
1658016000000,2022-07-17 00:00:00,SNX/USD,2.8042,2.8597,2.6528,2.6577,68779.64512131782,25879.386357119998
1657929600000,2022-07-16 00:00:00,SNX/USD,2.5527,2.9418,2.5385,2.8011,103648.4243189342,37002.75760199
1657843200000,2022-07-15 00:00:00,SNX/USD,2.7143,2.7398,2.5297,2.5472,46218.358960377605,18144.7703205
1657756800000,2022-07-14 00:00:00,SNX/USD,2.5173,2.792,2.513,2.7088,43613.380665524775,16100.627829860001
1657670400000,2022-07-13 00:00:00,SNX/USD,2.3174,2.5573,2.212,2.5178,100595.2076207468,39953.61332145
1657584000000,2022-07-12 00:00:00,SNX/USD,2.3164,2.475,2.3107,2.3246,19708.630618721647,8478.28900401
1657497600000,2022-07-11 00:00:00,SNX/USD,2.4464,2.4888,2.2772,2.3092,17507.829888519827,7581.77286009
1657411200000,2022-07-10 00:00:00,SNX/USD,2.5949,2.6432,2.3921,2.449,9839.28737897005,4017.67553245
1657324800000,2022-07-09 00:00:00,SNX/USD,2.5094,2.6539,2.5094,2.6018,7769.923427571812,2986.36460434
1657238400000,2022-07-08 00:00:00,SNX/USD,2.6684,2.7236,2.4834,2.4991,9019.086805580395,3608.93393845
1657152000000,2022-07-07 00:00:00,SNX/USD,2.6129,2.8,2.5915,2.6641,18736.957488646116,7033.12844437
1657065600000,2022-07-06 00:00:00,SNX/USD,2.6508,2.7788,2.5605,2.6147,30015.77941098809,11479.62650055
1656979200000,2022-07-05 00:00:00,SNX/USD,2.8437,2.8437,2.5343,2.6478,37278.7948751933,14079.15812191
1656892800000,2022-07-04 00:00:00,SNX/USD,2.5951,2.9504,2.4908,2.8518,47187.778898367455,16546.66487775
1656806400000,2022-07-03 00:00:00,SNX/USD,2.606,2.8242,2.5737,2.5846,35988.76067130213,13924.30576155
1656720000000,2022-07-02 00:00:00,SNX/USD,2.2251,2.6454,2.2093,2.6048,41591.82917123872,15967.37913515
1656633600000,2022-07-01 00:00:00,SNX/USD,2.2824,2.3284,2.1608,2.2193,7872.847424652777,3547.44623289
1656547200000,2022-06-30 00:00:00,SNX/USD,2.3717,2.4011,2.1049,2.28,35920.4783139444,15754.59575173
1656460800000,2022-06-29 00:00:00,SNX/USD,2.4872,2.7,2.3717,2.3736,21147.41641374053,8909.42720498
1656374400000,2022-06-28 00:00:00,SNX/USD,2.4302,2.5907,2.2906,2.5023,45655.72822722956,18245.5054259
1656288000000,2022-06-27 00:00:00,SNX/USD,2.6814,2.7994,2.4121,2.4282,24608.43303160991,10134.43416177
1656201600000,2022-06-26 00:00:00,SNX/USD,2.8655,2.9922,2.6619,2.6705,8110.91898676836,3037.22860392
1656115200000,2022-06-25 00:00:00,SNX/USD,3.0365,3.066,2.7857,2.8689,23208.150596361338,8089.56415224
1656028800000,2022-06-24 00:00:00,SNX/USD,3.0995,3.3,2.9597,3.0335,32521.110431358687,10720.65615011
1655942400000,2022-06-23 00:00:00,SNX/USD,2.9692,3.2286,2.9417,3.1113,51679.68549517942,16610.31899694
1655856000000,2022-06-22 00:00:00,SNX/USD,3.1745,3.6297,2.9602,2.9649,93115.80080137325,31406.05106458
1655769600000,2022-06-21 00:00:00,SNX/USD,3.2346,3.2975,2.8838,3.1148,70950.90374840972,22778.638676130002
1655683200000,2022-06-20 00:00:00,SNX/USD,2.0796,3.4307,1.9712,3.2409,206048.9060739233,63577.68091392
1655596800000,2022-06-19 00:00:00,SNX/USD,1.5469,2.1669,1.485,2.0852,130433.59213374203,62552.0775627
1655510400000,2022-06-18 00:00:00,SNX/USD,1.7135,1.7439,1.4289,1.5522,21261.414539525704,13697.59988373
1655424000000,2022-06-17 00:00:00,SNX/USD,1.733,1.8081,1.703,1.7131,23272.916362302014,13585.26435252
1655337600000,2022-06-16 00:00:00,SNX/USD,1.9632,2.012,1.721,1.7477,18106.456132292547,10360.16257498
1655251200000,2022-06-15 00:00:00,SNX/USD,1.8478,1.9876,1.6313,1.9564,36047.76457439978,18425.55948395
