https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SOL
1659571200000,2022-08-04 00:00:00,SOL/USD,38.52,39.061,38.445,38.959,84122.70457441879,2159.26241881
1659484800000,2022-08-03 00:00:00,SOL/USD,39.751,41.01,37.454,38.601,4777839.850296862,123775.02785671
1659398400000,2022-08-02 00:00:00,SOL/USD,41.655,42.438,39.484,39.755,1577541.405067719,39681.5848338
1659312000000,2022-08-01 00:00:00,SOL/USD,42.318,43.25,40.58,41.655,2059187.129575732,49434.33272298
1659225600000,2022-07-31 00:00:00,SOL/USD,43.837,45.131,42.21,42.411,1533162.6998362073,36150.11906902
1659139200000,2022-07-30 00:00:00,SOL/USD,41.93,46.66,41.413,43.837,2455936.345635746,56024.27961849
1659052800000,2022-07-29 00:00:00,SOL/USD,42.933,44.442,41.155,41.892,1951600.1722893282,46586.46453474
1658966400000,2022-07-28 00:00:00,SOL/USD,40.24,44.16,39.03,42.927,3068976.5753654577,71492.91996565
1658880000000,2022-07-27 00:00:00,SOL/USD,36.295,40.487,35.687,40.223,1849337.8949685423,45977.12490288
1658793600000,2022-07-26 00:00:00,SOL/USD,36.674,36.827,34.668,36.355,1573373.3085860398,43278.04452169
1658707200000,2022-07-25 00:00:00,SOL/USD,40.934,41.084,36.548,36.607,2438347.5564728314,66608.77855254
1658620800000,2022-07-24 00:00:00,SOL/USD,39.957,42.092,39.461,40.963,1339753.804776145,32706.43763338
1658534400000,2022-07-23 00:00:00,SOL/USD,40.523,41.95,38.6,39.957,1928415.8136225883,48262.27728865
1658448000000,2022-07-22 00:00:00,SOL/USD,43.1,44.306,40.048,40.518,2812372.795440319,69410.45450023
1658361600000,2022-07-21 00:00:00,SOL/USD,41.983,44.066,39.626,43.109,3099198.7006465006,71892.15014606
1658275200000,2022-07-20 00:00:00,SOL/USD,44.863,46.336,41.285,41.984,2679016.852129321,63810.42425994
1658188800000,2022-07-19 00:00:00,SOL/USD,43.56,47.69,42.521,44.891,5487737.3133930545,122245.82462839
1658102400000,2022-07-18 00:00:00,SOL/USD,38.583,44.041,38.548,43.485,3680389.275077379,84635.83477239
1658016000000,2022-07-17 00:00:00,SOL/USD,39.625,41.115,38.278,38.596,1448390.2667812651,37526.95270964
1657929600000,2022-07-16 00:00:00,SOL/USD,37.366,40.455,36.347,39.659,1791920.5595206546,45183.20077462
1657843200000,2022-07-15 00:00:00,SOL/USD,37.137,39.11,36.508,37.396,1029141.7422040245,27520.1022089
1657756800000,2022-07-14 00:00:00,SOL/USD,34.915,37.3,33.552,37.129,2619526.071045783,70552.02324452
1657670400000,2022-07-13 00:00:00,SOL/USD,32.651,35.053,31.8,34.97,2585100.6140410034,73923.38044155
1657584000000,2022-07-12 00:00:00,SOL/USD,33.397,34.557,32.546,32.618,1220647.5399587469,37422.51333493
1657497600000,2022-07-11 00:00:00,SOL/USD,36.7,36.73,33.222,33.444,1266580.0796755785,37871.66845101
1657411200000,2022-07-10 00:00:00,SOL/USD,37.994,38.075,36.267,36.703,1066846.519522841,29067.01140296
1657324800000,2022-07-09 00:00:00,SOL/USD,38.07,38.92,37.791,38.069,677935.5591045123,17808.07373728
1657238400000,2022-07-08 00:00:00,SOL/USD,38.444,39.679,36.444,38.146,2725051.3803720814,71437.40838809
1657152000000,2022-07-07 00:00:00,SOL/USD,37.035,39.2,36.38,38.495,1443829.5720780445,37506.93783811
1657065600000,2022-07-06 00:00:00,SOL/USD,35.388,37.601,34.791,37.034,1721774.015245555,46491.71073191
1656979200000,2022-07-05 00:00:00,SOL/USD,36.731,36.97,33.1,35.445,2528743.989912396,71342.75609853
1656892800000,2022-07-04 00:00:00,SOL/USD,33.342,36.947,32.438,36.671,1998436.865012875,54496.38310962
1656806400000,2022-07-03 00:00:00,SOL/USD,33.33,33.71,32.132,33.412,617785.7219179176,18489.93540997
1656720000000,2022-07-02 00:00:00,SOL/USD,32.862,34.159,31.859,33.321,1161204.6463894127,34849.03353409
1656633600000,2022-07-01 00:00:00,SOL/USD,33.776,35.362,31.859,32.883,2255967.016947429,68605.87589172
1656547200000,2022-06-30 00:00:00,SOL/USD,34.058,34.21,30.869,33.869,3040519.2866110415,89772.92765098
1656460800000,2022-06-29 00:00:00,SOL/USD,35.304,36.119,33.08,34.069,2849547.1234966954,83640.4685637
1656374400000,2022-06-28 00:00:00,SOL/USD,38.46,39.9,35.047,35.308,2896839.4989035428,82044.84816199
1656288000000,2022-06-27 00:00:00,SOL/USD,39.4,41.25,37.872,38.46,4556984.293486025,118486.33108388
1656201600000,2022-06-26 00:00:00,SOL/USD,42.199,42.644,39.21,39.458,2851843.887248644,72275.42924752
1656115200000,2022-06-25 00:00:00,SOL/USD,41.895,42.611,39.731,42.258,1784167.9463345676,42220.83265499
1656028800000,2022-06-24 00:00:00,SOL/USD,38.118,42.907,37.65,41.921,7888755.925996894,188181.48245502
1655942400000,2022-06-23 00:00:00,SOL/USD,34.066,38.577,33.85,38.063,2913898.118971045,76554.60996167
1655856000000,2022-06-22 00:00:00,SOL/USD,36.39,36.769,33.583,34.068,3417964.659161144,100327.71689447999
1655769600000,2022-06-21 00:00:00,SOL/USD,35.233,39.19,34.21,36.289,3824525.275431768,105390.75960847
1655683200000,2022-06-20 00:00:00,SOL/USD,34.15,36.83,31.722,35.233,7175006.9524029335,203644.50805787
1655596800000,2022-06-19 00:00:00,SOL/USD,31.994,35.39,28.695,34.204,5096336.083886253,148998.24827173
1655510400000,2022-06-18 00:00:00,SOL/USD,30.618,32.04,27.129,32.009,7473961.668396059,233495.63149102
1655424000000,2022-06-17 00:00:00,SOL/USD,30.099,32.149,29.264,30.629,3494835.1827995526,114102.16405366
1655337600000,2022-06-16 00:00:00,SOL/USD,34.757,36.0,29.562,29.998,4509222.137590904,150317.42574808
1655251200000,2022-06-15 00:00:00,SOL/USD,29.592,34.96,26.766,34.756,5344170.647714004,153762.53446064
1655164800000,2022-06-14 00:00:00,SOL/USD,28.656,32.222,25.82,29.558,5403716.636812458,182817.397551
1655078400000,2022-06-13 00:00:00,SOL/USD,30.645,31.169,26.12,28.66,7825039.224606076,273029.97992345
1654992000000,2022-06-12 00:00:00,SOL/USD,33.891,34.56,30.621,30.63,3828205.285295648,124982.21630087
1654905600000,2022-06-11 00:00:00,SOL/USD,37.169,37.959,33.176,33.916,2186027.609384645,64454.16940042
1654819200000,2022-06-10 00:00:00,SOL/USD,39.947,40.953,36.804,37.174,2794333.6688632322,75169.03397168
1654732800000,2022-06-09 00:00:00,SOL/USD,38.903,41.955,38.5,39.986,1985479.382006716,49654.36357742
1654646400000,2022-06-08 00:00:00,SOL/USD,39.343,40.959,38.306,38.907,1906239.0974503176,48994.75923228
1654560000000,2022-06-07 00:00:00,SOL/USD,42.37,42.721,37.119,39.322,9016473.165734155,229298.43766172
1654473600000,2022-06-06 00:00:00,SOL/USD,38.544,44.821,38.362,42.396,5518710.775881228,130170.55325694
1654387200000,2022-06-05 00:00:00,SOL/USD,39.022,40.251,37.83,38.528,2936328.3113349965,76212.84030666
1654300800000,2022-06-04 00:00:00,SOL/USD,38.338,39.569,35.734,39.0,3360404.6371155004,86164.2214645
1654214400000,2022-06-03 00:00:00,SOL/USD,40.882,41.562,37.671,38.316,2454214.9805125217,64051.96211798
1654128000000,2022-06-02 00:00:00,SOL/USD,40.154,41.65,38.21,40.911,3687248.7201905358,90128.54049499
1654041600000,2022-06-01 00:00:00,SOL/USD,45.785,46.067,39.55,40.158,3748429.817994785,93342.04437459
1653955200000,2022-05-31 00:00:00,SOL/USD,47.21,48.235,44.567,45.747,3370823.251136233,73684.02848572
1653868800000,2022-05-30 00:00:00,SOL/USD,44.986,48.391,44.255,47.259,5434136.348818091,114986.27454703
1653782400000,2022-05-29 00:00:00,SOL/USD,44.243,45.681,41.84,44.975,3990533.9419603543,88727.82527983
1653696000000,2022-05-28 00:00:00,SOL/USD,41.178,45.096,40.348,44.243,2909204.647238532,65755.13973371
1653609600000,2022-05-27 00:00:00,SOL/USD,43.474,43.918,39.96,41.09,6162618.646638713,149978.55066047
1653523200000,2022-05-26 00:00:00,SOL/USD,48.147,48.638,41.636,43.38,6602110.325680275,152192.49252375
1653436800000,2022-05-25 00:00:00,SOL/USD,49.53,50.552,47.543,47.969,1074631.5275376402,22402.6251858
1653350400000,2022-05-24 00:00:00,SOL/USD,49.119,50.834,47.053,49.649,1750316.5376937697,35253.81251775
1653264000000,2022-05-23 00:00:00,SOL/USD,52.416,54.629,48.592,49.07,5383913.856412622,109719.05148589
1653177600000,2022-05-22 00:00:00,SOL/USD,50.339,53.138,49.674,52.473,3587946.3872760227,68377.00126305
1653091200000,2022-05-21 00:00:00,SOL/USD,49.504,51.245,48.381,50.32,1852851.2458615198,36821.368161
1653004800000,2022-05-20 00:00:00,SOL/USD,52.164,53.614,47.775,49.419,3319447.908791234,67169.46738686
1652918400000,2022-05-19 00:00:00,SOL/USD,49.902,54.276,48.123,52.162,3594755.648835582,68915.218911
1652832000000,2022-05-18 00:00:00,SOL/USD,57.034,57.83,49.32,49.825,4038659.665407958,81056.89243167
1652745600000,2022-05-17 00:00:00,SOL/USD,53.83,58.178,52.974,57.053,3010607.72380976,52768.61381189
1652659200000,2022-05-16 00:00:00,SOL/USD,58.751,58.751,51.851,53.767,6200569.320629567,115322.95498409
1652572800000,2022-05-15 00:00:00,SOL/USD,52.468,59.279,49.677,58.804,8328015.8043838125,141623.28760601
1652486400000,2022-05-14 00:00:00,SOL/USD,48.988,53.843,45.882,52.471,4090146.449306598,77950.60984747
1652400000000,2022-05-13 00:00:00,SOL/USD,44.689,56.449,43.931,48.961,6111080.130418763,124815.26378993
1652313600000,2022-05-12 00:00:00,SOL/USD,50.968,54.412,37.049,44.643,26716524.9300812,598448.24339944
1652227200000,2022-05-11 00:00:00,SOL/USD,66.98,68.578,43.333,50.998,18989792.305416785,372363.47122273
1652140800000,2022-05-10 00:00:00,SOL/USD,62.522,74.035,60.211,66.769,7140927.978168559,106949.75180351
1652054400000,2022-05-09 00:00:00,SOL/USD,75.563,77.315,61.641,62.318,6504935.7592348,104382.93525522
1651968000000,2022-05-08 00:00:00,SOL/USD,78.904,79.465,73.792,75.587,1988623.5814346997,26309.06877419
1651881600000,2022-05-07 00:00:00,SOL/USD,81.722,82.323,77.163,78.853,1197117.2673616398,15181.63249796
1651795200000,2022-05-06 00:00:00,SOL/USD,84.579,84.74,80.001,81.666,1185104.4580540853,14511.6016219
1651708800000,2022-05-05 00:00:00,SOL/USD,92.79,95.257,81.368,84.496,3926724.1603305545,46472.30827886
1651622400000,2022-05-04 00:00:00,SOL/USD,85.941,93.0,85.453,92.83,2099431.8257647827,22615.87661063
1651536000000,2022-05-03 00:00:00,SOL/USD,87.506,88.817,84.66,85.914,1077624.0479494997,12543.0552407
1651449600000,2022-05-02 00:00:00,SOL/USD,89.804,90.954,85.16,87.542,2069687.1541956244,23642.2192113
1651363200000,2022-05-01 00:00:00,SOL/USD,84.676,93.239,84.129,89.704,6198178.662860951,69095.90054915
1651276800000,2022-04-30 00:00:00,SOL/USD,94.035,94.988,82.0,84.748,3333564.1772150467,39335.01884664
1651190400000,2022-04-29 00:00:00,SOL/USD,98.281,98.684,92.421,93.96,1466483.7448686995,15607.53240601
1651104000000,2022-04-28 00:00:00,SOL/USD,98.359,100.57,96.493,98.223,1389094.820675547,14142.25609761
1651017600000,2022-04-27 00:00:00,SOL/USD,95.716,100.83,94.931,98.351,1658209.9582420753,16860.12301087
1650931200000,2022-04-26 00:00:00,SOL/USD,101.15,102.07,94.63,95.794,1815397.656865827,18951.05807113
1650844800000,2022-04-25 00:00:00,SOL/USD,99.492,101.62,94.418,101.02,3383552.9885579958,33493.89218529
1650758400000,2022-04-24 00:00:00,SOL/USD,100.69,102.23,98.577,99.317,1056688.5024987317,10639.55317316
1650672000000,2022-04-23 00:00:00,SOL/USD,100.57,102.98,98.083,100.55,1725669.4334403544,17162.30167519
1650585600000,2022-04-22 00:00:00,SOL/USD,101.86,103.57,99.38,100.51,1841368.1722462233,18320.24845534
1650499200000,2022-04-21 00:00:00,SOL/USD,105.57,109.97,100.0,101.82,3613722.2805532413,35491.28148255
1650412800000,2022-04-20 00:00:00,SOL/USD,108.6,110.94,104.35,105.61,3618172.3767074966,34259.75169688
1650326400000,2022-04-19 00:00:00,SOL/USD,102.43,108.88,101.08,108.85,3029810.296190331,27834.72940919
1650240000000,2022-04-18 00:00:00,SOL/USD,100.17,102.62,94.71,102.41,3663429.467474222,35772.18501586
1650153600000,2022-04-17 00:00:00,SOL/USD,102.15,105.51,99.757,100.4,2302730.618274816,22935.56392704
1650067200000,2022-04-16 00:00:00,SOL/USD,101.45,103.54,100.8,102.19,1301473.7860221888,12735.82332931
1649980800000,2022-04-15 00:00:00,SOL/USD,100.75,102.92,99.551,101.42,2112672.378397524,20830.92465389
1649894400000,2022-04-14 00:00:00,SOL/USD,104.71,107.68,98.862,100.76,3040824.546320907,30178.88593014
1649808000000,2022-04-13 00:00:00,SOL/USD,103.34,106.05,100.17,104.84,3089349.7735175085,29467.281319319998
1649721600000,2022-04-12 00:00:00,SOL/USD,99.71,109.31,98.486,103.27,5809929.730833294,56259.60812272
1649635200000,2022-04-11 00:00:00,SOL/USD,111.12,111.95,98.165,99.369,5818903.883218541,58558.54324003
1649548800000,2022-04-10 00:00:00,SOL/USD,113.16,116.17,109.89,111.21,3223169.954527934,28982.73495664
1649462400000,2022-04-09 00:00:00,SOL/USD,109.93,113.52,108.44,112.83,1959149.5852808312,17363.72937411
1649376000000,2022-04-08 00:00:00,SOL/USD,118.48,122.36,108.17,110.07,5010412.142689493,45520.23387562
1649289600000,2022-04-07 00:00:00,SOL/USD,112.94,119.95,111.01,118.58,5557570.895643259,46867.69181686
1649203200000,2022-04-06 00:00:00,SOL/USD,126.85,127.4,112.24,113.13,12124951.036522044,107177.15050404
1649116800000,2022-04-05 00:00:00,SOL/USD,132.18,136.68,126.1,126.8,4748572.065060972,37449.30650679
1649030400000,2022-04-04 00:00:00,SOL/USD,136.86,138.31,126.0,132.11,7820291.263225784,59195.30136421
1648944000000,2022-04-03 00:00:00,SOL/USD,132.56,141.07,130.72,136.69,12240806.211072102,89551.58542009
1648857600000,2022-04-02 00:00:00,SOL/USD,134.61,143.5,131.48,132.46,7285464.829226358,55001.24436982
1648771200000,2022-04-01 00:00:00,SOL/USD,122.85,139.41,117.69,134.65,19448154.571322262,144434.86499311
