https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume STJ
1659571200000,2022-08-04 00:00:00,STJ/USD,0.65571,0.66617,0.65571,0.66285,87.6213765379575,132.18884595
1659484800000,2022-08-03 00:00:00,STJ/USD,0.65925,0.67975,0.63921,0.65509,2907.423499805498,4438.20467387
1659398400000,2022-08-02 00:00:00,STJ/USD,0.71337,0.71875,0.64708,0.65636,14807.856535423913,22560.57123442
1659312000000,2022-08-01 00:00:00,STJ/USD,0.68772,0.77583,0.68772,0.71092,8110.747518567938,11408.80481428
1659225600000,2022-07-31 00:00:00,STJ/USD,0.67481,0.77604,0.6632,0.68667,18992.72237266166,27659.17015839
1659139200000,2022-07-30 00:00:00,STJ/USD,0.66886,0.73013,0.66528,0.67838,17322.461643544022,25535.04178122
1659052800000,2022-07-29 00:00:00,STJ/USD,0.67484,0.68899,0.65063,0.6697,4185.4573399955725,6249.74964909
1658966400000,2022-07-28 00:00:00,STJ/USD,0.64823,0.70252,0.62494,0.67339,13598.904306078291,20194.69298041
1658880000000,2022-07-27 00:00:00,STJ/USD,0.60524,0.65458,0.5891,0.65458,4254.180446324128,6499.09934053
1658793600000,2022-07-26 00:00:00,STJ/USD,0.59889,0.60735,0.57986,0.60735,2476.5630291985885,4077.65378974
1658707200000,2022-07-25 00:00:00,STJ/USD,0.6569,0.67246,0.5971,0.59799,11824.053306588798,19772.99504438
1658620800000,2022-07-24 00:00:00,STJ/USD,0.66409,0.67447,0.65131,0.6575,9098.043239248474,13837.32812053
1658534400000,2022-07-23 00:00:00,STJ/USD,0.64807,0.68128,0.64059,0.66198,4933.459561535947,7452.5809866399995
1658448000000,2022-07-22 00:00:00,STJ/USD,0.67137,0.68237,0.63904,0.64809,2918.6490882292383,4503.4626182
1658361600000,2022-07-21 00:00:00,STJ/USD,0.66752,0.67945,0.63102,0.67309,20315.498872274733,30182.44049425
1658275200000,2022-07-20 00:00:00,STJ/USD,0.71119,0.7535,0.65838,0.66852,12713.994478972229,19018.12134113
1658188800000,2022-07-19 00:00:00,STJ/USD,0.69246,0.72224,0.66994,0.71291,4410.359811943635,6186.41877929
1658102400000,2022-07-18 00:00:00,STJ/USD,0.66341,0.71189,0.66128,0.69825,27795.653477834603,39807.59538537
1658016000000,2022-07-17 00:00:00,STJ/USD,0.6889,0.71335,0.66186,0.66384,13666.404050834644,20586.89450897
1657929600000,2022-07-16 00:00:00,STJ/USD,0.68416,0.69336,0.65437,0.6889,11747.510108391029,17052.56221279
1657843200000,2022-07-15 00:00:00,STJ/USD,0.6472,0.70687,0.64676,0.6857,7844.8303754974695,11440.6159771
1657756800000,2022-07-14 00:00:00,STJ/USD,0.63856,0.6527,0.60561,0.64637,2844.877920458011,4401.31491322
1657670400000,2022-07-13 00:00:00,STJ/USD,0.60812,0.64243,0.56725,0.63699,7219.996670451796,11334.55261535
1657584000000,2022-07-12 00:00:00,STJ/USD,0.638,0.65423,0.60805,0.60805,8096.311033248291,13315.20604103
1657497600000,2022-07-11 00:00:00,STJ/USD,0.68015,0.70916,0.63211,0.6432,5449.992696684191,8473.24735181
1657411200000,2022-07-10 00:00:00,STJ/USD,0.73281,0.73449,0.67569,0.68182,8878.771857675452,13022.16399882
1657324800000,2022-07-09 00:00:00,STJ/USD,0.7492,0.75581,0.7141,0.7313,7335.340900387427,10030.54956979
1657238400000,2022-07-08 00:00:00,STJ/USD,0.79771,0.80286,0.73451,0.74567,13242.024059819143,17758.55815551
1657152000000,2022-07-07 00:00:00,STJ/USD,0.70796,0.82152,0.70796,0.8,19587.557191352,24484.44648919
1657065600000,2022-07-06 00:00:00,STJ/USD,0.63828,0.70424,0.62615,0.70424,4460.121252564298,6333.24044724
1656979200000,2022-07-05 00:00:00,STJ/USD,0.66614,0.71146,0.62418,0.64054,6919.170679265609,10802.08992298
1656892800000,2022-07-04 00:00:00,STJ/USD,0.65134,0.67344,0.61721,0.66998,4090.38581863417,6105.23570649
1656806400000,2022-07-03 00:00:00,STJ/USD,0.67344,0.67344,0.63644,0.65103,2495.8526526335495,3833.69837432
1656720000000,2022-07-02 00:00:00,STJ/USD,0.65461,0.70981,0.64346,0.6743,5887.601495428906,8731.42739942
1656633600000,2022-07-01 00:00:00,STJ/USD,0.69253,0.71518,0.63813,0.65018,5107.963751878122,7856.23020068
1656547200000,2022-06-30 00:00:00,STJ/USD,0.72133,0.72354,0.63877,0.7009,6925.763076655607,9881.24279734
1656460800000,2022-06-29 00:00:00,STJ/USD,0.74244,0.83219,0.70881,0.72119,13779.322154890833,19106.36885549
1656374400000,2022-06-28 00:00:00,STJ/USD,0.78618,0.8442,0.72323,0.74512,8384.853206913058,11253.02395173
1656288000000,2022-06-27 00:00:00,STJ/USD,0.83891,0.83891,0.75932,0.78752,19363.789791510928,24588.31495265
1656201600000,2022-06-26 00:00:00,STJ/USD,0.91566,0.91911,0.81877,0.83314,22441.759742145914,26936.36092631
1656115200000,2022-06-25 00:00:00,STJ/USD,0.98709,0.98709,0.87513,0.91802,23171.34414628615,25240.56572437
1656028800000,2022-06-24 00:00:00,STJ/USD,0.93872,0.99658,0.88001,0.97956,25703.80376890209,26240.15248571
1655942400000,2022-06-23 00:00:00,STJ/USD,0.61511,0.97297,0.61511,0.93496,41517.494652438894,44405.6373026
1655856000000,2022-06-22 00:00:00,STJ/USD,0.76688,0.76688,0.61457,0.61632,6218.124435840729,10089.11675078
1655769600000,2022-06-21 00:00:00,STJ/USD,0.64118,0.77399,0.64108,0.71493,85984.74059286641,120270.15315186999
1655683200000,2022-06-20 00:00:00,STJ/USD,0.52891,0.65179,0.52891,0.64027,34658.978910628364,54131.81768727
1655596800000,2022-06-19 00:00:00,STJ/USD,0.43156,0.58841,0.43135,0.52891,47398.85827521896,89616.11290242
