https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume TSD
1659571200000,2022-08-04 00:00:00,TSD/USD,0.99942,1.0,0.99939,1.0,59.20769082,59.20769082
1659484800000,2022-08-03 00:00:00,TSD/USD,0.9995,1.0005,0.99911,0.99945,2526.2095615122466,2527.59974137
1659398400000,2022-08-02 00:00:00,TSD/USD,0.9992,1.0006,0.99872,1.0002,1933.2569692690379,1932.87039519
1659312000000,2022-08-01 00:00:00,TSD/USD,0.99979,1.0007,0.99871,0.9993,1955.1668285571718,1956.53640404
1659225600000,2022-07-31 00:00:00,TSD/USD,0.9994,1.0005,0.99893,0.9998,1934.3247341846961,1934.71167652
1659139200000,2022-07-30 00:00:00,TSD/USD,1.0004,1.0009,0.99847,0.9993,1907.9464490070511,1909.28294707
1659052800000,2022-07-29 00:00:00,TSD/USD,1.0006,1.0008,0.99829,1.0004,52015.49370184941,51994.69582352
1658966400000,2022-07-28 00:00:00,TSD/USD,0.99999,1.0009,0.99855,1.0005,1932.25790118753,1931.2922550600001
1658880000000,2022-07-27 00:00:00,TSD/USD,1.0003,1.0011,0.99882,0.99902,4870.414493671631,4875.192182010001
1658793600000,2022-07-26 00:00:00,TSD/USD,0.99913,1.0008,0.99902,1.0003,1578.678693059447,1578.20523149
1658707200000,2022-07-25 00:00:00,TSD/USD,1.0004,1.0007,0.99871,1.0003,1943.5954607270878,1943.01255696
1658620800000,2022-07-24 00:00:00,TSD/USD,0.99949,1.0008,0.99917,0.9994,1885.137920650524,1886.26968246
1658534400000,2022-07-23 00:00:00,TSD/USD,0.99958,1.0008,0.99921,0.9995,1158.4079218122401,1158.98741552
1658448000000,2022-07-22 00:00:00,TSD/USD,1.0006,1.0008,0.99889,1.0005,3932.9865522608698,3931.02104174
1658361600000,2022-07-21 00:00:00,TSD/USD,0.99899,1.0011,0.99874,0.99942,2007.085057241553,2008.24984215
1658275200000,2022-07-20 00:00:00,TSD/USD,1.0001,1.0005,0.99843,0.99899,2010.8700026849026,2012.90303475
1658188800000,2022-07-19 00:00:00,TSD/USD,1.0006,1.0009,0.99867,1.0002,2121.5072448556502,2121.08302825
1658102400000,2022-07-18 00:00:00,TSD/USD,1.0005,1.0015,0.99844,1.0007,11010.955652382514,11003.25337502
1658016000000,2022-07-17 00:00:00,TSD/USD,1.0005,1.0013,0.99901,1.0005,3930.5059677384447,3928.54169689
1657929600000,2022-07-16 00:00:00,TSD/USD,1.0001,1.0012,0.99921,1.0005,551.4910683903299,551.21546066
1657843200000,2022-07-15 00:00:00,TSD/USD,0.99932,1.0008,0.99868,1.0001,1587.8462242655519,1587.68745552
1657756800000,2022-07-14 00:00:00,TSD/USD,1.001,1.0013,0.99865,1.0004,1695.4723871777558,1694.79446939
1657670400000,2022-07-13 00:00:00,TSD/USD,1.0009,1.0013,0.99826,1.001,7414.86302424868,7407.45556868
1657584000000,2022-07-12 00:00:00,TSD/USD,1.0005,1.0012,0.99829,0.99857,3227.8201490550973,3232.44254189
1657497600000,2022-07-11 00:00:00,TSD/USD,1.0005,1.0015,0.99916,1.0005,1401.879302526585,1401.17871317
1657411200000,2022-07-10 00:00:00,TSD/USD,1.0005,1.0014,0.99961,1.0005,1979.6797633890899,1978.69041818
1657324800000,2022-07-09 00:00:00,TSD/USD,1.0006,1.001,0.99886,1.0006,3232.880234681808,3230.94166968
1657238400000,2022-07-08 00:00:00,TSD/USD,0.99926,1.001,0.99796,1.0005,2774.813215441095,2773.42650219
1657152000000,2022-07-07 00:00:00,TSD/USD,1.001,1.0011,0.99891,0.99997,2057.5332242314375,2057.59495208
1657065600000,2022-07-06 00:00:00,TSD/USD,1.0,1.0014,0.9989,1.0003,3773.3729870944103,3772.2413147
1656979200000,2022-07-05 00:00:00,TSD/USD,1.0012,1.0014,0.99851,1.0007,3388.9097319281636,3386.53915452
1656892800000,2022-07-04 00:00:00,TSD/USD,1.0007,1.0017,0.99971,1.0009,4095.5789018657606,4091.89619529
1656806400000,2022-07-03 00:00:00,TSD/USD,1.0004,1.0018,1.0001,1.0008,1247.029016962968,1246.03219121
1656720000000,2022-07-02 00:00:00,TSD/USD,1.0018,1.0018,0.99944,1.0004,1982.31119578534,1981.51858835
1656633600000,2022-07-01 00:00:00,TSD/USD,1.0005,1.0021,0.99933,1.0018,2498.885797663126,2494.39588507
1656547200000,2022-06-30 00:00:00,TSD/USD,1.0007,1.0017,0.99935,1.0005,1800.60912235386,1799.70926772
1656460800000,2022-06-29 00:00:00,TSD/USD,1.0008,1.0017,0.99937,1.0008,2441.8722943564558,2439.92035807
