https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UDC
1659484800000,2022-08-03 00:00:00,UDC/USD,1.0,1.025,0.99983,1.0,474891.94577175,474891.94577175
1659398400000,2022-08-02 00:00:00,UDC/USD,0.99984,1.0,0.99972,1.0,437849.66298042,437849.66298042
1659312000000,2022-08-01 00:00:00,UDC/USD,0.99963,0.9999,0.99949,0.99984,197144.06489073177,197175.61298881
1659225600000,2022-07-31 00:00:00,UDC/USD,0.99999,1.0,0.99949,0.99963,137074.58056450525,137125.31693177
1659139200000,2022-07-30 00:00:00,UDC/USD,0.99961,1.0,0.99949,0.99999,37672.41699682275,37672.79372476
1659052800000,2022-07-29 00:00:00,UDC/USD,0.99982,1.0,0.9993,0.99999,318708.86965183227,318712.0567724
1658966400000,2022-07-28 00:00:00,UDC/USD,1.0,1.0,0.9993,0.99999,1147400.4275275934,1147411.90164661
1658880000000,2022-07-27 00:00:00,UDC/USD,1.0001,1.0007,0.9996,0.9996,68412.7277329802,68440.10377449
1658793600000,2022-07-26 00:00:00,UDC/USD,0.99991,1.0009,0.99954,1.0007,776472.4621690256,775929.31165087
1658707200000,2022-07-25 00:00:00,UDC/USD,1.0,1.001,0.9992,1.0005,848110.8408255634,847686.9973269
1658620800000,2022-07-24 00:00:00,UDC/USD,1.0005,1.0008,0.99951,1.0002,44365.77404113212,44356.902660600004
1658534400000,2022-07-23 00:00:00,UDC/USD,0.99983,1.0008,0.99952,0.99959,82340.80475499383,82374.57833211
1658448000000,2022-07-22 00:00:00,UDC/USD,1.0,1.0251,0.9995,1.0001,1536534.466172599,1536380.82808979
1658361600000,2022-07-21 00:00:00,UDC/USD,1.0001,1.0005,1.0,1.0001,145117.40761759278,145102.89732786
1658275200000,2022-07-20 00:00:00,UDC/USD,1.0001,1.0006,0.9997,1.0,134787.6605709,134787.6605709
1658188800000,2022-07-19 00:00:00,UDC/USD,1.0004,1.0006,1.0,1.0001,408767.26603454957,408726.39339521003
1658102400000,2022-07-18 00:00:00,UDC/USD,1.0002,1.0004,1.0,1.0,512268.03909632,512268.03909632
1658016000000,2022-07-17 00:00:00,UDC/USD,1.0002,1.0003,1.0,1.0,45236.641249860004,45236.641249860004
1657929600000,2022-07-16 00:00:00,UDC/USD,0.9999,1.0005,0.9996,1.0003,275763.9433885551,275681.23901685
1657843200000,2022-07-15 00:00:00,UDC/USD,1.0,1.0003,0.9996,0.9999,178990.9479602155,179008.8488451
1657756800000,2022-07-14 00:00:00,UDC/USD,1.0,1.0005,0.9996,1.0,1328391.81383924,1328391.81383924
1657670400000,2022-07-13 00:00:00,UDC/USD,0.9998,1.0005,0.9996,1.0,508769.16756741,508769.16756741
1657584000000,2022-07-12 00:00:00,UDC/USD,1.0002,1.0003,0.9996,0.9998,281996.8525898715,282053.26324252
1657497600000,2022-07-11 00:00:00,UDC/USD,1.0002,1.0019,0.9996,1.0003,6369761.804028298,6367851.44859372
1657411200000,2022-07-10 00:00:00,UDC/USD,1.0004,1.0004,0.9996,1.0003,54857.94755472185,54841.49510619
1657324800000,2022-07-09 00:00:00,UDC/USD,0.9998,1.0004,0.9996,1.0003,130212.12031658881,130173.06839607
1657238400000,2022-07-08 00:00:00,UDC/USD,1.0001,1.0008,0.9996,0.9998,3187060.588194236,3187698.1278198
1657152000000,2022-07-07 00:00:00,UDC/USD,1.0,1.0001,1.0,1.0001,1069952.86928992,1069845.88470145
1657065600000,2022-07-06 00:00:00,UDC/USD,1.0001,1.0007,1.0,1.0001,205448.94606956292,205428.40322924
1656979200000,2022-07-05 00:00:00,UDC/USD,1.0003,1.0007,1.0001,1.0001,354141.7454858152,354106.33485233
1656892800000,2022-07-04 00:00:00,UDC/USD,1.0007,1.0007,1.0,1.0001,150357.99763229358,150342.96333596
1656806400000,2022-07-03 00:00:00,UDC/USD,1.0003,1.0007,1.0,1.0005,516393.0201212024,516134.95264488
1656720000000,2022-07-02 00:00:00,UDC/USD,1.0007,1.0008,1.0001,1.0002,548396.1582287557,548286.50092857
1656633600000,2022-07-01 00:00:00,UDC/USD,1.0004,1.0008,1.0,1.0007,1385807.1595748034,1384837.77313361
1656547200000,2022-06-30 00:00:00,UDC/USD,1.0007,1.0008,1.0,1.0004,1167286.6706723883,1166819.94269531
1656460800000,2022-06-29 00:00:00,UDC/USD,1.0004,1.0008,1.0001,1.0007,885958.8492972631,885339.11191892
1656374400000,2022-06-28 00:00:00,UDC/USD,1.0005,1.0008,1.0002,1.0005,585498.2660239262,585205.66319233
1656288000000,2022-06-27 00:00:00,UDC/USD,1.001,1.0014,1.0,1.0005,866575.9639474405,866142.89250119
1656201600000,2022-06-26 00:00:00,UDC/USD,1.0001,1.0013,0.9997,1.0011,822875.3623082044,821971.19399481
1656115200000,2022-06-25 00:00:00,UDC/USD,1.0001,1.0003,0.99934,1.0,139626.16720364,139626.16720364
1656028800000,2022-06-24 00:00:00,UDC/USD,0.9996,1.0003,0.9992,1.0003,848321.746490888,848067.326293
1655942400000,2022-06-23 00:00:00,UDC/USD,0.9999,1.0,0.99921,0.99923,436182.43329975934,436518.55258525
1655856000000,2022-06-22 00:00:00,UDC/USD,1.0,1.0001,0.99921,0.9999,2355130.9461331717,2355366.48278145
1655769600000,2022-06-21 00:00:00,UDC/USD,1.0,1.0013,0.9999,1.0,3191375.27085791,3191375.27085791
1655683200000,2022-06-20 00:00:00,UDC/USD,1.0002,1.001,1.0,1.0001,1170228.7161057733,1170111.70493528
1655596800000,2022-06-19 00:00:00,UDC/USD,1.0006,1.001,1.0,1.0002,204172.47400666543,204131.64767713
1655510400000,2022-06-18 00:00:00,UDC/USD,1.0001,1.001,1.0,1.0006,2914060.675717497,2912313.28774485
1655424000000,2022-06-17 00:00:00,UDC/USD,1.0009,1.001,1.0001,1.0001,3693956.9735787814,3693587.6148173
1655337600000,2022-06-16 00:00:00,UDC/USD,1.0013,1.0015,1.0004,1.0009,2749604.491994445,2747132.07312863
1655251200000,2022-06-15 00:00:00,UDC/USD,1.001,1.0014,1.0006,1.0013,3520308.1661224645,3515737.70710323
