https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UNI
1659571200000,2022-08-04 00:00:00,UNI/USD,8.8889,8.9019,8.7629,8.8129,42442.67893791007,4815.9719204699995
1659484800000,2022-08-03 00:00:00,UNI/USD,8.2409,9.4401,8.0464,8.8988,1827999.558318851,205420.90600068
1659398400000,2022-08-02 00:00:00,UNI/USD,8.359,8.6762,7.8217,8.2707,530348.648947655,64123.79229662
1659312000000,2022-08-01 00:00:00,UNI/USD,8.3491,8.5539,8.081,8.3223,250258.54736295895,30070.83947502
1659225600000,2022-07-31 00:00:00,UNI/USD,8.7773,9.1491,8.3208,8.3208,498951.9991825466,59964.42639921
1659139200000,2022-07-30 00:00:00,UNI/USD,9.111,9.1562,8.5207,8.7752,935429.4220745871,106599.21392955
1659052800000,2022-07-29 00:00:00,UNI/USD,9.3161,9.4008,8.6146,9.0728,1207172.720086338,133054.04286288001
1658966400000,2022-07-28 00:00:00,UNI/USD,8.0534,9.8088,7.9681,9.2967,1943122.913175135,209012.11324181
1658880000000,2022-07-27 00:00:00,UNI/USD,6.6384,8.1974,6.5074,8.053,894156.767018815,111033.99565613
1658793600000,2022-07-26 00:00:00,UNI/USD,7.0295,7.0517,6.223,6.6524,439081.8774519716,66003.52917022
1658707200000,2022-07-25 00:00:00,UNI/USD,7.2397,7.5138,6.8211,7.0423,1108590.9780899119,157418.87992416
1658620800000,2022-07-24 00:00:00,UNI/USD,6.9562,7.3378,6.8842,7.2335,325192.6194185086,44956.46912539
1658534400000,2022-07-23 00:00:00,UNI/USD,6.8941,7.1989,6.6448,6.9693,292346.8311411012,41947.80410387
1658448000000,2022-07-22 00:00:00,UNI/USD,7.2189,7.4477,6.824,6.9141,374193.51142992504,54120.34992695
1658361600000,2022-07-21 00:00:00,UNI/USD,6.8877,7.2853,6.6814,7.1966,453695.89809044,63043.08952706
1658275200000,2022-07-20 00:00:00,UNI/USD,7.3311,7.5999,6.7956,6.8553,720574.0501133174,105111.96448198
1658188800000,2022-07-19 00:00:00,UNI/USD,7.313,7.7416,7.2077,7.3451,575411.3749318467,78339.48822097
1658102400000,2022-07-18 00:00:00,UNI/USD,6.9474,7.4468,6.9374,7.3706,551860.490006151,74873.21113697
1658016000000,2022-07-17 00:00:00,UNI/USD,7.3849,7.4727,6.9079,6.9387,202432.21291513694,29174.37170005
1657929600000,2022-07-16 00:00:00,UNI/USD,6.8034,7.6906,6.6858,7.3849,572151.8107720976,77475.90499154999
1657843200000,2022-07-15 00:00:00,UNI/USD,7.0195,7.2444,6.7286,6.8,426892.43479011196,62778.29923384
1657756800000,2022-07-14 00:00:00,UNI/USD,6.1208,7.0844,6.0344,7.0125,1821204.545032133,259708.31301706
1657670400000,2022-07-13 00:00:00,UNI/USD,5.5344,6.2214,5.25,6.1137,605612.8711649568,99058.32330094
1657584000000,2022-07-12 00:00:00,UNI/USD,5.5446,5.867,5.4444,5.5185,736636.4803219268,133484.91081307
1657497600000,2022-07-11 00:00:00,UNI/USD,6.2383,6.2647,5.2268,5.5708,848449.9367280994,152303.06898975
1657411200000,2022-07-10 00:00:00,UNI/USD,6.4433,6.4694,5.9934,6.2356,416656.32857923623,66818.9634645
1657324800000,2022-07-09 00:00:00,UNI/USD,5.7943,6.6117,5.7943,6.4583,501801.43844012654,77698.68826783
1657238400000,2022-07-08 00:00:00,UNI/USD,5.7306,5.9513,5.5212,5.7856,262311.14553888864,45338.62443634
1657152000000,2022-07-07 00:00:00,UNI/USD,5.3428,5.816,5.2871,5.7294,253047.94079001056,44166.56906308
1657065600000,2022-07-06 00:00:00,UNI/USD,5.3013,5.4833,5.1833,5.3539,206581.5630154654,38585.2487001
1656979200000,2022-07-05 00:00:00,UNI/USD,5.3476,5.4375,5.0075,5.302,612068.5562939476,115441.07059486
1656892800000,2022-07-04 00:00:00,UNI/USD,4.9162,5.3534,4.7286,5.3448,148249.2578750994,27737.10108425
1656806400000,2022-07-03 00:00:00,UNI/USD,4.9109,4.9484,4.7303,4.9171,127448.62827994897,25919.47047649
1656720000000,2022-07-02 00:00:00,UNI/USD,4.8582,5.0895,4.7192,4.906,366950.7454103647,74796.31989612
1656633600000,2022-07-01 00:00:00,UNI/USD,4.9992,5.1223,4.7509,4.8555,200884.35928428738,41372.53821116
1656547200000,2022-06-30 00:00:00,UNI/USD,5.1138,5.135,4.5971,4.9989,472630.24571655475,94546.84945019
1656460800000,2022-06-29 00:00:00,UNI/USD,4.9184,5.2645,4.785,5.1063,308805.21127623966,60475.33659915
1656374400000,2022-06-28 00:00:00,UNI/USD,5.3428,5.4817,4.8537,4.9206,193944.60997407665,39414.82948707
1656288000000,2022-06-27 00:00:00,UNI/USD,5.6011,5.9289,5.2825,5.3301,244014.32163606875,45780.43969833
1656201600000,2022-06-26 00:00:00,UNI/USD,5.6233,6.0546,5.4697,5.602,415555.8768326538,74179.91375092
1656115200000,2022-06-25 00:00:00,UNI/USD,5.4783,5.765,5.2439,5.6221,245631.50714122364,43690.34829356
1656028800000,2022-06-24 00:00:00,UNI/USD,5.6178,5.7854,5.3454,5.4715,341198.3419291274,62359.19618553
1655942400000,2022-06-23 00:00:00,UNI/USD,4.9796,5.6813,4.9483,5.5988,497219.3794910494,88808.20523881
1655856000000,2022-06-22 00:00:00,UNI/USD,4.7472,5.3421,4.5627,4.9725,685541.0856695953,137866.48278926
1655769600000,2022-06-21 00:00:00,UNI/USD,4.2966,5.1978,4.2199,4.7534,538902.6281433658,113372.03436348
1655683200000,2022-06-20 00:00:00,UNI/USD,4.1876,4.3843,3.9836,4.2982,628112.141922259,146133.76341777
1655596800000,2022-06-19 00:00:00,UNI/USD,3.6434,4.2656,3.4944,4.188,383632.7124575538,91602.84442635
1655510400000,2022-06-18 00:00:00,UNI/USD,3.9254,4.0773,3.3354,3.6435,586345.8608528851,160929.28800683
1655424000000,2022-06-17 00:00:00,UNI/USD,3.8301,4.0088,3.7971,3.9254,728530.3962108062,185593.92576828
1655337600000,2022-06-16 00:00:00,UNI/USD,4.4258,4.4655,3.7593,3.8366,350355.0210986092,91319.14223495
1655251200000,2022-06-15 00:00:00,UNI/USD,3.8703,4.4313,3.3873,4.4177,362840.12390903634,82133.26480047
1655164800000,2022-06-14 00:00:00,UNI/USD,3.653,3.9171,3.3608,3.8684,198615.81794755533,51343.143921920004
1655078400000,2022-06-13 00:00:00,UNI/USD,4.0681,4.1297,3.4579,3.6614,369511.36951389135,100920.78699784
1654992000000,2022-06-12 00:00:00,UNI/USD,4.3861,4.4752,4.0647,4.0669,202149.19076196177,49705.96541886
1654905600000,2022-06-11 00:00:00,UNI/USD,4.8089,4.9668,4.3335,4.3817,210875.96953250613,48126.51928076
1654819200000,2022-06-10 00:00:00,UNI/USD,5.1928,5.2297,4.7657,4.8179,95295.13691054106,19779.39287045
1654732800000,2022-06-09 00:00:00,UNI/USD,5.0914,5.3624,5.0315,5.2013,46669.866440928614,8972.73113278
1654646400000,2022-06-08 00:00:00,UNI/USD,5.2205,5.3333,5.0294,5.0871,201985.65725020392,39705.46229683
1654560000000,2022-06-07 00:00:00,UNI/USD,5.3827,5.4126,4.9481,5.2167,327710.122154413,62819.43032078
1654473600000,2022-06-06 00:00:00,UNI/USD,5.0854,5.4179,5.0854,5.3743,98440.0169011019,18316.8071937
1654387200000,2022-06-05 00:00:00,UNI/USD,5.1339,5.2277,4.9231,5.0944,85819.21350384614,16845.79410801
1654300800000,2022-06-04 00:00:00,UNI/USD,5.0874,5.1724,4.94,5.1249,101298.92133131473,19766.02886521
1654214400000,2022-06-03 00:00:00,UNI/USD,5.3063,5.3411,4.9638,5.0759,89777.53476578917,17687.01801962
1654128000000,2022-06-02 00:00:00,UNI/USD,5.1444,5.34,5.0514,5.3066,261334.8590011209,49247.13733862
1654041600000,2022-06-01 00:00:00,UNI/USD,5.7002,5.8226,5.1124,5.1363,570963.9154687278,111162.49352038
1653955200000,2022-05-31 00:00:00,UNI/USD,5.6582,5.8716,5.5488,5.6976,293717.52962206077,51551.09688677
1653868800000,2022-05-30 00:00:00,UNI/USD,4.9369,5.6974,4.8913,5.6552,616764.9707433318,109061.56647746
1653782400000,2022-05-29 00:00:00,UNI/USD,4.9783,5.0256,4.7753,4.9473,225927.95158805655,45666.91965073
1653696000000,2022-05-28 00:00:00,UNI/USD,4.6943,5.0231,4.6075,4.985,127789.87639093092,25634.87991794
1653609600000,2022-05-27 00:00:00,UNI/USD,4.9424,5.0904,4.6,4.691,677406.7556874024,144405.61835161
1653523200000,2022-05-26 00:00:00,UNI/USD,5.6214,5.7746,4.7746,4.941,578995.5082011388,117181.84744002
1653436800000,2022-05-25 00:00:00,UNI/USD,5.591,5.7893,5.3762,5.6178,460208.56599200144,81919.71340952
1653350400000,2022-05-24 00:00:00,UNI/USD,5.6252,5.8111,5.2887,5.5924,288778.9750790268,51637.75393016
1653264000000,2022-05-23 00:00:00,UNI/USD,5.4835,5.9729,5.3736,5.6236,419749.75244635815,74640.75546738
1653177600000,2022-05-22 00:00:00,UNI/USD,5.2277,5.541,5.1266,5.4853,114235.21017627016,20825.69962924
1653091200000,2022-05-21 00:00:00,UNI/USD,5.0927,5.3621,4.985,5.2348,89025.38037813689,17006.45304083
1653004800000,2022-05-20 00:00:00,UNI/USD,5.1914,5.5188,4.9272,5.092,370996.95154794113,72858.78859936
1652918400000,2022-05-19 00:00:00,UNI/USD,4.8897,5.224,4.7353,5.1942,345852.04483932984,66584.27569969
1652832000000,2022-05-18 00:00:00,UNI/USD,5.463,5.5465,4.8632,4.8858,137044.93835358616,28049.64148217
1652745600000,2022-05-17 00:00:00,UNI/USD,5.0503,5.5,5.0397,5.4701,169953.69095008736,31069.57659825
1652659200000,2022-05-16 00:00:00,UNI/USD,5.4402,5.4402,4.8952,5.0459,184556.50236567738,36575.53704308
1652572800000,2022-05-15 00:00:00,UNI/USD,5.1704,5.4733,4.9842,5.4508,197391.5848881159,36213.32371177
1652486400000,2022-05-14 00:00:00,UNI/USD,5.1379,5.3701,4.7235,5.1802,215020.49012853962,41508.144498
1652400000000,2022-05-13 00:00:00,UNI/USD,4.6664,5.4691,4.6122,5.1468,405287.999977369,78745.6283472
1652313600000,2022-05-12 00:00:00,UNI/USD,4.9114,5.1807,3.6779,4.6683,861387.9710288262,184518.55515473
1652227200000,2022-05-11 00:00:00,UNI/USD,6.0549,6.2159,4.6921,4.9059,575267.452295104,117260.32986712
