https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UOS
1659571200000,2022-08-04 00:00:00,UOS/USD,0.31098,0.31463,0.30666,0.31285,55.7860789305075,178.31573895
1659484800000,2022-08-03 00:00:00,UOS/USD,0.30164,0.31795,0.29563,0.31147,16889.823868182775,54226.16582073
1659398400000,2022-08-02 00:00:00,UOS/USD,0.30877,0.31188,0.3,0.30125,9710.437291084363,32233.81673389
1659312000000,2022-08-01 00:00:00,UOS/USD,0.31403,0.31855,0.30405,0.30903,29411.677264259262,95174.1813554
1659225600000,2022-07-31 00:00:00,UOS/USD,0.32371,0.32563,0.31309,0.31442,8101.319047845725,25765.9151703
1659139200000,2022-07-30 00:00:00,UOS/USD,0.31846,0.33362,0.3155,0.32105,22146.47700222361,68981.3954282
1659052800000,2022-07-29 00:00:00,UOS/USD,0.32661,0.32774,0.31287,0.31833,48475.5977745611,152280.95930186
1658966400000,2022-07-28 00:00:00,UOS/USD,0.33517,0.33946,0.32051,0.32669,42910.25911180066,131348.55401696
1658880000000,2022-07-27 00:00:00,UOS/USD,0.3173,0.33595,0.31448,0.33507,44337.06346904212,132321.79386111
1658793600000,2022-07-26 00:00:00,UOS/USD,0.34417,0.34417,0.30728,0.31722,35289.545036569325,111246.28029938
1658707200000,2022-07-25 00:00:00,UOS/USD,0.35663,0.38416,0.34339,0.34528,66016.87755447898,191198.09300996
1658620800000,2022-07-24 00:00:00,UOS/USD,0.34233,0.35956,0.34199,0.35456,8571.261764323008,24174.36192555
1658534400000,2022-07-23 00:00:00,UOS/USD,0.34264,0.3496,0.34,0.34231,14099.019250694126,41187.8684546
1658448000000,2022-07-22 00:00:00,UOS/USD,0.35029,0.35936,0.34,0.34,21120.6637299346,62119.59920569
1658361600000,2022-07-21 00:00:00,UOS/USD,0.35032,0.35384,0.33926,0.34867,17062.946422673573,48937.23699393
1658275200000,2022-07-20 00:00:00,UOS/USD,0.35488,0.36939,0.35032,0.35032,38650.95126780284,110330.41581355
1658188800000,2022-07-19 00:00:00,UOS/USD,0.36016,0.36683,0.335,0.35489,147144.4423173466,414619.86056904
1658102400000,2022-07-18 00:00:00,UOS/USD,0.3233,0.38001,0.32202,0.36246,203948.71599109579,562679.23630496
1658016000000,2022-07-17 00:00:00,UOS/USD,0.3422,0.34888,0.3246,0.3246,54554.75056767617,168067.62343708
1657929600000,2022-07-16 00:00:00,UOS/USD,0.31449,0.34846,0.3097,0.3422,43628.23825663684,127493.39058047
1657843200000,2022-07-15 00:00:00,UOS/USD,0.29072,0.315,0.28786,0.314,47800.10952087096,152229.64815564
1657756800000,2022-07-14 00:00:00,UOS/USD,0.29442,0.29828,0.28744,0.29072,31326.105045694207,107753.5258864
1657670400000,2022-07-13 00:00:00,UOS/USD,0.26926,0.29683,0.26926,0.29442,78476.57061709811,266546.33047041
1657584000000,2022-07-12 00:00:00,UOS/USD,0.28379,0.28597,0.26783,0.26926,55251.71657273402,205198.3828743
1657497600000,2022-07-11 00:00:00,UOS/USD,0.2822,0.2934,0.27877,0.28379,18149.95957649447,63955.59948023
1657411200000,2022-07-10 00:00:00,UOS/USD,0.29337,0.29548,0.2822,0.28221,2883.3083206778647,10216.88926926
1657324800000,2022-07-09 00:00:00,UOS/USD,0.29441,0.29609,0.29031,0.29191,6464.5161904709585,22145.57976935
1657238400000,2022-07-08 00:00:00,UOS/USD,0.28938,0.29841,0.28255,0.29699,23905.398918503062,80492.26882556
1657152000000,2022-07-07 00:00:00,UOS/USD,0.27904,0.29566,0.27552,0.29052,24137.640442876513,83084.26422579
1657065600000,2022-07-06 00:00:00,UOS/USD,0.2584,0.28331,0.25726,0.27904,23462.577518207974,84083.20498211
1656979200000,2022-07-05 00:00:00,UOS/USD,0.25632,0.26487,0.24881,0.26056,10409.646977962533,39951.05533452
1656892800000,2022-07-04 00:00:00,UOS/USD,0.25277,0.25923,0.24755,0.25656,17128.682379671784,66762.87176361
1656806400000,2022-07-03 00:00:00,UOS/USD,0.25629,0.2589,0.24766,0.25278,11421.963620894448,45185.39291437
1656720000000,2022-07-02 00:00:00,UOS/USD,0.25716,0.25816,0.24483,0.25347,14382.002721455272,56740.45339273
1656633600000,2022-07-01 00:00:00,UOS/USD,0.26916,0.27571,0.25617,0.25617,79345.84069403796,309739.00415364
1656547200000,2022-06-30 00:00:00,UOS/USD,0.26168,0.27195,0.25035,0.2683,45103.51517291095,168108.51723038
1656460800000,2022-06-29 00:00:00,UOS/USD,0.26886,0.29989,0.26003,0.2631,182638.0258799703,694177.2173317
1656374400000,2022-06-28 00:00:00,UOS/USD,0.27532,0.2856,0.26886,0.26886,20798.290589363554,77357.32570618
1656288000000,2022-06-27 00:00:00,UOS/USD,0.27801,0.28948,0.27486,0.27486,26553.60476381594,96607.74490219
1656201600000,2022-06-26 00:00:00,UOS/USD,0.28985,0.29606,0.27797,0.27802,20961.008352709934,75393.88660064
1656115200000,2022-06-25 00:00:00,UOS/USD,0.29369,0.3,0.27955,0.29046,22937.9268198493,78971.03497848
1656028800000,2022-06-24 00:00:00,UOS/USD,0.28485,0.29789,0.28181,0.29368,49968.50001708738,170146.0774213
1655942400000,2022-06-23 00:00:00,UOS/USD,0.26996,0.29999,0.26887,0.28485,94856.85837216198,333006.3485068
1655856000000,2022-06-22 00:00:00,UOS/USD,0.28006,0.28359,0.26886,0.26996,36347.4863483138,134640.26651472
1655769600000,2022-06-21 00:00:00,UOS/USD,0.26956,0.3271,0.26886,0.28047,144343.56295442348,514648.8499819
1655683200000,2022-06-20 00:00:00,UOS/USD,0.25713,0.30724,0.24424,0.26886,134638.1355081459,500774.14084708
1655596800000,2022-06-19 00:00:00,UOS/USD,0.2345,0.25741,0.22139,0.25588,28351.71949273241,110800.84216325
1655510400000,2022-06-18 00:00:00,UOS/USD,0.26252,0.26689,0.22083,0.23365,51642.29808043728,221024.17325246
1655424000000,2022-06-17 00:00:00,UOS/USD,0.24574,0.26647,0.24228,0.26229,47667.53930921553,181736.01475167
1655337600000,2022-06-16 00:00:00,UOS/USD,0.25633,0.26748,0.23388,0.24181,11692.63755555263,48354.64850731
1655251200000,2022-06-15 00:00:00,UOS/USD,0.24406,0.26748,0.21451,0.25628,46223.974094743084,180365.12445272
1655164800000,2022-06-14 00:00:00,UOS/USD,0.25911,0.2673,0.24301,0.24482,38133.00121044514,155759.33833202
1655078400000,2022-06-13 00:00:00,UOS/USD,0.291,0.291,0.24331,0.25792,97161.82175369853,376713.01858599
1654992000000,2022-06-12 00:00:00,UOS/USD,0.3252,0.32568,0.291,0.291,45599.326507771046,156698.71652155
1654905600000,2022-06-11 00:00:00,UOS/USD,0.35357,0.35642,0.32276,0.32537,31647.004601426368,97264.66669154
1654819200000,2022-06-10 00:00:00,UOS/USD,0.37432,0.38089,0.35261,0.35421,12327.52974824007,34802.88458327
1654732800000,2022-06-09 00:00:00,UOS/USD,0.36697,0.3795,0.36301,0.37477,8084.3050716167,21571.37730239
1654646400000,2022-06-08 00:00:00,UOS/USD,0.37493,0.37656,0.36547,0.3677,9873.657826924476,26852.48253175
1654560000000,2022-06-07 00:00:00,UOS/USD,0.36652,0.38,0.36087,0.37569,7790.052899816603,20735.32140812
1654473600000,2022-06-06 00:00:00,UOS/USD,0.37,0.39,0.36408,0.36616,24364.770156450897,66541.32116138
1654387200000,2022-06-05 00:00:00,UOS/USD,0.35807,0.37699,0.35212,0.37,7750.990352268999,20948.6225737
1654300800000,2022-06-04 00:00:00,UOS/USD,0.36157,0.36608,0.35029,0.35683,13669.586180457223,38308.39946321
1654214400000,2022-06-03 00:00:00,UOS/USD,0.37352,0.37909,0.3551,0.36234,16524.485854307837,45604.9176307
1654128000000,2022-06-02 00:00:00,UOS/USD,0.37363,0.37862,0.36411,0.37413,6327.0551714784415,16911.38152909
1654041600000,2022-06-01 00:00:00,UOS/USD,0.3855,0.39297,0.36701,0.37389,11263.639422050333,30125.5434006
1653955200000,2022-05-31 00:00:00,UOS/USD,0.38145,0.4,0.38145,0.38512,12146.987754663405,31540.78665004
1653868800000,2022-05-30 00:00:00,UOS/USD,0.35952,0.39198,0.35613,0.38011,25101.646357887264,66037.84788058
1653782400000,2022-05-29 00:00:00,UOS/USD,0.34794,0.36336,0.34154,0.35994,10380.876838899625,28840.57575957
1653696000000,2022-05-28 00:00:00,UOS/USD,0.34742,0.36,0.33859,0.34834,9382.513039075218,26934.92863029
1653609600000,2022-05-27 00:00:00,UOS/USD,0.36787,0.36916,0.312,0.34761,55504.78813863498,159675.46428076
1653523200000,2022-05-26 00:00:00,UOS/USD,0.3757,0.3797,0.34954,0.36491,10045.673975266367,27529.18247038
1653436800000,2022-05-25 00:00:00,UOS/USD,0.39067,0.39411,0.37059,0.37595,10424.36626661335,27728.06561142
1653350400000,2022-05-24 00:00:00,UOS/USD,0.39049,0.39388,0.36312,0.39001,18845.289008633437,48320.014893550004
1653264000000,2022-05-23 00:00:00,UOS/USD,0.38458,0.41048,0.37363,0.39,21487.1149037571,55095.16641989
1653177600000,2022-05-22 00:00:00,UOS/USD,0.36949,0.38878,0.36008,0.38526,26311.193391948942,68294.64100075
1653091200000,2022-05-21 00:00:00,UOS/USD,0.35498,0.37426,0.34857,0.36909,30347.192032739706,82221.65876274
1653004800000,2022-05-20 00:00:00,UOS/USD,0.37312,0.37675,0.3445,0.3547,19684.098113995653,55495.06093599
1652918400000,2022-05-19 00:00:00,UOS/USD,0.35661,0.37312,0.33989,0.37197,23399.022606254704,62905.671441930004
1652832000000,2022-05-18 00:00:00,UOS/USD,0.3865,0.39304,0.35713,0.35713,21872.709769118115,61245.79220205
1652745600000,2022-05-17 00:00:00,UOS/USD,0.36977,0.39436,0.3626,0.38437,16320.78981025345,42461.14371635
1652659200000,2022-05-16 00:00:00,UOS/USD,0.39453,0.40935,0.36048,0.36906,18158.87193211911,49203.03455297
1652572800000,2022-05-15 00:00:00,UOS/USD,0.37839,0.42322,0.34798,0.39541,28349.116671706273,71695.49751323
1652486400000,2022-05-14 00:00:00,UOS/USD,0.35128,0.37734,0.32421,0.37684,49687.80903342583,131853.86114379
1652400000000,2022-05-13 00:00:00,UOS/USD,0.33296,0.39605,0.32711,0.34963,93074.29301221651,266207.97131886997
1652313600000,2022-05-12 00:00:00,UOS/USD,0.38079,0.3908,0.29003,0.33038,143296.6153787373,433732.71801785
1652227200000,2022-05-11 00:00:00,UOS/USD,0.47398,0.517,0.36041,0.3803,189418.4019004603,498076.26058496
1652140800000,2022-05-10 00:00:00,UOS/USD,0.44165,0.53062,0.41344,0.47449,132648.47105948662,279560.09833608003
1652054400000,2022-05-09 00:00:00,UOS/USD,0.57454,0.58703,0.44222,0.44313,138413.86421009677,312354.9843389
1651968000000,2022-05-08 00:00:00,UOS/USD,0.6294,0.63543,0.542,0.57344,165615.51285763847,288810.53441971
1651881600000,2022-05-07 00:00:00,UOS/USD,0.66773,0.70537,0.61998,0.62924,50729.24804966226,80619.87167005
1651795200000,2022-05-06 00:00:00,UOS/USD,0.70732,0.71205,0.63699,0.66796,92155.04187470453,137964.91088494
1651708800000,2022-05-05 00:00:00,UOS/USD,0.81001,0.83026,0.6797,0.70858,56893.14872402615,80291.77894384
1651622400000,2022-05-04 00:00:00,UOS/USD,0.71074,0.83213,0.70541,0.81001,119052.7680827785,146976.91149835
1651536000000,2022-05-03 00:00:00,UOS/USD,0.72858,0.74075,0.69786,0.71022,42672.1637240888,60083.02177366
1651449600000,2022-05-02 00:00:00,UOS/USD,0.71958,0.74933,0.69312,0.72862,27578.96848278126,37850.96275532
1651363200000,2022-05-01 00:00:00,UOS/USD,0.70615,0.73686,0.64714,0.72005,113299.69728049681,157349.76360044
1651276800000,2022-04-30 00:00:00,UOS/USD,0.78101,0.78867,0.68526,0.70579,54319.47276767461,76962.65570166
1651190400000,2022-04-29 00:00:00,UOS/USD,0.83432,0.85305,0.77802,0.78094,71769.81832680211,91901.83410608
1651104000000,2022-04-28 00:00:00,UOS/USD,0.84879,0.88338,0.768,0.83408,83430.37865920378,100026.83035105
1651017600000,2022-04-27 00:00:00,UOS/USD,0.86559,0.89771,0.82529,0.85182,74736.22788646283,87737.11334139
1650931200000,2022-04-26 00:00:00,UOS/USD,0.95602,0.97332,0.85706,0.86606,47465.64431002982,54806.41561789
1650844800000,2022-04-25 00:00:00,UOS/USD,0.885,0.97257,0.84697,0.9556,158203.1054864987,165553.68929102
1650758400000,2022-04-24 00:00:00,UOS/USD,0.91223,0.9363,0.88001,0.88664,33615.29589854853,37913.12809996
1650672000000,2022-04-23 00:00:00,UOS/USD,0.94361,0.97267,0.90129,0.91445,102558.89766947318,112153.64171849
1650585600000,2022-04-22 00:00:00,UOS/USD,0.98256,1.0175,0.92,0.9422,44883.88304287086,47637.32014739
1650499200000,2022-04-21 00:00:00,UOS/USD,1.0338,1.0465,0.96332,0.98294,67802.14239115686,68978.92281437
1650412800000,2022-04-20 00:00:00,UOS/USD,1.0585,1.0874,1.02,1.0351,45071.27470349211,43542.91827214
1650326400000,2022-04-19 00:00:00,UOS/USD,1.0844,1.1087,1.0129,1.0599,58767.840632646425,55446.58989777
1650240000000,2022-04-18 00:00:00,UOS/USD,0.92076,1.0845,0.875,1.0843,88847.450213452,81939.91534949
1650153600000,2022-04-17 00:00:00,UOS/USD,0.97301,0.98021,0.92,0.92206,52023.74777910653,56421.21746861
