https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UST
1659571200000,2022-08-04 00:00:00,UST/USD,0.99983,0.99983,0.99981,0.99982,237181.24561783296,237223.9459281
1659484800000,2022-08-03 00:00:00,UST/USD,0.99998,1.0002,0.9998,0.99982,39648009.5785998,39655147.50515073
1659398400000,2022-08-02 00:00:00,UST/USD,0.99998,1.0009,0.99997,0.99998,30479800.374503262,30480409.98270292
1659312000000,2022-08-01 00:00:00,UST/USD,1.0,1.0009,0.99998,0.99998,36791242.70650654,36791978.54607747
1659225600000,2022-07-31 00:00:00,UST/USD,1.0001,1.0003,0.99998,1.0,24737087.64512905,24737087.64512905
1659139200000,2022-07-30 00:00:00,UST/USD,1.0004,1.0008,1.0,1.0001,21586661.661994748,21584503.21167358
1659052800000,2022-07-29 00:00:00,UST/USD,1.0001,1.0009,1.0,1.0003,25877724.888352763,25869963.89918301
1658966400000,2022-07-28 00:00:00,UST/USD,1.0001,1.0002,0.9999,1.0001,30185238.945813913,30182220.72374154
1658880000000,2022-07-27 00:00:00,UST/USD,1.0002,1.0003,1.0,1.0001,37153183.31254954,37149468.36571297
1658793600000,2022-07-26 00:00:00,UST/USD,0.99988,1.0002,0.99988,1.0002,39633955.090956725,39626029.88497973
1658707200000,2022-07-25 00:00:00,UST/USD,1.0,1.0001,0.9995,0.99988,37373270.944507435,37377756.27526046
1658620800000,2022-07-24 00:00:00,UST/USD,0.99992,1.0003,0.9997,1.0001,28848042.15218411,28845157.63642047
1658534400000,2022-07-23 00:00:00,UST/USD,0.99994,1.0001,0.9999,0.99992,24400340.515809182,24402292.69922512
1658448000000,2022-07-22 00:00:00,UST/USD,1.0001,1.0002,0.99993,0.99995,30965325.733401436,30966874.07710529
1658361600000,2022-07-21 00:00:00,UST/USD,0.99992,1.0003,0.99992,1.0002,33769494.057619944,33762741.50931808
1658275200000,2022-07-20 00:00:00,UST/USD,0.9999,1.0002,0.9999,0.99992,56981921.19031321,56986480.10872191
1658188800000,2022-07-19 00:00:00,UST/USD,0.99992,1.0003,0.9999,0.9999,50284809.517012194,50289838.50086228
1658102400000,2022-07-18 00:00:00,UST/USD,1.0,1.0003,0.99991,0.99991,35350479.77793219,35353661.60747686
1658016000000,2022-07-17 00:00:00,UST/USD,1.0002,1.0002,0.99999,1.0,29744972.13061936,29744972.13061936
1657929600000,2022-07-16 00:00:00,UST/USD,0.99975,1.0003,0.99975,1.0001,25698639.676352844,25696070.06934591
1657843200000,2022-07-15 00:00:00,UST/USD,0.9998,1.0001,0.99974,0.99975,28739443.97693894,28746630.63459759
1657756800000,2022-07-14 00:00:00,UST/USD,0.99975,0.99982,0.99948,0.99981,18149202.749612212,18152651.75344537
1657670400000,2022-07-13 00:00:00,UST/USD,0.99904,1.0003,0.99856,0.99975,105725805.08909455,105752243.14988202
1657584000000,2022-07-12 00:00:00,UST/USD,0.99952,1.0,0.99901,0.99904,77695653.08528191,77770312.58536385
1657497600000,2022-07-11 00:00:00,UST/USD,0.99997,1.0,0.99916,0.99952,54611741.17507996,54637967.39943168
1657411200000,2022-07-10 00:00:00,UST/USD,0.99979,0.99998,0.99901,0.99996,13483220.038052313,13483759.38842785
1657324800000,2022-07-09 00:00:00,UST/USD,0.99959,0.99999,0.99953,0.99979,9682268.571822068,9684302.27529988
1657238400000,2022-07-08 00:00:00,UST/USD,0.99901,0.99969,0.999,0.99959,44098769.546232164,44116857.45778986
