https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UTK
1659571200000,2022-08-04 00:00:00,UTK/USD,0.14494,0.14582,0.14457,0.14548,37.833435668068404,260.05935983
1659484800000,2022-08-03 00:00:00,UTK/USD,0.1411,0.15205,0.13947,0.14509,3127.092868777324,21552.78012804
1659398400000,2022-08-02 00:00:00,UTK/USD,0.1415,0.14526,0.13525,0.14082,2566.0839043960364,18222.43931541
1659312000000,2022-08-01 00:00:00,UTK/USD,0.13582,0.15091,0.13582,0.14196,4575.048972466628,32227.73297032
1659225600000,2022-07-31 00:00:00,UTK/USD,0.13529,0.14193,0.13523,0.13554,2292.302316950638,16912.36769183
1659139200000,2022-07-30 00:00:00,UTK/USD,0.13971,0.14516,0.13479,0.13558,7076.1097204108055,52191.39784932
1659052800000,2022-07-29 00:00:00,UTK/USD,0.1363,0.14472,0.13622,0.13971,5311.952998267776,38021.27978146
1658966400000,2022-07-28 00:00:00,UTK/USD,0.1309,0.13867,0.13004,0.13614,2300.8744593004653,16900.79667475
1658880000000,2022-07-27 00:00:00,UTK/USD,0.11943,0.13343,0.11738,0.13078,2602.7468283811386,19901.71913428
1658793600000,2022-07-26 00:00:00,UTK/USD,0.12092,0.12092,0.11646,0.11932,824.1086178892511,6906.70983816
1658707200000,2022-07-25 00:00:00,UTK/USD,0.12921,0.13014,0.12029,0.12029,2909.253209191299,24185.32886517
1658620800000,2022-07-24 00:00:00,UTK/USD,0.1331,0.13495,0.12908,0.12928,3179.546224579789,24594.26225696
1658534400000,2022-07-23 00:00:00,UTK/USD,0.12847,0.1345,0.12255,0.13299,3085.329069027391,23199.70726391
1658448000000,2022-07-22 00:00:00,UTK/USD,0.13102,0.13403,0.12599,0.12673,1524.3795138908526,12028.56082925
1658361600000,2022-07-21 00:00:00,UTK/USD,0.13198,0.13492,0.12921,0.13086,1316.3794579472005,10059.44870814
1658275200000,2022-07-20 00:00:00,UTK/USD,0.14093,0.14467,0.13108,0.13183,2745.4404107405044,20825.61185421
