https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume VET
1659571200000,2022-08-04 00:00:00,VET/USD,0.02928,0.029772,0.029213,0.029772,211.37054436064224,7099.64209192
1659484800000,2022-08-03 00:00:00,VET/USD,0.027773,0.030777,0.027093,0.029309,31992.52470920156,1091559.74987893
1659398400000,2022-08-02 00:00:00,VET/USD,0.027659,0.029272,0.026232,0.027737,52923.649764541435,1908052.41246499
1659312000000,2022-08-01 00:00:00,VET/USD,0.027126,0.028085,0.026852,0.027605,15171.680812993254,549599.01514194
1659225600000,2022-07-31 00:00:00,VET/USD,0.027361,0.028594,0.026987,0.027156,13804.93200337939,508356.6063993
1659139200000,2022-07-30 00:00:00,VET/USD,0.026693,0.028546,0.026435,0.027358,29702.680608917177,1085703.6555639
1659052800000,2022-07-29 00:00:00,VET/USD,0.026333,0.0275,0.025963,0.026689,27751.11820248937,1039796.10335679
1658966400000,2022-07-28 00:00:00,VET/USD,0.025213,0.026744,0.024765,0.026373,41132.98527962404,1559662.73384234
1658880000000,2022-07-27 00:00:00,VET/USD,0.023336,0.025201,0.022876,0.025201,12509.473149409258,496387.96672391
1658793600000,2022-07-26 00:00:00,VET/USD,0.023271,0.023355,0.022533,0.023326,21851.6476324504,936793.60509519
1658707200000,2022-07-25 00:00:00,VET/USD,0.025064,0.025143,0.023304,0.023304,12038.641240285478,516591.19637339
1658620800000,2022-07-24 00:00:00,VET/USD,0.025063,0.025744,0.024878,0.025043,13661.642426132186,545527.3899346
1658534400000,2022-07-23 00:00:00,VET/USD,0.02531,0.025817,0.024431,0.025013,10827.563305990148,432877.4359729
1658448000000,2022-07-22 00:00:00,VET/USD,0.025369,0.026835,0.025149,0.025342,18652.26035949677,736021.63836701
1658361600000,2022-07-21 00:00:00,VET/USD,0.025391,0.025653,0.024383,0.025363,25544.41422112749,1007152.71147449
1658275200000,2022-07-20 00:00:00,VET/USD,0.026119,0.027341,0.025323,0.025349,62003.977652993664,2446012.76788014
1658188800000,2022-07-19 00:00:00,VET/USD,0.024729,0.026356,0.024018,0.026119,69004.7614866794,2641937.34395189
1658102400000,2022-07-18 00:00:00,VET/USD,0.023166,0.024898,0.023146,0.024839,45961.086211727365,1850359.765358
1658016000000,2022-07-17 00:00:00,VET/USD,0.023703,0.024147,0.023148,0.023148,65682.50909745465,2837502.55302638
1657929600000,2022-07-16 00:00:00,VET/USD,0.022977,0.023879,0.022534,0.023683,21789.88182223721,920064.25800098
1657843200000,2022-07-15 00:00:00,VET/USD,0.022755,0.023461,0.022548,0.022943,31260.745448619204,1362539.57410187
1657756800000,2022-07-14 00:00:00,VET/USD,0.022257,0.022943,0.021535,0.0228,13928.772209189798,610911.06180657
1657670400000,2022-07-13 00:00:00,VET/USD,0.021463,0.022346,0.020754,0.022341,58942.07050927454,2638291.50482407
1657584000000,2022-07-12 00:00:00,VET/USD,0.022013,0.022242,0.0214,0.021441,19184.208410629,894744.10758029
1657497600000,2022-07-11 00:00:00,VET/USD,0.023375,0.023398,0.021952,0.022019,25647.88862356868,1164807.14944224
1657411200000,2022-07-10 00:00:00,VET/USD,0.024046,0.024177,0.023259,0.023406,8958.02665476963,382723.51767793
1657324800000,2022-07-09 00:00:00,VET/USD,0.023773,0.024456,0.023769,0.024078,9178.901174153514,381215.26597531
1657238400000,2022-07-08 00:00:00,VET/USD,0.024085,0.024817,0.023562,0.023769,34251.30882060544,1441007.56534164
1657152000000,2022-07-07 00:00:00,VET/USD,0.023536,0.024312,0.023121,0.024084,39389.38715892238,1635500.21420538
1657065600000,2022-07-06 00:00:00,VET/USD,0.022753,0.02384,0.022276,0.023586,34908.24971893933,1480041.11417533
1656979200000,2022-07-05 00:00:00,VET/USD,0.023339,0.023511,0.021938,0.022701,64751.71236016604,2852372.6866731
1656892800000,2022-07-04 00:00:00,VET/USD,0.02262,0.023417,0.021957,0.023294,35364.23030464578,1518169.06948767
1656806400000,2022-07-03 00:00:00,VET/USD,0.022347,0.022824,0.021839,0.022574,33849.528624884064,1499491.83241269
1656720000000,2022-07-02 00:00:00,VET/USD,0.022247,0.022612,0.021845,0.022352,21792.349173323015,974961.9350985601
1656633600000,2022-07-01 00:00:00,VET/USD,0.022677,0.02317,0.021838,0.022278,69442.31235472788,3117080.18469916
1656547200000,2022-06-30 00:00:00,VET/USD,0.022756,0.022921,0.021282,0.022781,66223.76967854393,2906973.77984039
1656460800000,2022-06-29 00:00:00,VET/USD,0.023423,0.023748,0.022406,0.022767,70385.08395101214,3091539.68247956
1656374400000,2022-06-28 00:00:00,VET/USD,0.024541,0.025358,0.023325,0.02346,48693.1530598546,2075581.97186081
1656288000000,2022-06-27 00:00:00,VET/USD,0.024349,0.025479,0.024158,0.02456,72724.11017903216,2961079.40468372
1656201600000,2022-06-26 00:00:00,VET/USD,0.026257,0.026792,0.024294,0.024316,96638.93865571734,3974294.23654044
1656115200000,2022-06-25 00:00:00,VET/USD,0.025332,0.026377,0.024525,0.026266,30789.942855899553,1172235.69846568
1656028800000,2022-06-24 00:00:00,VET/USD,0.024092,0.025931,0.023933,0.02538,51047.4407828477,2011325.48395775
1655942400000,2022-06-23 00:00:00,VET/USD,0.022698,0.02418,0.022698,0.024142,44706.31639652765,1851806.66044767
1655856000000,2022-06-22 00:00:00,VET/USD,0.023299,0.023731,0.022567,0.022697,27710.17208462796,1220873.77559272
1655769600000,2022-06-21 00:00:00,VET/USD,0.023533,0.025081,0.02307,0.023581,102756.16477269084,4357583.00210724
1655683200000,2022-06-20 00:00:00,VET/USD,0.023079,0.023803,0.021948,0.023536,51433.61283403928,2185316.65678277
1655596800000,2022-06-19 00:00:00,VET/USD,0.021672,0.023274,0.020774,0.023018,81786.78095670044,3553166.25930578
1655510400000,2022-06-18 00:00:00,VET/USD,0.023312,0.023575,0.020062,0.021676,57352.692688679206,2645907.5792895
1655424000000,2022-06-17 00:00:00,VET/USD,0.022712,0.023907,0.022546,0.023353,50405.70647246389,2158425.31890823
1655337600000,2022-06-16 00:00:00,VET/USD,0.025594,0.025882,0.022306,0.0227,106215.60821422943,4679101.68344623
1655251200000,2022-06-15 00:00:00,VET/USD,0.02393,0.025573,0.021475,0.025573,190214.61128072976,7438103.12754584
1655164800000,2022-06-14 00:00:00,VET/USD,0.023858,0.024868,0.021962,0.02395,195756.66249394036,8173555.84525847
1655078400000,2022-06-13 00:00:00,VET/USD,0.025714,0.026221,0.022235,0.023818,271986.60856709245,11419372.26329215
1654992000000,2022-06-12 00:00:00,VET/USD,0.027611,0.028,0.025726,0.025726,94375.68597067162,3668494.36253874
1654905600000,2022-06-11 00:00:00,VET/USD,0.029466,0.030207,0.027114,0.027553,85621.45725066053,3107518.5007317
1654819200000,2022-06-10 00:00:00,VET/USD,0.031776,0.032408,0.029306,0.029457,38019.737634313475,1290686.00449175
1654732800000,2022-06-09 00:00:00,VET/USD,0.03027,0.033109,0.029918,0.031867,77768.70874851033,2440415.12374903
1654646400000,2022-06-08 00:00:00,VET/USD,0.030707,0.031228,0.030081,0.030303,8396.567792989568,277087.01425567
1654560000000,2022-06-07 00:00:00,VET/USD,0.031748,0.031796,0.029614,0.030677,42683.648642468994,1391389.27021772
1654473600000,2022-06-06 00:00:00,VET/USD,0.030418,0.032811,0.030341,0.031797,40520.930596712635,1274363.3234806
1654387200000,2022-06-05 00:00:00,VET/USD,0.030606,0.030894,0.030056,0.030497,37038.21584585234,1214487.19040733
1654300800000,2022-06-04 00:00:00,VET/USD,0.030273,0.030769,0.029601,0.030575,27559.520199080485,901374.33194049
1654214400000,2022-06-03 00:00:00,VET/USD,0.031455,0.031776,0.029826,0.030186,91656.29092977307,3036384.11613904
1654128000000,2022-06-02 00:00:00,VET/USD,0.030528,0.03172,0.030115,0.031491,13115.379100461456,416480.23563753
1654041600000,2022-06-01 00:00:00,VET/USD,0.032852,0.034114,0.030083,0.030484,137551.54221841096,4512253.71402739
1653955200000,2022-05-31 00:00:00,VET/USD,0.032923,0.033692,0.031852,0.032812,154422.48261031316,4706280.70859177
1653868800000,2022-05-30 00:00:00,VET/USD,0.030255,0.032993,0.030044,0.032993,18106.0433953498,548784.39048737
1653782400000,2022-05-29 00:00:00,VET/USD,0.029763,0.030197,0.028989,0.030164,63215.20331704576,2095716.85840889
1653696000000,2022-05-28 00:00:00,VET/USD,0.029061,0.032219,0.028662,0.029739,134803.27692794535,4532878.6081558
1653609600000,2022-05-27 00:00:00,VET/USD,0.02974,0.030504,0.028511,0.02896,69931.61015308276,2414765.54396004
1653523200000,2022-05-26 00:00:00,VET/USD,0.03143,0.032103,0.028173,0.02954,76546.58785632327,2591285.98024114
1653436800000,2022-05-25 00:00:00,VET/USD,0.031671,0.032474,0.030444,0.031343,34398.60736392878,1097489.3074667
1653350400000,2022-05-24 00:00:00,VET/USD,0.03124,0.032171,0.0298,0.031697,68467.63301718803,2160066.66300243
1653264000000,2022-05-23 00:00:00,VET/USD,0.031929,0.034578,0.030761,0.0311,55945.63320304074,1798894.95829713
1653177600000,2022-05-22 00:00:00,VET/USD,0.030762,0.032674,0.030609,0.032058,40149.55615000022,1252403.6480753701
1653091200000,2022-05-21 00:00:00,VET/USD,0.030144,0.031173,0.029666,0.030801,9928.07054680435,322329.48757522
1653004800000,2022-05-20 00:00:00,VET/USD,0.031421,0.03199,0.029355,0.030155,86766.82825295509,2877361.24201476
1652918400000,2022-05-19 00:00:00,VET/USD,0.029354,0.031561,0.02831,0.03141,258584.3435036253,8232548.3445917005
1652832000000,2022-05-18 00:00:00,VET/USD,0.032828,0.033198,0.029021,0.029021,64767.46035706353,2231744.61104247
1652745600000,2022-05-17 00:00:00,VET/USD,0.031105,0.033278,0.030851,0.032921,72578.33337811516,2204621.16515644
1652659200000,2022-05-16 00:00:00,VET/USD,0.033467,0.033467,0.030093,0.030916,185064.157129709,5986031.73533798
1652572800000,2022-05-15 00:00:00,VET/USD,0.031741,0.033626,0.030431,0.033539,319868.2255545847,9537202.22888532
1652486400000,2022-05-14 00:00:00,VET/USD,0.030717,0.03267,0.028718,0.031809,265614.15776453906,8350283.18288972
1652400000000,2022-05-13 00:00:00,VET/USD,0.027773,0.036064,0.02732,0.030566,652445.09444279,21345452.28171138
1652313600000,2022-05-12 00:00:00,VET/USD,0.030512,0.032283,0.02377,0.027688,689943.199151269,24918491.73473234
1652227200000,2022-05-11 00:00:00,VET/USD,0.038865,0.040157,0.028502,0.030451,459412.0635153991,15086928.62353943
1652140800000,2022-05-10 00:00:00,VET/USD,0.038026,0.043516,0.0368,0.038892,315558.14495911595,8113703.20269248
1652054400000,2022-05-09 00:00:00,VET/USD,0.044602,0.045297,0.037721,0.038067,349104.6615806368,9170795.218447391
1651968000000,2022-05-08 00:00:00,VET/USD,0.045653,0.046094,0.043735,0.044671,166222.9067911482,3721047.36386354
1651881600000,2022-05-07 00:00:00,VET/USD,0.047101,0.047293,0.044333,0.045512,156092.06139217337,3429690.22218697
1651795200000,2022-05-06 00:00:00,VET/USD,0.047574,0.047901,0.045453,0.047015,182954.8340283652,3891414.1024857
1651708800000,2022-05-05 00:00:00,VET/USD,0.054014,0.054699,0.046071,0.04761,562639.9057902899,11817683.38143856
1651622400000,2022-05-04 00:00:00,VET/USD,0.046799,0.054119,0.046621,0.053905,346390.8738897877,6425950.72608826
1651536000000,2022-05-03 00:00:00,VET/USD,0.047541,0.048784,0.045862,0.046864,238680.45993001192,5093044.97972883
1651449600000,2022-05-02 00:00:00,VET/USD,0.048556,0.049786,0.045817,0.047562,330807.20710703766,6955283.77921529
1651363200000,2022-05-01 00:00:00,VET/USD,0.045294,0.049478,0.044286,0.048524,209039.80190338643,4307967.23071854
1651276800000,2022-04-30 00:00:00,VET/USD,0.048496,0.04963,0.0445,0.045372,140374.54485916806,3093858.43381751
1651190400000,2022-04-29 00:00:00,VET/USD,0.051609,0.051984,0.047547,0.048503,153657.8678791217,3168007.50219825
1651104000000,2022-04-28 00:00:00,VET/USD,0.051945,0.053232,0.050415,0.051572,75909.49715488033,1471912.99842706
1651017600000,2022-04-27 00:00:00,VET/USD,0.051211,0.052956,0.050553,0.052028,98923.74785297648,1901355.95934836
1650931200000,2022-04-26 00:00:00,VET/USD,0.056331,0.056797,0.050443,0.051164,72645.24474426718,1419850.76898341
1650844800000,2022-04-25 00:00:00,VET/USD,0.055908,0.056905,0.051912,0.056596,168150.81500841086,2971072.42576173
1650758400000,2022-04-24 00:00:00,VET/USD,0.057531,0.058115,0.0555,0.055944,65726.22752888325,1174857.49193628
1650672000000,2022-04-23 00:00:00,VET/USD,0.05779,0.058969,0.056804,0.057462,71930.47182750257,1251791.99866873
1650585600000,2022-04-22 00:00:00,VET/USD,0.058752,0.060183,0.057169,0.05786,204442.9357509996,3533407.11633252
1650499200000,2022-04-21 00:00:00,VET/USD,0.060802,0.063825,0.057591,0.058829,144726.26204094524,2460117.66375334
1650412800000,2022-04-20 00:00:00,VET/USD,0.061562,0.063448,0.059126,0.060787,112637.70415929411,1852990.0169328
1650326400000,2022-04-19 00:00:00,VET/USD,0.05965,0.061926,0.059095,0.061711,49994.640764088894,810141.47824681
1650240000000,2022-04-18 00:00:00,VET/USD,0.057894,0.059625,0.055124,0.059625,96783.70793932288,1623206.84174965
1650153600000,2022-04-17 00:00:00,VET/USD,0.061333,0.061515,0.057871,0.058104,282203.9378319573,4856876.25347579
1650067200000,2022-04-16 00:00:00,VET/USD,0.061692,0.062685,0.060146,0.061391,14939.123654882549,243343.87214547
1649980800000,2022-04-15 00:00:00,VET/USD,0.06131,0.062265,0.060466,0.061662,12671.096510822164,205492.79152188
1649894400000,2022-04-14 00:00:00,VET/USD,0.061538,0.063942,0.059359,0.061385,101337.4823781663,1650850.89807227
