https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WBT
1659571200000,2022-08-04 00:00:00,WBT/USD,22843,23332,22833,23028,178.40298216,0.00774722
1659484800000,2022-08-03 00:00:00,WBT/USD,23434,24606,22726,22859,5552.56219474,0.24290486
1659398400000,2022-08-02 00:00:00,WBT/USD,23306,24052,22690,23020,6984.3649142,0.30340421
1659312000000,2022-08-01 00:00:00,WBT/USD,23344,24571,22903,23850,6876.6456960000005,0.28832896
1659225600000,2022-07-31 00:00:00,WBT/USD,23678,25260,23281,23705,6470.20839795,0.27294699
1659139200000,2022-07-30 00:00:00,WBT/USD,23822,25378,23567,23674,12312.24110886,0.52007439
1659052800000,2022-07-29 00:00:00,WBT/USD,23867,25429,23503,23808,7260.120560640001,0.30494458
1658966400000,2022-07-28 00:00:00,WBT/USD,22991,24830,22688,23855,38978.356974049995,1.63397011
1658880000000,2022-07-27 00:00:00,WBT/USD,21313,24276,21059,22976,6398.045384960001,0.27846646
1658793600000,2022-07-26 00:00:00,WBT/USD,21337,22432,20774,21729,6922.21057206,0.31857014
1658707200000,2022-07-25 00:00:00,WBT/USD,22616,23066,21328,21335,6687.1760481500005,0.31343689
1658620800000,2022-07-24 00:00:00,WBT/USD,22675,24295,22312,23067,7524.63832131,0.32620793
1658534400000,2022-07-23 00:00:00,WBT/USD,22750,24375,18285,22483,5655.33290094,0.25153818
1658448000000,2022-07-22 00:00:00,WBT/USD,23179,24896,22555,22750,5507.9008075,0.24210553
1658361600000,2022-07-21 00:00:00,WBT/USD,23273,24941,22395,23181,6204.50244165,0.26765465
1658275200000,2022-07-20 00:00:00,WBT/USD,23427,25350,23000,23216,5927.66141696,0.25532656
1658188800000,2022-07-19 00:00:00,WBT/USD,22505,25421,21633,23427,111191.28288498,4.74628774
1658102400000,2022-07-18 00:00:00,WBT/USD,20805,22848,20774,22505,2706.70673175,0.12027135
