https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XCH
1657497600000,2022-07-11 00:00:00,XCH/USD,1.0139,1.033,0.99337,1.0126,76.83326294726,75.8772101
1657411200000,2022-07-10 00:00:00,XCH/USD,1.0143,1.0149,0.9751,1.0138,1876.4162807992182,1850.87421661
1657324800000,2022-07-09 00:00:00,XCH/USD,1.0148,1.0148,0.9751,1.0145,10348.204598887283,10200.30024533
1657238400000,2022-07-08 00:00:00,XCH/USD,1.0163,1.0208,0.9751,1.0148,29109.162240546062,28684.62972068
1657152000000,2022-07-07 00:00:00,XCH/USD,1.0208,1.0231,0.9751,0.99744,8142.041559662313,8162.93868269
1657065600000,2022-07-06 00:00:00,XCH/USD,1.0227,1.023,0.97053,0.9751,5641.885901385104,5785.95621104
1656979200000,2022-07-05 00:00:00,XCH/USD,1.029,1.0301,0.97003,1.0227,7912.313294589626,7736.69042201
1656892800000,2022-07-04 00:00:00,XCH/USD,1.0277,1.029,1.0198,1.0224,2093.357632421232,2047.49377193
1656806400000,2022-07-03 00:00:00,XCH/USD,1.029,1.029,1.0154,1.0198,1935.5483215179322,1897.96854434
1656720000000,2022-07-02 00:00:00,XCH/USD,1.0291,1.0291,1.0097,1.029,2045.2432834329297,1987.60280217
1656633600000,2022-07-01 00:00:00,XCH/USD,1.0293,1.0293,0.99049,1.0291,1991.1129404871847,1934.80997035
1656547200000,2022-06-30 00:00:00,XCH/USD,1.0298,1.0299,0.98,1.0293,6958.433656714936,6760.35524795
1656460800000,2022-06-29 00:00:00,XCH/USD,1.0302,1.0303,0.98,1.0236,6315.896425265124,6170.27786759
1656374400000,2022-06-28 00:00:00,XCH/USD,1.0316,1.0318,1.0172,1.0302,2058.938705073198,1998.58154249
1656288000000,2022-06-27 00:00:00,XCH/USD,1.0322,1.0322,1.0217,1.0317,2072.877067629546,2009.18587538
1656201600000,2022-06-26 00:00:00,XCH/USD,1.0321,1.0322,1.0254,1.0322,2024.194438763588,1961.04867154
1656115200000,2022-06-25 00:00:00,XCH/USD,1.0335,1.0335,1.0201,1.0321,1743.105863668268,1688.89241708
1656028800000,2022-06-24 00:00:00,XCH/USD,1.0302,1.0338,1.0173,1.0335,2128.361000973285,2059.37203771
1655942400000,2022-06-23 00:00:00,XCH/USD,1.0274,1.0338,1.0179,1.0302,2019.729014187756,1960.52127178
1655856000000,2022-06-22 00:00:00,XCH/USD,1.0191,1.0297,0.99081,1.0274,21202.778818822197,20637.31635081
1655769600000,2022-06-21 00:00:00,XCH/USD,0.99584,1.0251,0.98876,1.005,10302.870136470448,10251.61207609
1655683200000,2022-06-20 00:00:00,XCH/USD,0.99554,0.99585,0.98199,0.99584,5947.559844673331,5972.40504968
1655596800000,2022-06-19 00:00:00,XCH/USD,0.99054,0.99585,0.94956,0.99554,6372.839609625562,6401.38980817
1655510400000,2022-06-18 00:00:00,XCH/USD,0.99711,0.99757,0.94397,0.99054,6491.910366904806,6553.910358900001
1655424000000,2022-06-17 00:00:00,XCH/USD,0.99751,1.0029,0.95008,0.99734,1982.4105795434657,1987.69785584
1655337600000,2022-06-16 00:00:00,XCH/USD,0.97721,0.998,0.92005,0.95884,1867.2695968989472,1947.42563608
1655251200000,2022-06-15 00:00:00,XCH/USD,0.983,0.985,0.92012,0.92099,14515.028224684982,15760.24519776
1655164800000,2022-06-14 00:00:00,XCH/USD,0.973,0.99,0.95,0.98071,1920.3085246754258,1958.07988567
1655078400000,2022-06-13 00:00:00,XCH/USD,0.95889,0.99507,0.92562,0.973,21754.5388635932,22358.2105484
1654992000000,2022-06-12 00:00:00,XCH/USD,0.99749,0.9976,0.95318,0.99507,1912.255973293689,1921.7301027
1654905600000,2022-06-11 00:00:00,XCH/USD,1.0121,1.0132,0.95289,0.9976,6854.653154679904,6871.14390004
1654819200000,2022-06-10 00:00:00,XCH/USD,1.019,1.0232,0.99271,0.99615,1903.060006865673,1910.41510502
1654732800000,2022-06-09 00:00:00,XCH/USD,1.022,1.0281,1.0015,1.0052,1950.0933883846521,1940.00536051
1654646400000,2022-06-08 00:00:00,XCH/USD,1.0273,1.0275,1.0044,1.022,1942.6253858412801,1900.80761824
1654560000000,2022-06-07 00:00:00,XCH/USD,1.0295,1.0296,0.96763,1.0274,9142.721955605635,8898.89230641
1654473600000,2022-06-06 00:00:00,XCH/USD,1.0252,1.039,1.0123,1.0295,2098.798734376245,2038.65831411
1654387200000,2022-06-05 00:00:00,XCH/USD,1.0252,1.0252,1.0143,1.0196,1950.4787478050482,1912.98425638
1654300800000,2022-06-04 00:00:00,XCH/USD,1.0252,1.0252,1.0153,1.0252,1977.4854091822717,1928.87769136
1654214400000,2022-06-03 00:00:00,XCH/USD,1.0313,1.0322,1.0007,1.0252,3200.1199420681914,3121.45917096
1654128000000,2022-06-02 00:00:00,XCH/USD,1.0323,1.0323,1.0,1.0246,2055.8179383779097,2006.45904585
1654041600000,2022-06-01 00:00:00,XCH/USD,1.0408,1.041,0.99705,1.0323,12646.914477696253,12251.20069524
1653955200000,2022-05-31 00:00:00,XCH/USD,1.025,1.0445,1.0165,1.0338,2974.310465072574,2877.06564623
1653868800000,2022-05-30 00:00:00,XCH/USD,1.0077,1.025,0.99991,1.025,26716.571194746746,26064.94750707
1653782400000,2022-05-29 00:00:00,XCH/USD,1.014,1.0141,0.99039,1.0077,2027.0311734023671,2011.54229771
1653696000000,2022-05-28 00:00:00,XCH/USD,1.0141,1.0141,0.99439,1.0076,1978.4150627590361,1963.49251961
1653609600000,2022-05-27 00:00:00,XCH/USD,1.0299,1.0299,0.98,1.0141,15789.52516920517,15569.9883337
1653523200000,2022-05-26 00:00:00,XCH/USD,1.0171,1.032,1.0,1.0176,1992.743296383744,1958.27761044
1653436800000,2022-05-25 00:00:00,XCH/USD,1.0197,1.03,0.99602,1.0297,2020.6991242101371,1962.41538721
1653350400000,2022-05-24 00:00:00,XCH/USD,1.023,1.023,0.99217,1.0197,11333.092796546203,11114.14415666
1653264000000,2022-05-23 00:00:00,XCH/USD,1.0233,1.025,1.015,1.023,2050.14212652942,2004.04899954
1653177600000,2022-05-22 00:00:00,XCH/USD,1.025,1.025,1.0081,1.0233,1968.784788585573,1923.95659981
1653091200000,2022-05-21 00:00:00,XCH/USD,1.0249,1.0261,1.013,1.0184,2071.126447637656,2033.70625259
1653004800000,2022-05-20 00:00:00,XCH/USD,1.0139,1.026,0.9901,1.0138,1964.15460578127,1937.41823415
1652918400000,2022-05-19 00:00:00,XCH/USD,0.984,1.0144,0.96672,1.0139,10409.200580431328,10266.49628211
1652832000000,2022-05-18 00:00:00,XCH/USD,0.99968,1.0124,0.97918,0.97918,4143.461593706813,4231.56272974
1652745600000,2022-05-17 00:00:00,XCH/USD,0.99834,1.0079,0.98437,0.99108,26413.949387214,26651.68239417
1652659200000,2022-05-16 00:00:00,XCH/USD,0.99796,0.99849,0.9745,0.99822,2777.7260963375347,2782.67926543
1652572800000,2022-05-15 00:00:00,XCH/USD,0.99861,1.0005,0.97231,0.99775,25395.56365107044,25452.83252425
1652486400000,2022-05-14 00:00:00,XCH/USD,0.99877,0.99886,0.97,0.9986,2164.75493956651,2167.78984535
1652400000000,2022-05-13 00:00:00,XCH/USD,0.9991,1.0025,0.94419,0.99877,2394.589833238657,2397.53880597
1652313600000,2022-05-12 00:00:00,XCH/USD,0.98,1.0104,0.91966,0.9991,66570.7796248723,66630.74729744
1652227200000,2022-05-11 00:00:00,XCH/USD,1.0044,1.0118,0.94616,0.98,27649.5991137856,28213.87664672
1652140800000,2022-05-10 00:00:00,XCH/USD,0.997,1.0077,0.96024,1.0043,20869.525948974868,20780.17121276
1652054400000,2022-05-09 00:00:00,XCH/USD,1.008,1.008,0.94079,0.9905,20760.635162544342,20959.75281428
1651968000000,2022-05-08 00:00:00,XCH/USD,1.0073,1.0257,0.98091,1.008,21714.639027681602,21542.3006227
1651881600000,2022-05-07 00:00:00,XCH/USD,1.0116,1.0117,0.99568,1.0074,13875.763402040533,13773.83700818
1651795200000,2022-05-06 00:00:00,XCH/USD,1.0147,1.0173,1.0,1.0116,23953.916979612328,23679.23782089
1651708800000,2022-05-05 00:00:00,XCH/USD,1.026,1.0309,1.0041,1.0146,37416.6603295884,36878.238054
1651622400000,2022-05-04 00:00:00,XCH/USD,1.0159,1.0286,1.0109,1.0274,28665.387012746003,27900.90229
1651536000000,2022-05-03 00:00:00,XCH/USD,1.0226,1.027,1.0093,1.0213,3198.8960256799423,3132.18057934
1651449600000,2022-05-02 00:00:00,XCH/USD,1.0265,1.0287,1.0191,1.0223,4762.704569790147,4658.81303902
1651363200000,2022-05-01 00:00:00,XCH/USD,1.0271,1.0292,1.019,1.0262,5293.092912333183,5157.95450432
1651276800000,2022-04-30 00:00:00,XCH/USD,1.0269,1.0271,1.0208,1.0271,4479.1745323323685,4360.99165839
1651190400000,2022-04-29 00:00:00,XCH/USD,1.0249,1.0329,1.019,1.0269,5594.017680974961,5447.48045669
1651104000000,2022-04-28 00:00:00,XCH/USD,1.0316,1.0323,1.019,1.0286,19062.441996349982,18532.41492937
1651017600000,2022-04-27 00:00:00,XCH/USD,1.0256,1.0385,1.019,1.0318,11738.448043235607,11376.66993917
1650931200000,2022-04-26 00:00:00,XCH/USD,1.0429,1.0451,1.023,1.0341,43308.04439589051,41879.93849327
1650844800000,2022-04-25 00:00:00,XCH/USD,1.0418,1.0468,1.0303,1.0414,60583.39353560535,58174.95058153
1650758400000,2022-04-24 00:00:00,XCH/USD,1.0448,1.0483,1.0258,1.0335,6525.65482182588,6314.13141928
1650672000000,2022-04-23 00:00:00,XCH/USD,1.0448,1.0449,1.0262,1.0448,4345.8475313128,4159.5018485
1650585600000,2022-04-22 00:00:00,XCH/USD,1.0461,1.0488,1.0229,1.0448,3249.350675586944,3110.02170328
1650499200000,2022-04-21 00:00:00,XCH/USD,1.0531,1.0555,1.019,1.0462,13459.410301254728,12865.04521244
1650412800000,2022-04-20 00:00:00,XCH/USD,1.0498,1.0562,1.0366,1.0529,3278.1579672895687,3113.45613761
1650326400000,2022-04-19 00:00:00,XCH/USD,1.0578,1.0586,1.033,1.0498,22651.0743424848,21576.561576
1650240000000,2022-04-18 00:00:00,XCH/USD,1.0574,1.0585,1.019,1.0508,54667.14764759977,52024.31256909
1650153600000,2022-04-17 00:00:00,XCH/USD,1.0617,1.0618,1.056,1.0606,5607.580497025526,5287.1775382099995
1650067200000,2022-04-16 00:00:00,XCH/USD,1.059,1.0617,1.0473,1.0617,10170.14243968012,9579.11127407
1649980800000,2022-04-15 00:00:00,XCH/USD,1.0599,1.0607,1.048,1.059,12312.135198414539,11626.18998906
1649894400000,2022-04-14 00:00:00,XCH/USD,1.07,1.0716,1.0482,1.0599,6803.5071315986825,6419.00852118
1649808000000,2022-04-13 00:00:00,XCH/USD,1.07,1.07,1.0529,1.0566,13444.642697881409,12724.43942635
1649721600000,2022-04-12 00:00:00,XCH/USD,1.0594,1.07,1.0574,1.07,6870.712494367501,6421.22663025
1649635200000,2022-04-11 00:00:00,XCH/USD,1.0702,1.0707,1.0578,1.063,51211.02860988172,48175.94412971
1649548800000,2022-04-10 00:00:00,XCH/USD,1.0694,1.0763,1.0675,1.0711,3715.526957654699,3468.88895309
1649462400000,2022-04-09 00:00:00,XCH/USD,1.0708,1.0713,1.0661,1.0693,16291.89188799684,15236.03468437
1649376000000,2022-04-08 00:00:00,XCH/USD,1.0704,1.0727,1.0667,1.0706,14922.205494399845,13938.17064674
1649289600000,2022-04-07 00:00:00,XCH/USD,1.0721,1.0738,1.0689,1.0705,17353.011709642677,16210.19309635
1649203200000,2022-04-06 00:00:00,XCH/USD,1.0757,1.0765,1.0655,1.0722,102446.58551189055,95548.01857106
1649116800000,2022-04-05 00:00:00,XCH/USD,1.0799,1.0863,1.0713,1.0757,10667.208894532754,9916.52774429
1649030400000,2022-04-04 00:00:00,XCH/USD,1.0803,1.0847,1.0765,1.0799,13044.02750345254,12078.92166261
1648944000000,2022-04-03 00:00:00,XCH/USD,1.0805,1.0829,1.0715,1.0801,1737.7828039462731,1608.9091787300001
1648857600000,2022-04-02 00:00:00,XCH/USD,1.081,1.085,1.0755,1.0824,17797.40817783588,16442.54266245
1648771200000,2022-04-01 00:00:00,XCH/USD,1.0836,1.0879,1.0779,1.0832,14987.006134164656,13835.86238383
