https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XLM
1659571200000,2022-08-04 00:00:00,XLM/USD,0.11401,0.11514,0.11401,0.11479,4902.9062683675265,42711.96331011
1659484800000,2022-08-03 00:00:00,XLM/USD,0.11508,0.11729,0.11294,0.11418,185405.20178196768,1623797.5283059
1659398400000,2022-08-02 00:00:00,XLM/USD,0.11835,0.12043,0.11348,0.11518,386724.86567310983,3357569.59257779
1659312000000,2022-08-01 00:00:00,XLM/USD,0.1175,0.12025,0.11681,0.11853,236547.8014946606,1995678.7437329
1659225600000,2022-07-31 00:00:00,XLM/USD,0.11951,0.12285,0.11676,0.1175,422546.6989592596,3596142.11880221
1659139200000,2022-07-30 00:00:00,XLM/USD,0.11782,0.12518,0.11637,0.11951,745261.4803084682,6235975.9041793
1659052800000,2022-07-29 00:00:00,XLM/USD,0.11672,0.11975,0.11436,0.11772,563162.8491270398,4783918.18830309
1658966400000,2022-07-28 00:00:00,XLM/USD,0.11256,0.11811,0.10994,0.11672,220146.46848508518,1886107.50929648
1658880000000,2022-07-27 00:00:00,XLM/USD,0.10568,0.11275,0.10343,0.11256,137693.02502260832,1223285.58122431
1658793600000,2022-07-26 00:00:00,XLM/USD,0.10548,0.10576,0.10229,0.10528,170842.33915969922,1622742.58320383
1658707200000,2022-07-25 00:00:00,XLM/USD,0.11325,0.1137,0.10538,0.10548,272119.69078014884,2579822.62779815
1658620800000,2022-07-24 00:00:00,XLM/USD,0.11144,0.11553,0.1114,0.11328,178344.46869543914,1574368.54427471
1658534400000,2022-07-23 00:00:00,XLM/USD,0.11189,0.11366,0.10906,0.11173,104766.35910148578,937674.38558566
1658448000000,2022-07-22 00:00:00,XLM/USD,0.11367,0.11592,0.11043,0.11188,299091.4170063139,2673323.3554372
1658361600000,2022-07-21 00:00:00,XLM/USD,0.11195,0.11703,0.10934,0.11345,280676.5502195831,2474011.02000514
1658275200000,2022-07-20 00:00:00,XLM/USD,0.11848,0.12086,0.11087,0.11179,403048.24031714076,3605405.13746436
1658188800000,2022-07-19 00:00:00,XLM/USD,0.11429,0.11997,0.1108,0.11841,753510.1801146202,6363568.78738806
1658102400000,2022-07-18 00:00:00,XLM/USD,0.10655,0.11627,0.10633,0.11439,401664.59714975714,3511361.10804928
1658016000000,2022-07-17 00:00:00,XLM/USD,0.10953,0.11125,0.10608,0.10622,313238.74525105255,2948962.01516713
1657929600000,2022-07-16 00:00:00,XLM/USD,0.10719,0.11049,0.10531,0.10948,306054.0915530034,2795525.13292842
1657843200000,2022-07-15 00:00:00,XLM/USD,0.10705,0.10847,0.10527,0.10725,195229.65900156897,1820323.1608537901
1657756800000,2022-07-14 00:00:00,XLM/USD,0.1054,0.10709,0.10189,0.10695,241955.38460338482,2262322.43668429
1657670400000,2022-07-13 00:00:00,XLM/USD,0.1002,0.10554,0.098898,0.10544,611722.4803123091,5801616.84666454
1657584000000,2022-07-12 00:00:00,XLM/USD,0.1009,0.10332,0.10004,0.10018,1657971.4878471466,16549925.01344726
1657497600000,2022-07-11 00:00:00,XLM/USD,0.1073,0.10771,0.10099,0.10118,769939.387835709,7609600.59137882
1657411200000,2022-07-10 00:00:00,XLM/USD,0.11265,0.11286,0.10549,0.10726,1521172.4700682801,14182103.95364796
1657324800000,2022-07-09 00:00:00,XLM/USD,0.1131,0.11507,0.1117,0.11251,208250.89933977334,1850954.57594679
1657238400000,2022-07-08 00:00:00,XLM/USD,0.11377,0.11825,0.11164,0.11321,242453.21674272418,2141623.67938101
1657152000000,2022-07-07 00:00:00,XLM/USD,0.10937,0.11525,0.10904,0.11357,220176.52998820902,1938685.65631953
1657065600000,2022-07-06 00:00:00,XLM/USD,0.10792,0.11184,0.10648,0.10938,660014.423986263,6034141.74425181
1656979200000,2022-07-05 00:00:00,XLM/USD,0.11126,0.11146,0.10424,0.10786,303756.7211189996,2816212.87890784
1656892800000,2022-07-04 00:00:00,XLM/USD,0.10899,0.11137,0.10647,0.11112,421087.87803379475,3789487.74328469
1656806400000,2022-07-03 00:00:00,XLM/USD,0.10868,0.11116,0.1059,0.10919,102406.19409905393,937871.54592045
1656720000000,2022-07-02 00:00:00,XLM/USD,0.11003,0.11098,0.10515,0.10845,3447776.612108879,31791393.38044148
1656633600000,2022-07-01 00:00:00,XLM/USD,0.1122,0.11514,0.10779,0.10996,281489.5788048008,2559927.05351765
1656547200000,2022-06-30 00:00:00,XLM/USD,0.11005,0.11234,0.10306,0.11218,498554.41537203186,4444236.18623669
1656460800000,2022-06-29 00:00:00,XLM/USD,0.11416,0.1156,0.10709,0.11018,234688.06453313126,2130042.33557026
1656374400000,2022-06-28 00:00:00,XLM/USD,0.11894,0.12113,0.11386,0.11433,206840.6383079602,1809154.53781125
